gene	p	fdr
BSCL2	1.66318182903058e-10	8.21611823541105e-08
COL6A3	1.12355627022904e-08	2.77518398746573e-06
CASR	5.21102493069148e-08	8.58082105253864e-06
CDH1	7.57491187395542e-06	0.000935501616433495
F12	1.04450534935253e-05	0.0010319712851603
FGF23	1.84966721111154e-05	0.00152289267048183
LINGO1	5.89227651788001e-05	0.00415826371404675
MME	9.71452405943891e-05	0.00599871860670352
PSAP	0.000201122742895326	0.00993546349902909
SCN1B	0.000188676896193474	0.00993546349902909
UMOD	0.0002669810612856	0.0113125305241701
CDH2	0.000274798312328019	0.0113125305241701
FCGR3A	0.00032180742720125	0.0122286822336475
SMPD1	0.000373911340064864	0.0131937287137173
VWF	0.000433615288680559	0.0142803968405464
AGRN	0.000529218790681524	0.0160837634637154
SNCA	0.000553489835795875	0.0160837634637154
TYRP1	0.000624833465204519	0.0171482073228351
PER2	0.00103728885663126	0.0269695102724128
SLC44A4	0.00134664430183274	0.0332621142552687
MYH7	0.00163124723885289	0.0378001628417446
INSR	0.0016834080617781	0.0378001628417446
NPC1	0.0019336548724083	0.0409919218931671
LAMP2	0.00199151037537654	0.0409919218931671
KCNH2	0.00210987090909065	0.0416910491636312
PRNP	0.00246372566146638	0.0468107875678612
ANGPTL3	0.00301031475174074	0.0531105531199974
WNT3	0.0029703426493303	0.0531105531199974
SERPINA1	0.00312858421028067	0.0532938137889191
FBN2	0.0034404650783273	0.0566529916231228
GUSB	0.0036309295438097	0.0578606191819998
NOX1	0.00452185015546166	0.0698060617749394
GNPTAB	0.00576543064036471	0.0863067495860657
BTD	0.00697112978942014	0.101286415175693
CD96	0.009019344222424	0.123765445718818
GP1BA	0.00898999726205956	0.123765445718818
ACP5	0.01224598655645	0.16350046915909
FBN1	0.0130092248284306	0.169119922769598
COL1A1	0.0143517189871279	0.18178844050362
AGA	0.0158259353453927	0.1954503015156
PKD2	0.0181058420103723	0.210157902919398
GRIN2A	0.0175925744267108	0.210157902919398
APOE	0.0182930968128221	0.210157902919398
GLA	0.0187858936334388	0.210914351248154
CFI	0.0202663697612982	0.222479703601807
ITGB3	0.0207200342136761	0.222515150033826
APOC3	0.0235171004682359	0.247179736836352
TSHB	0.0253052954872256	0.26043366605603
MOGS	0.0261519178475437	0.263654028911971
ABCA4	0.0289782444919656	0.269511048977459
SNAPIN	0.0294607219530015	0.269511048977459
NEFL	0.0277487012923542	0.269511048977459
CTSC	0.029147050835867	0.269511048977459
CHST8	0.0282312443414402	0.269511048977459
PROS1	0.0313349017427251	0.281444390198295
REN	0.0328051331299194	0.289388138681789
GAL	0.0334318588830059	0.289742776986051
SGCE	0.0360215844078036	0.306804529266465
GCGR	0.0380556178118985	0.316956968094381
COLGALT1	0.0384967977442568	0.316956968094381
NTRK1	0.0465757590294627	0.377187294435321
SLC4A1	0.0480509462363512	0.382857539367057
H6PD	1	1
PLOD1	1	1
EPHA2	1	1
EMC1	1	1
ECE1	1	1
ALPL	1	1
HSPG2	1	1
CDC42	1	1
FUCA1	1	1
SLC9A1	1	1
EPB41	1	1
CSF3R	1	1
PPT1	1	1
SLC2A1	1	1
SLC6A9	1	1
POMGNT1	1	1
PCSK9	1	1
TACSTD2	1	1
LEPR	1	1
KCNA2	1	1
NGF	1	1
ECM1	1	1
POGZ	1	1
DPM3	1	1
GBA	1	1
LMNA	1	1
APOA1BP	1	1
SPTA1	1	1
ACKR1	1	1
FCGR2A	1	1
ATF6	1	1
F5	1	1
SERPINC1	1	1
NPHS2	1	1
EDEM3	1	1
CFH	1	1
CFHR3	1	1
F13B	1	1
NFASC	1	1
CNTN2	1	1
CD55	1	1
HSD11B1	1	1
ACTA1	1	1
AGT	1	1
PXDN	1	1
MATN3	1	1
APOB	1	1
ABCG8	1	1
MCFD2	1	1
EPCAM	1	1
FSHR	1	1
SLC1A4	1	1
ANTXR1	1	1
GGCX	1	1
SFTPB	1	1
LMAN2L	1	1
CNNM4	1	1
RANBP2	1	1
PROC	1	1
ITGB6	1	1
GALNT3	1	1
ABCB11	1	1
LRP2	1	1
COL3A1	1	1
COL5A2	1	1
CTLA4	1	1
ERBB4	1	1
ABCA12	1	1
FN1	1	1
IHH	1	1
IRS1	1	1
SLC19A3	1	1
UGT1A4	1	1
UGT1A1	1	1
UGT1A8	1	1
UGT1A3	1	1
UGT1A9	1	1
SUMF1	1	1
SLC6A1	1	1
TGFBR2	1	1
GLB1	1	1
ACVR2B	1	1
CTNNB1	1	1
TRAK1	1	1
POMGNT2	1	1
LAMB2	1	1
DAG1	1	1
HYAL1	1	1
IMPG2	1	1
PVRL3	1	1
POGLUT1	1	1
RHO	1	1
TF	1	1
PLOD2	1	1
GYG1	1	1
CP	1	1
RNF13	1	1
SI	1	1
BCHE	1	1
THPO	1	1
DNAJB11	1	1
AHSG	1	1
HRG	1	1
ADIPOQ	1	1
TFRC	1	1
IDUA	1	1
WFS1	1	1
SOD3	1	1
SGCB	1	1
KIT	1	1
TMEM165	1	1
UGT2B15	1	1
SLC4A4	1	1
ADAMTS3	1	1
ALB	1	1
SCARB2	1	1
FGF5	1	1
ABCG2	1	1
BMPR1B	1	1
MFSD8	1	1
GYPA	1	1
FGB	1	1
FGA	1	1
FGG	1	1
KLKB1	1	1
F11	1	1
SLC6A3	1	1
PRLR	1	1
IL7R	1	1
GDNF	1	1
LIFR	1	1
C9	1	1
C7	1	1
HEXB	1	1
ARSB	1	1
PCSK1	1	1
LOX	1	1
SLC22A5	1	1
TGFBI	1	1
SIL1	1	1
CSF1R	1	1
PDGFRB	1	1
SPARC	1	1
ERGIC1	1	1
FLT4	1	1
F13A1	1	1
HIVEP1	1	1
EDN1	1	1
TNF	1	1
NEU1	1	1
C2	1	1
CFB	1	1
TREM2	1	1
CNPY3	1	1
SLC29A1	1	1
RUNX2	1	1
IL17F	1	1
COL12A1	1	1
ELOVL4	1	1
NT5E	1	1
LAMA4	1	1
NUS1	1	1
LAMA2	1	1
ENPP1	1	1
ADGRG6	1	1
GRM1	1	1
ESR1	1	1
PLG	1	1
RNASET2	1	1
FAM20C	1	1
RAC1	1	1
AQP1	1	1
EGFR	1	1
ZP3	1	1
CD36	1	1
ADAM22	1	1
COL1A2	1	1
TFR2	1	1
EPO	1	1
PLOD3	1	1
SLC26A5	1	1
RELN	1	1
SLC26A3	1	1
LAMB1	1	1
MET	1	1
CFTR	1	1
TRPV6	1	1
KEL	1	1
EZH2	1	1
NOS3	1	1
DPP6	1	1
SHH	1	1
MSR1	1	1
ASAH1	1	1
LPL	1	1
BMP1	1	1
SLC39A14	1	1
ERLIN2	1	1
FGFR1	1	1
ANK1	1	1
IKBKB	1	1
SLC20A2	1	1
IMPAD1	1	1
ASPH	1	1
CA1	1	1
FZD6	1	1
TNFRSF11B	1	1
TG	1	1
GPIHBP1	1	1
VLDLR	1	1
TEK	1	1
NTRK2	1	1
ROR2	1	1
GABBR2	1	1
ABCA1	1	1
TNC	1	1
C5	1	1
GSN	1	1
ENG	1	1
TOR1A	1	1
NUP214	1	1
POMT1	1	1
ADAMTS13	1	1
ADAMTSL2	1	1
DBH	1	1
NOTCH1	1	1
MAN1B1	1	1
IL2RA	1	1
CUBN	1	1
VIM	1	1
RET	1	1
PRF1	1	1
MINPP1	1	1
FAS	1	1
LIPA	1	1
ENTPD1	1	1
ERLIN1	1	1
COL17A1	1	1
CTSD	1	1
STIM1	1	1
HBB	1	1
TPP1	1	1
DENND5A	1	1
SLC6A5	1	1
FSHB	1	1
CD59	1	1
F2	1	1
LRP4	1	1
SERPING1	1	1
MYRF	1	1
GANAB	1	1
UQCC3	1	1
RELA	1	1
CTSF	1	1
SERPINH1	1	1
TRPC6	1	1
MMP13	1	1
GRIA4	1	1
CRYAB	1	1
APOA1	1	1
CD3G	1	1
ROBO4	1	1
STT3A	1	1
CDON	1	1
KCNJ1	1	1
ST14	1	1
JAM3	1	1
CD27	1	1
CD4	1	1
C1S	1	1
MFAP5	1	1
LRP6	1	1
CDKN1B	1	1
GRIN2B	1	1
GUCY2C	1	1
SLCO1B1	1	1
PTHLH	1	1
KRT8	1	1
KRT18	1	1
ERBB3	1	1
SLC39A5	1	1
LRP1	1	1
TMEM5	1	1
KITLG	1	1
KERA	1	1
ORAI1	1	1
FGF9	1	1
FREM2	1	1
ITM2B	1	1
CLN5	1	1
SLITRK5	1	1
COL4A1	1	1
COL4A2	1	1
CARKD	1	1
F7	1	1
F10	1	1
MMP14	1	1
COCH	1	1
MGAT2	1	1
SPTB	1	1
FUT8	1	1
SMOC1	1	1
NPC2	1	1
LTBP2	1	1
TSHR	1	1
SERPINA6	1	1
SERPINA3	1	1
AKT1	1	1
GABRB3	1	1
EPB42	1	1
PDIA3	1	1
B2M	1	1
ADAM10	1	1
PPIB	1	1
HEXA	1	1
ACAN	1	1
IGF1R	1	1
CHSY1	1	1
HBA2	1	1
HBA1	1	1
IGFALS	1	1
XYLT1	1	1
IL21R	1	1
CLN3	1	1
FUS	1	1
CES1	1	1
ADGRG1	1	1
LCAT	1	1
MBTPS1	1	1
PIEZO1	1	1
GALNS	1	1
SERPINF2	1	1
SLC13A5	1	1
TP53	1	1
NTN1	1	1
PMP22	1	1
NCOR1	1	1
SLC46A1	1	1
IGFBP4	1	1
JUP	1	1
FKBP10	1	1
NAGLU	1	1
G6PC	1	1
BRCA1	1	1
GRN	1	1
ITGA2B	1	1
MAPT	1	1
XYLT2	1	1
NOG	1	1
MPO	1	1
SCN4A	1	1
BPTF	1	1
ITGB4	1	1
GAA	1	1
SGSH	1	1
P4HB	1	1
LAMA1	1	1
DSC2	1	1
DSG2	1	1
TTR	1	1
LMAN1	1	1
ELANE	1	1
C3	1	1
MCOLN1	1	1
LDLR	1	1
MAN2B1	1	1
BRD4	1	1
SLC5A5	1	1
COMP	1	1
MAG	1	1
SPINT2	1	1
TGFB1	1	1
MEGF8	1	1
XRCC1	1	1
FKRP	1	1
TRPM4	1	1
GP6	1	1
FLRT3	1	1
THBD	1	1
PIGT	1	1
CTSA	1	1
CDH4	1	1
LAMA5	1	1
APP	1	1
IFNGR2	1	1
KCNE1	1	1
CRYAA	1	1
LOC102724652	1	1
ITGB2	1	1
COL6A1	1	1
COL6A2	1	1
IL17RA	1	1
CECR1	1	1
GP1BB	1	1
SERPIND1	1	1
SLC5A1	1	1
CSF2RB	1	1
RAC2	1	1
PDGFB	1	1
NAGA	1	1
FBLN1	1	1
ARSA	1	1
CSF2RA	1	1
ARSE	1	1
NLGN4X	1	1
STS	1	1
MBTPS2	1	1
CYBB	1	1
BCOR	1	1
USP9X	1	1
SLC9A7	1	1
SYN1	1	1
CFP	1	1
EBP	1	1
BMP15	1	1
MAGED2	1	1
EFNB1	1	1
IL2RG	1	1
SRPX2	1	1
SERPINA7	1	1
GPC3	1	1
CD40LG	1	1
F9	1	1
IDS	1	1
BGN	1	1
L1CAM	1	1
HCFC1	1	1
OPN1MW	1	1
OPN1MW2	1	1
EMD	1	1
ATP6AP1	1	1
F8	1	1
