gene	p	fdr
KRT6A	2.4294409541882e-14	2.35412828460837e-11
VCP	1.56722974597637e-11	7.59322811925549e-09
TPM3	1.42640572655367e-09	4.60729049676834e-07
TINF2	4.62802453482476e-09	1.1211389435613e-06
FUS	1.10222243094397e-08	2.1361070711694e-06
KRT2	2.92658966410661e-08	4.72644230753217e-06
GLUD1	3.9568164942765e-07	4.79269397869241e-05
EEF1A2	3.60226757945261e-07	4.79269397869241e-05
GJB2	6.99483537027876e-07	7.53110608200014e-05
COPA	3.62260989563929e-06	0.000329705213195442
SDHA	3.74278363792556e-06	0.000329705213195442
EARS2	4.84275776161678e-06	0.000391052689250555
FLNC	7.86540439884627e-06	0.000586275143267849
H3F3A	9.59019456532227e-06	0.000663778466699806
HNRNPH2	1.11497827074908e-05	0.000720275962903906
RHBDF2	1.74187281056429e-05	0.001054921720898
LMNA	1.96749427206419e-05	0.00112147173507659
RLIM	2.11379688276373e-05	0.00113792732188781
MYH11	2.38463938529147e-05	0.00121616608649865
CRYAA	5.40454726611689e-05	0.00249381252422251
LOC102724652	5.40454726611689e-05	0.00249381252422251
KCNQ2	6.99950696472058e-05	0.00308296465855193
MAT1A	8.50533669418877e-05	0.00343402969027871
YY1	8.29849102468071e-05	0.00343402969027871
RPSA	9.13083957119852e-05	0.00353911341779654
CPT2	0.000132908787489528	0.00495340827220586
DSTYK	0.000256470933472604	0.00920445683462789
USP11	0.000280394899838148	0.00970366635511303
VHL	0.000469612733833255	0.0154603997297367
MYH9	0.000478650146431477	0.0154603997297367
CAMK2B	0.000612913267090782	0.0189395510723869
IL21R	0.000625454730976656	0.0189395510723869
CDKN2A	0.000951915267859372	0.0279516937744161
EEF2	0.00107887558812405	0.0307479542615355
PRKAR1A	0.001457268949857	0.0403455317831838
RPL21	0.00153630265285451	0.0413521464060006
ATM	0.00187607072979951	0.0486660452727096
GRIP1	0.00200891827751123	0.0486660452727096
MYO9A	0.00192353024506628	0.0486660452727096
ERF	0.00196651502034515	0.0486660452727096
STAT1	0.00212432113310119	0.0502065165359769
RPS19	0.00220730292861283	0.050925631852996
PGAM2	0.00251845735524775	0.0528385675072623
PSAT1	0.00262174792841087	0.0528385675072623
BAG3	0.00237492743995403	0.0528385675072623
KRT8	0.00262835759302597	0.0528385675072623
BAZ1A	0.00267191930635279	0.0528385675072623
SLTM	0.00252205307777007	0.0528385675072623
PRMT7	0.00247041614730533	0.0528385675072623
PDPR	0.00295463896883661	0.0572609032160536
GANAB	0.00313054499881969	0.0594803549775741
ASPM	0.00339193534376701	0.0632074105405814
SH3TC2	0.00346996486898573	0.0634414331707014
NR2F1	0.00363286953213928	0.0651898254933881
KRT6B	0.00377418562172017	0.0664942884990335
IMPDH1	0.00413194493188444	0.0678619430338308
EHMT1	0.0040728653620951	0.0678619430338308
STUB1	0.00395440659245818	0.0678619430338308
RPS6KA3	0.00403621460358866	0.0678619430338308
PKP2	0.00439387285896095	0.0709610466722193
SPATA7	0.00462838420321813	0.0735230211953831
CBS	0.00490212167266094	0.0766154177549751
SVIL	0.00514378763598458	0.0791163526868104
CALM2	0.00541144055500948	0.0819325921531904
KARS	0.00578507569413451	0.0862421284248668
KRT6C	0.00638624168556911	0.0923622118405442
POC1B	0.00637287784622048	0.0923622118405442
TTN	0.00651620715147668	0.0928559519085428
EIF2B4	0.00738488914954569	0.0999352383050356
ACTB	0.00736112063373733	0.0999352383050356
NEFL	0.00729383387651676	0.0999352383050356
USP27X	0.00742552854278902	0.0999352383050356
ACAD9	0.00826939146133676	0.105192379332082
LEMD2	0.0082106362586249	0.105192379332082
EZH2	0.00823837929646561	0.105192379332082
HK1	0.00799170074245425	0.105192379332082
KRT5	0.0083589403597217	0.105192379332082
VIM	0.00877540605239782	0.109017544420173
RYR2	0.00899076274768116	0.11027910256333
THAP11	0.00939553037937115	0.113803361720133
STAG1	0.0102467940238699	0.122582017396666
AP5Z1	0.0105752485430004	0.124968485831309
HADHB	0.0115012679700298	0.129817109088334
CAMK2G	0.0111719959166071	0.129817109088334
VCL	0.0113203672790301	0.129817109088334
ALDH18A1	0.0115214358943206	0.129817109088334
MECP2	0.0119125427651885	0.132681079763996
MAPT	0.0131454398926241	0.144749218817645
ANLN	0.0148560298444899	0.161747111452929
DNAJB11	0.0151770396445983	0.163406126840175
DSP	0.0153820174450319	0.163793130815779
EOGT	0.0157558030964397	0.165949708700545
TPM1	0.0165559505673707	0.170667192550875
DNMT3B	0.016518865223597	0.170667192550875
DES	0.0171212860243916	0.173684564331768
PDIA3	0.0172071395003609	0.173684564331768
EPHX1	0.0185432647343366	0.18335126048543
CREBBP	0.0185261749226352	0.18335126048543
BUB1B	0.019056656308297	0.186524242047876
LBR	0.0201053682177043	0.194821018029555
SMC3	0.0230279740627145	0.220931751156142
GNB4	0.0238184391183342	0.22573689583539
WDR34	0.0239947371218217	0.22573689583539
SARS	0.0262855518534324	0.234355664585592
FH	0.0260482455036285	0.234355664585592
CPS1	0.0254346123992852	0.234355664585592
POLR1C	0.0263619891019912	0.234355664585592
RPL35	0.0253052958374295	0.234355664585592
KRT18	0.0262446519457796	0.234355664585592
RAB11B	0.0269110106458027	0.23706153923439
UBA1	0.0274887211907168	0.239969106610852
BRCA2	0.028792433444873	0.244735684281421
CALM1	0.0286092258172802	0.244735684281421
DDX3X	0.0285376102774265	0.244735684281421
CRYGS	0.0310231002124401	0.261403340050908
TUBB3	0.0352613960278544	0.29455424785337
FIG4	0.0363935359303248	0.29711356328249
GRHL2	0.0361391061783293	0.29711356328249
ALDOA	0.0367377978522801	0.29711356328249
AFG3L2	0.036794249322909	0.29711356328249
KRT74	0.0391451107083832	0.310914854724781
UFM1	0.0391012448015504	0.310914854724781
CALM3	0.0395583808173268	0.311642853756014
SCN5A	0.0412534955167225	0.32128253847567
G6PD	0.0414451159024342	0.32128253847567
TBL1XR1	0.0440002967485869	0.335889075564012
PGK1	0.0440226136188127	0.335889075564012
PABPN1	0.0447030789342747	0.338416277244627
QDPR	0.0479907663599725	0.36048877986677
MATR3	0.0490247105864684	0.365422650448368
ASS1	0.0499942050533026	0.367002914368563
PDHA1	0.0498035191684005	0.367002914368563
ATAD3A	1	1
GNB1	1	1
PEX10	1	1
PARK7	1	1
RERE	1	1
H6PD	1	1
NMNAT1	1	1
TARDBP	1	1
PLOD1	1	1
ALDH4A1	1	1
UBR4	1	1
DDOST	1	1
KDM1A	1	1
LDLRAP1	1	1
ARID1A	1	1
NR0B2	1	1
AHDC1	1	1
EPB41	1	1
MECR	1	1
PUM1	1	1
HDAC1	1	1
YARS	1	1
ORC1	1	1
PARS2	1	1
DHCR24	1	1
NFIA	1	1
PGM1	1	1
DNAJC6	1	1
ACADM	1	1
ZNF644	1	1
GFI1	1	1
RPL5	1	1
DPYD	1	1
AGL	1	1
DBT	1	1
RNPC3	1	1
GNAI3	1	1
AMPD2	1	1
SLC16A1	1	1
NRAS	1	1
ATP1A1	1	1
PHGDH	1	1
HMGCS2	1	1
ACP6	1	1
SF3B4	1	1
VPS45	1	1
PRPF3	1	1
TARS2	1	1
ZNF687	1	1
RFX5	1	1
POGZ	1	1
ADAR	1	1
MSTO1	1	1
APOA1BP	1	1
ATP1A2	1	1
DCAF8	1	1
NDUFS2	1	1
DDR2	1	1
DCAF6	1	1
LHX4	1	1
CDC73	1	1
KIF14	1	1
SNRPE	1	1
NFASC	1	1
HSD11B1	1	1
EPRS	1	1
IARS2	1	1
RAB3GAP2	1	1
WDR26	1	1
