gene	p	fdr
AHNAK	7.09963111585808e-09	1.26159627993428e-05
EEF1A1	8.55512848056701e-09	1.26159627993428e-05
AKT1	5.78331826633263e-09	1.26159627993428e-05
TPR	3.83287145149705e-08	3.39132466028459e-05
EWSR1	3.8171544080665e-08	3.39132466028459e-05
IGF2BP1	5.54055725273903e-08	4.08523754768625e-05
KHSRP	7.983636869928e-08	5.0456585017945e-05
GTF2I	1.46688218918932e-07	8.11185850621692e-05
PRRC2A	2.49897577296779e-07	0.000122838542440106
SAFB	3.87066216051265e-07	0.0001426984116509
FAM104A	3.47339618921144e-07	0.0001426984116509
U2AF1	3.64007642215763e-07	0.0001426984116509
ATXN2L	8.44391885220641e-07	0.000287353053862778
CAPNS1	1.62760369037761e-06	0.000514322766159325
SESN3	2.11885870028614e-06	0.000624922059337724
HRNR	2.29865288027271e-06	0.000635577521395405
HIST1H1E	4.0575521942332e-06	0.00105591828866398
CDC42EP1	7.62739961930691e-06	0.00187464532865632
H3F3A	1.00507594215891e-05	0.00234023998321633
NPM1	1.37767419406319e-05	0.00274554486992167
POLR2A	1.25070664515399e-05	0.00274554486992167
SYNCRIP	1.42738544322329e-05	0.00274554486992167
YBX3	1.39789222595128e-05	0.00274554486992167
KIAA1429	1.63055890033689e-05	0.00300566357295434
PUS7	1.80182287255421e-05	0.00318850575527194
MDC1	2.05926899876371e-05	0.00337415038908543
LMO7	1.99616511650128e-05	0.00337415038908543
HLA-C	2.22140920105408e-05	0.00350982653766544
HN1	2.45394748738957e-05	0.00374353920145223
THRAP3	3.71154790682624e-05	0.00513121498118727
C15orf39	3.63248230998865e-05	0.00513121498118727
RPP38	3.56653311738527e-05	0.00513121498118727
CTNNB1	3.89755289470296e-05	0.00516674346493711
ARNT2	3.97082454357735e-05	0.00516674346493711
TRIM33	4.10196196199653e-05	0.00518487991996362
SOD2	4.5973434628809e-05	0.00564962429994031
CTCF	4.830224961462e-05	0.0057753824944616
TANC2	6.05190330294791e-05	0.00665425953569291
HNRNPUL1	6.31733500224011e-05	0.00665425953569291
C4orf3	5.77277499867884e-05	0.00665425953569291
PRDX6	6.09519575554096e-05	0.00665425953569291
HIST1H2BF	6.2394856358176e-05	0.00665425953569291
