gene	p	fdr
FGFR2	1.21252154216547e-62	3.34049684866587e-59
PTPN11	1.88679959253592e-53	2.59906643871823e-50
RAF1	1.03797499264859e-43	9.5320703491562e-41
MYH7	5.01995954473624e-38	3.45749713643708e-35
LMNA	1.48189272165345e-30	8.16522889631048e-28
MLH1	9.13662122112074e-26	4.19523191069794e-23
PTEN	7.10327407016229e-19	2.79564572332816e-16
KRT17	2.42489797666536e-17	8.35074240714135e-15
RBM20	3.79522835671968e-16	1.16176156919586e-13
KRT9	1.37065326599957e-15	3.77614974782882e-13
TP53	1.04493573107605e-14	2.39899828259543e-12
DNM2	1.02504396464975e-14	2.39899828259543e-12
CCND2	1.16268202736937e-14	2.46399152723277e-12
CHEK2	5.33744686163294e-14	1.05033329312848e-11
GLB1	1.12087119067049e-13	2.05866675353146e-11
RET	1.29034187823481e-13	2.22180742158557e-11
GNAO1	2.35087058654078e-13	3.80979321524697e-11
PLCB4	7.26515782526326e-13	1.11197276714446e-10
BRCA1	1.68470603920408e-12	2.44282375684592e-10
CBL	6.43438320887625e-12	8.86336287022703e-10
KRT16	2.84497907710721e-11	3.73234159877636e-09
CFTR	5.45594888774125e-11	6.83233599351234e-09
STAT3	6.01527874045951e-11	7.20525779563737e-09
TRPV4	9.20235013317964e-11	1.05635310903791e-08
DYNC1H1	2.35524894889444e-10	2.59548434168167e-08
GNB1	2.7989967541494e-10	2.96586002218523e-08
KCNH2	2.98801645129846e-10	3.04888345308417e-08
RYR1	3.14557352365537e-10	3.09501966345376e-08
SERPING1	4.83820916353253e-10	4.5962987053559e-08
SH3BP2	6.05891038257235e-10	5.56409936799561e-08
APP	9.25858351743818e-10	8.22819277114264e-08
TFAP2A	1.06929629697776e-09	9.20597280679286e-08
TPM3	1.42640572655367e-09	1.19083265959253e-07
KRT6A	1.80098374913548e-09	1.45932653790242e-07
KCTD1	2.3502678671954e-09	1.84999656403523e-07
WT1	2.67246472216098e-09	2.04517786376486e-07
MYH9	4.40983798669942e-09	3.2835415279343e-07
MECP2	5.51335881519019e-09	3.99718514101289e-07
COG4	5.78481682629824e-09	4.08645393755171e-07
ZBTB20	7.71819163271033e-09	5.31590448702924e-07
FLNC	8.81403342149452e-09	5.73194719603325e-07
