gene	p	fdr
CTNNB1	1.58507422503786e-85	2.22005495958803e-81
TP53	1.62819253555544e-60	1.14022323264947e-56
BRAF	1.67065202905143e-40	7.79971743963143e-37
NRAS	4.84506036224385e-26	1.69649788583968e-22
IDH1	6.96894575049374e-26	1.95214108362831e-22
TTN	2.59941850563423e-24	5.62403173352317e-21
ERBB2	2.81081123337585e-24	5.62403173352317e-21
AHNAK2	2.47098368020329e-15	4.3260746781159e-12
PRRC2B	2.82275727591726e-15	4.39283760072191e-12
PLEC	5.77430876187824e-14	7.35226986535151e-11
KMT2A	5.39499094862895e-14	7.35226986535151e-11
SPTAN1	8.04567701379561e-14	9.39064602126845e-11
CCND1	1.05268000683652e-13	1.13414124428864e-10
EPPK1	2.32079454682562e-13	2.32178917305997e-10
RGPD4	7.60838320914127e-13	7.10420101514884e-10
MYH2	1.09810308870468e-12	9.61251991274858e-10
HRNR	1.84255248472247e-12	1.51804647653076e-09
SRCAP	2.66932029961914e-12	2.07702778424809e-09
RGPD5	3.68081438247518e-12	2.71334138110249e-09
KIT	6.29395972702299e-12	4.4076599968342e-09
C4B	9.34316513897222e-12	6.2314462350688e-09
SPTBN1	9.93043603358879e-12	6.32207668574748e-09
AHNAK	1.15198396624681e-11	7.01508149184904e-09
NCOR1	1.38176937201511e-11	8.06377576018487e-09
MAP1A	2.14698350398377e-11	1.15656349833833e-08
MAP2K1	2.07437507435373e-11	1.15656349833833e-08
CAMSAP1	4.32400967303738e-11	2.24303998076154e-08
XIRP1	6.48217828318691e-11	3.242478179797e-08
MYLK	9.66413809673748e-11	4.66744545458293e-08
KIF14	1.08907333760468e-10	4.92050360209391e-08
CIC	1.07150306898354e-10	4.92050360209391e-08
CHD4	1.15855450692435e-10	5.07084825749453e-08
BCR	1.53526614128962e-10	6.51604168936436e-08
CDK13	1.81028004592698e-10	7.4572889186039e-08
DSP	1.95454126136286e-10	7.80657236580804e-08
KAT6A	2.00654437504705e-10	7.80657236580804e-08
ATXN2L	2.30091021745508e-10	8.70987797450699e-08
ARID1B	3.09263125240394e-10	1.13987877160972e-07
PCM1	4.4780086545245e-10	1.60817921064795e-07
RANBP2	5.82029821020874e-10	2.03797741830459e-07
KMT2C	6.79800539410451e-10	2.26697294166256e-07
MYH1	6.67269572072573e-10	2.26697294166256e-07
KIF7	7.0202613084735e-10	2.28664604387162e-07
PRRC2A	7.62457020046587e-10	2.37310511617167e-07
FAM21A	7.56001643743917e-10	2.37310511617167e-07
GOLGB1	7.92234031485527e-10	2.41218040108398e-07
PCNT	9.5926496313014e-10	2.85860959012782e-07
TNRC18	1.03540436577157e-09	3.0212236556243e-07
MLLT10	1.24077532379592e-09	3.54659167042566e-07
TCF20	1.49376471232792e-09	4.18433371217297e-07
MIA3	1.54792885790907e-09	4.25103756546557e-07
BDP1	1.63381975965491e-09	4.40063068340897e-07
DCLRE1C	2.09396312056572e-09	5.53359386163083e-07
ATRX	2.23460279336358e-09	5.69051758615459e-07
CAMSAP3	2.19701880193137e-09	5.69051758615459e-07
C4B_2	2.5094609141871e-09	6.2763409935901e-07
SGK223	2.60700198696399e-09	6.40590698761712e-07
MYH9	3.62886671617325e-09	8.7630874528832e-07
C10orf71	4.54494099503943e-09	1.07892277248343e-06
KRAS	5.00240402766957e-09	1.167727846859e-06
KIF26A	5.97031154394914e-09	1.37082268007462e-06
EEF1A1	7.71210048855216e-09	1.74218837810744e-06
RSF1	1.04078218489754e-08	2.3138405209008e-06
MYH7	1.1338433822294e-08	2.47780674362564e-06
SUZ12	1.16760848978504e-08	2.47780674362564e-06
FASTK	1.16703840549939e-08	2.47780674362564e-06
SUPT6H	1.27686513378168e-08	2.66921986026062e-06
RBM12B	1.34935786566358e-08	2.77928033330648e-06
KIAA0355	1.4190832438264e-08	2.88053332072936e-06
MYO18A	1.52640477106493e-08	3.05411788907649e-06
HSPA1A	1.61212878335576e-08	3.18020785065926e-06
TOP2A	1.7335436225306e-08	3.37222388571716e-06
EP300	1.93839960166182e-08	3.71907189327061e-06
FASN	2.26206068946761e-08	4.28140838063288e-06
POTEF	2.35002451547149e-08	4.33084781101233e-06
MYH14	2.32350636557854e-08	4.33084781101233e-06
EGFR	2.94321068880212e-08	5.35358557238474e-06
CASC5	3.09043804372441e-08	5.54931733851334e-06
RGPD8	3.19389317257725e-08	5.66248959178695e-06
KIDINS220	3.25722898693134e-08	5.70259364887004e-06
MET	3.5705754873786e-08	6.17400991064503e-06
MKL1	3.94173748755844e-08	6.65156328322211e-06
IRF2BPL	3.89928920169766e-08	6.65156328322211e-06
BIRC6	4.18655736882816e-08	6.98058601283419e-06
FLNB	4.36561008364823e-08	7.19349821547967e-06
MAST4	5.78015179480696e-08	9.30538000437543e-06
RAPGEF1	5.74641978993609e-08	9.30538000437543e-06
RIF1	5.88617941982987e-08	9.36838965387922e-06
TAF3	5.99712830622612e-08	9.43772798393292e-06
DNMT1	6.34108064684539e-08	9.86813061552405e-06
NEB	6.65999089072614e-08	1.01391122190772e-05
SUPT16H	6.60876919627781e-08	1.01391122190772e-05
OTUD7B	6.90475571388026e-08	1.03987105944739e-05
HNRNPH1	7.6393308753812e-08	1.1382603004318e-05
TP53BP1	7.97402285944583e-08	1.17562278073051e-05
PGR	8.59924615469086e-08	1.25459418377709e-05
GPATCH8	8.91520733836098e-08	1.28728241217612e-05
DOPEY2	1.20542739811692e-07	1.72277715694139e-05
NES	1.26480075509393e-07	1.78937367432784e-05
CCDC14	1.44144118084657e-07	1.99889358207297e-05
NKAP	1.43533818027304e-07	1.99889358207297e-05
MAP3K4	1.56648028661235e-07	2.15099244061691e-05
RGR	1.64636734193193e-07	2.2387399020484e-05
HSPA1B	1.74643649624253e-07	2.32957995870217e-05
MAP2K2	1.74345556507479e-07	2.32957995870217e-05
FAM110B	1.8624663273596e-07	2.46091541330175e-05
HUWE1	1.88116248432633e-07	2.46238894910977e-05
SAFB	1.9619127275139e-07	2.54431015384811e-05
PARP1	2.00462212291855e-07	2.55243067759975e-05
AKAP12	1.9964396724667e-07	2.55243067759975e-05
IRS1	2.03475074216947e-07	2.56745215268699e-05
TPR	2.16546886612631e-07	2.70799615526474e-05
TANC2	2.31372177533618e-07	2.8677864765804e-05
FGD1	2.38086049607115e-07	2.92511685157654e-05
AGAP2	2.41007547714483e-07	2.93526235938178e-05
KRT8	2.45685366238667e-07	2.96643899960238e-05
TMEM131	2.55959768089862e-07	3.06407906997146e-05
MAP1B	2.96101001101158e-07	3.48503413564942e-05
RAI1	2.94003470318917e-07	3.48503413564942e-05
ACTN2	3.15532793912783e-07	3.65235728226648e-05
ABCC1	3.13952789037629e-07	3.65235728226648e-05
ARHGEF5	3.29465642712872e-07	3.78237359986598e-05
PHACTR2	3.67287847881063e-07	4.14857548179207e-05
SIPA1L1	3.66593671626478e-07	4.14857548179207e-05
RHOA	3.77631150728307e-07	4.23128151768054e-05
ARHGAP21	3.97051657994443e-07	4.41357581100807e-05
MYH6	4.22721333188155e-07	4.66191731703409e-05
ANAPC1	4.30639488976124e-07	4.71213803328093e-05
ZNF628	4.47289992356952e-07	4.85639041314068e-05
SH3RF1	4.81558048868254e-07	5.10962275185512e-05
LMTK2	4.78154213006497e-07	5.10962275185512e-05
NOC3L	4.75740368539321e-07	5.10962275185512e-05
POLR2B	4.85853753114048e-07	5.11644185422207e-05
FMN2	4.99746663689192e-07	5.22347147136628e-05
C17orf53	5.38091125906962e-07	5.57483146912521e-05
KIAA1429	5.41323061402991e-07	5.57483146912521e-05
ASPM	5.53532766809326e-07	5.65896345396454e-05
PARD3	5.58399670834877e-07	5.66735202153137e-05
AHCTF1	5.63293113860132e-07	5.67588730411871e-05
PHF3	5.89756839346405e-07	5.90009592277554e-05
ACTA1	6.01406893708525e-07	5.93190489667718e-05
PCNXL3	6.00605341008303e-07	5.93190489667718e-05
CTNND2	6.17555020430063e-07	6.04858434695347e-05
USP34	6.44893428296053e-07	6.27248427549619e-05
SLC12A2	6.53134552503454e-07	6.30882933956095e-05
FLNC	6.62132297426341e-07	6.35193490257078e-05
NUP62	6.67150333671229e-07	6.35653576421717e-05
IRS2	7.44976739452723e-07	7.03440932219216e-05
TAX1BP1	7.48341417254485e-07	7.03440932219216e-05
GLUD1	7.81108301150484e-07	7.24516746086998e-05
IQGAP1	7.79506375293379e-07	7.24516746086998e-05
DDX42	8.17850093812842e-07	7.53605816706754e-05
ANKRD11	8.4905724091923e-07	7.77248086033642e-05
UBR4	8.57932921783999e-07	7.80273279383552e-05
SP100	8.91471172792108e-07	8.00381105520915e-05
IRF3	8.87316994413221e-07	8.00381105520915e-05
FLT4	9.03475706518526e-07	8.00891186423954e-05
MYH8	9.01544057937737e-07	8.00891186423954e-05
NUP133	9.09234190665948e-07	8.00926671350142e-05
RGPD1	9.59760260854382e-07	8.40150138345404e-05
LGR5	9.93654713382214e-07	8.59542138288139e-05
PKHD1L1	9.94186965605302e-07	8.59542138288139e-05
RASIP1	1.01314609375133e-06	8.70559766201294e-05
EIF4ENIF1	1.02998231152391e-06	8.79630015561215e-05
APBA2	1.05024481204009e-06	8.86128243218886e-05
ZFP36L2	1.04901046452109e-06	8.86128243218886e-05
USP8	1.06126717291234e-06	8.87765702653342e-05
VPS13B	1.07120094065697e-06	8.87765702653342e-05
ATAD5	1.06636465517151e-06	8.87765702653342e-05
SSFA2	1.12185810381654e-06	9.18873953336519e-05
HIVEP1	1.11719448647977e-06	9.18873953336519e-05
ADGRL3	1.14506604339806e-06	9.32429942083331e-05
SOGA3	1.19764117694163e-06	9.69604758626849e-05
GCFC2	1.2176205684867e-06	9.80114579438201e-05
ARHGAP32	1.22947297414754e-06	9.83999912909171e-05
TEX264	1.23936464696103e-06	9.86280752575919e-05
SRRM2	1.27670265801803e-06	0.000100457850720228
TLN1	1.27047075403634e-06	0.000100457850720228
SPICE1	1.28823575852083e-06	0.000100618440751434
TET2	1.29311147617151e-06	0.000100618440751434
RAF1	1.32102365099772e-06	0.00010222241577831
TAF4	1.34431969014333e-06	0.000103453525165645
EXPH5	1.36888843601864e-06	0.000104768587075831
ROBO1	1.38882759793216e-06	0.00010571695291651
C4A	1.42976790169995e-06	0.000108245022871403
LATS1	1.4622834115442e-06	0.000109522681615444
NAV1	1.45893037599814e-06	0.000109522681615444
HRAS	1.51858390696531e-06	0.000113134501068916
CCDC120	1.61381825892032e-06	0.000119593325579037
RLF	1.68473568719956e-06	0.000124191621236406
ACOX1	1.72004881151745e-06	0.00012613090918384
