gene	p	fdr
IDH1	6.96894575049374e-26	7.3494501884707e-22
AHNAK	6.69173742551992e-20	3.52855314447665e-16
ATM	3.19987155489829e-18	1.12486151393191e-14
MDN1	4.50426974630754e-16	1.18755071861398e-12
POTEE	1.64501840706336e-13	3.46967282417804e-10
PIK3R1	2.87245551363464e-13	5.04881930779849e-10
PRPF8	5.4599766139274e-13	8.22584476721119e-10
BRAF	1.0630771701384e-12	1.40140147953495e-09
CENPF	1.90697855231468e-12	2.23455509030118e-09
MTOR	4.76809877618912e-12	5.02843696936905e-09
DSP	1.91578613700564e-11	1.83671641826014e-08
TTK	2.53582133482226e-11	2.22856431641963e-08
SF3B1	9.649078214353e-11	7.82762914219744e-08
CHD1	1.21251858601367e-10	9.1337292915001e-08
RGPD1	1.6480473405764e-10	1.15868715024791e-07
PIK3CA	1.78209688715466e-10	1.17462461074581e-07
SKIV2L2	2.80504146978829e-10	1.74011572590514e-07
ANAPC1	3.24770096954609e-10	1.90279191249073e-07
NBPF20	4.39583704260186e-10	2.43992091848838e-07
ROCK2	6.02513803093786e-10	3.17705528371353e-07
SMC2	7.12251731753407e-10	3.57686036336735e-07
N4BP1	7.91039489504139e-10	3.79195566195939e-07
DOCK2	1.13185477514183e-09	4.97355852443572e-07
RAD50	1.11043244857073e-09	4.97355852443572e-07
CTNNB1	1.58475930466784e-09	6.68514865081081e-07
AKT1	3.03665368526269e-09	1.23171345249155e-06
CPS1	3.81342843032828e-09	1.43630057950864e-06
ZNF91	3.757524830431e-09	1.43630057950864e-06
RICTOR	4.27213191319453e-09	1.53169367397688e-06
COPA	4.35717904601806e-09	1.53169367397688e-06
POLA1	5.65162661518508e-09	1.82909220890709e-06
RGPD2	5.54963532010775e-09	1.82909220890709e-06
POLR2A	5.72350112781472e-09	1.82909220890709e-06
EEF1A1	6.55740300893435e-09	2.03395212153593e-06
RNF213	9.47279513772216e-09	2.85428850064051e-06
ABCC1	9.76666435181e-09	2.86109006261634e-06
LUZP1	1.08567985350092e-08	3.01304729868965e-06
MKI67	1.05859447669683e-08	3.01304729868965e-06
UBA6	1.16543071079628e-08	3.15144417334809e-06
DCTN1	1.24868984937524e-08	3.29217078787783e-06
ZNF492	2.68677805810294e-08	6.74637176208419e-06
ACACA	2.66379415035347e-08	6.74637176208419e-06
NBPF11	4.24658543081997e-08	1.04149976635878e-05
POTEH	4.45418816188617e-08	1.06758791716481e-05
BRCA2	5.57627812112034e-08	1.27842237098555e-05
JAK1	5.51140015459833e-08	1.27842237098555e-05
GOLGB1	6.69356178237644e-08	1.50192133099876e-05
SMARCA4	6.94122722629157e-08	1.51671512903731e-05
POLR2B	7.04713079108933e-08	1.51671512903731e-05
PPP2R1A	7.9413277805329e-08	1.67498485547e-05
ZNF644	8.8400745453304e-08	1.7590080406614e-05
PIK3R2	8.64680329473131e-08	1.7590080406614e-05
NGLY1	8.70851079970719e-08	1.7590080406614e-05
DIS3	1.00286770591083e-07	1.95856348639549e-05
CUL1	1.16775278253136e-07	2.23911288083195e-05
MYOF	1.31557904048554e-07	2.43405202823868e-05
HSPA6	1.31525295534325e-07	2.43405202823868e-05
RGPD4	1.3993166932488e-07	2.54434376672445e-05
SACS	1.61782087788764e-07	2.89178626749205e-05
ZNF107	1.98881976557718e-07	3.49568220796283e-05
RCC2	3.11285901300583e-07	5.38167395920646e-05
RGPD8	3.37216515698407e-07	5.7359441525087e-05
SMAD4	3.68654576352001e-07	6.07473619095031e-05
NCAPD2	3.68521100021267e-07	6.07473619095031e-05
PLXND1	3.82494945699837e-07	6.20583338053919e-05
ASPM	4.13610697419767e-07	6.60899759846798e-05
SLC3A2	4.87554460483155e-07	7.56139608861081e-05
EIF2S2	4.83701667824518e-07	7.56139608861081e-05
STAT5B	5.78254962493576e-07	8.81075610473771e-05
IKBKB	5.84821664452532e-07	8.81075610473771e-05
C16orf62	5.97827750707124e-07	8.8382547655228e-05
TOP1	6.03408252529529e-07	8.8382547655228e-05
STRIP2	6.48868448684069e-07	9.12395554642959e-05
GRB10	6.48202291527694e-07	9.12395554642959e-05
ZNF93	6.33961248982327e-07	9.12395554642959e-05
RAD54L2	6.9875013329652e-07	9.69607750755934e-05
C16orf58	7.14530200757001e-07	9.78627986647186e-05
DICER1	8.11613326978263e-07	0.000109734283927087
IFT140	8.84524704040931e-07	0.000118078449731844
NVL	9.99455292956965e-07	0.000131753193994052
CDK4	1.07827048933213e-06	0.000140388155314773
LRIF1	1.11870428834293e-06	0.00014387628566908
PIK3C2B	1.17073999676029e-06	0.000148754506094385
PHF8	1.22372299990114e-06	0.000153635509011398
DYNC1H1	1.29721227766381e-06	0.000160945890355795
NCAPD3	1.4191513591406e-06	0.000174027560854613
ATR	1.47776246517798e-06	0.00017913198802031
FAT1	1.50114719117815e-06	0.000179898844070054
TRIP12	1.60373861903253e-06	0.000190034016587832
RDX	1.7204277880575e-06	0.000201595905031716
SPTBN1	1.82118331536689e-06	0.000211057134547904
CCDC93	2.03176608112747e-06	0.000230397904210434
GTF2I	2.02871926681985e-06	0.000230397904210434
PIK3CB	2.10255401225874e-06	0.000235888666098731
CHD4	2.14767006156407e-06	0.000238413983886891
PAM	2.19848527365203e-06	0.000239873530217073
SMC1B	2.22304246289845e-06	0.000239873530217073
DNAAF5	2.22905423490169e-06	0.000239873530217073
POTEF	2.27729365171047e-06	0.000242589281322613
SF3B3	2.32935466669937e-06	0.000242990650522953
TKT	2.33698521482618e-06	0.000242990650522953
ADAR	2.35018455844312e-06	0.000242990650522953
AKAP8L	2.69112168615034e-06	0.000275539507787781
COG2	2.93849671206314e-06	0.000297974868513633
POTEM	3.01609349395477e-06	0.00029830947621594
PSIP1	2.99751056956841e-06	0.00029830947621594
ZNF506	3.0266559790542e-06	0.00029830947621594
NIN	3.24870791751571e-06	0.000317230312019636
PPP2R5D	3.38829965371728e-06	0.000321918992325247
OSBPL8	3.336791644934e-06	0.000321918992325247
PMS1	3.36020061598036e-06	0.000321918992325247
SMC6	3.43364082355724e-06	0.000323314072546738
BCOR	3.6500888708561e-06	0.000340653426832287
MYBL2	3.80561792693528e-06	0.000348991710064865
HPS5	3.78675681445616e-06	0.000348991710064865
CLTCL1	3.96185536610354e-06	0.000357108775136136
PRR14L	3.95756237321743e-06	0.000357108775136136
RANBP2	4.14646932982152e-06	0.00037058191146015
PRAMEF12	4.21108886814747e-06	0.00037319448070154
TRIM46	4.27891887313055e-06	0.000376045653633623
GCN1	4.36463116205871e-06	0.000380408266405546
TBC1D31	4.48558968304965e-06	0.000387746137683948
TOP2B	4.75943044506636e-06	0.00040807279246886
TSEN2	4.87157241786146e-06	0.00041431937676425
RNGTT	4.93217251238458e-06	0.000416117530524863
NIPBL	5.31295749194152e-06	0.000444686108809645
PXDN	5.85666098973193e-06	0.000478793386028783
MAP3K15	5.8006546241909e-06	0.000478793386028783
STAT6	5.82516968838878e-06	0.000478793386028783
RRM1	5.94877752923623e-06	0.000480807637440092
MTR	5.97248250565636e-06	0.000480807637440092
EXOSC10	6.13604339912937e-06	0.000490232679448624
MED12	6.74857637532347e-06	0.000533474619995516
GTF2IRD1	6.77845619944994e-06	0.000533474619995516
SPICE1	7.03953406877371e-06	0.000549917972513241
RGPD5	7.39573789134695e-06	0.000573495969133418
RTF1	7.56160066125206e-06	0.000582077668420177
RNF31	8.05774303690085e-06	0.000615775058457655
EXOC2	8.42102796561899e-06	0.000634344006610128
MAP2K2	8.4151915834111e-06	0.000634344006610128
UBR5	8.48355494387345e-06	0.000634521776156663
SNRNP200	8.8964540709784e-06	0.000660718342482663
IDH2	9.0054658720392e-06	0.000664137364241436
SLC4A7	9.11715460517171e-06	0.000667704947681534
RRP12	9.77704996022687e-06	0.000709950430496608
NCOA4	9.82863292741369e-06	0.000709950430496608
NOMO2	9.93428114045797e-06	0.000712700196648093
VPS13A	1.02779330204752e-05	0.000732372173202239
KDM3B	1.11629481388971e-05	0.000790096987065828
CPNE3	1.1319089022145e-05	0.000795807418850275
PDE3A	1.18004463433177e-05	0.000824155676401511
PLEC	1.23276397605149e-05	0.000854069537334272
ZMYM2	1.23907300599416e-05	0.000854069537334272
EGFR	1.27199001157312e-05	0.000871065367665594
LIMK2	1.29495636685558e-05	0.000878666012200029
ZNF180	1.2998389417674e-05	0.000878666012200029
TCAF1	1.30808423966816e-05	0.000878666012200029
CCDC14	1.35259125512899e-05	0.000902811859277869
HECTD1	1.38903570986779e-05	0.000921306326809162
WFS1	1.44210411455293e-05	0.000950526874504699
TRMT2A	1.46708772112395e-05	0.000960988019066659
ZNF45	1.51014949942057e-05	0.00098308868030181
TFAP2A	1.53104771371565e-05	0.000990578477843265
KIF18A	1.60191037387462e-05	0.00103010651237084
DPYD	1.61749211260507e-05	0.00103293264979697
MYBBP1A	1.62589436626491e-05	0.00103293264979697
MTHFR	1.66329091438266e-05	0.00105036323251973
ZNF208	1.69551744016129e-05	0.00106292424681164
RINT1	1.70333963314212e-05	0.00106292424681164
