gene	p	fdr
PTEN	6.56846595817806e-19	6.14151567089649e-16
KRT17	4.70243150174947e-14	2.19838672706788e-11
PTPN11	8.4890290966415e-13	2.6457474017866e-10
GLUD1	1.56514711354057e-10	3.65853137790108e-08
MSH2	4.02707758868812e-10	7.53063509084678e-08
KRT6A	3.1440616065266e-09	4.89949600350395e-07
TPM3	5.56185493627303e-08	7.42904909345041e-06
CREBBP	2.28248868629746e-07	2.66765865211015e-05
CDC73	4.35536473910507e-07	3.70206002823931e-05
HADHA	4.2156106771356e-07	3.70206002823931e-05
CSNK2A1	3.90148251445975e-07	3.70206002823931e-05
KRT12	7.35819653313983e-07	5.73326146540478e-05
KRT16	1.0714798074095e-06	7.70641246098368e-05
AFF4	1.30570500066966e-06	8.7202441116152e-05
MFN2	1.00781260787391e-05	0.000623974468725039
SLC25A1	1.06776379674873e-05	0.000623974468725039
DKC1	1.1589299976011e-05	0.000637411498680606
LMNA	1.59093925331001e-05	0.000826404556580475
NDUFB3	2.42500333379659e-05	0.00119335690373675
NBAS	5.11231343659878e-05	0.00231807085924348
TUBA1A	5.20636235765916e-05	0.00231807085924348
MRE11A	7.86063366501223e-05	0.0033407693076302
TMEM127	9.53483419717486e-05	0.00387611738015587
MAPT	0.000102691446035951	0.0040006875851506
KRT2	0.000384381792670162	0.0143758790458641
SMAD4	0.000424335463331382	0.0152597560851862
IDH2	0.000559533110936247	0.0186844092401926
PGK1	0.00054488102284412	0.0186844092401926
BCL11B	0.000656812281383454	0.0211765338997769
KRT10	0.000734825128646329	0.0229020498428106
EP300	0.000765931131079159	0.0231014712115811
YARS	0.000878067211086846	0.0256560263239438
SNCA	0.00118884002268919	0.0336838006428603
GPD2	0.00137059329171692	0.0376913155222154
DARS2	0.00179203040779368	0.0478728123224883
CUL3	0.00222923515205769	0.0560324967924754
ACTL6A	0.00228759797168951	0.0560324967924754
ACTB	0.00223157275334269	0.0560324967924754
IGHMBP2	0.00242803083148235	0.0560324967924754
CALM1	0.00245703996630106	0.0560324967924754
ACO2	0.00244575057894941	0.0560324967924754
YWHAG	0.00285813744665858	0.0627112083943598
GNB3	0.00288404487802938	0.0627112083943598
SF3B4	0.00339703895284589	0.0705829204646868
USP11	0.0033767118329384	0.0705829204646868
MYL3	0.00393598165932167	0.080003105466647
SDHB	0.00478441224541379	0.095179264882168
ALDH3A2	0.00500653293628627	0.0975230894880764
CALM2	0.0054026185150077	0.100399103008732
SYNE1	0.00590582958874895	0.100399103008732
AGK	0.00539390040223875	0.100399103008732
YARS2	0.00568453253155629	0.100399103008732
KARS	0.00578507569413451	0.100399103008732
ARHGDIA	0.00582976769860904	0.100399103008732
LMNB2	0.00577960875470358	0.100399103008732
RPSA	0.00608056768588026	0.101523764041036
KRT71	0.00669657903735628	0.109847392981195
