gene	p	fdr
FGFR2	1.21252154216547e-62	3.60603906640011e-59
BRCA1	9.97197912348251e-58	1.48283329566185e-54
PTPN11	1.6450939691754e-55	1.63083648810921e-52
MYH7	3.89434546454719e-40	2.89544585289083e-37
RAF1	2.24289550012778e-36	1.334074243476e-33
MLH1	2.23651388369074e-34	1.10856538168271e-31
PTEN	1.29991888238899e-26	5.52279822317837e-24
LMNA	6.17742692458714e-21	2.29645845921527e-18
MFN2	1.02343676145768e-16	3.38188992063906e-14
KRT17	1.54077725897262e-16	4.58227156818459e-14
RBM20	3.79522835671968e-16	1.02609173935312e-13
BRCA2	8.91849304757291e-16	2.21029986029015e-13
MSH2	1.38320989135443e-15	3.16435862837544e-13
CCND2	1.16268202736937e-14	2.4698688209975e-12
CREBBP	2.71440704438355e-14	5.38176436666445e-12
KRT9	9.50795455733429e-14	1.76729105334451e-11
RET	1.29034187823481e-13	2.25733926227667e-11
DNM2	3.26200187079356e-13	5.38955197985558e-11
PLCB4	7.26515782526326e-13	1.13718838801752e-10
ATM	1.18357275508334e-12	1.75997268680893e-10
KRT6A	1.40482361787308e-12	1.9894978283593e-10
TP53	2.09255438208103e-12	2.82875306014045e-10
KCNH2	2.52003746894501e-12	3.25851801419237e-10
CBL	6.43438320845023e-12	7.97327319247125e-10
GNAO1	1.46169084711067e-11	1.73882743172286e-09
ATP1A3	1.69523981053471e-11	1.93909353712701e-09
COL6A1	2.56373976366647e-11	2.82391187301632e-09
CFTR	5.45594888774125e-11	5.60442926578477e-09
NF1	5.46497810046262e-11	5.60442926578477e-09
KRT16	5.91034405333003e-11	5.8591210715345e-09
MSH6	1.08377990098713e-10	1.0397294921083e-08
ZBTB20	1.54647589453405e-10	1.43725603448259e-08
BSCL2	1.66318182903058e-10	1.4988796241021e-08
GNB1	2.37941097866028e-10	2.08128477956932e-08
RYR1	3.14557352365537e-10	2.67283875981459e-08
SERPING1	4.83820916353253e-10	3.99689834787382e-08
CHEK2	5.56292499291227e-10	4.4713888997084e-08
RYR2	7.52231955466706e-10	5.87098368064945e-08
STAT3	7.69900348168556e-10	5.87098368064945e-08
APP	9.25858351743818e-10	6.88375684521529e-08
FLNC	1.05099680521591e-09	7.44205833026691e-08
DYNC1H1	1.04087014338244e-09	7.44205833026691e-08
CHD4	1.42678020606258e-09	9.86801007634908e-08
GLB1	1.71395480582951e-09	1.15847763466749e-07
KCTD1	2.3502678671954e-09	1.55326591934202e-07
WT1	2.67246472216098e-09	1.72780653993625e-07
MAPT	2.79403286131071e-09	1.76796887862512e-07
TINF2	4.62802453482476e-09	2.86744686803517e-07
EEF1A2	5.21197576498268e-09	3.16335018878745e-07
INSR	5.56521655429985e-09	3.31019080649755e-07
TRPV4	6.13446051799125e-09	3.57723246676588e-07
MYH9	7.62585477234934e-09	4.36140232557057e-07
GLUD1	8.18254762843108e-09	4.59148993338756e-07
FLNA	8.62848515716619e-09	4.7520583069282e-07
TSC2	8.94641486132232e-09	4.83757050864956e-07
COPA	1.1541245760038e-08	5.91787325695744e-07
COL6A3	1.12355627022904e-08	5.91787325695744e-07
KRT2	1.14330505425379e-08	5.91787325695744e-07
MYBPC3	1.50543027824483e-08	7.58838923305108e-07
BBS1	1.98103213430241e-08	9.65834355313996e-07
KCNQ2	1.97043163586354e-08	9.65834355313996e-07
MED13L	2.24457977373843e-08	1.05958416620605e-06
HSPB8	2.24026539517103e-08	1.05958416620605e-06
STAT1	2.83036356453736e-08	1.31523456889595e-06
GJB2	2.8870234470675e-08	1.32092426639673e-06
SASH1	3.46264744440305e-08	1.53700201487383e-06
COG4	3.41259570129758e-08	1.53700201487383e-06
GNE	4.28883049672369e-08	1.87573263194945e-06
CDKL5	4.41209439580088e-08	1.90167662798722e-06
CASR	5.21102493069148e-08	2.21394116341092e-06
STXBP1	5.49760592691119e-08	2.30280000375125e-06
DSP	9.06050019602297e-08	3.74248994207949e-06
VCP	9.6250341950384e-08	3.92121256110195e-06
ZAP70	9.87734177879821e-08	3.96962357434404e-06
GJA1	1.10569106117452e-07	4.38443362124401e-06
BRIP1	1.29643526137284e-07	5.07315587805636e-06
KRT12	1.34133649977631e-07	5.18069448095423e-06
NEFL	1.40793973459888e-07	5.36822150089367e-06
WFS1	1.46972447735318e-07	5.53286151347893e-06
WDR62	1.53504968359843e-07	5.70654719877717e-06
MYH11	1.57240938155711e-07	5.77326605030968e-06
SH3BP2	1.73884270643496e-07	6.30648562065556e-06
KLHL7	1.84828886095133e-07	6.62266394273406e-06
GSTP1	1.9375147362887e-07	6.85972479252689e-06
BRAF	2.67913702183052e-07	9.37382765049878e-06
FH	2.80888548621926e-07	9.7135179488559e-06
IFT140	3.00179059940128e-07	1.02612933823212e-05
NAGA	3.13950903108829e-07	1.06101134755188e-05
LRRK2	3.17841025553861e-07	1.06208899999684e-05
PDE3A	3.36645486195923e-07	1.10400458558324e-05
HUWE1	3.37809069563131e-07	1.10400458558324e-05
FOXL2	3.42489544554019e-07	1.10713467989527e-05
ATR	3.59058383240748e-07	1.13599960825318e-05
KRAS	3.58465296344187e-07	1.13599960825318e-05
BRF1	4.16209343179595e-07	1.29025381368054e-05
DNMT3B	4.16490807375022e-07	1.29025381368054e-05
ACTN2	4.43759795076423e-07	1.36055838201782e-05
CDH1	5.02874903046886e-07	1.52607138945045e-05
MECP2	6.10272268091424e-07	1.83328255081201e-05
ERCC2	6.83464736436523e-07	2.03262412616222e-05
MTR	8.1077102206562e-07	2.38735942536946e-05
PIK3R1	8.74829852150707e-07	2.55072939244726e-05
COL1A1	1.0334555167964e-06	2.98397738539078e-05
TEK	1.07446063358605e-06	3.07254415796627e-05
FBN1	1.14553247097038e-06	3.24458435111038e-05
TFAP2A	1.20465594675407e-06	3.37985545815718e-05
LRP5	1.23211358053486e-06	3.42458484907539e-05
JPH2	1.42544151097642e-06	3.92524356818877e-05
SMARCA2	1.44166843976779e-06	3.93350636685266e-05
FARSB	1.47570540464841e-06	3.98977079402217e-05
FLI1	1.71238056932334e-06	4.58794577762848e-05
CDC73	1.96828002578596e-06	5.22648642561378e-05
TAF6	2.37590554344254e-06	6.24335296478092e-05
CDKN1C	2.3932153261097e-06	6.24335296478092e-05
PEX1	2.58061741365779e-06	6.67370103323327e-05
STAG1	2.85481441705353e-06	7.31915351406655e-05
ARMC4	3.2779321061919e-06	8.33211118274761e-05
AFF4	4.00101540258505e-06	0.000100659212031098
VARS	4.05134359148585e-06	0.000100659212031098
PMS2	4.06156874368924e-06	0.000100659212031098
KMT2D	4.24930639017669e-06	0.00010444162978831
MPZ	4.49866641893698e-06	0.000109664212540316
DKC1	4.61308296127579e-06	0.000111539095340115
SPTAN1	4.7517442188592e-06	0.000113965220216833
GLE1	4.82808286800219e-06	0.00011430445700832
EARS2	4.84275776161678e-06	0.00011430445700832
DNMT1	5.19942525991546e-06	0.000121756619866052
CPS1	6.06687848924161e-06	0.000140960129898473
HADHA	6.30882237361515e-06	0.000144552171666379
ACTA2	6.318689413796e-06	0.000144552171666379
BLM	6.4480099006646e-06	0.000146384591179973
FIG4	6.59144354245652e-06	0.00014850722041868
CAMK2B	6.8542174467024e-06	0.000153266486364609
AHCY	7.19481910367e-06	0.000159682029957571
EIF2B5	8.23485411839134e-06	0.000181410786282191
SETX	8.7916540476446e-06	0.000191581616430039
FUS	8.87540312763547e-06	0.000191581616430039
KARS	8.88979928290028e-06	0.000191581616430039
HTT	9.2082901646609e-06	0.000194885342066492
CRYAA	9.23968837638713e-06	0.000194885342066492
LOC102724652	9.23968837638713e-06	0.000194885342066492
SYNE1	9.56749081691714e-06	0.00020037829358811
F12	1.04450534935253e-05	0.000217227895732477
AKT3	1.06127497636836e-05	0.000217502022707584
NIN	1.05419101814638e-05	0.000217502022707584
SLC25A1	1.06776379674873e-05	0.000217502022707584
GLA	1.0760951515533e-05	0.000217707957872077
TGFBR1	1.11439297954071e-05	0.000223932751429329
IL2RG	1.22256563266583e-05	0.00024402081822471
MALT1	1.24325279520637e-05	0.000246495587529584
NBAS	1.29051085371056e-05	0.000252498636772052
BEST1	1.28765722035696e-05	0.000252498636772052
CSNK2A1	1.31126078155442e-05	0.000254881670872082
UBTF	1.32718765528921e-05	0.000256302343300657
TTN	1.55694496343785e-05	0.000298732536855753
THOC2	1.59070527253705e-05	0.000303253684649051
ALDH18A1	1.631986332842e-05	0.000309141869673383
SLC25A4	1.64599339793052e-05	0.000309821795281352
GNPTAB	1.66372068391593e-05	0.000311189013456979
FGF23	1.83154772489462e-05	0.000340438933364788
PCCA	1.85804159734589e-05	0.000343218367112216
TFRC	1.91246838710506e-05	0.000351091418719164
VPS13D	2.00858857127929e-05	0.000366474994538933
DARS2	2.20398639147602e-05	0.000393849752055704
KRT5	2.20915014093825e-05	0.000393849752055704
TRIP11	2.17984616835872e-05	0.000393849752055704
ELP2	2.21159746446882e-05	0.000393849752055704
AR	2.40804562678116e-05	0.00042628141035995
NDUFB3	2.42500333379659e-05	0.00042674319021959
PEX5	2.44643520217584e-05	0.000427982252427703
CHD3	2.5378195315425e-05	0.000441372823789905
CALM2	2.55327867789644e-05	0.000441479696980466
RLIM	2.70155726729121e-05	0.000464417994966709
HNRNPA1	2.89252742422377e-05	0.000491995690524935
FOXC2	2.90496322799718e-05	0.000491995690524935
GATA1	2.91160865946162e-05	0.000491995690524935
TUBA1A	3.01860919754353e-05	0.000507194562344319
SYT2	3.04713812934464e-05	0.000509111730150054
MET	3.14216975164364e-05	0.000522056583317776
EPRS	3.1799453402623e-05	0.000522494886295033
UMPS	3.16304393463692e-05	0.000522494886295033
TNFRSF1A	3.47400387649916e-05	0.000567675138940028
TRMT10C	3.80680879876187e-05	0.000615313060277602
ACD	3.80691335208738e-05	0.000615313060277602
MYO9A	4.03503120179148e-05	0.000648658529412316
DES	4.08480796840171e-05	0.000653130048281005
POLG	4.19910130242407e-05	0.000667814292695678
VCL	4.29976391341378e-05	0.000680186057366626
POP1	4.34962470055919e-05	0.000684433008437197
SPTLC2	4.59523490672232e-05	0.00071927519013643
SAMHD1	4.66947300068732e-05	0.000727068727960424
PRPF3	4.87417023554163e-05	0.000754988660442751
L1CAM	4.94752472614959e-05	0.000762380235003569
ACTB	5.02121362956556e-05	0.000769746872903504
NFKBIA	5.04887981127672e-05	0.00077001890044805
AAAS	5.07764654571124e-05	0.000770455144231899
WDR35	5.19777151141569e-05	0.000784678805835039
NPC1	5.24037807942804e-05	0.000787115374152474
KRT14	5.44720429429305e-05	0.000814069626694851
NPHP1	5.80514175100785e-05	0.000858929928731212
BIN1	5.78522363694504e-05	0.000858929928731212
LINGO1	5.89227651788001e-05	0.000867506453672037
MAP2K2	6.32079405726723e-05	0.000926011897847918
TWIST1	6.38676297661724e-05	0.00092654795572974
ALAS2	6.36593061087052e-05	0.00092654795572974
GATA2	6.5159589485132e-05	0.000940702034605741
IGHMBP2	6.62313373329329e-05	0.000946980755904531
TRAF7	6.61385228907363e-05	0.000946980755904531
DNAJB2	7.02176376136603e-05	0.000995699357762618
PHIP	7.06430949858481e-05	0.000995699357762618
PRKAG2	7.03786050624184e-05	0.000995699357762618
WAS	7.23209052499032e-05	0.00101453949157176
EGFR	7.6088098879335e-05	0.0010623756153387
SERPINA1	7.91287742952391e-05	0.00109966810632729
MAT1A	8.50533669418877e-05	0.00117650564318686
ZMYND11	8.6801011193521e-05	0.00119512133004413
FOXP1	8.75492917541545e-05	0.00119986909528505
GMNN	9.24556195151805e-05	0.00126129822219333
TMEM127	9.53483419717486e-05	0.00129482177636521
MME	9.71452405943891e-05	0.00131322702512597
SOX10	0.000101424488612877	0.00136487072006649
LARS2	0.000108036024830322	0.00144729341371791
KLHL3	0.000113107091045054	0.00150843268505826
KIF1A	0.000129430475806955	0.00171842069218699
LAMB2	0.00013054854749782	0.00172556169003785
YARS2	0.000131682821242719	0.00173285270077808
AHDC1	0.000137372384262779	0.00179186609998906
PIGT	0.000137088220405723	0.00179186609998906
SDHA	0.000139557433217044	0.00181241836850431
NUP133	0.000146771746487851	0.00189782249589073
STK11	0.000155086918945021	0.00199666015992421
ETV6	0.000156106728357609	0.00200112676782556
CEP120	0.000157358230279632	0.00200851234700269
NANS	0.000159094444925794	0.0020219952102962
PDE10A	0.000168659979076614	0.00212540160073665
POLE	0.00016824801646209	0.00212540160073665
SDHB	0.0001723993692924	0.00216335748639492
CDT1	0.000175482235200777	0.00219279061969374
SGPL1	0.000186148134678976	0.00231633703989654
SCN1B	0.000188676896193474	0.0023380212053308
EIF2B4	0.000197655341069275	0.00243911611759345
PSAP	0.000201122742895326	0.00247164891475495
RHBDF2	0.000203341619054957	0.00248863364226108
RAC2	0.000207136832191978	0.00252469237270058
PROS1	0.000209568860905633	0.00254390935646267
KRT10	0.00022000620476177	0.0026597498087866
SLC9A3R1	0.000225609190549686	0.00271644426192213
TNNT2	0.000227204234866809	0.00272461852618505
MCCC1	0.000232925579425557	0.00278201073578958
NSD1	0.000246404680427638	0.00291955187088365
PLA2G6	0.000245520843257061	0.00291955187088365
HNRNPH2	0.000250858689017176	0.00296053071879795
DSTYK	0.000256470933472604	0.00301480061718389
VPS13C	0.000260145666117167	0.00304595752374982
ACTG2	0.000265830340448508	0.00306564353769643
POLR1C	0.000266763247503087	0.00306564353769643
MUT	0.00026305596641643	0.00306564353769643
UMOD	0.0002669810612856	0.00306564353769643
KRT13	0.000264404541849008	0.00306564353769643
AFG3L2	0.000269715318174711	0.00308512829327535
CDH2	0.000274798312328019	0.00313122674660356
CTNNB1	0.000278565905302138	0.00315001902041277
PIBF1	0.000278429647983077	0.00315001902041277
H3F3A	0.00028696620782791	0.00322051887577435
MLH3	0.000286594977315031	0.00322051887577435
RERE	0.000293946180860244	0.0032854141964998
ABL1	0.000294958167607749	0.0032854141964998
BMPR2	0.00031506709652287	0.00349505227702715
GRIN2A	0.00031612947630138	0.00349505227702715
FCGR3A	0.00032180742720125	0.00352262068564335
GLUL	0.000324545416229414	0.00352262068564335
EIF2AK3	0.000323500038487689	0.00352262068564335
RPSA	0.000322393183983863	0.00352262068564335
DNM1L	0.000323513012197916	0.00352262068564335
ALB	0.000326534140499164	0.00353131830488914
SUCLA2	0.000328445434892665	0.00353911856293763
NTRK2	0.000332898524243226	0.00357415238664027
CDK4	0.000335295552687431	0.00358693875428928
ZAK	0.000337915975466946	0.00360201473490573
REV3L	0.000350569219784764	0.00372354592728531
APOE	0.000355534427655238	0.0037628447966074
NF2	0.000357286897674809	0.00376798309817334
TFAM	0.000362811774801627	0.00381272868643123
ALPL	0.000379438315784063	0.00397341391247114
ABCC2	0.000393648748050817	0.00409086844698428
ALDH6A1	0.000394781185031772	0.00409086844698428
CANT1	0.000392551928995989	0.00409086844698428
ZMPSTE24	0.000396415596396772	0.00409354161001389
TUBGCP6	0.000401461783360394	0.00413130568759105
DCX	0.000404063820907296	0.00414374414958034
PLOD2	0.000406345469573936	0.00414917550564595
NCAPD3	0.000407383741643785	0.00414917550564595
ATP2C1	0.000413115193913711	0.00416476131084534
DPYSL2	0.000412934109277428	0.00416476131084534
CSNK1D	0.00041088385178894	0.00416476131084534
GARS	0.000414528529260484	0.00416489137169148
VWF	0.000433615288680559	0.00434199282335348
BMP15	0.00044071189039808	0.0043982455102144
NUP214	0.000451633867522987	0.00447719707337788
PRNP	0.000450350721008305	0.00447719707337788
BUB1B	0.000460270855704068	0.00454765955104285
TRPC6	0.000464370508110252	0.00457297314940361
PRKAR1A	0.000468007096523316	0.00459357460415954
ACTC1	0.000480751170740587	0.00470313809796877
APC	0.000488711330644585	0.00476533605684261
MEN1	0.000495595689377264	0.00481273080553375
PKP2	0.000496808459078299	0.00481273080553375
PSAT1	0.000500111631999602	0.00482899997911304
CASQ2	0.00050386788841009	0.00483388096816647
DHX30	0.00050250560143702	0.00483388096816647
ALDH2	0.000514774323555555	0.00492263292043158
INCENP	0.000525611832011983	0.00501015893719115
AGRN	0.000529218790681524	0.00502842390890368
SCNN1B	0.000550644157502164	0.00521533670194725
MYL2	0.000559947763776529	0.00528661793482983
LAMA4	0.000566894570216404	0.00533526725260628
ACTN1	0.000579002502134633	0.00543202978343343
TLE6	0.000587186512573301	0.00549029639298893
USP11	0.000588905362933245	0.00549029639298893
RBPJ	0.000597870729885142	0.00555646109587004
FGFR3	0.000606393947900228	0.00561811713724386
TARDBP	0.000609602485446334	0.00563030370098571
TYRP1	0.000624833465204519	0.00575311060531963
FMN2	0.000639307674144327	0.00585015699355455
ATP7A	0.000639291507287124	0.00585015699355455
STOX1	0.000642353919783407	0.00586000170992593
ZFHX3	0.000660162033215671	0.00600404246722754
DNAL1	0.000665342969687082	0.0060327133897847
GFER	0.000669921838789238	0.00605576762479998
GALE	0.00068608237843316	0.00618305755594005
MYO5A	0.000691675180436354	0.00619590959824614
PIK3R2	0.000691277772737082	0.00619590959824614
VHL	0.000704765816297572	0.00629421482783477
ZEB2	0.000708758413395785	0.00631092072287145
JAGN1	0.000711865787973118	0.00631966821920015
ETFDH	0.000720042852439635	0.00637323643796272
MYLK	0.000723662742027765	0.00638627001421535
BAG3	0.000734730187181903	0.0064485018832229
IDH2	0.000735051156157553	0.0064485018832229
ALDH3A2	0.000765181888597272	0.00669309099025967
MYD88	0.000771031651665745	0.00671542792372055
PCCB	0.000772251630770824	0.00671542792372055
MAP2K1	0.000792541303705284	0.00687177212017351
BCS1L	0.000798674775037353	0.00690482203767758
KIF5A	0.000827295318663255	0.0071315254426218
HIVEP1	0.000831980515888036	0.00715118512789312
ADAR	0.000876623282388325	0.00751319205136276
TBL1XR1	0.0008882121105114	0.007561716137398
CEP41	0.000886812451772254	0.007561716137398
SMAD4	0.000889912793574076	0.007561716137398
ATRX	0.000902002734006655	0.00764261005964613
BICD2	0.000925759847312326	0.00777742877374818
MRE11A	0.000923265596321182	0.00777742877374818
RB1	0.000921563705734167	0.00777742877374818
MYO1E	0.000939863424560417	0.00787367274547234
TUBB2A	0.000947526287967518	0.00791557073150393
CDKN2A	0.000951915267859372	0.0079299608028397
CIC	0.000977312373328196	0.0081187904979834
CLTC	0.00103158867710116	0.00854580703537284
ERCC6	0.00106659923270247	0.00881129477238095
AMACR	0.00107097940086056	0.00882297157384852
EPG5	0.00111781555734797	0.00918337974462118
DNAJC13	0.00113110139810222	0.00926692991172454
NIPBL	0.00114055193390779	0.00931868530615874
TUBB	0.00114781587839359	0.0093267880391873
TUBB4A	0.00114682647783837	0.0093267880391873
CDCA7	0.0011833303928964	0.00956311029476604
PC	0.00118020325839061	0.00956311029476604
TPP1	0.00120305393646979	0.0096961582847186
CACNB2	0.00121840946093789	0.00979337766710615
CNGA3	0.00122584743422556	0.00982660449969496
CCDC88C	0.00123484578869034	0.00987212735366958
KDM2B	0.00124481709871678	0.00992516367716811
CAMK2A	0.00127680841153836	0.0101530166200938
SLITRK5	0.0013132209504952	0.0104147176180606
IL21R	0.00132142532428653	0.0104519120064578
SPRY4	0.00133007602201424	0.0104924299455447
CHSY1	0.00134237668166283	0.0105614504001727
SLC44A4	0.00134664430183274	0.010567071645516
ABCD1	0.00137305433888877	0.0107459568522505
ANTXR2	0.00138579409496428	0.0108171959013747
KRT8	0.00144730621682541	0.0112677714367507
FUK	0.00145885056953888	0.011327993717516
TMEM173	0.00150679332848616	0.0116698004138485
CACNA1C	0.00164262788281491	0.012688767074004
ARF1	0.00167988723161375	0.0129429653544541
