gene	p	fdr
CTNNB1	2.44761645570115e-78	3.76051792253924e-74
TP53	7.97741242794754e-42	6.1282482271493e-38
BRAF	3.65813086691922e-37	1.8734507546449e-33
IDH1	1.16158013019424e-35	4.46162928007609e-32
TTN	2.0140996166416e-30	6.18892530201631e-27
PTEN	5.15945565906835e-27	1.3211646124321e-23
NRAS	4.84506036224385e-26	1.06342153436449e-22
PLEC	2.47650337632361e-18	4.75612473422948e-15
EPPK1	5.03564654911068e-18	8.59640817561516e-15
ATM	5.43638667809833e-17	8.35246449223027e-14
DSP	1.60604668996481e-16	2.24320921314721e-13
HRNR	3.61729070466748e-15	4.63133786554259e-12
GOLGB1	4.48532648820031e-15	5.30096585882381e-12
KMT2A	4.91296931028486e-15	5.39163289165833e-12
SRCAP	6.35063001455791e-15	6.50473863624451e-12
PRRC2B	2.44378209210577e-14	2.20860400371253e-11
CIC	2.35096439986243e-14	2.20860400371253e-11
C4B	7.98262772266714e-14	6.81361624061433e-11
CCND1	1.05268000683652e-13	8.51230296054545e-11
CENPF	1.1853114255592e-13	9.10556237114581e-11
AHNAK2	1.31098468447444e-13	9.59141366298345e-11
POTEE	2.08181014815176e-13	1.45386050528198e-10
KIT	2.66507062874551e-13	1.780267180002e-10
MYH2	2.84565416099171e-13	1.82169293872819e-10
MTOR	2.97451533285196e-13	1.8280181429575e-10
ANAPC1	3.85634636950782e-13	2.2788040623507e-10
PRRC2A	4.32235734663283e-13	2.45958141754322e-10
MDN1	5.71589007552986e-13	3.05503274974274e-10
TNRC18	5.76646379475002e-13	3.05503274974274e-10
CHD4	2.35725189820323e-12	1.20722727213315e-09
RGPD1	2.59106387598423e-12	1.24403454345693e-09
SPTAN1	2.58955817532856e-12	1.24403454345693e-09
ARID1B	3.39906079161328e-12	1.58252030310141e-09
AHNAK	5.12202886742495e-12	2.31455445644461e-09
RGPD4	1.12964409797251e-11	4.95881483464277e-09
SACS	1.93553336613333e-11	8.26042628813126e-09
MAP1A	2.14698350398377e-11	8.91520393383962e-09
KIF14	2.2788040254577e-11	8.97342504571863e-09
RGPD2	2.24327189163454e-11	8.97342504571863e-09
HIVEP1	2.39462657429357e-11	8.97342504571863e-09
EP300	2.34054139302432e-11	8.97342504571863e-09
ASPM	2.7176239412525e-11	9.9413271984294e-09
BRCA2	3.41464946403922e-11	1.22006219454648e-08
CAMSAP1	4.32400967303738e-11	1.50986555946696e-08
ATRX	4.42651997465443e-11	1.51131228645757e-08
HUWE1	4.82160445640578e-11	1.61041588843953e-08
SKIV2L2	5.17889945317007e-11	1.69294917443628e-08
XIRP1	6.48217828318691e-11	2.07483723214341e-08
HRAS	6.81757270848134e-11	2.13765687945117e-08
GPATCH8	7.01109509067775e-11	2.15436929946346e-08
ACACA	8.6645747591575e-11	2.61024561960188e-08
MYLK	9.66413809673748e-11	2.80150599468443e-08
SF3B1	9.649078214353e-11	2.80150599468443e-08
POTEF	1.0801480276861e-10	3.07322116617949e-08
SMG1	1.20152870992947e-10	3.35641583624662e-08
KMT2C	1.51923021624926e-10	4.16811661472386e-08
DYNC1H1	1.68981542742977e-10	4.47626279776396e-08
ADAR	1.68362640028409e-10	4.47626279776396e-08
PIK3CA	1.78209688715466e-10	4.64070111427868e-08
ROCK2	1.825031638919e-10	4.66585597817867e-08
