gene	p	fdr
FNDC1	1.60205022458854e-07	0.000266581157371533
PAPPA	4.14206817592124e-06	0.00229746714824432
HCFC1	3.44084238620506e-06	0.00229746714824432
MAP1B	8.17709238941145e-06	0.00340167043399516
MUC16	1.20696742799964e-05	0.00394196901782438
COL14A1	1.42138305931167e-05	0.00394196901782438
DPP6	3.21404536089806e-05	0.00706488335819831
NOTCH1	3.39657853759534e-05	0.00706488335819831
COL4A2	3.83641678498273e-05	0.00709310836690139
PLBD2	4.49482581173301e-05	0.00747939015072373
LOX	9.00302009827751e-05	0.0136191140395762
TLR3	0.00017563882282607	0.022481769321737
LRP11	0.000165598486848068	0.022481769321737
LTBP3	0.000221474407264584	0.0263238152634478
AREG	0.000278502106217969	0.0289642190466688
PODXL	0.000276438328285043	0.0289642190466688
EGFR	0.000305805198267167	0.0299329323480333
ATRN	0.000338052305551733	0.0312510575798935
IGFBP3	0.000364341124931555	0.031908612204532
RAC1	0.000387108754711142	0.032207448391967
APOB	0.000490866142838784	0.0371273300765335
LGALS3BP	0.000471736071988383	0.0371273300765335
C5	0.000566151341460809	0.0409598187909038
DLK1	0.000641425350859337	0.04417341814604
AGRN	0.000690209658531874	0.04417341814604
C11orf24	0.000680939264696411	0.04417341814604
ECE1	0.000799051264687845	0.049245233497799
C7	0.000893033849412194	0.0530717259079247
PLTP	0.000984776640272925	0.0561323201962034
ACP2	0.00103342360208362	0.0561323201962034
SIL1	0.00104573433057831	0.0561323201962034
PTGS2	0.00116897176225719	0.060786531637374
ADAMTS13	0.00120926001129246	0.0609760199633531
PLXDC2	0.00125228271023443	0.0612881891126497
GNPTAB	0.00141835812124716	0.0674327975358649
CTSF	0.00155674064906499	0.0693957777662562
LSR	0.00156379291850714	0.0693957777662562
MYC	0.00158475934802749	0.0693957777662562
CD276	0.00169535374174227	0.0705267156564786
ABLIM1	0.00166560175603124	0.0705267156564786
QSOX1	0.0018163067891974	0.0719603451720111
ERBB3	0.00179756788105643	0.0719603451720111
PMP22	0.00188494799912457	0.0729431039661228
LUZP2	0.00208974627711481	0.0752925830716762
EFNB2	0.00217190143475989	0.0752925830716762
CAMK4	0.00216390718262612	0.0752925830716762
