gene,p,fdr
AHNAK2,2.8244555581759e-77,3.93531392920648e-73
AHNAK,1.37703408196494e-20,9.59310793200877e-17
KIAA1671,4.61793859645854e-13,2.14472461548189e-09
TLN1,2.62537419178284e-12,7.31586772282205e-09
MYH6,2.25935681869602e-12,7.31586772282205e-09
HRNR,5.12498691857426e-12,1.19010737894158e-08
DSP,7.51441505830858e-12,1.49569064296305e-08
VPS13D,1.34045856959011e-11,2.33457615626237e-08
PLEC,3.15173880430075e-11,4.87924186225804e-08
RIF1,4.34047829874619e-11,6.04758841364307e-08
KIAA1551,5.29104271694812e-11,6.70182710683983e-08
SPEN,7.97146353404356e-11,9.25553345165241e-08
SPTAN1,9.15395817785419e-11,9.81093071477249e-08
ATRX,6.02973205799029e-10,6.00087548314134e-07
HGS,8.07659210498244e-10,7.50207718658136e-07
GTF3C2,3.17137285897393e-09,2.5992198849461e-06
POTEF,3.02786815313371e-09,2.5992198849461e-06
U2SURP,5.086899328717e-09,3.93754268594522e-06
BOD1L1,5.61073697171156e-09,4.11444201193985e-06
SRCAP,7.43578033140242e-09,5.18013636787149e-06
PRRC2B,9.69351066300146e-09,6.43141352702854e-06
SCN5A,1.47283312238856e-08,9.32771995192716e-06
PDCD4,1.78834050666092e-08,1.08334557736116e-05
TRPM7,1.92061852511195e-08,1.11499907959936e-05
RAD23A,2.33005143579598e-08,1.29858426619782e-05
FAM21A,2.56261816967138e-08,1.37326765223198e-05
SNRNP200,3.64645139851305e-08,1.88170397538823e-05
BAZ2A,4.09592172755587e-08,1.9022825810012e-05
KIAA1109,4.08949041996069e-08,1.9022825810012e-05
WAPL,3.96152703474291e-08,1.9022825810012e-05
PHRF1,4.69174439559436e-08,2.10871208592956e-05
SMG1,5.21109018503456e-08,2.26894123587771e-05
OSBPL7,5.94194508643191e-08,2.50876123906836e-05
COBL,6.19461366157369e-08,2.53851623960901e-05
KIAA1217,7.68125363672511e-08,3.05769844144694e-05
ADNP,7.90046249135792e-08,3.05769844144694e-05
MYH9,9.57023303702128e-08,3.60383937580588e-05
UBR4,1.23553936282179e-07,4.41901877372103e-05
SAFB2,1.23693197570602e-07,4.41901877372103e-05
FOXM1,1.36359127368603e-07,4.74972930406687e-05
HIVEP3,1.40035974333299e-07,4.7588322692338e-05
AKAP17A,1.5417232541628e-07,5.11448335720246e-05
SETD2,1.67244849840143e-07,5.41912207633189e-05
RBM15,1.82547506438063e-07,5.78053274363985e-05
ADAR,1.91713881436242e-07,5.93588780011368e-05
SIPA1L2,2.34773716085846e-07,7.04657147858845e-05
TOPBP1,2.37701040331341e-07,7.04657147858845e-05
KMT2C,2.46715989698534e-07,7.16144559264515e-05
CLASP2,2.57294404357497e-07,7.31608762431227e-05
ZNF644,2.64471494475577e-07,7.36976266505644e-05
PRPF8,2.74517642206516e-07,7.49971433110469e-05
CIT,2.84301746775854e-07,7.61764661120765e-05
