gene,p,fdr
AHNAK2,3.28163559205938e-47,4.54933142127192e-43
HRNR,4.64845680982388e-21,3.22207783772942e-17
PLEC,7.06787150181727e-19,3.26606342098976e-15
ATRX,6.51430172013845e-12,2.13673377337313e-08
RANBP2,8.93568032027324e-12,2.13673377337313e-08
KMT2D,9.24792803883632e-12,2.13673377337313e-08
TLN1,1.22816145330491e-10,2.43228603245229e-07
NCOR2,2.0933861081327e-10,3.62757645213046e-07
SRRM2,2.7291245476037e-10,4.20376151149223e-07
KIAA1551,3.17465510910422e-10,4.40102437775118e-07
ARHGAP32,5.38498954651951e-10,6.78655546212727e-07
KMT2A,6.44398250130017e-10,6.87176380119418e-07
SND1,6.23623361580906e-10,6.87176380119418e-07
C4B,8.05455128342427e-10,7.97573174586504e-07
KMT2B,1.28578620667981e-09,1.18832361221348e-06
NUMA1,1.45776374495781e-09,1.26306117477188e-06
MKI67,2.39109783415388e-09,1.9498699573456e-06
BRCA1,2.88493404061009e-09,2.22188003360987e-06
UBR4,3.23136672905843e-09,2.3577072086809e-06
FLNC,3.50329061532223e-09,2.4283058900106e-06
SPTBN1,5.06594874538952e-09,3.34424987892071e-06
FSIP2,5.76913663789118e-09,3.63534278232207e-06
TOP2B,6.52602145795476e-09,3.93348849876638e-06
ASPM,9.81863744278477e-09,5.67149045288855e-06
SKI,1.02625580873576e-08,5.69079371060155e-06
ZNF638,1.37165848589033e-08,7.04270429255469e-06
MYCBP2,1.37017076673785e-08,7.04270429255469e-06
TSC2,2.15389228336507e-08,1.06640745443892e-05
MYH9,2.42976313244527e-08,1.12279354350296e-05
UBR5,2.37960954557869e-08,1.12279354350296e-05
PCDHGA5,2.7988364260983e-08,1.25162159274196e-05
NCOR1,3.07198636173202e-08,1.33084209164659e-05
NAV1,3.33233940574057e-08,1.39988549035701e-05
OBSCN,3.48725972716028e-08,1.42187887051832e-05
AHNAK,4.69564418899173e-08,1.77770968800923e-05
ANKRD11,4.71160332234664e-08,1.77770968800923e-05
PRPF8,4.74466266005493e-08,1.77770968800923e-05
MAST4,4.90223917213798e-08,1.78841425377234e-05
BAZ1A,5.57282736815141e-08,1.98092578986367e-05
HNRNPL,6.1305299062109e-08,2.12468840224504e-05
DMD,6.89219168374182e-08,2.33040130028568e-05
GLI1,7.25754029460321e-08,2.39550669295439e-05
XIRP1,8.11931662241461e-08,2.61762991480311e-05
CDC42BPA,8.50890916997999e-08,2.68088654144165e-05
MAP1A,8.92003090848245e-08,2.74796418853983e-05
PALM3,9.33669777015285e-08,2.753928535907e-05
UTRN,9.2810661887322e-08,2.753928535907e-05
ZNF462,9.75806133289417e-08,2.8182500887065e-05
GREB1,1.08049497037119e-07,2.99578035485117e-05
LRBA,1.07770378775799e-07,2.99578035485117e-05
ARHGAP31,1.20751145336434e-07,3.15806113121977e-05
AKAP8L,1.23014716212846e-07,3.15806113121977e-05
ARID2,1.20969868504384e-07,3.15806113121977e-05
POLR1A,1.20759100602802e-07,3.15806113121977e-05
TMEM131,1.58390051715687e-07,3.99229324897193e-05
KTN1,1.76636326101882e-07,4.37269533705428e-05
ACIN1,1.90787477722508e-07,4.6401522871353e-05
NLRP3,2.08515395751372e-07,4.9838774677608e-05
DSP,2.18632177525994e-07,5.13711504583534e-05
PHRF1,2.26407245161475e-07,5.23113939945588e-05
DNM2,2.50958347067059e-07,5.54462184890067e-05
HECTD1,2.51973726091569e-07,5.54462184890067e-05
MYH3,2.45255000576219e-07,5.54462184890067e-05
GPATCH8,3.19119482452636e-07,6.9124271644389e-05
DNM1L,3.59712007607213e-07,7.44281725590865e-05
DOCK7,3.59651430657667e-07,7.44281725590865e-05
ABL1,3.54285607219581e-07,7.44281725590865e-05
PCM1,3.92257734031851e-07,7.99686612776994e-05
TICRR,4.18532690172634e-07,8.40886765777279e-05
ARHGAP21,4.53112914684159e-07,8.97357762323785e-05
DCTN1,4.68916021746841e-07,9.15575043588234e-05
MDC1,4.82241763988368e-07,9.28516329745936e-05
CCDC88C,4.99337440556495e-07,9.4826232033352e-05
N4BP2,5.11193737394729e-07,9.57659294797721e-05
POGZ,5.5617754954538e-07,0.000102803858257968
GOLGB1,5.7950272945839e-07,0.000105705872874759
TNRC6A,5.91175988202399e-07,0.000106434710707141
C4B_2,6.21752775917384e-07,0.000110504599135163
MYH2,7.02629532841587e-07,0.000123298141946619
PNPLA6,7.76841256236922e-07,0.000134616879190156
SNX29,8.2241757868067e-07,0.000140755245595681
LRRK2,9.15666451050036e-07,0.000154803463547642
KAT6A,1.00391507798401e-06,0.000167678008748101
SPEN,1.0756689427214e-06,0.000177523792296984
TNS1,1.13018130533618e-06,0.00018327886540834
ANK1,1.1369820691854e-06,0.00018327886540834
KIAA1671,1.16870308064302e-06,0.000186226790884531
MYH14,1.2167405717483e-06,0.000191678119842576
LUZP1,1.37467805465392e-06,0.000214010893865237
IARS,1.38938039730731e-06,0.000214010893865237
ZAK,1.54372901825451e-06,0.000235172696484201
SSB,1.56652528170598e-06,0.000236051521524891
LCK,1.59040486168326e-06,0.000237072931156076
ZC3H7B,1.66837116185306e-06,0.000246049249114564
CCDC120,1.69998622022418e-06,0.000248072726010188
C4A,1.80236116548163e-06,0.000260272217052831
MYH4,1.87015058084066e-06,0.000265129515048578
TCF20,1.8742474554397e-06,0.000265129515048578
RLF,2.032771919273e-06,0.000284649667847289
ERCC6L,2.12748531217455e-06,0.000294933288826758
DNMT1,2.4938450548954e-06,0.00033401848243328
SMARCA4,2.50375774483753e-06,0.00033401848243328
IGLL5,2.4952901767933e-06,0.00033401848243328
POLR2A,2.50580120991568e-06,0.00033401848243328
PXN,2.66731314080669e-06,0.000352161543533364
JUP,2.75474490125412e-06,0.000360273854397037
PC,2.92133541235754e-06,0.000375382377211151
PVRL4,2.96451477784224e-06,0.000375382377211151
SH3PXD2B,2.97858050156724e-06,0.000375382377211151
TSHZ3,2.95144898826325e-06,0.000375382377211151
PRDM2,3.06092218096413e-06,0.000382284362114467
PACS1,3.13894433266708e-06,0.000388528440033605
TUBA3D,3.30291117682721e-06,0.000401651382845225
U2SURP,3.2884435767297e-06,0.000401651382845225
CHGB,3.42496625614847e-06,0.00041287223659988
MYH10,3.48362154725341e-06,0.000416322806117018
DMXL1,3.51829294366278e-06,0.000416872607504248
FAM83H,3.58736403273278e-06,0.000421373283947022
RBM27,3.6170685125655e-06,0.000421373283947022
HGS,3.67262426662858e-06,0.000424279918402267
RGPD2,3.77702269076498e-06,0.000432734426132851
IRF2BP2,3.81831765534952e-06,0.000433879816853364
TRPS1,4.00140190056936e-06,0.000445738500303536
PCNT,4.01913817629243e-06,0.000445738500303536
RALGAPA2,3.97377531437764e-06,0.000445738500303536
MAST2,4.11716584829131e-06,0.000452986271070337
KDM5A,4.24093122417122e-06,0.000459312730942857
