gene,p,fdr
SRRM2,1.03575813486183e-05,0.00973612646770116
ABR,8.1832313111435e-05,0.0384611871623744
BAG4,0.000205033176710094,0.064243728702496
EHMT2,0.000487314985091882,0.114519021496592
HDAC1,0.00066594152330622,0.125197006381569
CDK13,0.00164737999452695,0.216864453723755
MICAL3,0.00175839997327711,0.216864453723755
MPHOSPH8,0.00184565492530855,0.216864453723755
PARP4,0.00304503397380278,0.225191175783685
MCM4,0.00269377319566519,0.225191175783685
ANLN,0.00302004793509831,0.225191175783685
MFAP1,0.00311434604807225,0.225191175783685
DCAF15,0.00219091373399997,0.225191175783685
AMBRA1,0.00400142938535453,0.250756241482217
RPS6KB1,0.00376604721858891,0.250756241482217
LEMD2,0.00597757845816205,0.35118273441702
CAV1,0.00742552977662835,0.366413616604378
KIAA1429,0.0097450429947973,0.366413616604378
TRIO,0.00799889022452197,0.366413616604378
RBBP6,0.00956094492108328,0.366413616604378
RASL11A,0.00666093029443855,0.366413616604378
SLAIN2,0.009364466348878,0.366413616604378
AEBP2,0.00868133915189982,0.366413616604378
RBM26,0.00831801817736641,0.366413616604378
CDK7,0.00784745506806417,0.366413616604378
TNKS1BP1,0.0117273360945413,0.416929422127905
KIFAP3,0.0119756323377164,0.416929422127905
BUD13,0.0212833672849392,0.418238237276904
SAFB,0.0209730239417851,0.418238237276904
BUB1,0.0175966784685038,0.418238237276904
DKC1,0.0226326711614605,0.418238237276904
NCOR2,0.012515214306454,0.418238237276904
ABI2,0.0174393936025,0.418238237276904
RCC1,0.0221580626122027,0.418238237276904
HIST1H4B,0.0155899144325741,0.418238237276904
CTNNA1,0.021419315732922,0.418238237276904
RPL29,0.0173720195353687,0.418238237276904
STT3B,0.0151237681239598,0.418238237276904
SUN2,0.0207126902124915,0.418238237276904
PHIP,0.0144386247715149,0.418238237276904
SLC4A2,0.0191408752439973,0.418238237276904
HIST1H1D,0.0193927006229995,0.418238237276904
C17orf49,0.0203329419041754,0.418238237276904
IRF2BP2,0.0157606457692506,0.418238237276904
RNF169,0.0195742030173138,0.418238237276904
PUS1,0.0204649880309616,0.418238237276904
MAP1B,0.0226916490437469,0.418238237276904
MSI1,0.0187665464966297,0.418238237276904
OSTF1,0.0185316790662647,0.418238237276904
CCZ1,0.0130370414384135,0.418238237276904
FOSL2,0.0200710172130191,0.418238237276904
MTDH,0.0238296517657759,0.430766781919794
PRPF6,0.0249685114790549,0.442837750760596
PMS2,0.0259010214384158,0.450869632446497
CDC6,0.0264920666024726,0.452773501933168
KIAA1522,0.0362373672722889,0.458455987776965
ACIN1,0.0363531132304529,0.458455987776965
SRRM1,0.0347930430780881,0.458455987776965
MADD,0.028721350509781,0.458455987776965
RUNX1,0.0346794063269832,0.458455987776965
SF3B2,0.030034323868018,0.458455987776965
MASTL,0.0348897474358629,0.458455987776965
TNS1,0.0320928378002051,0.458455987776965
PPP1R18,0.0290007572168355,0.458455987776965
PHF2,0.0280827289489439,0.458455987776965
CTPS1,0.0293015093406221,0.458455987776965
FLNC,0.030483307439574,0.458455987776965
KIF1A,0.0365789351949706,0.458455987776965
PSIP1,0.0346403477017673,0.458455987776965
SPICE1,0.0344492053035131,0.458455987776965
SQSTM1,0.0321837525554763,0.458455987776965
ARHGAP29,0.0324542315435036,0.458455987776965
MAST2,0.0359435851587547,0.458455987776965
OSBP,0.0292166459488246,0.458455987776965
ANP32D,0.0332717006233751,0.458455987776965
PLEC,0.0394347432716423,0.476952495488237
ELAVL1,0.0395769092000878,0.476952495488237
MRPS16,0.0389859507626851,0.476952495488237
EIF4B,0.040713664354282,0.484441069531963
PTPRU,0.04299483825114,0.498952443902119
C9orf142,0.0429255946886399,0.498952443902119
CENPF,0.0442126392217254,0.506827815468559
DNM1L,0.0448428414623992,0.507858686441629
MID1,0.047740894725143,0.516417480960946
OGFR,0.0488948466016214,0.516417480960946
IWS1,0.0478032285186871,0.516417480960946
OSBPL10,0.0468020883311659,0.516417480960946
MSH6,0.0486390243110151,0.516417480960946
HNF1B,0.0470221742197177,0.516417480960946
PRKACB,1,1
ZMYND8,1,1
BAZ1A,1,1
MPHOSPH10,1,1
WDR91,1,1
NF1,1,1
DPYSL2,1,1
PPP6R3,1,1
EML4,1,1
POGZ,1,1
SIN3A,1,1
ELF1,1,1
AKAP12,1,1
MAPK14,1,1
SSFA2,1,1
SPTAN1,1,1
PROSER2,1,1
TOR1AIP1,1,1
KDM2B,1,1
XRCC6,1,1
PPFIBP1,1,1
PACSIN3,1,1
RSL1D1,1,1
KPNA6,1,1
ABCC4,1,1
BCAS3,1,1
NCOR1,1,1
AKAP13,1,1
PGLS,1,1
CSDE1,1,1
ADGRE5,1,1
KIAA1715,1,1
SH3BP5L,1,1
EEPD1,1,1
RALY,1,1
TPR,1,1
AKAP11,1,1
IKBKB,1,1
ZEB1,1,1
SGTA,1,1
