gene,p,fdr
CEP295,1.2781304700676e-13,1.3348794629386e-09
MKI67,1.54983904960588e-10,8.09325951704192e-07
RNF213,2.35998713517143e-10,8.21590187991015e-07
DYNC1H1,4.13671996671619e-10,1.0800975833096e-06
AHNAK,3.34933437053188e-09,6.99608963316698e-06
FASN,8.23185293195678e-09,1.38803646851043e-05
ALMS1,9.30319348867581e-09,1.38803646851043e-05
POTEE,1.2787710032067e-08,1.66943554468635e-05
ROCK2,2.04910133343141e-08,1.9577712425794e-05
IQGAP1,2.06199575530193e-08,1.9577712425794e-05
DOCK2,1.77329606771883e-08,1.9577712425794e-05
SYNE2,2.87768211865773e-08,2.50454267060511e-05
SACS,5.81824590456851e-08,4.67428924825489e-05
SOGA1,6.40076746153547e-08,4.77497252630546e-05
HSPA1B,7.04286228142762e-08,4.90371024448201e-05
SND1,1.50672152757453e-07,9.83512477124273e-05
TOP2A,2.53300348993467e-07,0.000147711277300714
ZMYM1,2.54577076925781e-07,0.000147711277300714
CDK5RAP2,2.85053970942385e-07,0.000156689666974856
POLR1A,3.34110344544499e-07,0.000174472421921137
TPR,5.01344517335166e-07,0.0002316635780126
TRRAP,5.10174482409978e-07,0.0002316635780126
KDM5A,4.84166189718539e-07,0.0002316635780126
SMC1A,7.06168970979357e-07,0.000290198488709617
BRCA2,7.00252131760523e-07,0.000290198488709617
MDN1,7.22439745925894e-07,0.000290198488709617
OSBPL8,8.09476409612992e-07,0.000313117467481411
MIS18BP1,8.39539908838604e-07,0.000313148385996799
MTOR,1.05314396998118e-06,0.000379277090430464
PIK3C2B,1.2942734261653e-06,0.000450579722095681
FLNB,1.39463323873806e-06,0.000469856436947752
MTHFD1L,1.52105733196722e-06,0.0004964350867208
RASGRP1,1.67311045720381e-06,0.000502948628359876
TRIM29,1.6854846794902e-06,0.000502948628359876
CENPF,1.59462180829414e-06,0.000502948628359876
N4BP2,2.06707933517381e-06,0.000583475042609602
GJA1,2.06102634520123e-06,0.000583475042609602
OS9,2.23690413853519e-06,0.000599031456996448
AHNAK2,2.19612158746235e-06,0.000599031456996448
DDX6,2.31095101815764e-06,0.00060338931084096
EPG5,2.5330498155853e-06,0.000645248104243241
MYO5C,3.00973045001919e-06,0.000731014530697685
UBR3,2.94540405792116e-06,0.000731014530697685
VPS13B,3.42917164310613e-06,0.000813960650922736
NFKB1,3.54141480979503e-06,0.000821923028299985
HUWE1,3.91490990094018e-06,0.000886078157154731
USP7,3.98752138895752e-06,0.000886078157154731
KIF27,4.28917794849951e-06,0.000921448104527385
CYFIP1,4.32314794349309e-06,0.000921448104527385
PARPBP,4.54909099182099e-06,0.000931582476834871
PRPF8,4.46472316337476e-06,0.000931582476834871
TPX2,4.956987992681e-06,0.000995591972991545
AKAP13,5.43608328272117e-06,0.00107121610952339
YTHDC2,5.63987997927236e-06,0.00109079456488001
KDM4B,6.11168655691513e-06,0.0011605537163713
RABGEF1,6.73147898168828e-06,0.00125542083008486
GART,7.24541559202258e-06,0.00132756351654533
MYBBP1A,7.48615356215875e-06,0.00134802392764114
BAZ1A,8.05202130385795e-06,0.00137861164749988
CCT8,8.01220557211748e-06,0.00137861164749988
ITPR2,7.90571319961598e-06,0.00137861164749988
ASPM,8.83139862112925e-06,0.00148766334192055
SMC6,9.35676489402729e-06,0.00152690707114408
GLE1,9.30820779597656e-06,0.00152690707114408
VPS33B,9.83129578402008e-06,0.00154281590464392
POTEF,9.67278741740693e-06,0.00154281590464392
HELZ,9.89742106579305e-06,0.00154281590464392
NOP56,1.02592792151396e-05,0.00157570459004291
USP34,1.12388846591429e-05,0.00170114364318969
ACSL3,1.15050467079018e-05,0.00171655296881894
HRAS,1.21171945657306e-05,0.00175766638950681
GCN1,1.21034106827405e-05,0.00175766638950681
RAI14,1.32322301631412e-05,0.00189311523046366
SF3B2,1.37447606836134e-05,0.00193986865648187
SPG20,1.41649527952495e-05,0.00197251689324781
PLCB3,1.44488229704646e-05,0.00198557246188859
DIP2B,1.46857763608321e-05,0.00199192530276014
TADA1,1.52659795481161e-05,0.00204407551795544
DOCK1,1.62427999655247e-05,0.00214733927645493
EMC1,1.73466877636323e-05,0.00225570063943509
COL6A1,1.79263838637603e-05,0.00225570063943509
KIF7,1.76915648330284e-05,0.00225570063943509
SAMD9,1.777286504035e-05,0.00225570063943509
NEDD4L,1.8835455563676e-05,0.00234187497508372
CPNE8,1.97084116010964e-05,0.00242158412661001
TTC37,2.02021814673898e-05,0.00245339050285371
UTP4,2.15294334909784e-05,0.00258452187792849
KIAA1279,2.23542311248438e-05,0.00265304079395306
ADAR,2.29666892228127e-05,0.00269510227239388
RBM39,2.47594436640594e-05,0.00276461206167618
NSUN2,2.50493413138169e-05,0.00276461206167618
MAPK1,2.56766918788385e-05,0.00276461206167618
GALK2,2.55560791800034e-05,0.00276461206167618
CYFIP2,2.49949687847973e-05,0.00276461206167618
RANBP2,2.56109987739847e-05,0.00276461206167618
SUGP2,2.39488347106019e-05,0.00276461206167618
RGPD3,2.48496390017287e-05,0.00276461206167618
ZNF260,2.61652320151177e-05,0.00278846615475397
NCOA4,2.69241319402569e-05,0.00284035993923276
ZNF91,2.78688425850423e-05,0.00291062191958182
SKI,2.81959988778317e-05,0.00291563378495123
CAPN7,2.87425987940274e-05,0.002943016684361
VPS13C,3.16206866573081e-05,0.0031187527846556
CDC7,3.16533698940534e-05,0.0031187527846556
DENND4C,3.15977281427961e-05,0.0031187527846556
POLQ,3.11915036253394e-05,0.0031187527846556
EIF3CL,3.3159655711669e-05,0.00320666152085807
EIF3C,3.3159655711669e-05,0.00320666152085807
XRCC5,3.39429400424434e-05,0.00325229418168145
DSP,3.49348343027252e-05,0.00330262228869641
CCND2,3.57330829780442e-05,0.00330262228869641
ABCF2,3.5484417364699e-05,0.00330262228869641
BTAF1,3.57311766057183e-05,0.00330262228869641
DNAH14,3.92418123106283e-05,0.00353743509576874
MYB,3.90949310163253e-05,0.00353743509576874
SLU7,3.92897808415524e-05,0.00353743509576874
NAMPT,3.99927021032763e-05,0.00356994684415912
TOP2B,4.24410175793666e-05,0.00375638972541445
CPS1,4.40973544641878e-05,0.00381848323812605
HAUS2,4.45871822042815e-05,0.00381848323812605
ZNF433,4.46050320807524e-05,0.00381848323812605
JUP,4.36633866664449e-05,0.00381848323812605
ADCY3,4.51531321213405e-05,0.00383397814532748
DPF2,4.59319985055846e-05,0.00386865961606714
SSB,4.63529229433531e-05,0.00387287941776304
ALKBH1,4.86094892705486e-05,0.00399746067670559
NUP205,4.83751678114543e-05,0.00399746067670559
RGPD4,4.95122624405816e-05,0.00403989116351121
RGPD1,5.05207139188659e-05,0.00409021966022198
GOT1,5.15423179215485e-05,0.00414083052594348
CAPZA1,5.26153394084694e-05,0.00419476797543553
UTP15,5.4105974653526e-05,0.00428093029758656
IFT172,5.80087287291929e-05,0.00452121763319172
HCFC1,5.76117884349769e-05,0.00452121763319172
ESYT2,5.88109772916623e-05,0.00454979145803052
INTS4,6.47527981405817e-05,0.00497263399838409
ZC3H7B,6.55700693718586e-05,0.00499864090890286
NEGR1,6.70900979216096e-05,0.0050774563963282
SF3A3,6.91497910684708e-05,0.00516148117961055
ZNF208,6.91887557588545e-05,0.00516148117961055
WDR41,7.04491234040664e-05,0.0052182315236317
ANKIB1,7.10015027012528e-05,0.0052221105226189
PPP1CA,7.43764200221425e-05,0.00543207923574305
WWP2,7.5166878150365e-05,0.00545168663473897
SARS,7.67866591705264e-05,0.00553075771294468
VIPAS39,8.03876953957912e-05,0.00574173339055549
ARFGAP3,8.08152823067461e-05,0.00574173339055549
TECPR1,8.62658862032415e-05,0.00608757375342334
SMC3,9.01270189318923e-05,0.00624219553128865
FEM1C,9.00117762170745e-05,0.00624219553128865
ZNF770,9.02500502896004e-05,0.00624219553128865
PI4KA,9.17607729160391e-05,0.00630493100220469
ZNF302,9.23673370252261e-05,0.00630512724112067
SLC1A3,9.30012768390369e-05,0.00630717750199287
USP11,9.42011184870216e-05,0.00634733213857067
THTPA,9.71275986787019e-05,0.00646115057707237
C16orf62,9.70817362870857e-05,0.00646115057707237
ZNF480,9.87788314437859e-05,0.00648834034967861
HTATSF1,9.8174967932085e-05,0.00648834034967861
STK38L,0.000100083734650006,0.00653296577927916
SLC44A1,0.00010332465526091,0.00666125123175889
POLR3D,0.000103170058087591,0.00666125123175889
XAB2,0.000104984863404964,0.0067267602049168
CEP57L1,0.000106279371077693,0.0067681814118014
CENPE,0.000112810053736209,0.00714053455285432
JARID2,0.000115435215981311,0.00717622259350481
SLFN5,0.000114779868922116,0.00717622259350481
TMX1,0.000115013417755015,0.00717622259350481
BIRC6,0.000122141565547081,0.0075482042045782
CIAPIN1,0.000123469652760114,0.00755729930092505
PPP1R10,0.000123735942211622,0.00755729930092505
UBR4,0.000125681625328088,0.00763150520306136
MCM5,0.000128942760759125,0.00778426701368958
ZNF548,0.000132422507080434,0.00794839462039111
