gene,p,fdr
IDH1,0,0
AKT1,5.16959369542716e-84,1.01479124241235e-80
PTEN,2.11084302944772e-70,2.76238991120392e-67
IDH2,4.77382688624075e-23,4.6855110888453e-20
EEF1A1,5.73893798227613e-13,4.50621410368322e-10
CTNNB1,2.12754524677299e-12,1.39212377313846e-09
EP300,1.7674023203217e-09,9.91260215654716e-07
PPP2R1A,7.74092532275836e-09,3.79885910214367e-06
MYC,7.352211638422e-08,3.20719809916053e-05
HIST1H2BG,4.75627674152835e-07,0.000186731424872403
AHNAK,2.06539149134462e-06,0.00073715699954718
SOD2,2.480989703415e-06,0.000811697131300607
HCFC1,4.33241311327355e-06,0.00121493242019371
ARID1B,4.32230712247148e-06,0.00121493242019371
TPR,1.75627030438078e-05,0.0042378956075403
NBN,1.83505413469651e-05,0.0042378956075403
ACAT1,1.81108431633687e-05,0.0042378956075403
CREBBP,2.4318435378684e-05,0.00530412096092852
TP53,2.59654959166483e-05,0.00536529141940849
RCC2,2.78630453185062e-05,0.00546951579602277
RPS24,3.159472626167e-05,0.00590670930015792
ACLY,3.60726797972868e-05,0.00633937114156098
LCP1,3.71384453020638e-05,0.00633937114156098
NONO,4.71738732126837e-05,0.00771685942637484
GTF2I,7.24422096414574e-05,0.00984523311224154
ALDOA,7.21930306488831e-05,0.00984523311224154
FBL,7.26267363843651e-05,0.00984523311224154
RPS3,7.2723321511718e-05,0.00984523311224154
HMOX1,6.91563708153744e-05,0.00984523311224154
CHAMP1,9.0948224672229e-05,0.0116296971310164
MDC1,9.18289890630436e-05,0.0116296971310164
HIST1H1E,0.000107049516808933,0.0131336375934959
JADE3,0.000128457007822468,0.015282491294273
G6PD,0.000147712401482665,0.0165691110920269
KMT2C,0.00014722790910253,0.0165691110920269
FOXA1,0.000165270361184927,0.0179203635474554
QARS,0.000173452321651376,0.0179203635474554
PGK1,0.000171098616488139,0.0179203635474554
ANXA2,0.000179432616607018,0.0180628834051065
ADAR,0.000187342156700209,0.0183876326801255
SMC1A,0.000203675395866809,0.0185960373063509
LIG3,0.000201645830614873,0.0185960373063509
RTF1,0.000195817264483293,0.0185960373063509
NUP62,0.000232523055929857,0.0207473981268322
HIST1H4K,0.000262799456150415,0.0219521418052453
PSAT1,0.000256329745512904,0.0219521418052453
HIST1H2AA,0.000262115925407076,0.0219521418052453
ATIC,0.000274371883030494,0.0224413335995358
SACS,0.000283371002820774,0.0225007295154346
NME1-NME2,0.000286560487970385,0.0225007295154346
XPO1,0.000293301021106758,0.0225784276248065
HIST2H2AC,0.000303572809952789,0.0229197471514356
EIF4A1,0.000320972129384301,0.023679045156164
HIST1H3C,0.000325692419366494,0.023679045156164
HADHA,0.000339197646025189,0.023832315911729
MB21D1,0.000339941337508106,0.023832315911729
RFC1,0.000367326087297848,0.0253003898023044
DOCK2,0.000377815487934048,0.025574200097053
MATR3,0.000387926679647962,0.025813561767761
TLX1,0.000437028675796017,0.028596243019586
DLAT,0.000534172414675589,0.0343796868855141
TFEB,0.000594895135820874,0.0376702952134314
KRT18,0.000672990331218058,0.0413393940434598
MAX,0.000673897406719671,0.0413393940434598
C14orf166,0.000711349978633848,0.0429655387094844
ACADVL,0.000740225237252507,0.0440321860826264
ACTB,0.000781462269768933,0.0446897745751525
PAPOLA,0.000785429048824636,0.0446897745751525
HSPA2,0.000781815225206032,0.0446897745751525
MTHFD1,0.000896556554705303,0.050284014768186
ANXA6,0.000955689404792262,0.0528455859607665
HNRNPD,0.000980808726398678,0.0534813202755723
KHSRP,0.00107324006506692,0.0561805399393698
MTA2,0.00104651924675093,0.0561805399393698
ABCF2,0.00106962347643599,0.0561805399393698
TOP2A,0.00120493790125679,0.0606485410299252
HSPD1,0.00119609292880262,0.0606485410299252
MN1,0.00120448302294224,0.0606485410299252
MYH10,0.00126041577437752,0.0626378775975461
CPS1,0.00130413704293998,0.0640005253822797
RPS5,0.00135960631223828,0.0658989429857712
SUPT6H,0.00149147607700401,0.0714089643697284
ARHGDIB,0.00157305002625024,0.0744071614826318
ZNF534,0.00159358347763219,0.0744810563474285
TST,0.00167201604992294,0.0754521265746835
H3F3A,0.00165615210851857,0.0754521265746835
ZSCAN32,0.0016631784553374,0.0754521265746835
SON,0.00175710727877433,0.0783909451871365
WHSC1,0.0018015795068636,0.0794719229656909
PES1,0.00183841923518064,0.0801959324146575
EIF3B,0.00194663974117263,0.0830707350417796
