gene,p,fdr
EGFR,5.60404498205472e-19,9.41479556985193e-16
RAC1,5.13753564010378e-12,4.31552993768718e-09
HCFC1,1.53949838763666e-08,8.62119097076527e-06
FNDC1,1.81318029031811e-07,7.61535721933605e-05
COL14A1,2.26683880842401e-06,0.000761657839630467
SPTA1,3.05108904213134e-06,0.000854304931796775
ERBB3,5.89917841309568e-06,0.00110117997044453
PAPPA,5.01525933652103e-06,0.00110117997044453
COL4A2,5.60740035189263e-06,0.00110117997044453
MAP1B,8.17709238941145e-06,0.00137375152142112
TLR3,9.49329394273745e-06,0.00144988489307263
DPP6,3.85253657533378e-05,0.00539355120546729
PLBD2,4.49482581173301e-05,0.0055221194378494
NOTCH1,4.60176619820784e-05,0.0055221194378494
LOX,9.00302009827751e-05,0.0100833825100708
LRP11,0.000165598486848068,0.0173878411190472
LTBP3,0.000233477537233388,0.0230730742677701
PODXL,0.000276438328285043,0.0258009106399373
PLXDC2,0.000360972093216299,0.0291472899945244
ATRN,0.000338052305551733,0.0291472899945244
IGFBP3,0.000364341124931555,0.0291472899945244
RHOA,0.000411701703978571,0.0314390392129091
LGALS3BP,0.000471736071988383,0.0344572435191514
MUC20,0.000541042165277161,0.0378729515694013
C5,0.000595554526553246,0.0399109107201365
SI,0.000639469042542533,0.0399109107201365
DLK1,0.000641425350859337,0.0399109107201365
C11orf24,0.000680939264696411,0.0408563558817847
AGRN,0.000736574427430338,0.0426705185545851
ECE1,0.000998625367260844,0.0508391096060066
PLTP,0.000984776640272925,0.0508391096060066
C7,0.000926505890565867,0.0508391096060066
AREG,0.00094689168277933,0.0508391096060066
SIL1,0.00104573433057831,0.0516715786873988
PTGS2,0.00116897176225719,0.0561106445883452
ADAMTS13,0.00120926001129246,0.0564321338603147
GNPTAB,0.00141835812124716,0.0637113714673659
IL2RB,0.00144109054509518,0.0637113714673659
LSR,0.00156379291850714,0.0656793025772997
CTSF,0.00155674064906499,0.0656793025772997
ABLIM1,0.00166560175603124,0.067814149669691
CD276,0.00169535374174227,0.067814149669691
QSOX1,0.0018163067891974,0.0709626838570145
PMP22,0.00188494799912457,0.0719707417847562
CBLN1,0.00199180137586697,0.0743605846990335
LUZP2,0.00208974627711481,0.0763211683815845
CAMK4,0.00216390718262612,0.0773481716342954
ST3GAL1,0.00235980236020219,0.0792893593027937
PPM1F,0.00232129332551995,0.0792893593027937
CSF1R,0.00228339406824274,0.0792893593027937
NID1,0.00250156435691404,0.0807938640390608
NTN1,0.00254885404408942,0.0807938640390608
MYC,0.0025379360137477,0.0807938640390608
HIST1H2BB,0.00261619566763468,0.0813927541041899
PSAP,0.00285715624530679,0.0856627512004066
BMP6,0.00290641477287094,0.0856627512004066
CLEC12A,0.00284151924837591,0.0856627512004066
MRC2,0.00320539406749694,0.0928458971274976
SELL,0.00363275168814199,0.10344106501828
SERPINA10,0.00405600548101266,0.108160146160338
SLC39A10,0.00392783962170366,0.108160146160338
