gene,p,fdr
BRAF,0,0
IDH1,0,0
CTNNB1,3.2655845782716e-215,1.52666079034197e-211
TP53,1.23167446930307e-212,4.3185586079939e-209
NRAS,4.1669760242767e-183,1.16883677480961e-179
EGFR,1.36973332106489e-39,3.20175163798918e-36
U2AF1,3.68305383417106e-36,7.3792614320356e-33
HRAS,1.09803382289565e-30,1.92499054576394e-27
ERBB2,8.15638291573596e-28,1.27103633770219e-24
KIT,4.96960020637102e-22,6.96986428943536e-19
CCND1,7.79253269683535e-22,9.93547918846507e-19
CIC,9.63549225990964e-22,1.12614815787694e-18
MB21D2,2.28825976588338e-19,2.46868024742419e-16
NFE2L2,8.46314251325826e-19,8.47825526774622e-16
EEF1A1,1.30014590377579e-18,1.21563642003036e-15
AHNAK2,8.92521177819766e-18,7.82350594932638e-15
MYLK,4.39999038693118e-15,3.62999206921822e-12
MYH2,4.95258878234348e-15,3.8588920929093e-12
PCBP1,2.58861936454759e-14,1.91080982040947e-11
AHNAK,2.990899056922e-14,2.09736796366655e-11
CHD4,3.97470383853409e-14,2.65453434930669e-11
KMT2A,5.39499094862895e-14,3.43930672975096e-11
PLEC,6.29358144159241e-14,3.83771650949277e-11
SPTAN1,9.13282402390309e-14,5.31441686064668e-11
MET,9.47311383359479e-14,5.31441686064668e-11
MYH7,2.04777832489729e-13,1.10461888487248e-10
EPPK1,2.70028555213443e-13,1.40264832846983e-10
RAF1,3.80170927816931e-13,1.90424902236874e-10
AHR,4.15358640263208e-13,2.00876032058327e-10
PRRC2B,1.42195945291362e-12,6.64766044237119e-10
HRNR,2.01063594642046e-12,9.09650617695065e-10
RGPD4,2.18278134382615e-12,9.56672135848805e-10
SRCAP,2.66932029961914e-12,1.13446112733814e-09
MAP1A,2.90438143797472e-12,1.19805734316457e-09
RGPD5,3.68081438247518e-12,1.47495490612041e-09
RANBP2,4.18640816722869e-12,1.63095484848284e-09
MYH1,4.35820633916783e-12,1.65199578126564e-09
SPTBN1,9.93043603358879e-12,3.66511487818639e-09
DSP,1.06939541752033e-11,3.84571044377504e-09
MAP2K1,1.61380847741377e-11,5.65841597393202e-09
C4B,1.66737131848094e-11,5.70362993699881e-09
NCOR1,1.71722724119114e-11,5.73431239469185e-09
CAMSAP1,4.32400967303738e-11,1.41033106196161e-08
XIRP1,9.97342592236374e-11,3.17902951275344e-08
KIF14,1.31434254389965e-10,4.09636759515392e-08
BCR,1.53526614128962e-10,4.68089296338846e-08
