gene,p,fdr
IDH1,0,0
AKT1,6.13177198098905e-53,3.23420313137268e-49
BCOR,2.19626764738055e-40,7.72280913740581e-37
EGFR,9.65149518383266e-34,2.54534056735627e-30
PIK3R1,4.52035004619774e-29,9.537034527468e-26
SF3B1,2.68066059126475e-26,4.71304809620864e-23
CTNNB1,2.81742933323108e-24,4.24586600517923e-21
ATM,1.29288078809269e-21,1.70482492919873e-18
IDH2,1.52614086773684e-20,1.7888066681951e-17
AHNAK,8.14658408482076e-20,8.59383155107743e-17
MDN1,4.50426974630754e-16,4.31959468670893e-13
MTOR,3.22025372767227e-15,2.83087138110123e-12
POTEE,1.03960522231766e-13,7.83342535016359e-11
PRPF8,1.00913083801476e-13,7.83342535016359e-11
PPP2R1A,1.75073827859326e-13,1.23123587339202e-10
CENPF,9.69653693473278e-13,6.39304800778101e-10
DSP,2.5006381107432e-11,1.48613218116889e-08
TTK,2.53582133482226e-11,1.48613218116889e-08
DOCK2,6.08778000125865e-11,3.37999953859355e-08
CHD1,1.21251858601367e-10,6.39542928192909e-08
KIT,1.27815482288382e-10,6.42059772695307e-08
RGPD1,1.6480473405764e-10,7.90238699806383e-08
SKIV2L2,2.80504146978829e-10,1.28653836803464e-07
ANAPC1,3.24770096954609e-10,1.42749989698924e-07
NBPF20,4.39583704260186e-10,1.85486739849628e-07
RAD50,5.87373023040708e-10,2.35404374401346e-07
ROCK2,6.02513803093786e-10,2.35404374401346e-07
SMC2,7.12251731753407e-10,2.68340839938096e-07
N4BP1,7.91039489504139e-10,2.87747433613075e-07
PIK3R2,1.01290894203503e-09,3.56172547650917e-07
RICTOR,1.23264844242483e-09,4.19458336101276e-07
ZNF91,1.47786813194174e-09,4.87188466370419e-07
BRCA2,2.63847912352709e-09,8.1862694923786e-07
CDK4,2.56277926310015e-09,8.1862694923786e-07
ZNF644,2.86189326016464e-09,8.62574628613622e-07
POLR2B,3.02357088603228e-09,8.85990257687625e-07
MED12,3.26742405176879e-09,9.31569089786728e-07
COPA,4.35717904601806e-09,1.20957583569591e-06
CPS1,4.67979662512549e-09,1.23417936496122e-06
PIK3CA,4.62327149788643e-09,1.23417936496122e-06
POLR2A,5.72350112781472e-09,1.43755269993613e-06
POLA1,5.65162661518508e-09,1.43755269993613e-06
RGPD2,6.10016794748804e-09,1.49652724832678e-06
ABCC1,9.76666435181e-09,2.34155777834645e-06
RNF213,1.01613307630617e-08,2.38204173821195e-06
LUZP1,1.08567985350092e-08,2.38600766137108e-06
JAK1,1.06615790429531e-08,2.38600766137108e-06
RGPD4,1.0745053699401e-08,2.38600766137108e-06
MKI67,1.13777113676047e-08,2.44945871871148e-06
UBA6,1.34840318203877e-08,2.84486103346541e-06
DCTN1,1.47736068792634e-08,3.05581919547744e-06
DYNC1H1,2.31519454284827e-08,4.69672831394353e-06
ACACA,2.66379415035347e-08,5.24867069165332e-06
ZNF492,2.68677805810294e-08,5.24867069165332e-06
SMARCA4,3.88512730373809e-08,7.45167416856967e-06
NBPF11,4.24658543081997e-08,7.99950530530713e-06
GOLGB1,7.45051829925319e-08,1.37886872875126e-05
MAGEC1,8.67572257176521e-08,1.55705221061205e-05
NGLY1,8.70851079970719e-08,1.55705221061205e-05
DIS3,1.00286770591083e-07,1.7632085716089e-05
HSPA6,1.31525295534325e-07,2.2745251517895e-05
MYOF,1.41581843420809e-07,2.40894655846148e-05
SACS,1.8485344639459e-07,3.0952682635183e-05
ZNF107,1.98881976557718e-07,3.27813432923027e-05
CUL1,2.12053100438466e-07,3.41145134521093e-05
CHD4,2.13438040367733e-07,3.41145134521093e-05
POTEH,2.26484735322118e-07,3.56595145210899e-05
MTR,2.4852539609583e-07,3.8554329461984e-05
RCC2,3.11285901300583e-07,4.75906517799978e-05
RGPD8,3.37216515698407e-07,5.08185289157499e-05
NCAPD2,3.68521100021267e-07,5.47539307623147e-05
PIK3CB,3.9608125478312e-07,5.80314049542657e-05
ASPM,4.13610697419767e-07,5.97695787271387e-05
PLXND1,4.63617705279742e-07,6.60905834188649e-05
SLC3A2,4.87554460483155e-07,6.76738421531158e-05
EIF2S2,4.83701667824518e-07,6.76738421531158e-05
PPP2R5D,5.46298573089441e-07,7.48429045132535e-05
IKBKB,5.84821664452532e-07,7.80921992191109e-05
STAT5B,5.78254962493576e-07,7.80921992191109e-05
POTEM,6.02691580978226e-07,7.85846130362222e-05
TOP1,6.03408252529529e-07,7.85846130362222e-05
GRB10,6.48202291527694e-07,8.14870626805743e-05
STRIP2,6.48868448684069e-07,8.14870626805743e-05
ZNF93,6.33961248982327e-07,8.14870626805743e-05
C16orf62,6.74119552513599e-07,8.36622018760701e-05
ZNF208,7.01571765152067e-07,8.50675925355075e-05
RAD54L2,6.9875013329652e-07,8.50675925355075e-05
C16orf58,7.14530200757001e-07,8.56543078157455e-05
GTF2IRD1,8.50104379480486e-07,0.00010076124830494
DICER1,8.64594853894036e-07,0.000101340123485869
HIVEP1,8.93017488670641e-07,0.00010352133503282
IFT140,9.52299996157578e-07,0.000109193615863764
NVL,9.99455292956965e-07,0.00011336832134842
PXDN,1.06962558418601e-06,0.000120037024335939
PRR14L,1.08188623962306e-06,0.000120134925702986
PHF8,1.22372299990114e-06,0.00013446931172872
LRIF1,1.29763872191254e-06,0.000141121555437684
PIK3C2B,1.37347329476407e-06,0.000147844589657818
NCAPD3,1.4191513591406e-06,0.000151218461490648
ATR,1.47776246517798e-06,0.000155889162451625
TRIP12,1.60373861903253e-06,0.000167503353387863
FAT1,1.67704318837425e-06,0.000173442437197646
BRAF,1.72231218298506e-06,0.000174698761714514
RDX,1.7204277880575e-06,0.000174698761714514
NUMA1,1.74253822818816e-06,0.000175067007325303
SPTBN1,1.82118331536689e-06,0.000181242101828352
SMAD4,2.04534985353476e-06,0.000199781440786465
CCDC93,2.03176608112747e-06,0.000199781440786465
DNAAF5,2.22905423490169e-06,0.000211840478594395
PAM,2.19848527365203e-06,0.000211840478594395
SMC1B,2.22304246289845e-06,0.000211840478594395
SF3B3,2.32935466669937e-06,0.000218166876382313
TKT,2.33698521482618e-06,0.000218166876382313
ADAR,2.43702616319583e-06,0.000225510429785551
SOD2,2.480989703415e-06,0.000227582264185433
AKAP8L,2.69112168615034e-06,0.000244729678165517
POTEF,2.76352117573219e-06,0.000249165682758964
COG2,2.93849671206314e-06,0.000262696625555543
PSIP1,2.99751056956841e-06,0.000265720495784682
ZNF506,3.0266559790542e-06,0.000266068282692023
NIN,3.24870791751571e-06,0.000283228262990688
OSBPL8,3.336791644934e-06,0.000288185010552657
PMS1,3.36020061598036e-06,0.000288185010552657
SMC6,3.43364082355724e-06,0.000292108685868591
HPS5,3.78675681445616e-06,0.000318614789771748
MYBL2,3.80561792693528e-06,0.000318614789771748
MAP2K2,3.95277522559619e-06,0.000328329337439482
PRAMEF12,4.21108886814747e-06,0.00034705294117256
CLTCL1,4.30214827408441e-06,0.000349102785717819
RANBP2,4.28516678318586e-06,0.000349102785717819
GCN1,4.36463116205871e-06,0.000351469420828682
TBC1D31,4.48558968304965e-06,0.000358473375503718
TRIM46,4.88409377279893e-06,0.00038421270224977
RNGTT,4.93217251238458e-06,0.00038421270224977
TSEN2,4.87157241786146e-06,0.00038421270224977
KIF4B,4.95335363598149e-06,0.00038421270224977
NIPBL,5.31295749194152e-06,0.000409097726879497
TOP2B,5.43568058141177e-06,0.000415514452560237
STAT6,5.82516968838878e-06,0.000438926536020095
MAP3K15,5.8006546241909e-06,0.000438926536020095
RRM1,5.94877752923623e-06,0.000445061376992291
NUP210,6.03069919046566e-06,0.000448012998311424
EXOSC10,6.13604339912937e-06,0.00045265120152039
SPICE1,7.03953406877371e-06,0.00051569475619093
PSD4,7.27132135051308e-06,0.000529001165010776
RGPD5,7.39573789134695e-06,0.000534367390519308
RTF1,7.56160066125206e-06,0.000542634866500327
RNF31,8.05774303690085e-06,0.000574331968218021
EXOC2,8.42102796561899e-06,0.000596197476572582
SNRNP200,8.8964540709784e-06,0.000624307758091612
UBR5,8.93643676858787e-06,0.000624307758091612
SLC4A7,9.11715460517171e-06,0.000632742525854976
NCOA4,9.82863292741369e-06,0.00067766175654436
NOMO2,9.93428114045797e-06,0.000680498258121371
SMC1A,1.0218486295143e-05,0.00069545039953202
VPS13A,1.08171973953244e-05,0.000731478303354339
KDM3B,1.11629481388971e-05,0.000750050572721179
CPNE3,1.1319089022145e-05,0.000755728291738024
PDE3A,1.18004463433177e-05,0.000782911374060743
RRP12,1.21697619847921e-05,0.000802367619859823
ZMYM2,1.23464629710182e-05,0.000808961725970628
PLEC,1.25064979744453e-05,0.000814389179829775
LIMK2,1.29495636685558e-05,0.000832873032341445
TCAF1,1.30808423966816e-05,0.000832873032341445
BRCA1,1.31061639367409e-05,0.000832873032341445
ZNF180,1.2998389417674e-05,0.000832873032341445
CCDC14,1.35259125512899e-05,0.000854400308404534
HECTD1,1.38903570986779e-05,0.000872198672821147
CLCN7,1.47359198154071e-05,0.000919817858773547
SF3A3,1.49281768195088e-05,0.000926160312410012
CEP135,1.5013120999347e-05,0.000926160312410012
ZNF45,1.51014949942057e-05,0.000926195759848115
TFAP2A,1.53104771371565e-05,0.000933585105895166
HERC5,1.5997295486887e-05,0.000965631573371621
KIF18A,1.60191037387462e-05,0.000965631573371621
MYBBP1A,1.62589436626491e-05,0.00097452043578003
MTHFR,1.66329091438266e-05,0.000985733475046217
WFS1,1.66259164017516e-05,0.000985733475046217
RINT1,1.70333963314212e-05,0.00100382847988917
LMO7,1.78715679449011e-05,0.00104737316805979
R3HDM1,1.8660012876388e-05,0.00108753854051391
LMNB1,1.90018280278577e-05,0.00109535674243645
EFTUD2,1.89254963774734e-05,0.00109535674243645
DNAH14,1.97111335652196e-05,0.00111791799988979
TRMT2A,1.95379090586786e-05,0.00111791799988979
CEP57L1,1.9668607702236e-05,0.00111791799988979
RGPD3,1.9979168786782e-05,0.00112706016861906
NBEAL2,2.03049490015795e-05,0.00113934525009395
LRP4,2.08962907097593e-05,0.00116632259628175
HELZ,2.13967137023034e-05,0.00118796806760841
TEAD1,2.16178021845468e-05,0.00119395913740725
TDRD9,2.2246945538098e-05,0.00122230744000727
CDK5RAP2,2.25035111709577e-05,0.00122999761317323
TFIP11,2.3281792785726e-05,0.00126597748503414
ZGRF1,2.34790049236058e-05,0.00127015396379035
IFT122,2.39881584180771e-05,0.00128747311241827
HTT,2.40432461035548e-05,0.00128747311241827
TFRC,2.4473515164337e-05,0.00129734226868639
MTHFD1,2.44661321112159e-05,0.00129734226868639
ELF3,2.45974491437074e-05,0.00129739245508485
HCFC1,2.52949137032655e-05,0.00132754251072511
TP53,2.59654959166483e-05,0.00133349792075495
DPYD,2.60404371670794e-05,0.00133349792075495
CYFIP2,2.56130863642947e-05,0.00133349792075495
CENPE,2.57326400794807e-05,0.00133349792075495
MBTPS1,2.58462285214342e-05,0.00133349792075495
GTF2I,2.63150642126689e-05,0.00133820976561098
SEPT1,2.65130193395293e-05,0.00133820976561098
CHAMP1,2.64311888946459e-05,0.00133820976561098
COPZ1,2.72329098672572e-05,0.00136799983899856
C2orf44,2.76371382641833e-05,0.00137995146124527
NAPA,2.77324589803771e-05,0.00137995146124527
ZNF431,2.8321015730935e-05,0.00140262157251471
PPP6R3,2.84862844224547e-05,0.00140421408585268
TCHP,2.88092097162325e-05,0.00141352722463505
MYO1B,2.98355753295429e-05,0.00145710872292291
CTNNAL1,3.02462339304736e-05,0.00146457702102543
COIL,3.04050021428164e-05,0.00146457702102543
CPSF3L,3.03634945291903e-05,0.00146457702102543
SEC24D,3.08800570186763e-05,0.00148069873404553
USP1,3.11141595324282e-05,0.00148517316247776
ZAP70,3.12838442721286e-05,0.00148654627579588
HMMR,3.30863103352439e-05,0.0015330993159731
NOP14,3.30785316242387e-05,0.0015330993159731
PTPRF,3.30279654518639e-05,0.0015330993159731
BCAM,3.27577846708644e-05,0.0015330993159731
TNKS2,3.31355241294783e-05,0.0015330993159731
CENPC,3.24253896456131e-05,0.0015330993159731
COG5,3.36834082107212e-05,0.00155164311447554
TRIM32,3.39430347713218e-05,0.00155680466870728
CACUL1,3.4174210386882e-05,0.00156062227433428
KPNA2,3.4961864861757e-05,0.00158970996735636
ELAC2,3.61024339564571e-05,0.00163452607642346
SH3BP5,3.65906089453295e-05,0.00164954843489009
MPRIP,3.84354550846853e-05,0.00170359502390061
ATRX,3.83126227682013e-05,0.00170359502390061
ECH1,3.81630142829309e-05,0.00170359502390061
ZKSCAN1,3.8079504456634e-05,0.00170359502390061
SETX,3.87860406158855e-05,0.00171194118182835
ALMS1,3.97434256326416e-05,0.0017468891541614
ESCO2,3.99668844448543e-05,0.00174942184236003
SBDS,4.2109247891667e-05,0.00183558039673221
ERCC2,4.31352288861197e-05,0.00187256596510155
CANX,4.45328151864454e-05,0.00192531421066317
TTC30B,4.48912926592457e-05,0.00193289080107095
BCL2L13,4.56541753290315e-05,0.00195774754286973
ZBED1,4.58849238662081e-05,0.00195967636382441
MFN1,4.67339056297004e-05,0.00198788697777302
FMNL1,4.69456680032833e-05,0.00198887490669332
ZC3H7B,4.79554410231751e-05,0.00202352778941389
DNMT1,4.85775898860432e-05,0.00204161352871661
MLLT1,4.97684362928284e-05,0.00208336204148034
ANKRD52,5.08455393709405e-05,0.00212003792420573
IFT81,5.13544774393131e-05,0.00212996472580198
NBN,5.14874400492467e-05,0.00212996472580198
EIF5B,5.17499695193253e-05,0.00213246261116939
NCOR2,5.23330201701679e-05,0.00214809739212101
RANBP6,5.28865731111725e-05,0.002162404882751
MAP2K3,5.46068146746641e-05,0.00222412080310051
INSR,5.58338685120135e-05,0.00226535184205089
AHDC1,5.62272614328685e-05,0.00227257234044187
MYH10,5.64555014928058e-05,0.00227308811163209
GPR179,5.69454295133979e-05,0.00228409633436059
STAT3,5.7536140206675e-05,0.00229425897649077
UTRN,5.7633768961044e-05,0.00229425897649077
PARP15,5.91622172893266e-05,0.00233746153627381
ZNF700,5.90053651931668e-05,0.00233746153627381
PIEZO1,6.01987096784532e-05,0.00236953801641046
ARID1A,6.05567843948907e-05,0.00237477144454164
ZNF671,6.10782362767929e-05,0.00238634931290329
DOCK1,6.1790959739308e-05,0.00239644424371309
TSPYL1,6.17852755903185e-05,0.00239644424371309
FLNA,6.22902469612795e-05,0.00240695903001662
RABGAP1,6.31145645326961e-05,0.0024299107345088
CASP2,6.45539320087318e-05,0.00246909593346978
LPCAT2,6.46004813382937e-05,0.00246909593346978
ZC3H11A,6.5408497681396e-05,0.00249095394238645
ZNF518B,6.60879742459854e-05,0.00250777712345648
ERBB2,6.64135277694605e-05,0.00251109786537648
ITGAL,6.76622828729743e-05,0.00254010470472244
NONO,6.74288627006271e-05,0.00254010470472244
SENP7,6.8705635209113e-05,0.00257012675823026
CUL9,6.96337294809535e-05,0.00259564032612925
MYO1D,7.05589812905833e-05,0.00262086863955762
PTDSS1,7.26568569920248e-05,0.00267992022520584
FBL,7.26267363843651e-05,0.00267992022520584
PCM1,7.31657802625185e-05,0.00268928855745403
MTA2,7.49901523159366e-05,0.0027467747110445
CHD5,7.55298446939647e-05,0.0027569700058015
HIST1H3C,7.69628939217679e-05,0.00279959161372665
DCAF6,7.73582430254454e-05,0.00280430276864407
SLU7,7.96381099468966e-05,0.0028672437605113
SND1,7.95173127695053e-05,0.0028672437605113
SETD2,8.19737766727602e-05,0.00293448846168664
FOCAD,8.20621951083097e-05,0.00293448846168664
ABCF1,8.32907393583985e-05,0.00296835814017482
MAP3K7,8.37770239386588e-05,0.00297563577619162
SRP72,8.62731050128724e-05,0.00305401001604292
TRMT44,9.0621937047282e-05,0.00319722680238053
KAT5,9.17669784259176e-05,0.00322358234754411
RPS6KA1,9.21870865363977e-05,0.00322358234754411
ODF2,9.22857018635245e-05,0.00322358234754411
DZIP3,9.40517039537951e-05,0.00327442714524285
HSPH1,9.5599254720141e-05,0.00331735703303542
P4HA1,9.72795069116502e-05,0.00336224262380949
TRIM34,9.7530215459826e-05,0.00336224262380949
NUP160,9.85252392579563e-05,0.00338548126688007
ASNA1,0.000100472728353763,0.00344119094611637
SMARCA1,0.00010217059636082,0.00348801819097183
ARID2,0.000106717773346979,0.00363150255173315
RAB3GAP2,0.000110835446566985,0.003706014120969
DAAM1,0.000111327734170953,0.003706014120969
BCL11B,0.000110392809633017,0.003706014120969
CSRNP2,0.000109835524682002,0.003706014120969
NUP133,0.00011099304477089,0.003706014120969
ERMP1,0.000109669480342624,0.003706014120969
TBC1D2B,0.000111366620186479,0.003706014120969
SRBD1,0.00011464203332265,0.00379913174266747
SHCBP1,0.000114885110049381,0.00379913174266747
SMAD9,0.000116997958414054,0.00385691082284332
KIAA1033,0.000118507672571034,0.00389450915249795
USP11,0.000120197474187784,0.00393777377393459
TRAF2,0.000121846425000876,0.00397943633849609
PEBP1,0.00012362533119823,0.00402507289756213
LRRC8D,0.000124969175570009,0.00405630717873237
ZNF419,0.000126127989706896,0.00405647610798186
NBR1,0.000125600302023097,0.00405647610798186
HSPA5,0.000126127066173449,0.00405647610798186
UBE2S,0.000129392327327444,0.00414881355920123
BLM,0.000136711139338079,0.00435699640144229
UBE3A,0.000136691698826691,0.00435699640144229
IBTK,0.000138618555317749,0.00440447933749077
SOX13,0.000140061900269612,0.00443697593376619
KBTBD4,0.000141339739281266,0.00446405062777865
CEP250,0.000142279583127985,0.00448032036542423
PELI3,0.000143185579649699,0.00449543059441868
ZNF267,0.000145890461629042,0.00456676106743253
PTPN22,0.000146388011778773,0.00456877850962804
METTL3,0.000149459995951442,0.0046508952722471
AKAP12,0.000153341863639869,0.00475765682216758
INSRR,0.000154106261085888,0.00476735175423764
PIAS1,0.000155353880570811,0.00479189498871778
CENPJ,0.000156660931739152,0.00480411677010557
ARPC3,0.000156626390932566,0.00480411677010557
ANAPC7,0.000161292440089899,0.00492687224490396
OS9,0.000161598046898926,0.00492687224490396
AGAP2,0.000164649208888968,0.00500543084890412
NOB1,0.000167721224493511,0.00502784883951819
LRRC16A,0.00016750126732048,0.00502784883951819
ENTHD2,0.000167698781996171,0.00502784883951819
SAMD1,0.000167769721443777,0.00502784883951819
NUDC,0.00016651088459311,0.00502784883951819
EPRS,0.000168568335562776,0.00503747130836182
TUBB4A,0.000171465635008648,0.00510957905001759
ANXA11,0.000173593820602205,0.00515842595361313
ITPR3,0.00017588563307022,0.00521184703162289
E2F1,0.000176532264182062,0.00521635533573269
CHST11,0.000177149142518291,0.00521996174420519
EPN2,0.000182188067003457,0.00535348723905143
FLNB,0.000182893551601364,0.00535928909956331
STK25,0.000189309547890257,0.00550145019475021
RPN1,0.000188728429309911,0.00550145019475021
MRPS16,0.000189309523487916,0.00550145019475021
HNRNPCL3,0.000192384768602581,0.00554499159559734
HNRNPCL1,0.000192384768602581,0.00554499159559734
HNRNPCL4,0.000192384768602581,0.00554499159559734
ZNF675,0.000193948648549609,0.00556899691483618
NCAPG2,0.000194801389854446,0.00556899691483618
RPS6KA3,0.000194791831394431,0.00556899691483618
HMGN1,0.000197280634072408,0.00562463083467521
ABCC2,0.000199294331640996,0.00566672750533927
SMG1,0.000200202356730181,0.0056772437127599
CD55,0.000201537550356223,0.0056997845005571
VAV1,0.000204644016467463,0.00577216505271461
PTGR1,0.000210676303798346,0.00590752821119515
POLR2M,0.000210063022180057,0.00590752821119515
ARFIP1,0.000211683160852381,0.00590752821119515
DENND4C,0.000211389800034541,0.00590752821119515
HIST1H2BG,0.000214561687558193,0.00597206132467383
MKRN1,0.000215490284153376,0.00598212370403674
SURF2,0.000217802786383133,0.00603045037678653
RCL1,0.000219164433436186,0.00605226599036211
ATXN2,0.000224663010899606,0.00618791149342023
SPOP,0.000228181602186013,0.0062684576079694
TMLHE,0.000229241371004856,0.00628121356553305
CCPG1,0.000231054323521913,0.00631448719904835
LLGL1,0.000234956412001121,0.00635081701588777
ATRIP,0.000234602403515353,0.00635081701588777
CLTC,0.000235393824363648,0.00635081701588777
CBFA2T3,0.000233656843113096,0.00635081701588777
DOCK5,0.000234869840817016,0.00635081701588777
PRPF6,0.000238676672891971,0.00642295975086072
OCRL,0.000240592428873589,0.0064435549328155
VWA5A,0.000240663631010457,0.0064435549328155
ARHGEF2,0.000244499341424699,0.00651319078961906
QARS,0.000244197707758394,0.00651319078961906
SQSTM1,0.000245804904793159,0.00653147592106557
HAUS8,0.000246876154458791,0.00654345867684872
SUPT5H,0.000251344278469217,0.0066451899588265
NRM,0.000253024255736067,0.00667288218439942
BUB1,0.000255680781243544,0.00670939443118941
ADI1,0.000255356354761662,0.00670939443118941
PSMD2,0.000257036816621557,0.00672824163409628
CREBBP,0.000259965203726922,0.00678805181711709
C21orf33,0.000262789508946302,0.00682825483480476
HIST1H4K,0.000262799456150415,0.00682825483480476
PLA2G4A,0.000267912418794237,0.00694400026009927
GOLGA4,0.000270136630838834,0.00697680641755172
UBR1,0.000270500883949062,0.00697680641755172
PDS5A,0.000271349421605976,0.00698162206956449
ATAD5,0.00027255922237983,0.00699568670774896
CCDC138,0.000274954339513942,0.00704003234838004
POU5F1,0.000275847532027317,0.00704580052144351
