gene,p,fdr
SYNE1,4.26271702928162e-05,0.0392596238396837
TIMELESS,0.000408950013445488,0.125547654127765
RAF1,0.000279704935649355,0.125547654127765
MAGED2,0.000580407427119015,0.133638810094153
MCM4,0.000806159950061192,0.148494662801271
GIGYF2,0.00126621009734901,0.178537283600981
FAM53C,0.00155081245256009,0.178537283600981
FAM21A,0.00153492298577316,0.178537283600981
ACSS2,0.00215938629190885,0.220977197205339
RBM34,0.00278152821293427,0.256178748411247
OGFR,0.0037170029211823,0.3112145173099
SSRP1,0.00425430896431589,0.326518213011244
THRAP3,0.00552426774263791,0.339190039397968
SRRT,0.00518088724662194,0.339190039397968
CCDC86,0.00487446997155158,0.339190039397968
SNTB2,0.00589549985979794,0.339359710679619
KMT2B,0.00627260020473744,0.339827340503717
ZNF318,0.00755361675117214,0.363901176511729
WDHD1,0.00787244074841179,0.363901176511729
MDM4,0.00829742096280816,0.363901176511729
TRAFD1,0.00823861523755294,0.363901176511729
MDC1,0.00886701532496306,0.371205505195045
PHACTR2,0.01019747715105,0.398595880594797
RALGAPA2,0.0108196493103908,0.398595880594797
SRRM1,0.0107406296174931,0.398595880594797
KIAA1522,0.0139388390607438,0.417732658542236
SOBP,0.0146117760734295,0.417732658542236
SH3BP5L,0.0181425693177952,0.417732658542236
PI4KA,0.0160098137440023,0.417732658542236
NUP214,0.015780359637423,0.417732658542236
BRD2,0.0180690839325101,0.417732658542236
MRPS16,0.0151097473751799,0.417732658542236
RIF1,0.0174458873183544,0.417732658542236
ASAP1,0.0172451986940046,0.417732658542236
TRIP12,0.0176859553089029,0.417732658542236
UCK2,0.0175157240502819,0.417732658542236
FAM122A,0.0137879540098553,0.417732658542236
MAP1S,0.0151973689529238,0.417732658542236
TNRC6C,0.0140953861957414,0.417732658542236
CARHSP1,0.0163751274508014,0.417732658542236
LARP7,0.0186985442782825,0.420033153178004
ABCC4,0.0198006051023442,0.424101332540907
EPB41L1,0.0195267805355792,0.424101332540907
ZMYM2,0.021261551076761,0.436246767976754
