gene,p,fdr
IDH1,3.95190553550529e-41,3.9238470062032e-37
SF3B1,8.40520994815088e-32,4.1727664787595e-28
EZH2,1.68776459872231e-16,5.58593823357128e-13
AHNAK,1.29818739362029e-15,3.22242565781395e-12
AKT1,1.47500709727812e-14,2.92906909377488e-11
GOLGB1,2.69821309721955e-13,4.46509297371548e-10
FAT1,1.28504633364699e-10,1.82274643525443e-07
CTNNB1,2.5438249619406e-10,3.15720475588853e-07
BCOR,6.14785733713393e-10,6.78245283337809e-07
MDN1,1.42081484331945e-09,1.41072705793188e-06
MAGEC1,2.95552543015633e-09,2.66776472691111e-06
LAMA1,9.32594012084181e-09,7.71643828831986e-06
EGFR,1.81102195966145e-08,1.38320284903681e-05
MEF2BNB-MEF2B,5.11181761654127e-08,3.62537407961702e-05
UBR4,7.80227876853408e-08,5.16458839285166e-05
ATM,1.05564367587773e-07,5.8230478098833e-05
TPR,9.58341476687198e-08,5.8230478098833e-05
NXF1,1.00006096955852e-07,5.8230478098833e-05
RNF213,1.31553814851656e-07,6.87472540874784e-05
ARFGEF2,1.47302043430981e-07,7.03220305081334e-05
AHCTF1,1.48732263135341e-07,7.03220305081334e-05
EPPK1,1.97374372885411e-07,8.5885129447792e-05
UTP18,1.98948330879164e-07,8.5885129447792e-05
CHST11,2.97944565003991e-07,0.000123262149413526
MYH9,3.34710269480203e-07,0.000132933530626757
CEP295,3.65378977759837e-07,0.000134364735932497
BRCA2,3.61606019405692e-07,0.000134364735932497
STAT1,4.09081553571397e-07,0.000145063240907514
LUZP1,5.10453114232101e-07,0.000174768585214156
SRSF7,5.57166018130541e-07,0.000179413368876901
CEP350,5.60158569360855e-07,0.000179413368876901
URGCP,6.58003555242085e-07,0.000204166165624958
NELL1,7.98074889864884e-07,0.000240123805499043
POLR2A,9.38045441841943e-07,0.000273936858589666
GCN1,9.93772838464959e-07,0.000281919157517674
ZNF91,1.07212221587605e-06,0.000295697263373148
CKAP5,1.45313349791948e-06,0.00038995033786061
HERC2,1.77407040585477e-06,0.000451660129736719
H3F3B,1.73294764526716e-06,0.000451660129736719
SETX,1.84857026765123e-06,0.000458861354687727
MKI67,1.93923250962311e-06,0.000469625355806045
BLM,2.06121113504087e-06,0.000479652865503575
STAT3,2.16220563925523e-06,0.000479652865503575
CHD8,2.17387238872604e-06,0.000479652865503575
SOGA1,2.11570192585423e-06,0.000479652865503575
DHX15,2.32448644219958e-06,0.000485702952038091
SCAF11,2.34804529135143e-06,0.000485702952038091
NCAPD3,2.29894237076364e-06,0.000485702952038091
CASC5,2.70991365304037e-06,0.000549116993082405
ZNF518B,2.91825874397129e-06,0.000579507821377818
SKIV2L,3.27731227262956e-06,0.000638047716763508
JARID2,3.84180278012535e-06,0.000733562688535857
OS9,4.73525561984308e-06,0.000887101000932489
SUPT16H,5.22141880551787e-06,0.000960064209629387
SPAG9,6.54253309199746e-06,0.00118110565582623
RUFY1,6.67585375511083e-06,0.00118365271311599
DNAJC13,7.37600806730649e-06,0.00128484884386467
KTN1,7.93989742874927e-06,0.00131392069283419
PLEKHG4,7.75041103817144e-06,0.00131392069283419
CYFIP2,7.9297078317928e-06,0.00131392069283419
ACTB,8.55499833203434e-06,0.00137464346701752
ZNF326,8.58373400695804e-06,0.00137464346701752
KAT5,8.87888632688276e-06,0.00139934067205744
NCL,9.09467028120451e-06,0.00141095283159499
HDLBP,1.003768146988e-05,0.00153329445099136
NAA16,1.03816582243978e-05,0.00156181037136433
POR,1.13233562138887e-05,0.00167805378877165
PIK3CB,1.16684036030617e-05,0.00170375852021764
C5orf42,1.24643108356844e-05,0.00179359626503638
HLA-A,1.30629132316198e-05,0.00183785720341937
ZNF407,1.31420950189118e-05,0.00183785720341937
ACSS2,1.38125986500279e-05,0.00190479572216843
ASPM,1.60483236172026e-05,0.00216166713651722
SMARCC1,1.61107229431236e-05,0.00216166713651722
BAZ1A,1.69665885971545e-05,0.002204296503304
KDM5B,1.7316459588852e-05,0.002204296503304
FCHO1,1.71582092053221e-05,0.002204296503304
CHD6,1.69266715791036e-05,0.002204296503304
PTPRF,1.84209529693364e-05,0.00228627052540677
UFSP2,1.84165604262019e-05,0.00228627052540677
EEF2,1.90582676999394e-05,0.00233616716040368
ZNF397,1.93261890977875e-05,0.00234011867746259
MATR3,2.00998241336727e-05,0.00240447173281008
ATP2A3,2.05775557370625e-05,0.00243231608230112
FKBP4,2.09724975197114e-05,0.00244983444556722
SMARCA4,2.22495041670474e-05,0.00250624462567915
DPYD,2.24650792310851e-05,0.00250624462567915
UBR5,2.1895207573724e-05,0.00250624462567915
IKBKAP,2.24258025994129e-05,0.00250624462567915
CRADD,2.31103613524147e-05,0.00252156898756182
KDM3B,2.28685839607594e-05,0.00252156898756182
DLG5,2.34820836125504e-05,0.00253348561203804
XAB2,2.37298984710986e-05,0.00253348561203804
N4BP2,2.40059394679144e-05,0.00253569120188215
MCM10,2.45688383413958e-05,0.00254108329053874
CMTR2,2.45622459831098e-05,0.00254108329053874
RPA1,2.82359607185784e-05,0.00289025622654396
ARHGAP23,2.87578807694084e-05,0.0029136428383618
SEC23B,2.96197061643209e-05,0.0029662841338485
KIF20A,3.01737030434786e-05,0.0029662841338485
LTN1,3.00597977560057e-05,0.0029662841338485
AGO1,3.1166286178318e-05,0.00303382407318156
ASH2L,3.33072351974183e-05,0.00317988017572275
NFX1,3.31275971790848e-05,0.00317988017572275
CENPF,3.49399490528649e-05,0.00330398813472281
NDC80,3.55289624165962e-05,0.00332799120598475
ERCC1,3.69762336491121e-05,0.00340642113884181
PARP15,3.70524204849346e-05,0.00340642113884181
AFG3L2,3.9023272777779e-05,0.00355469793954649
ZNF43,3.94116117622112e-05,0.00355743539260905
UBA6,3.99084383834321e-05,0.00356982779017205
ROCK1,4.02785678072444e-05,0.00357076696212616
