gene,p,fdr
PTEN,1.19206783440127e-22,1.21233298758609e-19
PTPN11,2.37201528799366e-16,1.20616977394478e-13
KRT17,2.2607335505567e-13,7.6638867363872e-11
MSH2,1.96731950258153e-10,5.00190983531355e-08
MFN2,5.00189449832016e-10,1.01738534095832e-07
GLUD1,3.6454289355802e-09,5.2962874678358e-07
KRT6A,3.1440616065266e-09,5.2962874678358e-07
CREBBP,4.35996989037394e-09,5.54261172313788e-07
TPM3,3.90134936767261e-08,4.40852478547005e-06
HADHA,5.06493653620405e-08,5.15104045731952e-06
KRT12,7.35819653313983e-07,6.80298715836655e-05
KRT16,1.0714798074095e-06,9.08079136779547e-05
LMNB1,1.2910492998108e-06,9.48501418343599e-05
AFF4,1.30570500066966e-06,9.48501418343599e-05
CSNK2A1,3.3977404140663e-06,0.000230366800073695
EIF3F,8.71137353202032e-06,0.000553716680129042
SLC25A1,1.06776379674873e-05,0.000638773988996151
YWHAG,1.34752955294259e-05,0.000761354197412563
TUBA1A,2.30001700406285e-05,0.00123111436480627
NDUFB3,2.42500333379659e-05,0.00123311419523557
MTHFD1,2.92577684978834e-05,0.00141691193154035
NBAS,5.11231423705903e-05,0.00236328344504047
VCP,6.72147078299658e-05,0.00297205903752501
LMNA,0.00010011442809866,0.00424234889068071
SMAD4,0.000127406842157267,0.0051829103389576
TPM1,0.000138043055550722,0.00539960721134941
MYL3,0.000245061591795755,0.00923065329097343
SOX10,0.000298921728061318,0.0108572641942271
KRT2,0.000384381792670162,0.0134798718326054
RB1,0.000469099325260858,0.0159024671263431
PGK1,0.00054488102284412,0.0178756129107248
ACTA1,0.000711758915691673,0.022620588039326
KRT10,0.000734825128646329,0.0226459744191914
YARS,0.000878067211086846,0.0262645398139801
GOT2,0.000975921808113757,0.0283574993957626
SNCA,0.00118884002268919,0.0335847306409695
ACTB,0.00124951736443423,0.0343448421521517
GPD2,0.00137059329171692,0.035740855837849
CALM3,0.0013391936793184,0.035740855837849
TFG,0.00148035025071191,0.0376379051243502
BCL11B,0.00163070835458458,0.0400006200186211
RPL13,0.00165194300961857,0.0400006200186211
ASNS,0.00177301445295467,0.0419338534570908
DARS2,0.0021911030145284,0.0495189281283418
MDH1,0.0021474151986222,0.0495189281283418
ACTL6A,0.00228759797168951,0.0505758073306138
MYH9,0.0026600245519153,0.0575584036020821
GNB3,0.00288404487802938,0.0611057008532475
PPP2R1A,0.00309706480768138,0.0637878886566774
DKC1,0.00313608105490056,0.0637878886566774
CUL3,0.00322837699151245,0.0643776353013366
CPT2,0.00330698212762246,0.0646769389190776
KRAS,0.0040031141144522,0.0768144727244884
GJB2,0.00411307410646154,0.0774628956716924
IDH2,0.00420859457349496,0.0778207396589887
ACAT1,0.00444595524780819,0.0807417229825166
GATA3,0.00578223085237167,0.097194651630908
YARS2,0.00568453253155629,0.097194651630908
KARS,0.00578507569413451,0.097194651630908
ARHGDIA,0.00582976769860904,0.097194651630908
LMNB2,0.00577960875470358,0.097194651630908
RPSA,0.00608056768588026,0.0981577355006384
TNNC1,0.0060752783861498,0.0981577355006384
IDH1,0.00640735101623437,0.100516063982812
CALM1,0.00642433053970772,0.100516063982812
KRT71,0.00669657903735628,0.103188195166535
H3F3A,0.00718075423097717,0.108997418700056
AK2,0.00746315593258493,0.111618082109395
VCL,0.00777210390542833,0.114554053214792
KRT18,0.0081552228987737,0.118483738400755
STAT3,0.00890393013074941,0.127539393562988
SARS,0.00940980924876535,0.132913555638811
SDHB,0.0103303133143039,0.143916830693795
RPS29,0.0106285082923092,0.146070174774033
VPS13D,0.0107926921337621,0.146348905333814
CLTC,0.0115754037931407,0.154897179705581
HIST1H4C,0.0120481926383921,0.159130024847335
HBB,0.0137976721231444,0.177623196825796
ACTN1,0.013628556824718,0.177623196825796
CALM2,0.0147808771759797,0.187901901099642
ATAD3A,0.0150264656679043,0.18866562449702
TKT,0.0153514720525151,0.190395696065949
EPRS,0.0156699614513647,0.192004226458288
CSRP3,0.0159505788848762,0.193115937213323
PPIB,0.0164100380109738,0.196341278319533
GSPT2,0.0171965080127136,0.203358705220113
KRT5,0.0177047307327941,0.2069621971868
FBXO11,0.0180163130682672,0.208211254436679
KRT14,0.0182430455345469,0.208462666389148
STAT1,0.0194705823957297,0.220017581071746
LBR,0.0201053713006195,0.221232590926493
ATP2A1,0.0202307089047825,0.221232590926493
STK11,0.0200877829842902,0.221232590926493
HSPD1,0.0207315006432177,0.221823795532972
MATR3,0.0211572351688282,0.221823795532972
DDB2,0.021136723830359,0.221823795532972
MAPT,0.02086219652584,0.221823795532972
DNMT1,0.0222993943969511,0.231413103078564
BANF1,0.0244439614294557,0.251106149229863
MSN,0.0256127807461439,0.260481980188284
BIN1,0.0261624243232742,0.263437480562078
SMAD3,0.0265162489291109,0.264382599616724
TPI1,0.0276427851996672,0.272938956777296
CYB5A,0.0279389995029442,0.273211177831676
FTL,0.028700494002131,0.277984784763497
GLS,0.0290199274798848,0.278427040066442
MRE11A,0.030555353835366,0.290418643463245
ALDH6A1,0.0309822250383242,0.291749285777553
ALDOB,0.0321568541258605,0.298373108252339
OTC,0.0322724109220819,0.298373108252339
SERPINA3,0.033382409126034,0.305855045776365
NIPBL,0.0349014712572175,0.316917823826698
AKT1,0.0359153743364111,0.3232383690277
GALNT2,0.0363538797131937,0.324314874283491
ALDOA,0.0367377978522801,0.32488991665886
NDUFA9,0.0372304586086988,0.326408417284885
GFM1,0.0401204191213994,0.337729844318008
OXCT1,0.0403418074902052,0.337729844318008
HINT1,0.0397066356054507,0.337729844318008
GARS,0.0395319702172896,0.337729844318008
SGPL1,0.0388944157248916,0.337729844318008
DYNC1H1,0.0411784667605044,0.337729844318008
ACTG1,0.0408686030368984,0.337729844318008
PDHA1,0.0409065077537721,0.337729844318008
SP7,0.0433310263467514,0.352541230357169
CLPB,0.0474404418987103,0.382912138182447
DBT,0.0498275758931965,0.396578914480232
GUCY2C,0.0499135703573941,0.396578914480232
GNB1,1,1
SKI,1,1
CAMTA1,1,1
PARK7,1,1
TARDBP,1,1
MTOR,1,1
ALDH4A1,1,1
UBR4,1,1
DDOST,1,1
CDC42,1,1
HMGCL,1,1
ARID1A,1,1
NR0B2,1,1
MECR,1,1
PUM1,1,1
LCK,1,1
HDAC1,1,1
ADPRHL2,1,1
PPCS,1,1
PTCH2,1,1
EIF2B3,1,1
ORC1,1,1
PGM1,1,1
RPE65,1,1
ACADM,1,1
NEXN,1,1
RPL5,1,1
DPYD,1,1
SASS6,1,1
SLC25A24,1,1
AMPD2,1,1
ATP1A1,1,1
PHGDH,1,1
HMGCS2,1,1
POGZ,1,1
ADAR,1,1
PKLR,1,1
FDPS,1,1
ASH1L,1,1
APOA1BP,1,1
SPTA1,1,1
COPA,1,1
UFC1,1,1
ATF6,1,1
FMO3,1,1
GLUL,1,1
CDC73,1,1
ASPM,1,1
DDX59,1,1
UBE2T,1,1
KDM5B,1,1
SNRPE,1,1
PTPN14,1,1
IARS2,1,1
EPHX1,1,1
PYCR2,1,1
ARF1,1,1
IBA57,1,1
NUP133,1,1
COG2,1,1
GNPAT,1,1
EGLN1,1,1
TBCE,1,1
LYST,1,1
ACTN2,1,1
RYR2,1,1
FH,1,1
AKT3,1,1
HNRNPU,1,1
MYCN,1,1
APOB,1,1
HADHB,1,1
OTOF,1,1
CAD,1,1
ZNF513,1,1
IFT172,1,1
PPP1CB,1,1
EIF2AK2,1,1
LRPPRC,1,1
EPAS1,1,1
MSH6,1,1
PNPT1,1,1
BCL11A,1,1
GFPT1,1,1
SPR,1,1
CCT7,1,1
ALMS1,1,1
STAMBP,1,1
ACTG2,1,1
DGUOK,1,1
DCTN1,1,1
SUCLG1,1,1
POLR1A,1,1
PTCD3,1,1
TMEM127,1,1
SNRNP200,1,1
NCAPH,1,1
ZAP70,1,1
CNGA3,1,1
RANBP2,1,1
GLI2,1,1
TUBA3E,1,1
DARS,1,1
ZEB2,1,1
KIF5C,1,1
MMADHC,1,1
BAZ2B,1,1
LRP2,1,1
FASTKD1,1,1
SLC25A12,1,1
CDCA7,1,1
CHN1,1,1
NFE2L2,1,1
AGPS,1,1
PRKRA,1,1
COL3A1,1,1
HIBCH,1,1
DNAH7,1,1
CASP8,1,1
ALS2,1,1
BMPR2,1,1
NDUFS1,1,1
ERBB4,1,1
BARD1,1,1
ATIC,1,1
TUBA4A,1,1
DES,1,1
PAX3,1,1
FARSB,1,1
IRS1,1,1
DIS3L2,1,1
HDAC4,1,1
NDUFA10,1,1
TRNT1,1,1
BRPF1,1,1
GHRL,1,1
TMEM43,1,1
XPC,1,1
RPL15,1,1
NR1D2,1,1
TOP2B,1,1
MLH1,1,1
SCN5A,1,1
CTNNB1,1,1
LARS2,1,1
LZTFL1,1,1
SMARCC1,1,1
UQCRC1,1,1
QARS,1,1
USP19,1,1
DNAH1,1,1
BAP1,1,1
FLNB,1,1
PDHB,1,1
GBE1,1,1
ATP6V1A,1,1
HGD,1,1
MYLK,1,1
UMPS,1,1
ZNF148,1,1
MCM2,1,1
ACAD9,1,1
IFT122,1,1
DNAJC13,1,1
TF,1,1
PCCB,1,1
STAG1,1,1
FOXL2,1,1
MRPS22,1,1
COPB2,1,1
ZIC1,1,1
GYG1,1,1
TBL1XR1,1,1
GNB4,1,1
MCCC1,1,1
AP2M1,1,1
EHHADH,1,1
CRYGS,1,1
TP63,1,1
OPA1,1,1
TFRC,1,1
PCYT1A,1,1
RPL35A,1,1
WHSC1,1,1
ADD1,1,1
HTT,1,1
SLC2A9,1,1
WDR1,1,1
PROM1,1,1
QDPR,1,1
RBPJ,1,1
UGDH,1,1
UCHL1,1,1
GUF1,1,1
SRP72,1,1
POLR2B,1,1
ALB,1,1
HNRNPDL,1,1
SMARCAD1,1,1
PDHA2,1,1
NFKB1,1,1
MANBA,1,1
PPA2,1,1
HADH,1,1
SPATA5,1,1
LRBA,1,1
GATB,1,1
FGA,1,1
TRAPPC11,1,1
SLC25A4,1,1
UFSP2,1,1
FAT1,1,1
SDHA,1,1
NDUFS6,1,1
DNAH5,1,1
TARS,1,1
SLC1A3,1,1
LIFR,1,1
NNT,1,1
ERCC8,1,1
PIK3R1,1,1
SMN1,1,1
SMN2,1,1
BDP1,1,1
GFM2,1,1
AP3B1,1,1
DMGDH,1,1
DHFR,1,1
RPS23,1,1
MEF2C,1,1
ADGRV1,1,1
PPIP5K2,1,1
WDR36,1,1
HSD17B4,1,1
ALDH7A1,1,1
RAD50,1,1
PPP2CA,1,1
KDM3B,1,1
HSPA9,1,1
CTNNA1,1,1
PURA,1,1
NDUFA2,1,1
HARS,1,1
HARS2,1,1
DIAPH1,1,1
NR3C1,1,1
LARS,1,1
PDE6A,1,1
CAMK2A,1,1
TCOF1,1,1
ITK,1,1
CYFIP2,1,1
THG1L,1,1
TTC1,1,1
RARS,1,1
DOCK2,1,1
SH3PXD2B,1,1
SNCB,1,1
NSD1,1,1
NHP2,1,1
PHYKPL,1,1
HNRNPH1,1,1
SQSTM1,1,1
RIPK1,1,1
TUBB2A,1,1
TUBB2B,1,1
FARS2,1,1
DSP,1,1
HIVEP1,1,1
TPMT,1,1
SOX4,1,1
ALDH5A1,1,1
GMNN,1,1
DHX16,1,1
TUBB,1,1
VARS,1,1
PSMB8,1,1
PSMB9,1,1
