gene,p,fdr
RAF1,6.3555088074163e-55,1.27745727029068e-52
ETV6,4.80221059276275e-05,0.00482622164572656
RPS6KA3,0.0119667170751136,0.80177004403261
RERE,1,1
UBR4,1,1
KDM1A,1,1
PUM1,1,1
HDAC1,1,1
SNIP1,1,1
RNPC3,1,1
AMPD2,1,1
SLC16A1,1,1
ZNF687,1,1
POGZ,1,1
SNAPIN,1,1
ADAR,1,1
LMNA,1,1
COPA,1,1
PTPN14,1,1
IRF2BP2,1,1
LYST,1,1
HNRNPU,1,1
RNASEH1,1,1
TTC7A,1,1
MSH6,1,1
GFPT1,1,1
NCAPH,1,1
RANBP2,1,1
DARS,1,1
STAT1,1,1
BMPR2,1,1
PIKFYVE,1,1
TRIP12,1,1
TRAF3IP1,1,1
HDAC4,1,1
KIF1A,1,1
BRPF1,1,1
IQSEC1,1,1
XPC,1,1
SETD2,1,1
SMARCC1,1,1
UQCRC1,1,1
FLNB,1,1
MYLK,1,1
AHSG,1,1
RUBCN,1,1
ADD1,1,1
HTT,1,1
ALB,1,1
SMARCAD1,1,1
NEK1,1,1
TRIO,1,1
NIPBL,1,1
CHD1,1,1
SLC25A46,1,1
APC,1,1
RAD50,1,1
KDM3B,1,1
HSPA9,1,1
CTNNA1,1,1
HARS2,1,1
TCOF1,1,1
NSD1,1,1
HNRNPH1,1,1
SQSTM1,1,1
HIST1H4C,1,1
LEMD2,1,1
CD2AP,1,1
DST,1,1
PHIP,1,1
MAP3K7,1,1
REPS1,1,1
SYNE1,1,1
ARID1B,1,1
PMS2,1,1
HNRNPA2B1,1,1
GARS,1,1
ANLN,1,1
CDK13,1,1
EGFR,1,1
AUTS2,1,1
HSPB1,1,1
ABCB1,1,1
TRRAP,1,1
MET,1,1
FLNC,1,1
BRAF,1,1
EZH2,1,1
DPYSL2,1,1
IKBKB,1,1
NBN,1,1
POP1,1,1
TRPS1,1,1
RECQL4,1,1
VCP,1,1
PRKACG,1,1
TJP2,1,1
HNRNPK,1,1
SPTAN1,1,1
ABL1,1,1
NUP214,1,1
INPP5E,1,1
WDR37,1,1
OPTN,1,1
VIM,1,1
SVIL,1,1
PCBD1,1,1
VCL,1,1
GBF1,1,1
NFKB2,1,1
ADD3,1,1
CARS,1,1
RRAS2,1,1
PLEKHA7,1,1
MADD,1,1
INCENP,1,1
DPF2,1,1
PACS1,1,1
MTMR2,1,1
ATN1,1,1
PLEKHA5,1,1
DNM1L,1,1
KMT2D,1,1
KRT18,1,1
HNRNPA1,1,1
NUP107,1,1
DDX54,1,1
CIT,1,1
RSRC2,1,1
PUS1,1,1
ANKLE2,1,1
TBC1D4,1,1
ERCC5,1,1
BAZ1A,1,1
RALGAPA1,1,1
ACTN1,1,1
NEK9,1,1
HERC2,1,1
EIF2AK4,1,1
HERC1,1,1
KIF23,1,1
EDC3,1,1
TSC2,1,1
ALDOA,1,1
BCKDK,1,1
VPS35,1,1
SLC7A6OS,1,1
PIEZO1,1,1
KIF1C,1,1
POLR2A,1,1
CHD3,1,1
MYH10,1,1
ELAC2,1,1
NCOR1,1,1
FLCN,1,1
NF1,1,1
SUZ12,1,1
HNF1B,1,1
CDC6,1,1
CLTC,1,1
RHBDF2,1,1
RNF213,1,1
MIB1,1,1
NEDD4L,1,1
LMNB2,1,1
EEF2,1,1
MAP2K2,1,1
DNMT1,1,1
KANK2,1,1
UPF1,1,1
KMT2B,1,1
PANK2,1,1
KIF3B,1,1
EPB41L1,1,1
RALGAPB,1,1
PRPF6,1,1
SON,1,1
DONSON,1,1
ITSN1,1,1
RUNX1,1,1
CHAF1B,1,1
DYRK1A,0.0450487100814717,1
PI4KA,1,1
SPECC1L,1,1
MORC2,1,1
MYH9,1,1
TCF20,1,1
MID1,1,1
HUWE1,1,1
PHF8,1,1
MAGED2,1,1
MSN,1,1
NONO,1,1
PHKA1,1,1
RLIM,1,1
ATRX,1,1
HNRNPH2,1,1
PHF6,1,1
HCFC1,1,1
FLNA,1,1
DKC1,1,1
