gene,p,fdr
AHNAK2,1.44152367812341e-31,5.54842463709702e-28
PGAM5,4.40472394218191e-07,0.000847689122672909
BAZ1B,7.23725290899174e-06,0.0092853954822364
RPL7,1.16637001603743e-05,0.0112233954793202
IQGAP1,2.0163888870264e-05,0.0155221616523292
USP7,4.69670473606973e-05,0.0301293608818873
PITPNB,6.93324028553617e-05,0.0363664058922966
SOX9,7.55861904750254e-05,0.0363664058922966
HSPA2,8.65577928611226e-05,0.0370178827469401
GNPNAT1,0.000133006167554454,0.0511940738917093
ADSL,0.000188023333788159,0.0591210374506426
ACP1,0.000199681342389803,0.0591210374506426
GLUD1,0.000191381661020773,0.0591210374506426
MYH14,0.000393809993269681,0.0842097035608335
CPS1,0.00034838536450243,0.0842097035608335
SPTAN1,0.000381759563226961,0.0842097035608335
MSN,0.000376058003621656,0.0842097035608335
EIF3B,0.000392300431599201,0.0842097035608335
SRP72,0.000440079302648311,0.0891508018891236
THG1L,0.000550202234610944,0.105886420050876
HNRNPM,0.000645025264965328,0.118223916421502
ABI1,0.000691195749870144,0.120927838238645
FLNA,0.000773985955437871,0.129524867064364
HIST1H1D,0.000898377519753095,0.143871131701244
UHRF2,0.0009498842440731,0.143871131701244
RCN1,0.000971849681536073,0.143871131701244
PPIA,0.00113897547407911,0.156209256712712
PLEC,0.00112630795473046,0.156209256712712
ALDOC,0.00117694685494119,0.156209256712712
TCOF1,0.00131890942412188,0.159784890502585
ARPC4,0.00138626713416289,0.159784890502585
SMC2,0.00141145395611533,0.159784890502585
PARP1,0.00134068327236664,0.159784890502585
PFKP,0.00132139571209187,0.159784890502585
NCOA2,0.00151852718612135,0.164030397891999
CCNA2,0.00153418922424317,0.164030397891999
ABL1,0.00198708443688451,0.176472634754508
PSMA4,0.00195471562108013,0.176472634754508
SARNP,0.00222730856909564,0.176472634754508
ABCE1,0.00192888788863784,0.176472634754508
TUBA1B,0.00224659888359856,0.176472634754508
PSMD3,0.00180845814980792,0.176472634754508
SRSF9,0.00206210465305185,0.176472634754508
ALDH3A1,0.00212083658645186,0.176472634754508
DUSP4,0.00186021239423465,0.176472634754508
EEF1G,0.00206433901597799,0.176472634754508
UBN2,0.0017583241172368,0.176472634754508
PSMA6,0.00200891817197246,0.176472634754508
POLB,0.00222875913668386,0.176472634754508
AHCYL1,0.00240651978315235,0.178128743179873
PDS5A,0.00238735483804325,0.178128743179873
PSMC3,0.00236134437951825,0.178128743179873
CYLC1,0.00274521835676686,0.1806242132064
NT5C3B,0.0027070953569671,0.1806242132064
CCT5,0.00273245542614224,0.1806242132064
FLNB,0.00265248185023931,0.1806242132064
KRT8,0.00273900693373753,0.1806242132064
SOD2,0.00250346096017019,0.1806242132064
COPS4,0.00276872657292222,0.1806242132064
PDE12,0.00308030092346085,0.195191884802335
NUDC,0.00309345413690372,0.195191884802335
H2AFY,0.00319885048709013,0.198586702013063
RBM12,0.00331501732899709,0.202531773004917
KARS,0.00349343539760767,0.210097388209249
MKI67,0.00375943989981169,0.217055952059379
H3F3B,0.00373288859798061,0.217055952059379
SAMM50,0.00378571027891806,0.217055952059379
EIF5A2,0.00383471154586588,0.217055952059379
NUP88,0.00395933876777312,0.217817004698178
CCT4,0.00396133809531631,0.217817004698178
PSMC4,0.00408637137429582,0.221527372107953
VAMP2,0.00415113025222072,0.221912504733299
HADHB,0.00425186699007749,0.222434932999029
SNRPA,0.00427648351310163,0.222434932999029
PTPN11,0.00433887905774856,0.222671273243656
LIMS1,0.00496359494252979,0.225010692607993
KAT5,0.0050275187228598,0.225010692607993
YWHAB,0.00501660952250891,0.225010692607993
PYHIN1,0.00487768178265961,0.225010692607993
BCOR,0.00481513217649503,0.225010692607993
HIST2H2BF,0.00492664240593987,0.225010692607993
MED1,0.00451346403184611,0.225010692607993
ARG2,0.00484282676990836,0.225010692607993
RPS3,0.00478392405088461,0.225010692607993
CCT6A,0.00445312556782181,0.225010692607993
PRKCB,0.00486456873022926,0.225010692607993
EIF3J,0.0050941429936751,0.225371912444316
ATP2A2,0.00523267066940036,0.228869879619568
FOXM1,0.00533417597047249,0.230688127082569
HAGH,0.00583604012883762,0.249587982843289
MAT2A,0.00595278714453639,0.251783271640885
ACO2,0.00602012900017107,0.251863875235418
PHF2,0.00621356868918332,0.257161568652329
TOMM5,0.00648790416040334,0.265658969291409
CBX3,0.00707598034870663,0.286688930128125
CDC5L,0.00731094572999002,0.293123230361787
LDHB,0.00764152325863596,0.294653457900216
ETV3,0.00760646049668175,0.294653457900216
RBBP4,0.00752721064715745,0.294653457900216
EIF3E,0.00765532496493156,0.294653457900216
TPR,0.00818000738190775,0.311731172405574
AKR1B10,0.00828244039325389,0.312540324251316
EXOC4,0.00838838140032783,0.313464854464678
FKBP4,0.0100711781381846,0.318101468592051
NFKBIL1,0.00927871267735507,0.318101468592051
LARP4,0.00950387974874563,0.318101468592051
C12orf45,0.0095897592424133,0.318101468592051
HIST1H4I,0.00940335627475727,0.318101468592051
BRD2,0.0103306530459876,0.318101468592051
WDR1,0.0103192005429463,0.318101468592051
MGRN1,0.00881747470202749,0.318101468592051
RBBP6,0.0103287768120732,0.318101468592051
TUBA1C,0.0092924632223125,0.318101468592051
PSME3,0.0102882636315093,0.318101468592051
BCKDK,0.00985402522046069,0.318101468592051
RUNX2,0.0101987839510496,0.318101468592051
HIST1H2BH,0.00942896656428863,0.318101468592051
GOT1,0.00904054876707085,0.318101468592051
HIST1H4K,0.00940335627475727,0.318101468592051
PTMA,0.00993523779675898,0.318101468592051
ACTR3,0.0097832235062255,0.318101468592051
WASL,0.00962698355906653,0.318101468592051
KIAA1024,0.00884345703739672,0.318101468592051
LARP4B,0.0086546833938522,0.318101468592051
KIAA0196,0.00958401510517282,0.318101468592051
BCLAF1,0.0104726510155262,0.319914553640956
EPRS,0.010719924279581,0.320903115866543
IRAK4,0.0110915326504513,0.320903115866543
HSP90AA1,0.0106036183909205,0.320903115866543
TLN2,0.0110264227925099,0.320903115866543
PARG,0.010866634394769,0.320903115866543
TPM3,0.0111024348447256,0.320903115866543
ARHGDIA,0.011171997278804,0.320903115866543
BRPF1,0.0111181117472429,0.320903115866543
PGM1,0.0113378310912608,0.323254162001947
RFC1,0.0115144630554677,0.325876237503641
NEIL2,0.0116082135945392,0.326131489966289
XRCC6,0.0129767235369962,0.332463683869562
RFC3,0.0130505638049554,0.332463683869562
CEBPA,0.0132427947435626,0.332463683869562
INMT,0.0120640563468415,0.332463683869562
SLC25A12,0.0130539788349327,0.332463683869562
CRYBB2,0.0129294139712789,0.332463683869562
CTPS1,0.0131876021495004,0.332463683869562
BPHL,0.0122932022146937,0.332463683869562
PGD,0.0127371870753553,0.332463683869562
SYMPK,0.0125059567148043,0.332463683869562
VPS29,0.0121657100009932,0.332463683869562
SF3A1,0.0127244402448131,0.332463683869562
ZNF878,0.012004864275239,0.332463683869562
CAPN7,0.0128996107500305,0.332463683869562
PABPC3,0.0133020024203462,0.332463683869562
AGXT2,0.01283581756829,0.332463683869562
HSPA1A,0.0123160568047394,0.332463683869562
TNIP1,0.0136541245272696,0.339062743906198
ZNF326,0.0140835418104761,0.342126202722319
RPL15,0.0138930710558594,0.342126202722319
HIST1H2AB,0.0141330387718495,0.342126202722319
IDH3B,0.0139927619379099,0.342126202722319
PDHB,0.0151501980726021,0.348453720284472
RBM14,0.014708451063942,0.348453720284472
FH,0.0152092036912942,0.348453720284472
TP63,0.0147059611181915,0.348453720284472
ETS1,0.0150894407063579,0.348453720284472
GPI,0.0149607518630439,0.348453720284472
IMPDH2,0.0149871945363459,0.348453720284472
CSRP2BP,0.0151624416011344,0.348453720284472
HIST1H2BO,0.0146208878375246,0.348453720284472
RPL8,0.0153034235891285,0.348537736062458
ATP5C1,0.0156301116838306,0.353884116888612
AIFM1,0.0159026159699539,0.353954150466731
PGK1,0.0159651772135244,0.353954150466731
SPTBN1,0.015795017077871,0.353954150466731
ZNF705A,0.0160010449938195,0.353954150466731
ARID4B,0.0162978179258485,0.35845886398052
MCM6,0.0165237886609937,0.36136399179639
GSPT1,0.0166281516655814,0.361591840456625
PRPF4,0.0167307408909302,0.361778773534776
CACYBP,0.0171854812395076,0.365452581717484
KRAS,0.0171774034907355,0.365452581717484
PARP8,0.0171665850413345,0.365452581717484
FARSA,0.0206718771870868,0.367909243455009
NDUFC2,0.0208376760387612,0.367909243455009
C12orf10,0.0204343644917597,0.367909243455009
UBE2D3,0.0182419423108992,0.367909243455009
HECTD2,0.0208361051467566,0.367909243455009
NARF,0.0204622018786301,0.367909243455009
DDX21,0.0182657224342207,0.367909243455009
TBC1D24,0.0182535808484259,0.367909243455009
PCCA,0.0182324934291165,0.367909243455009
MLLT11,0.0204081635282945,0.367909243455009
MRPS7,0.0188399602878282,0.367909243455009
BZW2,0.0180280627015718,0.367909243455009
KCTD2,0.0180163106561229,0.367909243455009
SMG5,0.0202593869927155,0.367909243455009
GARS,0.0192088424754866,0.367909243455009
STMN1,0.0205321907651237,0.367909243455009
SMIM15,0.0182469911451401,0.367909243455009
DDX19A,0.019472753869491,0.367909243455009
ACYP1,0.0207044916662683,0.367909243455009
SERPINB3,0.0199518834469021,0.367909243455009
KLF5,0.0204565510987094,0.367909243455009
GMPR2,0.0178919136247544,0.367909243455009
UBE2QL1,0.0186649410141898,0.367909243455009
LANCL1,0.0196477364149612,0.367909243455009
OPHN1,0.0199003639564064,0.367909243455009
BRD1,0.0196077428494704,0.367909243455009
TUBA4A,0.0184285931472318,0.367909243455009
ATP5A1,0.0201865051637106,0.367909243455009
EMSY,0.0189283598878032,0.367909243455009
HIST1H4D,0.0202956040555987,0.367909243455009
