gene,p,fdr
AHNAK2,2.04354252301929e-69,3.12089814115505e-65
HRNR,1.04901293216545e-17,8.01026275001535e-14
ZNF644,2.14917874367584e-13,6.35809758213044e-10
RIF1,2.49794299978933e-13,6.35809758213044e-10
SRCAP,2.29433383679676e-13,6.35809758213044e-10
ALMS1,1.42367759008805e-13,6.35809758213044e-10
KIAA1671,3.69829670479451e-13,8.06862675366026e-10
TLN1,1.24111128866293e-12,2.36928145005753e-09
HUWE1,2.2544426858061e-12,3.45048973351256e-09
MYH6,2.25935681869602e-12,3.45048973351256e-09
HGS,6.21962692542431e-12,8.63510385500728e-09
MYOF,8.68256717300636e-12,1.10500138221794e-08
BOD1L1,1.1087495366681e-11,1.30252484030733e-08
AHNAK,1.21467925847768e-11,1.3250415453908e-08
VPS13D,1.34045856959011e-11,1.36476555165201e-08
VPS13C,2.37160845502279e-11,2.26370027031925e-08
ATRX,4.16034261477991e-11,3.64361605166754e-08
TRPM7,4.29446627357358e-11,3.64361605166754e-08
SAFB2,7.9991535133632e-11,6.42963539242541e-08
CLASP2,8.98730322350992e-11,6.86270474147218e-08
KDM3B,1.22007411972048e-10,8.8728437887482e-08
DOCK4,1.36652084111441e-10,9.48613922068151e-08
RNF213,1.49076590986226e-10,9.89868564148539e-08
RGPD5,1.66985912644144e-10,1.0285849448568e-07
SPEN,1.68377577405841e-10,1.0285849448568e-07
KDM5A,2.62934064919181e-10,1.54443424594066e-07
FAM21A,3.83772817475556e-10,2.17073276610618e-07
HCFC1,6.41173603545137e-10,3.42700773114681e-07
U2SURP,6.5075448011562e-10,3.42700773114681e-07
THADA,2.2576332113003e-09,1.14928581343261e-06
ZRANB3,2.42444441504691e-09,1.1943908098902e-06
KMT2C,2.52891443624867e-09,1.20692441469968e-06
NPC1,2.89754241286769e-09,1.34094750694895e-06
FLNB,3.15038600973697e-09,1.41507926884421e-06
USP34,3.33331519057508e-09,1.45446827401322e-06
POTEF,3.96831214332595e-09,1.68344619591316e-06
SYNE2,4.72836105038932e-09,1.95166297193367e-06
NUP205,5.55948777959154e-09,2.17703839410056e-06
MDC1,5.4797515977157e-09,2.17703839410056e-06
PSMD1,5.73126708472649e-09,2.18819777294857e-06
USP47,5.93271633693593e-09,2.2098644853094e-06
SPTAN1,7.01439885377615e-09,2.52526465474435e-06
AKAP17A,7.11016108918329e-09,2.52526465474435e-06
HLA-B,7.4298957022739e-09,2.57884925375289e-06
HERC4,9.00126895844035e-09,2.86390374027711e-06
BAZ2A,8.93485158502047e-09,2.86390374027711e-06
ITGAV,8.57927203745564e-09,2.86390374027711e-06
RLF,8.87814019159618e-09,2.86390374027711e-06
PRRC2B,9.69351066300146e-09,3.02121009888486e-06
GOLGB1,1.04339261639005e-08,3.18693840750177e-06
ADNP,1.18025050778427e-08,3.53427171664341e-06
GTF3C2,1.3228361547225e-08,3.88506802979269e-06
FOXM1,1.57841605564741e-08,4.48961902968372e-06
ZNF106,1.58747660819094e-08,4.48961902968372e-06
KIAA1551,2.09986786772833e-08,5.83076037744492e-06
EMILIN1,2.5857500064784e-08,7.05170966052465e-06
THOC2,2.66936766132041e-08,7.13625105180699e-06
IQGAP1,2.71020534969097e-08,7.13625105180699e-06
VPS13A,2.84992663534356e-08,7.34704333938694e-06
UBR4,2.88647590599277e-08,7.34704333938694e-06
MKI67,3.15981481267795e-08,7.91093308511764e-06
ARHGEF5,3.28976078389366e-08,8.10342365993936e-06
SACS,3.65068110260398e-08,8.84971457126477e-06
KIAA1109,4.08949041996069e-08,9.60841502979073e-06
CENPF,4.08481747638709e-08,9.60841502979073e-06
MYCBP2,4.16828066609989e-08,9.64514883828446e-06
IRS4,4.26528336451072e-08,9.72229963325488e-06
MAST1,4.99471394845731e-08,1.12175399148294e-05
BIRC6,5.51770705747347e-08,1.20873525172592e-05
RAD23A,5.54030039423875e-08,1.20873525172592e-05
OSBPL7,5.94194508643191e-08,1.27810401915476e-05
HIVEP3,6.15619829523221e-08,1.29594712108977e-05
COBL,6.19461366157369e-08,1.29594712108977e-05
LARP4B,6.47192104399784e-08,1.33566457005318e-05
VCAN,7.28096946380298e-08,1.48259954201599e-05
KIAA1217,7.68125363672511e-08,1.54352770447455e-05
PCNT,8.91340726545819e-08,1.76786436049451e-05
TOPBP1,1.072736339971e-07,2.10036274154322e-05
BCOR,1.11980715769992e-07,2.14905303810143e-05
RGPD8,1.15333175424912e-07,2.14905303810143e-05
UBR5,1.15389175696908e-07,2.14905303810143e-05
SMG1,1.12726430029661e-07,2.14905303810143e-05
PIK3C2B,1.25480073059724e-07,2.30883334429892e-05
TICRR,1.30418369366573e-07,2.37113016305512e-05
CENPE,1.43211075823663e-07,2.57308182350469e-05
AHCTF1,1.47142018416271e-07,2.61296849448058e-05
DCLK2,1.54437436942193e-07,2.71099831836917e-05
CEP290,1.58423556489498e-07,2.74936881216775e-05
