gene,p,fdr
VCAN,7.28096946380298e-08,5.31347222937787e-05
PRG4,9.54515969349318e-08,5.31347222937787e-05
NPC1,9.32448451090954e-08,5.31347222937787e-05
HSPG2,1.79588387708696e-07,7.49781518683805e-05
ITGAV,7.27039174509429e-07,0.000242831084286149
HCFC1,1.11549796090521e-05,0.00310480265785284
HS3ST3B1,2.90377637821416e-05,0.00692758078802521
NAALADL1,4.48677342104895e-05,0.00936613951643968
LNPEP,7.54302125818191e-05,0.0139964950012931
NTRK2,0.000114207280151982,0.0190726157853811
IGFBP6,0.000220656073103582,0.0334996038257257
SLC44A4,0.00033787040593652,0.0405939568572011
MME,0.000388924137554022,0.0405939568572011
PVR,0.000387680600821855,0.0405939568572011
PRRT3,0.000314051605359611,0.0405939568572011
ATP1B3,0.000376892142023439,0.0405939568572011
LMAN1,0.000521554036763707,0.0512350141997288
SCG3,0.000673684022544854,0.0549450313863374
SLC6A9,0.000684777936304442,0.0549450313863374
PLA2G15,0.000658947997501496,0.0549450313863374
CD80,0.00071471411687415,0.0549450313863374
PROC,0.000723826760778098,0.0549450313863374
EMILIN1,0.000930989708847102,0.0675979484249852
LGR4,0.00129734179048932,0.0722186930039055
PTPRC,0.00118788022656231,0.0722186930039055
CES2,0.00113106251262966,0.0722186930039055
IDUA,0.00129273667260115,0.0722186930039055
LEPR,0.00111808761015637,0.0722186930039055
CEACAM6,0.00117318322771536,0.0722186930039055
DLK1,0.00123101447163284,0.0722186930039055
NOTCH1,0.00151486656529012,0.0767494178420322
NTN1,0.00143447568597355,0.0767494178420322
CHL1,0.00151660526274674,0.0767494178420322
APOL1,0.00157472814709108,0.0773469413424148
SLC2A1,0.00173136921102453,0.0826110452117419
CCDC80,0.0018543030551521,0.0837730004643938
F5,0.00185604851328298,0.0837730004643938
MAN2B1,0.00234474510058101,0.103045376788692
F11R,0.00287438804696692,0.120005700960869
GALNT3,0.00285011969719048,0.120005700960869
C4A,0.00303069281780092,0.123445292822623
P2RX3,0.00346055369629736,0.134593809026247
C4B,0.00346558909468779,0.134593809026247
SLC22A6,0.0037880531065703,0.143773833817554
SERPING1,0.00388803544571095,0.144289315429718
ITGAX,0.00429822579874784,0.152724193274657
RBM27,0.00429508646891958,0.152724193274657
CD3G,0.00486456873022929,0.169246453739227
IGF2,0.00533442310996321,0.179124236401968
CD69,0.00536300108987927,0.179124236401968
MGAT4B,0.00553513653584054,0.180950416008024
ST8SIA3,0.00563438421102828,0.180950416008024
DPP6,0.00619091124187211,0.184621817391543
CCDC134,0.00610881551173205,0.184621817391543
PIK3IP1,0.00617219858757081,0.184621817391543
PKM,0.00592025874550554,0.184621817391543
CD44,0.00632321851096282,0.185259209005402
CLCN6,0.00650990474979367,0.187440360899232
NUP214,0.00664465431374519,0.188077503456855
NUP98,0.0068028017112812,0.18934464763066
KITLG,0.00699141943477761,0.191404433706207
TIMP1,0.00730934968930004,0.193755777478271
KIAA1549L,0.00725338790069697,0.193755777478271
NAAA,0.00747974897578688,0.195174699836939
LMNA,0.00810130554494116,0.207664003593644
B4GALT5,0.00820708038154522,0.207664003593644
F12,0.00840869675979131,0.209589904311216
UGT1A3,0.00866614648682438,0.212830362249952
RAET1G,0.0089200369483109,0.215890749328684
OLFM1,0.00940797583086073,0.222850952488732
ADM,0.00947450157287425,0.222850952488732
ATRN,0.00971089269568477,0.225238761136022
PIEZO1,0.00996324891093636,0.227926379195393
CD83,0.010485470353693,0.233476473208897
LAMP1,0.0104039738527722,0.233476473208897
CEACAM1,0.0110270920905543,0.239613982536756
EPX,0.0110480698534911,0.239613982536756
DMBT1,0.0113079256315638,0.24163737410391
ATP1B1,0.0114307500324604,0.24163737410391
AFM,0.0129130964169601,0.249316529698411
PCSK1,0.0127768520306225,0.249316529698411
PLXND1,0.0130357233274621,0.249316529698411
ACE,0.0124165068554956,0.249316529698411
KRT8,0.0126913442515797,0.249316529698411
ATF1,0.0123210399087986,0.249316529698411
AHSG,0.0125583787223668,0.249316529698411
FLRT1,0.0123747471314334,0.249316529698411
SLC19A1,0.0131376374930899,0.249316529698411
NID2,0.0137415573885253,0.257847200436373
NRP1,0.0139186372895655,0.25826804748416
NRP2,0.015184890344667,0.264267219810408
HLA-A,0.0151775007273455,0.264267219810408
RAPH1,0.0153496528871914,0.264267219810408
FBN2,0.0152315882921602,0.264267219810408
SLC22A4,0.0150957172659918,0.264267219810408
EFNB1,0.0153270420818697,0.264267219810408
IL5,0.014987194536346,0.264267219810408
PRDX2,0.0157316268684618,0.268079763982972
SOD3,0.0164322417673851,0.277190340924577
SHH,0.0171419818558113,0.280657938227498
CFH,0.0169692860231427,0.280657938227498
NUCB2,0.0170101042384779,0.280657938227498
HPSE,0.0173416081443878,0.281169763117744
PI15,0.0176101740980202,0.282778757150901
LTBP1,0.018127147246863,0.283837463205493
AOAH,0.0181859931514897,0.283837463205493
ZNF609,0.0179763591409567,0.283837463205493
BTN1A1,0.0185811633644718,0.287319840913592
GGCX,0.01896528084,0.288493230264914
LOX,0.0190025481012817,0.288493230264914
SRGN,0.0192071530385762,0.288972482652453
