gene,p,fdr
PRRC2A,7.22649515036679e-08,0.000164126501969053
SAFB2,7.55472966485861e-08,0.000164126501969053
BMS1,6.60805746257187e-07,0.000957066989162492
SENP3,9.39575004716163e-07,0.00102061334887293
CDC42EP1,1.3043471554381e-06,0.00113347767807571
HRNR,2.04685972634107e-06,0.00148226758515866
YBX3,2.97565511930664e-06,0.00184014155448409
PI4KA,3.38806270100637e-06,0.00184014155448409
QARS,4.04213037884208e-06,0.00195145072178542
EIF3A,5.46797291480373e-06,0.00237583423148222
LAMB2,1.33668468658507e-05,0.00446761151016317
RNF213,1.16247811341367e-05,0.00446761151016317
ENO1,1.27556257682361e-05,0.00446761151016317
LMNA,1.61408341185034e-05,0.00467546161632649
TLN1,1.54592270966394e-05,0.00467546161632649
CECR2,1.73461853856929e-05,0.00471057346880224
FLNB,2.11209809785112e-05,0.00493959776872379
CASC3,2.16000823028198e-05,0.00493959776872379
NCL,2.0723292491641e-05,0.00493959776872379
CUL3,2.39723280653985e-05,0.00495998883067412
RGPD8,2.29415699190328e-05,0.00495998883067412
RGPD5,2.66188968086617e-05,0.00525723211971068
AHNAK,3.51157265594508e-05,0.00663381877829624
TRIP6,4.04540326473134e-05,0.00676049122509911
ZNF598,3.76990986284039e-05,0.00676049122509911
CKMT1B,4.02568590613982e-05,0.00676049122509911
BRWD3,4.99257791237987e-05,0.00803435223307057
RBM33,5.78983020279368e-05,0.0089845757968352
PPP2R1A,5.99774515731203e-05,0.00898627679604164
HNRNPR,7.26344039222058e-05,0.0103667337639061
CLASP2,7.39628876135995e-05,0.0103667337639061
LILRB4,8.23140341017473e-05,0.0111767024428779
HLA-B,9.29385049005296e-05,0.0122369031452364
SRCAP,0.000116677228803699,0.0148996798453263
BAZ2A,0.000120020436038302,0.0148996798453263
THRAP3,0.000132383401834496,0.0159779411380802
ZNF280C,0.000155094894585914,0.0182131707290756
FARSA,0.000164887647084646,0.0183701750405843
PAX1,0.000163956981290373,0.0183701750405843
CDC73,0.000172843002821638,0.0187750711815004
LMNB1,0.000186217858166202,0.0188166649705151
ZNF638,0.000180988442935883,0.0188166649705151
KMT2C,0.000183765928660265,0.0188166649705151
ZFP91,0.000195025604133326,0.019258778408166
RBMXL1,0.00020023891269927,0.0193341794595184
DSP,0.000267892793855446,0.0253042215065634
HSP90AA1,0.000291384643089411,0.0269375803026274
SYNJ1,0.00031198392233644,0.0276646967867721
LDHC,0.000310616539722001,0.0276646967867721
CDK5RAP3,0.000343620455897675,0.0292129526313333
TULP4,0.000336765457467516,0.0292129526313333
POLB,0.000349614162676486,0.0292129526313333
TRIM3,0.000368482918059302,0.0302086467729749
SYNCRIP,0.000380184142389772,0.0305907425682141
PTPN1,0.000398023953066265,0.0308823942155879
ZNF687,0.000393184598949121,0.0308823942155879
AHSA1,0.000416231413720993,0.0317285174143459
CASZ1,0.000456538544635312,0.0342010340765592
LASP1,0.000464610447589975,0.0342158033013295
RNF138,0.000484541563829888,0.0348733635183146
HNRNPA1L2,0.000489591524652978,0.0348733635183146
CDK9,0.000498450227106488,0.0349317134964144
DGCR2,0.000519560071220958,0.0356538075139291
MYCBP2,0.000533371113557052,0.0356538075139291
CDC42BPB,0.000525228962762927,0.0356538075139291
BPGM,0.000605750488072932,0.0381264696561972
BCLAF1,0.000596620587019729,0.0381264696561972
G3BP1,0.000579756991563627,0.0381264696561972
TUFM,0.000606824595708448,0.0381264696561972
CHMP7,0.00061423541448419,0.0381264696561972
PIR,0.000671700150216919,0.0389910169024133
EIF4E2,0.000656308696272721,0.0389910169024133
SCN5A,0.000652065753000527,0.0389910169024133
TMEM167A,0.000673032512699885,0.0389910169024133
