gene,p,fdr
MKI67,2.0206089371449e-05,0.0189331057410477
KIFAP3,0.000134912335444832,0.0632064291559036
ADGRE5,0.000319449034194636,0.0997036488932619
DKC1,0.000430164469912931,0.0997036488932619
MPHOSPH8,0.000532036546922422,0.0997036488932619
THRAP3,0.000771625916368568,0.120502247272891
KIF3B,0.0018255800639696,0.204145800638283
TTC7A,0.00206215793837707,0.204145800638283
NSMCE4A,0.00196074378846762,0.204145800638283
TNS1,0.00218181954331565,0.204145800638283
SMARCC1,0.00239658890824025,0.204145800638283
RUNX1,0.00322747421990512,0.252011945337591
NCK1,0.00378920603434605,0.254243818866775
MAP3K7,0.00397463141031958,0.254243818866775
SPICE1,0.00407007180683205,0.254243818866775
DDX54,0.00541283229615953,0.30950173286776
FLNB,0.00567309031433667,0.30950173286776
HDGFRP2,0.00614006669198936,0.30950173286776
MIB1,0.00627591560777742,0.30950173286776
VCL,0.0074079154076812,0.347060836849864
RPS20,0.00983483056679446,0.373095264679511
RNF169,0.00953348453785946,0.373095264679511
MAP1B,0.0096611868542022,0.373095264679511
XPO4,0.00939793862184997,0.373095264679511
KIF13B,0.00995451613339143,0.373095264679511
NMD3,0.0104631637201034,0.377076323297572
PMS2,0.0112222804060279,0.389454694090671
HECTD1,0.0117036601863511,0.391654628378965
OSBPL10,0.0125144322048469,0.397267403145829
SQSTM1,0.0127193405489593,0.397267403145829
SGTA,0.0161949698707541,0.456728020503299
PGRMC1,0.0176165313776618,0.456728020503299
XRN2,0.0177283813180589,0.456728020503299
SMTN,0.018522587811233,0.456728020503299
CAMSAP1,0.0164376987611438,0.456728020503299
DFFA,0.0181176609529318,0.456728020503299
SYNRG,0.0155417827380712,0.456728020503299
ZFC3H1,0.0178196587059131,0.456728020503299
TLN1,0.0192171808623948,0.461705088924717
OXSR1,0.0201429509267949,0.47184862546017
ITSN1,0.0215588254238333,0.480967129098376
WDR77,0.0213947976622549,0.480967129098376
WDR91,0.0255790619096409,0.48229526224848
SPTAN1,0.0261475525728897,0.48229526224848
DDX18,0.0263825036723732,0.48229526224848
NCOR2,0.0269648790259023,0.48229526224848
ARHGEF2,0.0252003745978279,0.48229526224848
PLEC,0.0249898657267335,0.48229526224848
NPM1,0.0229349481657247,0.48229526224848
GPRASP2,0.0274703981778429,0.48229526224848
CCZ1,0.0277950311221109,0.48229526224848
LARP4B,0.0264552889580925,0.48229526224848
MTDH,0.0238296517657759,0.48229526224848
ARMCX5-GPRASP2,0.0274703981778429,0.48229526224848
CENPF,0.0289269701372192,0.492810382155897
PROSER2,0.0334108324124957,0.503306904807117
SRRM2,0.0354781484170821,0.503306904807117
LMNB2,0.031468041284527,0.503306904807117
ARFGAP3,0.0351610969896083,0.503306904807117
ID2,0.0305301275195339,0.503306904807117
SCAF1,0.0342278406228203,0.503306904807117
MVP,0.0343444916905766,0.503306904807117
FAM134C,0.0359888608560052,0.503306904807117
MTA3,0.0344853596487931,0.503306904807117
HDAC1,0.031421072998843,0.503306904807117
FAM83G,0.0322341289337458,0.503306904807117
SNAPIN,0.0359018428641827,0.503306904807117
RALGPS2,0.0371746239162907,0.504820617529919
NSD1,0.0370407953876652,0.504820617529919
MDM4,0.0383953706829844,0.508729132417243
GOLGB1,0.0385483120614987,0.508729132417243
CD2BP2,0.0407690402624314,0.516224198998625
MSH6,0.0396788890667743,0.516224198998625
HNF1B,0.0405323447228547,0.516224198998625
LIMCH1,0.042940602947553,0.536471266158096
CYFIP1,0.0487822456456707,0.601433739078861
PRKACB,1,1
ZMYND8,1,1
BAZ1A,1,1
MPHOSPH10,1,1
NF1,1,1
DPYSL2,1,1
PPP6R3,1,1
EML4,1,1
POGZ,1,1
SIN3A,1,1
ELF1,1,1
AKAP12,1,1
MAPK14,1,1
SSFA2,1,1
TOR1AIP1,1,1
KDM2B,1,1
EHMT2,1,1
XRCC6,1,1
KIAA1522,1,1
PPFIBP1,1,1
PACSIN3,1,1
RSL1D1,1,1
KPNA6,1,1
ABCC4,1,1
BCAS3,1,1
NCOR1,1,1
AKAP13,1,1
PGLS,1,1
CSDE1,1,1
ACIN1,1,1
PARP4,1,1
KIAA1715,1,1
SH3BP5L,1,1
EEPD1,1,1
RALY,1,1
TPR,1,1
AKAP11,1,1
SRRM1,1,1
MADD,1,1
CAV1,1,1
