gene,p,fdr
HIST1H3H,0.0232989895986918,0.193048770960589
HIST1H4I,0.0165713137808036,0.193048770960589
HIST1H2BK,0.0216276850662164,0.193048770960589
H3F3B,0.0227105580248767,0.193048770960589
HIST1H4K,0.0165713137808036,0.193048770960589
HIST1H2AD,0.00527214521737336,0.193048770960589
HIST1H3C,0.0145227497474428,0.193048770960589
HIST2H3D,0.0276208085002713,0.200250861626967
HIST2H2BF,0.0317773149046702,0.204787140496764
HIST1H2AI,0.0462351385561855,0.216481915440767
HIST1H2BL,0.042204468322991,0.216481915440767
HIST1H2AC,0.0485218086332755,0.216481915440767
HIST1H4F,0.0474142389267347,0.216481915440767
HIST1H3I,1,1
H3F3A,1,1
HIST1H3B,1,1
SHMT2,1,1
HIST1H4B,1,1
HIST3H2A,1,1
HIST1H2BB,1,1
HIST1H2AE,1,1
HIST1H2AM,1,1
HIST1H3D,1,1
HIST1H2BF,1,1
HIST1H2BM,1,1
HIST1H2BN,1,1
HIST1H2BG,1,1
HIST2H2AC,1,1
HIST1H2AB,1,1
HIST1H2BC,1,1
HIST1H2BI,1,1
HIST1H2BH,1,1
HIST1H2AH,1,1
HIST1H4H,1,1
HIST1H3F,1,1
HIST1H4A,1,1
HIST1H2BD,1,1
HIST1H4C,1,1
HIST1H4D,1,1
HIST1H3A,1,1
HIST1H2AL,1,1
HIST1H4L,1,1
HIST1H2BJ,1,1
SOD1,1,1
HIST1H3E,1,1
HIST2H2BE,1,1
HIST3H2BB,1,1
HIST4H4,1,1
HIST2H2AB,1,1
HIST1H2AJ,1,1
HIST1H2AG,1,1
HIST1H4E,1,1
HIST1H2AK,1,1
HIST1H2BE,1,1
HIST1H3G,1,1
HIST1H2AA,1,1
HIST1H4J,1,1
HIST1H2BO,1,1
