gene,p,fdr
MKI67,9.49425594488673e-15,9.02806963434312e-11
AHNAK,1.72835639596882e-14,9.02806963434312e-11
ALMS1,1.17074096929601e-11,4.07691030207848e-08
RGPD8,6.28162054696126e-11,1.31248179708209e-07
AHNAK2,5.33468214860425e-11,1.31248179708209e-07
RGPD5,1.17865991256676e-10,2.05224335109749e-07
FLNB,2.22510570885921e-10,3.32081133435031e-07
HLA-B,6.30112079807321e-10,7.31420099749675e-07
TOP2A,5.70579152929125e-10,7.31420099749675e-07
ZNF644,8.18691570968572e-10,8.55287084190867e-07
RNF213,1.08959629768708e-09,1.03481932017609e-06
SYNE2,6.61569588264611e-09,5.75951457383366e-06
PSMD1,1.04601963462527e-08,8.40597470994627e-06
DNAAF5,3.50452897932911e-08,2.54257769859359e-05
SACS,3.65068110260398e-08,2.54257769859359e-05
HERC4,5.34211590824947e-08,3.19600296593077e-05
ARFGAP3,5.21762821357788e-08,3.19600296593077e-05
ZRANB3,5.5066577377959e-08,3.19600296593077e-05
HUWE1,9.10615453758081e-08,5.00694718179509e-05
SF3B1,1.07631194545455e-07,5.62211544708184e-05
SLC1A3,1.66611909321931e-07,8.28854579374385e-05
SETX,2.28037891065432e-07,0.000108286902180026
PIK3C2A,2.41144758117131e-07,0.000109532142958681
ZNF318,2.83758490209432e-07,0.00012351770613408
MDN1,3.80857972949762e-07,0.000159152929736247
URB1,5.2709483948372e-07,0.000211790761080247
EZH1,5.49566201185773e-07,0.000212641411251399
MYCBP2,6.28950487719067e-07,0.000224309811012497
USP34,6.32482852477071e-07,0.000224309811012497
ZC3H7B,6.44136530140222e-07,0.000224309811012497
ZMYM1,7.33144832155922e-07,0.000247069808436546
CEP295,7.94880097973719e-07,0.000259503511985358
POLR1B,1.1297967329445e-06,0.000357666256638522
KDM3B,1.17147578102531e-06,0.000359953161305043
RLF,1.25656972553768e-06,0.000375068112076918
PARPBP,1.37779110956061e-06,0.000399827325599437
CDC73,1.47764458653411e-06,0.000413777125405944
CCDC93,1.50507617166898e-06,0.000413777125405944
IP6K2,2.04515384897662e-06,0.000547839032314327
FAM35A,2.30632870584578e-06,0.000602355399749271
HGS,2.42081563191126e-06,0.000616835631867731
SMC5,2.87505630149802e-06,0.0007151360281369
CENPE,3.02147768626499e-06,0.000723055360937643
CEP290,3.04531787893714e-06,0.000723055360937643
HTT,3.12515216485335e-06,0.000725521437027176
MDM4,3.31185644168682e-06,0.000752151396658743
MOAP1,3.47885362746966e-06,0.000773267741407991
FAT1,3.55532421591785e-06,0.00077380150174362
KARS,3.65146822111701e-06,0.000775417809054361
RGPD1,3.71119847350608e-06,0.000775417809054361
RALGAPB,4.19624822563966e-06,0.000859572651240345
SPG11,4.33907327010641e-06,0.000871736508707724
BCOR,4.42359612071588e-06,0.000871949220247525
RRM1,4.58918187944619e-06,0.0008878367239736
KDM5A,5.03930554876387e-06,0.000957193183053385
SPTAN1,5.27989269409736e-06,0.000984982838843484
TOPBP1,5.4528936493106e-06,0.000999410174637682
IGF2BP1,5.98997291316299e-06,0.00106227427630979
EXO5,5.99925168012614e-06,0.00106227427630979
MYOF,6.35560038150617e-06,0.00110661595309325
PTEN,7.02479621545827e-06,0.0012030827223425
UBR3,7.35848923327816e-06,0.00123337173226141
GTF3C4,7.43777344045839e-06,0.00123337173226141
DAB2,7.85065288847422e-06,0.00126178108809062
RAD54B,7.84060125512028e-06,0.00126178108809062
CKAP4,8.39283361043641e-06,0.0013204592220435
SCML2,8.46853334707709e-06,0.0013204592220435
NUP205,9.29558128676419e-06,0.00142810202504155
CYFIP2,9.63137290870276e-06,0.00145824569242345
ZNF507,1.04689775377817e-05,0.00156242011910293
PGP,1.08888541980721e-05,0.00160219520855294
SIN3A,1.11439960640306e-05,0.00161696287334622
BRCA2,1.18388827470121e-05,0.0016273790533952
MYO7B,1.17416584828168e-05,0.0016273790533952
DMXL2,1.15776264054485e-05,0.0016273790533952
PIK3C2B,1.15882627273382e-05,0.0016273790533952
IQGAP1,1.27952451434157e-05,0.00171374264119569
LARS,1.27413763195403e-05,0.00171374264119569
BIRC6,1.35831555394901e-05,0.00179624336608928
VPS13A,1.37897581143762e-05,0.0018007700377611
ATR,1.41929891695535e-05,0.00181030024703333
SLK,1.4209306045442e-05,0.00181030024703333
KPNA6,1.49257927805736e-05,0.00187867177323678
SFXN4,1.52231509981707e-05,0.00189328879140344
ATAD3A,1.55482486917273e-05,0.0019109712244997
ANKIB1,1.58113459608367e-05,0.00191777279772885
DDX24,1.5970731636107e-05,0.00191777279772885
PGAM5,1.7262796095147e-05,0.00204936853188637
DCAF6,1.79706600369314e-05,0.0020711473941073
RABEP1,1.80410082189877e-05,0.0020711473941073
PCNXL3,1.7710293243279e-05,0.0020711473941073
DOCK4,2.05486683464947e-05,0.00233339063278076
ESCO2,2.12926571159878e-05,0.00239187514936263
EPPK1,2.18215677586317e-05,0.00242521189760027
KDM5D,2.23135761811451e-05,0.00245378874067813
FKBP4,2.25747165881498e-05,0.00245664650204584
ZBED4,2.34047202320004e-05,0.00252046617504405
TM9SF3,2.36436953340018e-05,0.00252046617504405
CLTCL1,2.43190210347367e-05,0.00255194069858977
PPM1G,2.44274978327727e-05,0.00255194069858977
GNAI3,2.53537519576256e-05,0.0025972849176198
N4BP2,2.53587691774882e-05,0.0025972849176198
CCPG1,2.62626044786121e-05,0.00266374202901029
SPATA5,2.80729667141224e-05,0.0027931265072613
ARHGEF6,2.79717965827986e-05,0.0027931265072613
ZNF571,2.86190484264849e-05,0.00279423550384568
ASPM,2.84085033134685e-05,0.00279423550384568
SPTBN1,2.89404148594215e-05,0.00279944920404052
SAMM50,2.95637677709949e-05,0.00283351084315214
USP7,3.03134585541637e-05,0.00287895183195772
UIMC1,3.10585317337855e-05,0.0028922670229013
HCFC1,3.10768792491854e-05,0.0028922670229013
ASCC2,3.12842130360722e-05,0.0028922670229013
VPS13B,3.34251787297245e-05,0.00306309510692484
DHCR7,3.49097524282954e-05,0.00317132333581219
FAM21A,3.57969577934183e-05,0.00321204161459786
UNC45A,3.59728983352111e-05,0.00321204161459786
SMC2,3.64071314683862e-05,0.00322326527500196
NCAPD3,3.88770630877271e-05,0.00341301410149147
MAPK1,3.9936945640148e-05,0.00345752936263996
TRIM26,4.00460469875979e-05,0.00345752936263996
PPP2R1A,4.08525309680324e-05,0.00347248576456531
CKB,4.08840575324527e-05,0.00347248576456531
RAB34,4.52944750247029e-05,0.00378553104466457
RUNX2,4.50463946221483e-05,0.00378553104466457
KRT17,4.98207309544847e-05,0.0039510265343802
KIAA0753,4.99220352769395e-05,0.0039510265343802
JAK1,4.76822509465585e-05,0.0039510265343802
HMCES,4.96797869752988e-05,0.0039510265343802
