gene,p,fdr
AHNAK2,3.85296143239185e-15,1.49186666662212e-11
CPS1,1.7953686913896e-06,0.00285689356960589
RSL1D1,2.21350224917812e-06,0.00285689356960589
PLXNA4,2.28193095034915e-05,0.0148414667950182
AHNAK,1.57319980891906e-05,0.0148414667950182
XRCC5,2.29981406947595e-05,0.0148414667950182
EED,3.46247088327439e-05,0.0191524103714835
USP7,8.63152253113633e-05,0.033438195888221
HSPA9,8.63589769840418e-05,0.033438195888221
PDS5B,8.13240081036548e-05,0.033438195888221
SSB,0.000115548547041594,0.040673088558641
TCOF1,0.000232610506401118,0.075055656732094
PGK2,0.000273332585575691,0.0814110593345444
PAICS,0.000474031033983959,0.0916285007266745
EPRS,0.000363938081669294,0.0916285007266745
MED4,0.000374300633627569,0.0916285007266745
PARN,0.000474067163194444,0.0916285007266745
RBM12,0.00052061648140156,0.0916285007266745
HIST1H3D,0.000442760536639223,0.0916285007266745
PGAM5,0.00050679026773121,0.0916285007266745
NCBP1,0.00041840513031294,0.0916285007266745
COPS4,0.000380609534012672,0.0916285007266745
ARID1A,0.000581961679279333,0.093889817590399
MYH9,0.000575213290171245,0.093889817590399
PDS5A,0.00076973623689679,0.0997239597740704
STIP1,0.000799429200941147,0.0997239597740704
IQGAP1,0.000730190986993087,0.0997239597740704
CCBL2,0.000820978018596606,0.0997239597740704
EEF2,0.000695758574487107,0.0997239597740704
STMN1,0.000669245761732882,0.0997239597740704
NCL,0.000838045339413629,0.0997239597740704
GPI,0.000893369345996036,0.0997239597740704
LCP1,0.000901430421511483,0.0997239597740704
HIST1H2AG,0.000853654286127102,0.0997239597740704
REXO2,0.000726438231829772,0.0997239597740704
PAK3,0.00104683396984675,0.103540817093197
CUX1,0.00102169599015201,0.103540817093197
BRD4,0.00106963654021898,0.103540817093197
RPS19,0.00105174070408914,0.103540817093197
TOP2A,0.00100455981519465,0.103540817093197
C12orf45,0.00123355112797766,0.116495365061695
PAXBP1,0.00130366822870779,0.120185794798966
VTA1,0.00163218641568631,0.140266556838473
ZNF549,0.00166638987979591,0.140266556838473
BCAT2,0.00163668034370931,0.140266556838473
OSGEPL1,0.00162627229766621,0.140266556838473
FLNB,0.00170784550161682,0.14069739962256
HIST3H2BB,0.00175606575117762,0.141655970594995
WAC,0.00186148153596287,0.147095030760168
HNRNPC,0.00207963337581863,0.161046808623395
NUDT9,0.00229433967533876,0.174189867115916
PPA2,0.00241766319781122,0.180022921190866
PHF2,0.0025860501365937,0.188928040167751
FGD6,0.00266393666248021,0.191014125131914
ATP5B,0.00288141745875196,0.202851789096138
COMMD4,0.00300321786396076,0.207651063736716
DYNLL2,0.00318383461186661,0.216277326616623
SIN3A,0.00398857034396784,0.25530606948522
TMLHE,0.00400711763035432,0.25530606948522
NDUFA2,0.00423047970154761,0.25530606948522
FH,0.00413341366795321,0.25530606948522
POLR2A,0.00402751978731518,0.25530606948522
RECQL4,0.00428587151770126,0.25530606948522
SOD2,0.00386566324736705,0.25530606948522
TPI1,0.00420440722926207,0.25530606948522
PTEN,0.00450835328935662,0.264490059642255
AKR1C2,0.00460582963932942,0.266175706917664
MYO1C,0.00475679580268791,0.266932077507357
ATP5H,0.00471532986192339,0.266932077507357
PPAT,0.00490308282338989,0.271210524173795
TBC1D24,0.0049854289671632,0.271881421983886
RPL24,0.00507761255930393,0.2730627198559
BAD,0.0054156169581451,0.283368498134295
S100A10,0.005396706235824,0.283368498134295
MAPK9,0.00578130280811244,0.291139096584107
FAM161B,0.00578969794343394,0.291139096584107
EXOSC7,0.0056720021409842,0.291139096584107
PPP1CA,0.00587402623203773,0.291592686800642
AHCYL2,0.00660325031154854,0.300797473015482
NT5C3B,0.00624816728101989,0.300797473015482
GFAP,0.00642386322154953,0.300797473015482
HSPA6,0.00651186272326353,0.300797473015482
HDGF,0.00658320271297444,0.300797473015482
RPL7,0.00621388112221983,0.300797473015482
VAV1,0.00652279112793915,0.300797473015482
HN1L,0.00676051985166724,0.300911123260477
SOX9,0.00676117451540844,0.300911123260477
SPTBN1,0.00685504830114053,0.301622125250183
PCID2,0.00695334285778454,0.302509478037548
ACP1,0.00708734869684822,0.304913490602181
SERPINB3,0.00749179593264095,0.305349830012482
PFKL,0.00748064271236144,0.305349830012482
MAGOH,0.0074255284235087,0.305349830012482
PARK7,0.00734485517141023,0.305349830012482
RAB14,0.00733462287872997,0.305349830012482
HMOX2,0.00766389278194673,0.305923637646368
IGLL5,0.00761748751944087,0.305923637646368
FLNA,0.00819969715991396,0.320699266698857
PURB,0.00812790851314623,0.320699266698857
MRPS22,0.00844125971651534,0.326845576223474
SNU13,0.0088553003192133,0.339482404316771
APRT,0.00911934563421258,0.34281656597739
ETS1,0.00903954590049369,0.34281656597739
NCOR1,0.00985538109662933,0.351523510819444
SF1,0.00975748442368914,0.351523510819444
RDX,0.00964041771187628,0.351523510819444
ASNA1,0.0100230542761231,0.351523510819444
TUBA1C,0.00992028778674578,0.351523510819444
PHF20L1,0.00998841028294862,0.351523510819444
CCNB1,0.00950472724472276,0.351523510819444
FOSL2,0.0100772494062392,0.351523510819444
CALM1,0.0103316249172146,0.355970122170424
DPF2,0.0103885908587959,0.355970122170424
FKBP4,0.0119567891685264,0.367001854765973
YWHAZ,0.0121537254703601,0.367001854765973
OLFM3,0.0114622477044325,0.367001854765973
MPP1,0.0121204900447378,0.367001854765973
DDX39B,0.011330039532424,0.367001854765973
CRY1,0.0121633591764698,0.367001854765973
BRD2,0.0115616231629108,0.367001854765973
RRP1B,0.0116080265011057,0.367001854765973
NDUFA5,0.0114649866296929,0.367001854765973
HADHB,0.011981379287389,0.367001854765973
TGM2,0.0116710641036213,0.367001854765973
HIST1H4A,0.0120108377605536,0.367001854765973
DNAJC7,0.0115314744082311,0.367001854765973
FSIP2,0.0113489796525739,0.367001854765973
WHSC1L1,0.0111015242019881,0.367001854765973
EIF3E,0.0122270762564077,0.367001854765973
SUCLA2,0.0128411706134328,0.379902736343849
SUPT6H,0.0129512296480858,0.379902736343849
NAE1,0.0129050162156898,0.379902736343849
RBM8A,0.0130708302293206,0.380528230435559
NFAT5,0.0134694393927268,0.389206487527149
SRRM2,0.0136280241378,0.390871921937495
AKT3,0.0142514603280079,0.39656510160467
LDHA,0.0145434515567828,0.39656510160467
ANXA1,0.0145371531338883,0.39656510160467
NDUFA12,0.0140833701550564,0.39656510160467
PHF20,0.0144558986832575,0.39656510160467
ALDH1L1,0.0143752813703253,0.39656510160467
PITRM1,0.014169806354571,0.39656510160467
ERCC4,0.0146727835594358,0.397293831763185
SORBS1,0.014809486945521,0.398210648979564
NIPBL,0.0149438559671295,0.399052484860176
LMNB1,0.0151304142422603,0.401266876342684
SUMO1,0.0185316782349847,0.409556656268873
SERPINB5,0.0186474234883716,0.409556656268873
RBM14,0.0176400146862449,0.409556656268873
INMT,0.0168573363163743,0.409556656268873
SEPT9,0.0182292131324127,0.409556656268873
ADRM1,0.0168678176320784,0.409556656268873
EDF1,0.0167466945150392,0.409556656268873
SF3B2,0.0180789470818127,0.409556656268873
SMARCA2,0.0171177006326483,0.409556656268873
SMARCA1,0.0185455017774494,0.409556656268873
RPL15,0.0173373911570774,0.409556656268873
CYLC1,0.0179464456195464,0.409556656268873
SHMT2,0.0160164365746861,0.409556656268873
SYT12,0.0184208121100742,0.409556656268873
EHMT1,0.0185513679867647,0.409556656268873
MED1,0.0165219660010101,0.409556656268873
DDX19A,0.0164532448468799,0.409556656268873
DDX6,0.0183110552399353,0.409556656268873
SRP72,0.0187219855784066,0.409556656268873
TUBA1B,0.0184285931472319,0.409556656268873
RBBP4,0.0183344292300131,0.409556656268873
SUPT16H,0.0174275163989164,0.409556656268873
CSNK2B,0.0161405792859804,0.409556656268873
ACACA,0.0159170755159885,0.409556656268873
GPLD1,0.0163597694958837,0.409556656268873
TPX2,0.0163211748378149,0.409556656268873
PRKAA1,0.0157463519005483,0.409556656268873
MT2A,0.0185316779476189,0.409556656268873
HIST4H4,0.0173359273496171,0.409556656268873
RPL26,0.0163255938902347,0.409556656268873
SMARCA5,0.016849906989527,0.409556656268873
LDB1,0.0200164802451081,0.414598991981474
RUFY1,0.0210130110701941,0.414598991981474
HSP90AA1,0.0207027740517509,0.414598991981474
NCOR2,0.020167030073366,0.414598991981474
RPN1,0.0193711265692268,0.414598991981474
