gene,p,fdr
AHNAK2,1.5750279910065e-46,2.39640508831638e-42
HRNR,2.83987285531706e-23,2.16043327468246e-19
PLEC,3.55456444146625e-19,1.8027565992303e-15
KMT2D,1.02558103754464e-14,3.90105387156042e-11
AHNAK,6.32422569051576e-14,1.92446187762394e-10
CEP295,1.43651570134512e-13,3.64276439932768e-10
DYNC1H1,5.80165472897745e-13,1.26103109573417e-09
UBR4,9.4653587636008e-13,1.80019291985233e-09
ARHGAP32,4.38493637256506e-12,7.41297854539749e-09
SPTBN1,5.93369439788842e-12,9.02811602638724e-09
MYCBP2,9.77430920739237e-12,1.34508920055685e-08
CIC,1.06086561989367e-11,1.34508920055685e-08
PRRC2A,1.38523043226055e-11,1.62125238668033e-08
FASN,2.24770924779679e-11,2.44277830037344e-08
ATRX,3.22130289034696e-11,3.26747489844193e-08
TLN1,6.49426598659775e-11,5.81236805800499e-08
KMT2B,6.37436678497211e-11,5.81236805800499e-08
POLR1A,7.73276496480706e-11,6.27968139224374e-08
KIAA1551,7.84186305965371e-11,6.27968139224374e-08
DNM2,1.49642716325281e-10,1.13840696444458e-07
SRRM2,2.7291245476037e-10,1.97731571389477e-07
RNF213,4.49185466846556e-10,3.10652585366834e-07
KDM5A,5.21662506193905e-10,3.45091088336533e-07
KMT2A,6.44398250130017e-10,3.92180775029129e-07
RANBP2,6.23259965388038e-10,3.92180775029129e-07
C4B,8.05455128342427e-10,4.71346145297309e-07
MTOR,1.24040837440139e-09,6.98993089500634e-07
GREB1,1.33280379605932e-09,7.24236062751518e-07
SYNE2,1.78966627678248e-09,9.38957669008466e-07
NAV1,2.0423885802274e-09,1.00241749187612e-06
HCFC1,2.01085553793166e-09,1.00241749187612e-06
BIRC6,2.19812403690426e-09,1.02436920003815e-06
FSIP2,2.22176691431213e-09,1.02436920003815e-06
UTRN,2.33117432999256e-09,1.04320051267167e-06
CTNNA1,3.35528257748641e-09,1.45858926904159e-06
DSP,3.57326894146396e-09,1.46938613363173e-06
MDC1,3.4780848182476e-09,1.46938613363173e-06
BRCA1,4.41585940450312e-09,1.76808686419776e-06
ARID1A,4.68684374876743e-09,1.81228023767852e-06
DOCK2,4.76445675367341e-09,1.81228023767852e-06
PHRF1,6.07408419979506e-09,2.25407783170444e-06
ALMS1,7.38023423518388e-09,2.67357771162673e-06
POGZ,8.27259864269915e-09,2.92715321741088e-06
USP34,8.87592529310045e-09,3.06925462123917e-06
TOP2B,9.73582938624642e-09,3.29179209137198e-06
TSC2,1.01219524288765e-08,3.34794578707295e-06
NCOR2,1.13988464445316e-08,3.69007337560742e-06
DCTN1,1.24762489937134e-08,3.95471100915311e-06
SUPT16H,1.30321018320738e-08,3.96566858750007e-06
PRPF8,1.28291099060151e-08,3.96566858750007e-06
ARID4B,1.44502349939943e-08,4.31098677320829e-06
SPTAN1,1.54915277758461e-08,4.52336484240483e-06
FAM120A,1.58079651486713e-08,4.52336484240483e-06
ARHGAP21,1.60540060131358e-08,4.52336484240483e-06
IQGAP1,1.80224846489656e-08,4.98567461698203e-06
AKAP13,1.89734977555084e-08,5.15503157767965e-06
RLF,1.9580542298601e-08,5.22663072058271e-06
ROCK2,2.04910133343141e-08,5.28425030307779e-06
POTEE,2.04795401358649e-08,5.28425030307779e-06
DMXL1,2.24678373384337e-08,5.69746908507114e-06
TNIP1,2.58905634700351e-08,6.45778562617352e-06
PCDHGA5,2.7988364260983e-08,6.86843487469124e-06
MYH11,2.94077361071802e-08,7.10220166461503e-06
SKI,3.39833110358988e-08,8.07900120955e-06
PRRC2B,3.46455242831446e-08,8.1097177225853e-06
CUX1,3.57573394400274e-08,8.24315029666693e-06
ASPM,3.72561291802614e-08,8.46047769369667e-06
ZAK,4.01915896118446e-08,8.99286817565023e-06
LRBA,4.2899770635802e-08,9.45971029309749e-06
ANKRD11,4.71160332234664e-08,1.02410063642149e-05
GLI1,5.07723885274485e-08,1.08803083302131e-05
PTK7,5.74574598145254e-08,1.21418784871945e-05
MYO5C,6.13934385046642e-08,1.27959063951845e-05
SMG1,6.46405643352411e-08,1.32906241400094e-05
IFT140,7.41040853773384e-08,1.50332487868827e-05
EHMT1,7.92026371482878e-08,1.58561595290947e-05
XIRP1,8.11931662241461e-08,1.60435587545504e-05
YBX3,8.31789977565795e-08,1.62252365495687e-05
CDC42BPA,8.50890916997999e-08,1.63388279859503e-05
FLNC,8.59090528344413e-08,1.63388279859503e-05
MAP1A,8.92003090848245e-08,1.67553420089581e-05
BRCA2,9.21967845120118e-08,1.71070009311007e-05
PALM3,9.33669777015285e-08,1.71154044063706e-05
NUMA1,9.60048155159534e-08,1.71848619773557e-05
RBM27,9.56761568489256e-08,1.71848619773557e-05
PDS5A,9.77017567124103e-08,1.7285258469527e-05
RGPD2,1.0103101099359e-07,1.76688141639939e-05
RICTOR,1.07778825281558e-07,1.85035748773516e-05
ZNF462,1.08236487945073e-07,1.85035748773516e-05
PHF2,1.10325539155474e-07,1.86511453138949e-05
UBR5,1.14425536059271e-07,1.91316981444155e-05
DMD,1.17871990668534e-07,1.94937210654538e-05
ARHGAP31,1.20751145336434e-07,1.95449859180196e-05
MARS,1.20467248422909e-07,1.95449859180196e-05
PC,1.2723668680868e-07,2.01656894770215e-05
ORC2,1.27034243661945e-07,2.01656894770215e-05
ZC3H7B,1.39667478237322e-07,2.19076358905242e-05
NOMO2,1.4191327116937e-07,2.20327593963465e-05
RGPD1,1.50195227193987e-07,2.30830341591567e-05
TMEM131,1.58390051715687e-07,2.40990463685417e-05
TCOF1,1.60020586563376e-07,2.41060715303146e-05
SOGA1,1.61764818955881e-07,2.41299188275855e-05
USP7,1.98121705231276e-07,2.92662305348919e-05
SRCAP,2.03000452654072e-07,2.94157322583971e-05
PIK3C2B,2.02189224070699e-07,2.94157322583971e-05
NLRP3,2.08515395751372e-07,2.99298277958219e-05
SAFB,2.15789559659121e-07,3.06844686935843e-05
MICALL1,2.26328137315991e-07,3.18850241598408e-05
YTHDC2,2.3268036099115e-07,3.24791898392693e-05
NIN,2.44608748185701e-07,3.36176111150196e-05
MYH3,2.45255000576219e-07,3.36176111150196e-05
OS9,2.74642967575321e-07,3.73097567112366e-05
RAI14,2.86608735893649e-07,3.85907249258573e-05
SETD2,3.09337881426786e-07,4.09267466600744e-05
JARID2,3.08111975733464e-07,4.09267466600744e-05
BAZ1A,3.19047509639803e-07,4.11474824196344e-05
MYH10,3.14587297594065e-07,4.11474824196344e-05
GPATCH8,3.19119482452636e-07,4.11474824196344e-05
ZNF302,3.52774464854606e-07,4.44831706151055e-05
DOCK7,3.59651430657667e-07,4.44831706151055e-05
ADARB1,3.62531262324882e-07,4.44831706151055e-05
ABL1,3.54285607219581e-07,4.44831706151055e-05
FLNB,3.59747231467782e-07,4.44831706151055e-05
FBXO41,3.50077686888917e-07,4.44831706151055e-05
SORL1,3.70435280420561e-07,4.50893823327906e-05
MAST4,4.03370016626398e-07,4.87085301823067e-05
DENND4A,4.08164190125763e-07,4.88993555335707e-05
TBCE,4.35894132503926e-07,5.1813509578494e-05
MKI67,4.50924139534127e-07,5.31845797132693e-05
OSBPL8,4.58710159214383e-07,5.36867313265141e-05
POLR2A,4.67769993972352e-07,5.43291638037354e-05
CHD2,4.82528085248569e-07,5.56186728564923e-05
CCDC88C,4.99337440556495e-07,5.71234523162938e-05
MROH1,5.22803127256857e-07,5.93615640389036e-05
CPD,5.44279459236901e-07,6.13423109058478e-05
SMC3,5.69734867195515e-07,6.37390882674983e-05
PAXBP1,5.84696698623364e-07,6.49354764201057e-05
TNRC6A,5.91175988202399e-07,6.51792946413007e-05
GIGYF2,6.06001125391845e-07,6.6333144768611e-05
C4B_2,6.21752775917384e-07,6.757120346845e-05
KAT6A,6.26272863694385e-07,6.75797278092912e-05
HUWE1,6.35050509202129e-07,6.77719396055775e-05
SMARCA4,6.36962692316634e-07,6.77719396055775e-05
SUGP2,6.63809186957321e-07,7.01378943024697e-05
EED,6.88891723929263e-07,7.22861212385085e-05
SMC1A,7.06168926734916e-07,7.25970285153497e-05
MYH2,7.02629532841587e-07,7.25970285153497e-05
ATP13A1,7.0237484191275e-07,7.25970285153497e-05
SND1,7.33848345499218e-07,7.49362589045007e-05
SMC5,7.61401436460058e-07,7.72314857049319e-05
RFC1,7.919289682091e-07,7.88046268273748e-05
MKL1,7.9427815208269e-07,7.88046268273748e-05
OBSCN,7.97628165061829e-07,7.88046268273748e-05
WDR33,7.94931501994445e-07,7.88046268273748e-05
SNX29,8.2241757868067e-07,8.0729570707267e-05
PNPLA6,8.65378856063926e-07,8.44021749680297e-05
SLU7,8.90245203794812e-07,8.62743998454654e-05
N4BP1,8.96907735613244e-07,8.63699442870602e-05
LRRK2,9.15666451050036e-07,8.76217927844421e-05
BTAF1,9.41170760255653e-07,8.9499456983061e-05
EEA1,9.47771545048772e-07,8.95673543970004e-05
KIAA1279,9.6680323845407e-07,9.08019214387573e-05
TACC3,1.00795320774388e-06,9.36403868063171e-05
TDRD9,1.0093344355068e-06,9.36403868063171e-05
CABIN1,1.05093536915191e-06,9.6908979646341e-05
ITPR3,1.06141437879902e-06,9.72856612857055e-05
RIN1,1.07246124190647e-06,9.77095676383647e-05
TNS1,1.13018130533618e-06,0.000102355408099345
RBBP6,1.13835682266272e-06,0.000102485793235581
KIAA1671,1.16870308064302e-06,0.00010459892571755
JUP,1.1900079364204e-06,0.000105882869898459
GCN1,1.22967774012616e-06,0.000108776434976858
KIAA0753,1.25579458583977e-06,0.000109809854158346
ANKRD17,1.24956972120687e-06,0.000109809854158346
MYH14,1.27073438209017e-06,0.000109853543315352
NCAPD2,1.26526204664517e-06,0.000109853543315352
N4BP2,1.30390152458809e-06,0.000111454279194426
PPIP5K2,1.30140722616108e-06,0.000111454279194426
IARS,1.31857309740532e-06,0.000112078713279452
ZNF638,1.33935521273961e-06,0.000113212719787962
ANK1,1.39323179558858e-06,0.000117116142375029
CNOT1,1.49164328255684e-06,0.000124699739253309
MAP3K4,1.53078910378862e-06,0.000127272984776742
LTBP1,1.56522949481301e-06,0.00012942916719337
POLQ,1.58868690048777e-06,0.000130658763194169
MLLT6,1.61222143543925e-06,0.000131176198610739
CELSR3,1.61201562435223e-06,0.000131176198610739
WDR7,1.62535855470125e-06,0.000131541651115848
RASGRP1,1.67311045720381e-06,0.000134689818023048
SAFB2,1.684017653914e-06,0.000134854361075271
CCDC120,1.69998622022418e-06,0.000135420368275973
SAP130,1.74042507635028e-06,0.000137626313677114
PCNT,1.74576921062656e-06,0.000137626313677114
C4A,1.80236116548163e-06,0.000141355284189706
MYH4,1.87015058084066e-06,0.000144607166670894
RGPD4,1.85929808373295e-06,0.000144607166670894
HNRNPL,1.87233728781901e-06,0.000144607166670894
TNFRSF21,1.90524458971696e-06,0.000146405537538099
INTS4,1.97989390415494e-06,0.000151377315335263
FBLN2,1.99268378446639e-06,0.000151593418903281
IGLL5,2.01408410481771e-06,0.00015245915251145
KMT2C,2.03426390205351e-06,0.000153224382523486
PDPR,2.08667149798499e-06,0.000155630915891381
ZC3H18,2.08461473906114e-06,0.000155630915891381
EP300,2.12117967861345e-06,0.000157432921024896
ZNF407,2.24442098266493e-06,0.000165771190540034
GOLGB1,2.26393536007385e-06,0.000166404717408327
UTP14A,2.2757091238934e-06,0.000166465934230952
CDK5RAP2,2.29096288762234e-06,0.000166779905909923
RYR1,2.3242454484626e-06,0.00016839711665885
GJA1,2.4446334949076e-06,0.000176280088270233
SACS,2.51224676824376e-06,0.000180301106503909
EPG5,2.5330498155853e-06,0.000180940624150847
USP54,2.62980656652123e-06,0.000186974331353367
C6orf132,2.68656107169434e-06,0.000190121054445718
ARID2,2.71758535715703e-06,0.000191426209301593
SYTL4,2.78717897991462e-06,0.000195423632163138
ATM,2.82263564110911e-06,0.000197001840731537
PVRL4,2.96451477784224e-06,0.000204095440474523
UBR3,2.94540405792116e-06,0.000204095440474523
TSHZ3,2.95144898826325e-06,0.000204095440474523
SH3PXD2B,2.97858050156724e-06,0.000204140100591647
TCF3,3.09153127949632e-06,0.000210931158823034
CC2D1A,3.16692143914383e-06,0.000215110311145417
SNRNP200,3.22838798544375e-06,0.000217551852827227
ALK,3.23146360426904e-06,0.000217551852827227
ATXN2,3.35431261211767e-06,0.000224827605257138
CHGB,3.42496625614847e-06,0.000228556410470609
TSEN54,3.54108949986648e-06,0.00023425076843682
KIF24,3.5354965947321e-06,0.00023425076843682
TJP1,3.6132046562754e-06,0.00023798661837762
ZNF282,3.84172214380242e-06,0.000251947424215319
MYBBP1A,3.89507430303151e-06,0.000254350023693667
NAMPT,3.921426410173e-06,0.000254976507823856
TRPS1,4.00140190056936e-06,0.000259069489009203
VCAN,4.0263963717366e-06,0.000259583138965985
GOLGA4,4.19785246995093e-06,0.000268362711471863
HNRNPA1L2,4.19701525031888e-06,0.000268362711471863
