gene,p,fdr
TG,4.92750380879328e-06,0.00493006110445788
BTD,5.91844070163011e-06,0.00493006110445788
ITGB2,3.65302227165755e-05,0.0202864503486049
TNFRSF21,5.74804665214702e-05,0.0217237275419159
NTN1,7.82367138364316e-05,0.0217237275419159
PTK7,7.46402107233112e-05,0.0217237275419159
VCAN,9.2595023432835e-05,0.0220376155770147
MUC4,0.000114388680525877,0.0238214427195138
ST8SIA4,0.000229862638279919,0.0278283221370704
LTBP1,0.000226526183439588,0.0278283221370704
SORL1,0.000233851446530003,0.0278283221370704
ACE,0.000216502380515826,0.0278283221370704
FOLH1,0.000169346023295742,0.0278283221370704
CASR,0.00021054160978185,0.0278283221370704
MUC20,0.000276026386990208,0.0306573307150457
LPL,0.000397579634982558,0.0413979794925589
GABBR2,0.000468691315029989,0.0459317488729389
PTPRZ1,0.00052984974909961,0.0490405378888862
NPC1L1,0.000569349996364622,0.0499230049443927
SIL1,0.000789757300114129,0.0657867830995069
NCOR1,0.000938431218934583,0.0710648368520462
CPD,0.000897557340494304,0.0710648368520462
CD44,0.00110228889681846,0.0754989786047536
KIT,0.00113293785421299,0.0754989786047536
TMEM106B,0.00105887535499725,0.0754989786047536
DPP6,0.0013549304073213,0.0762574555612442
SEMA4D,0.00119704883345842,0.0762574555612442
ATP1B1,0.00134543988866539,0.0762574555612442
IGFBP3,0.00141895625594152,0.0762574555612442
CP,0.00136890486994724,0.0762574555612442
PAPPA,0.00138955265242836,0.0762574555612442
SLC4A10,0.00152459900902988,0.0764786367950536
DPP10,0.00159297290459337,0.0764786367950536
CD1D,0.00149399699127209,0.0764786367950536
LIF,0.00160669405031625,0.0764786367950536
ITGAV,0.0016899308362445,0.0770754467146064
SLC26A3,0.00171175962091263,0.0770754467146064
LIPG,0.00217564412362492,0.0953848186831347
NENF,0.00238666549433082,0.101953454193721
DMBT1,0.00245060881989232,0.102067857348515
INSR,0.00270197834302205,0.109792583401823
PCSK1,0.00343114844188625,0.136102221528155
NTRK2,0.00361892611492225,0.137025702442283
NUP214,0.00361243887978072,0.137025702442283
FCGR1A,0.00410312890279481,0.145889963288225
DLK1,0.00405317136463352,0.145889963288225
CDH1,0.00411574326203275,0.145889963288225
SPTA1,0.00421919548454523,0.146441243276091
TLL2,0.00443735543838363,0.150870084905043
PROCR,0.00459485688358205,0.153100631360954
CSF3R,0.00481451069968331,0.154249515878315
RPRD1A,0.00473500622064285,0.154249515878315
SNCA,0.00493668658555941,0.155179619840415
SPP1,0.0054024321181682,0.166675035349411
NRP2,0.00672896996757938,0.182512149336369
PDLIM7,0.00640577096532449,0.182512149336369
CD83,0.00639873463189565,0.182512149336369
CLEC3B,0.00679216882284205,0.182512149336369
ADAMTSL1,0.00672298933020696,0.182512149336369
APCS,0.00672976013280581,0.182512149336369
EFNB1,0.00604251869530505,0.182512149336369
AGRN,0.00673713622159612,0.182512149336369
IBSP,0.00787865066963176,0.208346539930262
CFB,0.008297011972493,0.215981592908959
SSC5D,0.00847829485065159,0.216116046015734
HRG,0.00856162007025118,0.216116046015734
CD109,0.00926044683997054,0.220398634791299
HBEGF,0.00922684591017586,0.220398634791299
HPX,0.00892960779819576,0.220398634791299
ITGA1,0.00900710926168192,0.220398634791299
FOLR1,0.00960017222307723,0.224701693952393
SAA4,0.00971099757777447,0.224701693952393
COLGALT1,0.00998849679498165,0.227486942237126
CD276,0.0101044620201364,0.227486942237126
IL6,0.0105533896902914,0.227558483446067
QSOX1,0.0109271780766419,0.227558483446067
IFNAR2,0.0106794292762152,0.227558483446067
CHRDL2,0.0109011131492181,0.227558483446067
ERGIC2,0.0103631851030255,0.227558483446067
LOX,0.0108369648866626,0.227558483446067
HILPDA,0.0114744432118482,0.233127102328525
TNFRSF14,0.0113412709259331,0.233127102328525
LIPF,0.011826455824841,0.234558040526013
CD14,0.0117058699466544,0.234558040526013
APOB,0.0123588167116755,0.242232807548839
SLC2A1,0.0133149279156517,0.243765603378853
CACNA2D2,0.013038626262061,0.243765603378853
CRB3,0.0131332391625018,0.243765603378853
FSTL1,0.0127230492711423,0.243765603378853
F12,0.0131396875206116,0.243765603378853
C14orf37,0.013266328402173,0.243765603378853
TLR3,0.0137441864902288,0.248889290138274
ADGRE5,0.0140831462574207,0.249022442547624
NT5E,0.0139110359241931,0.249022442547624
TLR1,0.0143494324637287,0.249022442547624
CD27,0.0142210191064014,0.249022442547624
ADIRF,0.0149222103941218,0.253265503422848
HEPH,0.0153540311198725,0.253265503422848
CA14,0.0152524118225862,0.253265503422848
ITIH3,0.0152321067567393,0.253265503422848
YIPF3,0.0147917175623504,0.253265503422848
NPDC1,0.0159123497808302,0.259901713086893
TLR8,0.0162530300673189,0.262888816428672
ITIH1,0.0166027232970948,0.263337083022051
PVRL1,0.0165025949783059,0.263337083022051
ATRN,0.016754940456385,0.263337083022051
MAN1B1,0.0175724510700755,0.271643821141122
NAGLU,0.0176095634353189,0.271643821141122
COL6A6,0.017908427447447,0.273719634196759
