gene,p,fdr
HIST1H3D,0.000484324230293435,0.0276064811267258
HIST1H3B,0.0227105580248767,0.18130706346871
HIST1H2BK,0.0217183537751115,0.18130706346871
HIST1H4A,0.0120108377605536,0.18130706346871
HIST1H2AD,0.0254466053991171,0.18130706346871
HIST1H2BD,0.0217183537751117,0.18130706346871
HIST1H3E,0.0149166232178775,0.18130706346871
HIST4H4,0.0109037237962757,0.18130706346871
HIST1H3J,0.0424730876552312,0.186228153565245
HIST1H2BN,0.0370941603817736,0.186228153565245
HIST1H4C,0.0402769654037491,0.186228153565245
HIST1H2AG,0.037150846671132,0.186228153565245
HIST1H3G,0.0413744185430883,0.186228153565245
HIST1H3I,1,1
HIST1H3H,1,1
SHMT2,1,1
HIST1H2AI,1,1
HIST1H4I,1,1
HIST1H4B,1,1
HIST2H2BF,1,1
HIST3H2A,1,1
HIST1H2BB,1,1
HIST1H2AE,1,1
HIST1H2AM,1,1
HIST1H2BF,1,1
HIST1H2BM,1,1
HIST1H2BL,1,1
HIST1H2BG,1,1
HIST2H2AC,1,1
HIST1H2AB,1,1
HIST1H2BC,1,1
HIST1H2BI,1,1
HIST1H2BH,1,1
HIST1H2AH,1,1
HIST1H4H,1,1
HIST1H3F,1,1
HIST1H2AC,1,1
HIST1H4K,1,1
HIST1H4F,1,1
HIST1H4D,1,1
HIST2H3D,1,1
HIST1H3A,1,1
HIST1H2AL,1,1
HIST1H4L,1,1
HIST1H2BJ,1,1
SOD1,1,1
HIST2H2BE,1,1
HIST3H2BB,1,1
HIST2H2AB,1,1
HIST1H3C,1,1
HIST1H2AJ,1,1
HIST1H4E,1,1
HIST1H2AK,1,1
HIST1H2BE,1,1
HIST1H2AA,1,1
HIST1H4J,1,1
HIST1H2BO,1,1
