gene,p,fdr
RBM39,2.47594436640594e-05,0.0177311709267238
ZNF430,3.49413237432165e-05,0.0177311709267238
ZNF91,1.90902325170136e-05,0.0177311709267238
TOP2A,1.48818843208814e-05,0.0177311709267238
RANBP2,3.66801219005457e-05,0.0177311709267238
ZNF208,6.91887557588545e-05,0.0278715371115252
ZNF45,0.000128014104751242,0.0442014415976788
XRCC5,0.000180501726933673,0.0545340842498361
ZC3H14,0.000230248580847121,0.055651081990749
ZNF445,0.000219382381528456,0.055651081990749
QSER1,0.000280701307695147,0.0616777327908337
PLEKHA2,0.000369212660004087,0.0638810395453758
NSUN2,0.000370018433444461,0.0638810395453758
ZKSCAN1,0.000339900009774931,0.0638810395453758
TCF3,0.000432307726697383,0.0656503527537741
ADAR,0.000434590667794947,0.0656503527537741
HIST1H3D,0.000484324230293435,0.0667593453321145
ZNF282,0.000497173444757162,0.0667593453321145
CDC20,0.000616646360611231,0.0677470115271521
RBM15,0.000589900566838342,0.0677470115271521
PHF2,0.000580699735659704,0.0677470115271521
NCL,0.000559735084598496,0.0677470115271521
NOLC1,0.00073711977601921,0.0774616738538449
HNRNPH1,0.000888799705099536,0.0802123028029378
PML,0.000896041446288506,0.0802123028029378
CDC7,0.000800597075454488,0.0802123028029378
MIS18BP1,0.000882184289920142,0.0802123028029378
EEF2,0.00110364374383171,0.0923272806881616
ZNF235,0.00110777457176528,0.0923272806881616
RBM6,0.00133322969170894,0.100700505151891
ZNF644,0.00131798500322472,0.100700505151891
ZNF99,0.00127645584987978,0.100700505151891
WRN,0.00138303561029962,0.101296880911945
ZNF823,0.00156736078240272,0.111420912090217
HIST2H2BF,0.0019308784759927,0.129637035457621
NRIP1,0.00189650440461697,0.129637035457621
AHNAK,0.00220757590571388,0.144208404435417
MTBP,0.00240995837319313,0.150446923863964
PIAS4,0.00242756724480538,0.150446923863964
HIST1H2BK,0.0032145386891493,0.194238500291846
ZMAT2,0.00350231516671789,0.206465750194076
JMJD1C,0.00363024785553854,0.207479041991097
ZNF496,0.00369118692826527,0.207479041991097
DPF2,0.00442138872633475,0.23747770114558
NFATC2IP,0.00433978924890143,0.23747770114558
AKR1C2,0.00460582963932942,0.237757425955795
ZNF761,0.00462333430696001,0.237757425955795
ZNF451,0.00480962546776917,0.242184682408293
UIMC1,0.00514339729664898,0.253705944204094
ZNF10,0.00548183473102536,0.259795971468398
NRL,0.00544047848014447,0.259795971468398
VPS29,0.00572329096890644,0.261003665506545
ZNF254,0.00562428813811883,0.261003665506545
EIF4A1,0.00591975032981863,0.264963639762438
ZFP30,0.00629039223447167,0.276434146013055
ZNF791,0.00670804488513544,0.289524008703078
HNRNPUL2,0.006877107411436,0.29161348444633
GNAI3,0.00717738574125033,0.298311639935748
ZNF134,0.00752875880681864,0.298311639935748
CDK11B,0.00746003097229718,0.298311639935748
KDM4A,0.00751914249332374,0.298311639935748
RPL36,0.00772960034179741,0.301329742356844
RBBP6,0.00807676298418023,0.305081766848274
COIL,0.00820451586476534,0.305081766848274
FLNA,0.00819969715991396,0.305081766848274
HJURP,0.00854037770194839,0.30809093888969
L3MBTL2,0.00851100753309178,0.30809093888969
PDLIM7,0.00889355876647305,0.314545216392133
THRAP3,0.00910970837709941,0.314545216392133
IKZF4,0.00903987500745879,0.314545216392133
FOXL2,0.00954833823707795,0.325046950972076
ZNF426,0.00972205500243217,0.32636398528998
PPP2CA,0.0112345359130916,0.32793536330931
ITGB3BP,0.0121259403347767,0.32793536330931
RDX,0.0104201627492473,0.32793536330931
CHD8,0.0126892302661179,0.32793536330931
PDLIM5,0.0116188803865903,0.32793536330931
CEBPB,0.0113867023814414,0.32793536330931
ZKSCAN8,0.0113775023676644,0.32793536330931
RBM8A,0.0130708302293206,0.32793536330931
HIST1H3B,0.0126875677099236,0.32793536330931
ARL14EP,0.0135678677413864,0.32793536330931
KCTD1,0.0134286569257129,0.32793536330931
GARS,0.0134637332730034,0.32793536330931
DHX9,0.0132223650885647,0.32793536330931
ZKSCAN4,0.0114733601232917,0.32793536330931
ARID5B,0.0132152725236465,0.32793536330931
ZNF76,0.0109066379871988,0.32793536330931
UTP11L,0.0112383243770015,0.32793536330931
TP63,0.011331677340909,0.32793536330931
ZNF14,0.0132029083965213,0.32793536330931
ZNF142,0.0135478214163047,0.32793536330931
TRIM24,0.011319487285325,0.32793536330931
COTL1,0.0102321087916425,0.32793536330931
SUPT20H,0.0131920627194738,0.32793536330931
