gene,p,fdr
BRAF,0,0
IDH1,0,0
CTNNB1,3.82543940646119e-199,1.96410810592406e-195
NRAS,4.1669760242767e-183,1.60459829254835e-179
TP53,3.89705718222905e-173,1.20052743555748e-169
PTEN,2.01052029405447e-67,5.16134068155351e-64
EGFR,1.27468325261512e-53,2.80484944857582e-50
AKT1,1.47345379508759e-51,2.83695110071677e-48
BCOR,4.17895807420906e-44,7.15205457967136e-41
U2AF1,9.65471935032205e-35,1.48711642153011e-31
HRAS,1.09803382289565e-30,1.5375468158238e-27
KIT,9.02753887592648e-30,1.1587598442158e-26
SF3B1,2.68066059126475e-26,3.17617039132699e-23
IDH2,3.65406087993341e-25,4.02024998097245e-22
CIC,1.71925323063765e-23,1.76544383410078e-20
CCND1,7.79253269683535e-22,7.50177382058468e-19
ATM,2.07466937297661e-20,1.87977249129169e-17
MB21D2,2.28825976588338e-19,1.95811473188343e-16
DSP,3.97861225821044e-19,3.22539813753765e-16
PLEC,2.77784400196758e-18,2.13935655811534e-15
NFE2L2,1.05229102844804e-17,7.71830414818339e-15
PIK3R1,1.19572564661129e-17,8.37171006125171e-15
MTOR,2.5578037125513e-17,1.7129500254099e-14
EEF1A1,1.00408597338892e-16,6.444140103379e-14
EPPK1,1.74830236606749e-16,1.0771640537815e-13
AHNAK2,4.77070634786696e-16,2.8262765336998e-13
HRNR,1.15622191599689e-15,6.59603191559261e-13
MYH2,1.32127269379852e-15,7.26841546520665e-13
MYLK,4.39999038693118e-15,2.33700179068624e-12
KMT2A,4.91296931028486e-15,2.52248220954393e-12
SRCAP,6.35063001455791e-15,3.15544368110437e-12
CHD4,1.36028679682255e-14,6.54765547858054e-12
CENPF,6.66843379132926e-14,3.11254199054074e-11
GOLGB1,1.05403015218385e-13,4.77506659826112e-11
C4B,1.42457125748191e-13,6.26933459399827e-11
POTEE,1.52002607190743e-13,6.50360044044169e-11
PPP2R1A,1.75073827859326e-13,7.28827613653295e-11
MYH7,2.04777832489729e-13,8.30050777326131e-11
RAC1,2.43921779972384e-13,9.63365942798624e-11
AHR,3.24408043433985e-13,1.24921427325342e-10
ANAPC1,3.85634636950782e-13,1.44876349096412e-10
PRRC2A,4.99974144606069e-13,1.83359565461126e-10
TNRC18,5.76646379474713e-13,2.0186554961475e-10
MDN1,5.71589007552986e-13,2.0186554961475e-10
ZNF208,1.47316106643831e-12,5.04246664585541e-10
BRCA2,1.76813048756212e-12,5.92054649998247e-10
