gene,p,fdr
AKT1,2.49309363092923e-46,1.10219669423381e-42
U2AF1,2.36687144573245e-24,5.23196933079157e-21
CTNNB1,2.12754524677299e-12,3.13529251199446e-09
AHNAK,7.56767692762557e-09,8.36417492425816e-06
TPR,3.83287145149705e-08,3.06185045179491e-05
SESN3,5.23117630264233e-08,3.06185045179491e-05
EWSR1,5.152297227559e-08,3.06185045179491e-05
IGF2BP1,5.54055725273903e-08,3.06185045179491e-05
KHSRP,7.983636869928e-08,3.52956586019517e-05
HIST2H2BE,7.94840689171521e-08,3.52956586019517e-05
RBM39,2.52057888446911e-07,9.81815779994159e-05
PRRC2A,2.66496027141595e-07,9.81815779994159e-05
FAM104A,3.47339618921144e-07,0.000118122188865414
SAFB,3.87066216051265e-07,0.000122229981511617
ATXN2L,8.44391885220641e-07,0.000248870434970697
HRNR,9.4923299388275e-07,0.000262284941622227
NCOR1,1.12451455954513e-06,0.000292439933397001
CAPNS1,1.62760369037761e-06,0.00039975755084219
HN1,2.02599444619898e-06,0.000471416918244511
EGFR,2.54928058812635e-06,0.000563518474005331
HIST1H1E,3.38432163013119e-06,0.000712480282229047
GTF2I,3.69837389208435e-06,0.000743205044404768
SOD2,3.92011628073976e-06,0.000753514525093499
TUSC3,6.08114172735573e-06,0.00112019698235999
CDC42EP1,7.62739961930691e-06,0.00129695129680599
CTCF,7.40216391785184e-06,0.00129695129680599
H3F3A,1.00507594215891e-05,0.00164571879269798
POLR2A,1.25070664515399e-05,0.00197477645650921
SYNCRIP,1.42738544322329e-05,0.00203563582080328
YBX3,1.39789222595128e-05,0.00203563582080328
NPM1,1.37767419406319e-05,0.00203563582080328
PUS7,1.80182287255421e-05,0.00248933091236318
LMO7,1.99616511650128e-05,0.00267425635759157
MDC1,2.05926899876371e-05,0.0026776553657454
HLA-C,2.22140920105408e-05,0.00280595716510288
KIAA1429,2.303817035814e-05,0.00282921530981491
CDK9,2.89019429776658e-05,0.00345339161903406
RPP38,3.56653311738527e-05,0.00411774469037431
C15orf39,3.63248230998865e-05,0.00411774469037431
THRAP3,3.8238183726882e-05,0.00422627525641363
ARNT2,3.97082454357735e-05,0.00428171105052572
TRIM33,4.10196196199653e-05,0.00431780329380635
RCC1,5.29435300490011e-05,0.00544333363596822
C4orf3,5.77277499867884e-05,0.00580032687935436
PRDX6,6.09519575554096e-05,0.0058185287593549
HNRNPUL1,6.31733500224011e-05,0.0058185287593549
HIST1H2BF,6.2394856358176e-05,0.0058185287593549
TANC2,6.05190330294791e-05,0.0058185287593549
UBA1,6.7915049092638e-05,0.00597842262097621
PHACTR2,6.7998963929515e-05,0.00597842262097621
HIST1H2AJ,6.89661962609787e-05,0.00597842262097621
SRRT,7.14360207048889e-05,0.0060734355295445
ZNF829,7.43511864595122e-05,0.00620201123278309
ADAR,7.69815899442355e-05,0.00630251128043454
NCL,8.44785089643444e-05,0.00679053614784303
SSRP1,9.15206694349738e-05,0.00722522999235748
MYO18B,9.94370354171727e-05,0.00764338467281591
KHDRBS3,0.000100275121244814,0.00764338467281591
C17orf53,0.000108401861784427,0.00798741051581589
C21orf33,0.000108176564426874,0.00798741051581589
HMGN1,0.000119038479559508,0.00862736259233743
EIF3I,0.00013172183354816,0.00939261655026473
FBN1,0.000133887834685193,0.0093955256689403
MRPS30,0.000139138985257906,0.00961146021601878
SMC1A,0.000142804542045087,0.00971290585202048
TLN1,0.000149489127262225,0.0100135065397924
PARP1,0.000155235150003003,0.0102432029576608
ARID1A,0.000167612279228362,0.0108972630363027
CTBP2,0.000173737751107425,0.0111318057629844
NUP210,0.000192802137641299,0.012176832150174
RBM47,0.000199545895147186,0.0124252451048692
ATRX,0.000213741753660481,0.013124337401847
RBMXL1,0.00023907458281423,0.014478749734544
HIST1H3B,0.000249944865296421,0.014733416659673
IMPDH2,0.000246806437722805,0.014733416659673
AGTRAP,0.000254039366399012,0.0147777373532899
KCNAB2,0.000282270133400959,0.0160089956350286
SLIRP,0.000282447785463069,0.0160089956350286
WIZ,0.000286446203101765,0.0160301096697836
RNASEH1,0.000311524946263786,0.0172156473429025
IL21R,0.000326536352015667,0.0178224347192749
RCC2,0.000351475533287598,0.0189496747885911
KIAA1462,0.000361734747173844,0.0192678230994646
TUBB3,0.000368024041197644,0.0193402292479054
RALY,0.000375812804798832,0.0193402292479054
SRCAP,0.000376217985822182,0.0193402292479054
HIST1H2BH,0.000393983026441633,0.0200206776999823
RBMX,0.000428941966603632,0.021307330723086
CAPRIN1,0.000426637375250812,0.021307330723086
DNPH1,0.000449773620713629,0.0220938797463884
UBE2M,0.000465581273347838,0.022387419702761
UNC45A,0.000465877089494235,0.022387419702761
ERC1,0.000489727050267613,0.0232804654756249
HSPB8,0.000496088723479558,0.0233320026223737
RNF214,0.000504120984524081,0.023460198658747
SNRPD1,0.000530068185771828,0.0244107442635131
KIAA2022,0.000539018159536417,0.0245670029207268
RPL15,0.000596378231017584,0.0266322036295832
SMG9,0.000595794416001933,0.0266322036295832
BAZ1A,0.000612701604857842,0.0270875379507652
RERE,0.000661398274212529,0.0284163321057788
CHAMP1,0.000651698978207667,0.0284163321057788
SLAIN2,0.000662040761568699,0.0284163321057788
LIN7C,0.000680928539498402,0.028946010318485
CCDC9,0.000691354181099323,0.0291093031870486
SNX4,0.000709652679271456,0.0295978725948972
HNRNPH1,0.000737915161215373,0.0296093481488365
NASP,0.000725675799342481,0.0296093481488365
HNRNPK,0.00074053780034607,0.0296093481488365
EIF2S2,0.000752870847692758,0.0296093481488365
HIST3H2BB,0.000744190129823354,0.0296093481488365
RPRD2,0.000756809848635722,0.0296093481488365
USP22,0.000717010651329325,0.0296093481488365
QARS,0.000777047071729111,0.0301344307378456
PABPN1,0.000790017803698566,0.0303710322621857
SLC25A3,0.000803167919191689,0.0303992494684434
EIF4EBP1,0.000804504000861316,0.0303992494684434
SCFD1,0.000850199660150627,0.0316380484438855
SUGP1,0.000851600942054372,0.0316380484438855
SPAG1,0.000874847495380435,0.0322308398089742
ATAT1,0.000885541281933814,0.0323551901440446
RPL3,0.000894164108538178,0.0324024551135023
CCAR2,0.000920671056039369,0.0325847495955791
RIF1,0.000935149356191395,0.0325847495955791
MRPL39,0.000909861310541245,0.0325847495955791
TUFM,0.000927104559502006,0.0325847495955791
TEAD1,0.000936046866916658,0.0325847495955791
MYL6,0.000972911457825606,0.0325851632958107
CASKIN2,0.000969931215791231,0.0325851632958107
SNRPB,0.000947557502535374,0.0325851632958107
ACTA1,0.000956680756199325,0.0325851632958107
FOXK1,0.000966758665653759,0.0325851632958107
HAUS8,0.000986403259272525,0.0327886376634875
HECA,0.00100601364800845,0.0331909428197415
EIF4G2,0.00102450211002992,0.0333038516797225
AKAP8L,0.00102262832849927,0.0333038516797225
PCK2,0.00104102440041971,0.0335939333887266
SPTAN1,0.00105696894216754,0.0338613021255268
BAD,0.00108077967036167,0.0343750138321506
PPFIBP1,0.00109896707540273,0.0346233055289375
PGRMC2,0.0011042492828727,0.0346233055289375
WDR46,0.00112814055784472,0.0351233056776866
HNRNPR,0.00115394076326661,0.0356753294713405
NFIC,0.00118364464773159,0.0363395346362595
PSPH,0.00120179132527508,0.0363912291030213
DECR1,0.00119843578033427,0.0363912291030213
RUNX3,0.00122811632674108,0.0369353896634172
RPA2,0.00124196978576823,0.0370996515059549
SNRNP200,0.00126654754227483,0.0375799106335372
KMT2C,0.00133827685507463,0.0394434798418997
FAM122B,0.00138968459353469,0.0404197078159005
DENND4B,0.00138338395258719,0.0404197078159005
AVL9,0.00140284331199459,0.0405357534792686
CSNK2B,0.00146039860338489,0.0419248196465234
LSM14A,0.00147629750318203,0.0421078145907597
TFEB,0.00149236598463713,0.0422932693466714
TAF1C,0.00150278019202925,0.0423171415857409
LTN1,0.00152617784318616,0.0425674848537246
DNASE2,0.00153092741274422,0.0425674848537246
HNRNPD,0.0015636861970898,0.0432066042333374
ETAA1,0.00161554894747162,0.0443623720296399
RPL13A,0.00168094049070357,0.0458730735148179
FARSA,0.00170194810357416,0.0461614267846708
PDS5A,0.00172883388929423,0.0463222704519382
SUV39H1,0.00171955511736138,0.0463222704519382
XAB2,0.00174039499261627,0.0463511220623887
MAGED2,0.00175810983259809,0.0463617014973783
HIST1H2AK,0.00176176563030074,0.0463617014973783
PPP1CC,0.00178197001357308,0.0466159137870213
SH2D2A,0.00181088141228877,0.0470935689631098
MTR,0.00184395182432673,0.0476731638324471
ALYREF,0.0018837270538444,0.0484183564246866
WNK2,0.00191173292921,0.0485733981611346
SNRPA,0.00190494566134834,0.0485733981611346
ATXN7,0.00195546343589313,0.0491199082391111
TRPC4AP,0.00195241323080815,0.0491199082391111
CAT,0.00198390297758314,0.0495527404739834
SASH1,0.00201768771043067,0.0501134683585054
CCT2,0.00203264470750173,0.0502029176081852
KIF2C,0.00211804620048226,0.0520215680685114
ARHGEF40,0.00217448059081209,0.0531125894584544
RNF111,0.00225568411619278,0.0547932938334522
TWF2,0.0022831656495459,0.0551577887248221
NXF2,0.00232653862870329,0.055316313307952
NXF2B,0.00232653862870329,0.055316313307952
PTER,0.00232726402969443,0.055316313307952
MYH14,0.00245006938236677,0.0576573891935517
ARPC3,0.00245184102429037,0.0576573891935517
TRMT1,0.00256596124089017,0.0591183591686794
GSE1,0.00256745644885466,0.0591183591686794
RETSAT,0.00253331924708137,0.0591183591686794
RBM42,0.00254358995695958,0.0591183591686794
TCF20,0.00263399991766954,0.0603363400829898
YWHAZ,0.00272564315559686,0.0621137545922358
SMARCD2,0.00279316517177879,0.0633260678176104
FLNA,0.0028836195636284,0.0650432759734753
ZCCHC3,0.00290613424558434,0.0652183730950679
GPKOW,0.00293586172825428,0.0655527510131928
ETF1,0.00304902072653349,0.0676920411868901
OBSCN,0.00308124047672803,0.0676920411868901
SNRNP70,0.00309291841659167,0.0676920411868901
TMA7,0.00307692308484105,0.0676920411868901
FOXO1,0.00322499340115909,0.0698598204778607
NCOA5,0.0032393719063473,0.0698598204778607
ASXL1,0.00323379366584345,0.0698598204778607
FAM103A1,0.00329234032043546,0.0706574590128406
RPS28,0.00332487702827067,0.0710110209757711
SUGP2,0.00344105898965684,0.0731390470830428
KIAA1217,0.0035288292802092,0.0745758681250824
NOB1,0.00354239590732126,0.0745758681250824
EPC1,0.0035977119342706,0.0746736359690625
TARS,0.00358224310272414,0.0746736359690625
RELA,0.00358402396020436,0.0746736359690625
NSUN2,0.00370569215034258,0.0761673989392876
WAS,0.0037040383096739,0.0761673989392876
TRIP6,0.00372136579300749,0.0761673989392876
