gene,p,fdr
RAF1,8.99541369165676e-15,8.49167052492398e-12
HIST1H4B,9.8752181539333e-05,0.0466110296865652
PRPF4B,0.000171824471300207,0.0540674336357986
FOXK1,0.000245556645867745,0.0579513684247878
PCM1,0.000352895188164171,0.0666266115253955
LIMCH1,0.000633553937601693,0.0750025780148666
ARHGAP23,0.000669186608087111,0.0750025780148666
MEPCE,0.000650205370379348,0.0750025780148666
DTL,0.000715066951412923,0.0750025780148666
SRRM2,0.00147056600649302,0.105155224961145
MCM4,0.00140252583963296,0.105155224961145
TOP2A,0.00155817096282647,0.105155224961145
ZDHHC5,0.00124861811183534,0.105155224961145
ANP32D,0.00155950545493223,0.105155224961145
NF1,0.00189377661351056,0.110341865556718
RIF1,0.0019870886805765,0.110341865556718
CCDC86,0.0018931663705698,0.110341865556718
FNBP1,0.0022470281169258,0.11784414124322
MGMT,0.00282028624640074,0.129351812482287
GARS,0.00267324270461779,0.129351812482287
PACS1,0.00287752972683054,0.129351812482287
PHIP,0.00344878490339646,0.133926301080927
BCKDK,0.0035216132711891,0.133926301080927
HMGN1,0.0035467770413381,0.133926301080927
FLCN,0.00312271878737319,0.133926301080927
KIAA1429,0.0042553294020373,0.142257790694633
STK3,0.00414150700419248,0.142257790694633
FLNC,0.00437020755311901,0.142257790694633
PRKACA,0.00431142242539669,0.142257790694633
AMBRA1,0.00460009229567476,0.144749570903899
MKI67,0.00484195774448924,0.147445422928963
TIMELESS,0.0050026391034082,0.147577853550542
EAPP,0.00536428286752192,0.152506251886343
ITGB1,0.00565436315256567,0.152506251886343
MIB1,0.00559040742708832,0.152506251886343
RNF169,0.00666340637491886,0.173372360332008
TRIM24,0.00679531497064015,0.173372360332008
NCOA5,0.00698164698107877,0.173438809214167
RALY,0.00751432099686235,0.178611178091874
TCP11L1,0.00756827025813026,0.178611178091874
MAP2K4,0.00801930034514365,0.180243322043229
HIST1H4K,0.00788312903459389,0.180243322043229
MAPRE3,0.00920518159791411,0.202085847172812
PPP6R3,0.0107861190898822,0.231411282292018
DYRK1A,0.011504226699528,0.240235615610525
CPD,0.0118513569724054,0.240235615610525
MSI1,0.0119608834043376,0.240235615610525
BCL2L13,0.013893680434664,0.273242381881726
TP53BP1,0.0143399747069741,0.276264002518032
IMPDH2,0.0147711956403829,0.278880173690429
PANK2,0.0154424474594995,0.285836674544461
KIF3B,0.0167898920109572,0.299050152044219
PDCD5,0.0166781647249158,0.299050152044219
KIAA1522,0.0175644424711091,0.302455190240485
AFAP1,0.0176218596008757,0.302455190240485
CPSF3,0.0184889903852755,0.31167155220893
