gene,p,fdr
HIST1H2BB,0.000227996753475407,0.00672590422752452
HIST1H2BG,0.000207756274176639,0.00672590422752452
HIST1H3J,0.00156993438704943,0.0308753762786388
HIST1H2BK,0.0126514951033722,0.18660955277474
HIST1H2BH,0.0218321425560905,0.257619282161868
HIST1H3B,0.0481877750707446,0.290593205224357
HIST2H2AC,0.0469217392266381,0.290593205224357
HIST1H3F,0.049253085631247,0.290593205224357
HIST1H4A,0.0400013153203018,0.290593205224357
HIST2H3D,0.0308790901279701,0.290593205224357
HIST1H3I,1,1
H3F3A,1,1
HIST1H3H,1,1
SHMT2,1,1
HIST1H2AI,1,1
HIST1H4I,1,1
HIST1H4B,1,1
HIST2H2BF,1,1
HIST3H2A,1,1
HIST1H2AE,1,1
HIST1H2AM,1,1
HIST1H3D,1,1
HIST1H2BF,1,1
HIST1H2BM,1,1
HIST1H2BL,1,1
HIST1H2BN,1,1
HIST1H2AB,1,1
HIST1H2BC,1,1
HIST1H2BI,1,1
HIST1H2AH,1,1
H3F3B,1,1
HIST1H4H,1,1
HIST1H2AC,1,1
HIST1H4K,1,1
HIST1H4F,1,1
HIST1H2AD,1,1
HIST1H2BD,1,1
HIST1H4C,1,1
HIST1H4D,1,1
HIST1H3A,1,1
HIST1H2AL,1,1
HIST1H4L,1,1
HIST1H2BJ,1,1
SOD1,1,1
HIST1H3E,1,1
HIST2H2BE,1,1
HIST3H2BB,1,1
HIST4H4,1,1
HIST2H2AB,1,1
HIST1H3C,1,1
HIST1H2AJ,1,1
HIST1H2AG,1,1
HIST1H4E,1,1
HIST1H2AK,1,1
HIST1H2BE,1,1
HIST1H3G,1,1
HIST1H2AA,1,1
HIST1H4J,1,1
HIST1H2BO,1,1
