gene,p,fdr
BCOR,4.94060247111871e-39,1.2109416656712e-35
GTF2I,3.23226219896298e-08,3.96113732482914e-05
AHNAK,8.57085738129144e-08,7.00239048051511e-05
QSER1,2.33121096674783e-07,0.000142844951987473
ZNF707,4.74333032616995e-07,0.000213879063686856
KRT18,5.23571759331349e-07,0.000213879063686856
GTF2IRD1,8.50104379480486e-07,0.000297657976300953
ZNF91,1.85225628465876e-06,0.000567485019212328
BCLAF1,3.6228679829009e-06,0.000986627714010013
ZNF235,4.78139636166887e-06,0.00117192024824504
ZNF208,9.69139511563849e-06,0.00215941903894818
ESCO2,1.32528294388242e-05,0.00232019178246844
FBN2,1.31983168273901e-05,0.00232019178246844
ZNF676,1.30569604023228e-05,0.00232019178246844
NONO,3.13627330858187e-05,0.00493810817483457
ZNF93,3.22357122796218e-05,0.00493810817483457
MIS18BP1,3.59751670083719e-05,0.00518677260808939
LRIF1,5.16472827619879e-05,0.00666249947629643
HIST1H2BG,5.01448041233163e-05,0.00666249947629643
TSPYL1,6.17852755903185e-05,0.00757178552359354
ZNF730,7.74784740363613e-05,0.00904284475538674
ZNF700,0.000111944720232953,0.0124716595132258
HIST1H2BK,0.000130937339287735,0.0133719757747599
ZNF546,0.000128870975273326,0.0133719757747599
BLM,0.000136711139338079,0.0134031601007053
TUBB4A,0.000171465635008648,0.0161639335156229
DHX38,0.000201276184715566,0.0182714047680686
SMARCA4,0.000239891724588885,0.0209990934631199
MZF1,0.00030973753426939,0.0261781619480785
ZFP62,0.000342744954323463,0.0280022627682269
ETV5,0.00035526432544132,0.028088801988925
TRIM28,0.000378782064412345,0.0290123387460831
ZNF254,0.000402642971331693,0.0299053915979994
LMNB1,0.000466788864806195,0.0336499855188231
UBC,0.000487348606959334,0.0341283267330665
ZNF420,0.000567744917978266,0.0347936596794835
ZNF107,0.000558983768698136,0.0347936596794835
PIAS4,0.000554322810180902,0.0347936596794835
DTL,0.000517012996553526,0.0347936596794835
FBN1,0.000567827983345303,0.0347936596794835
SIX4,0.000614969171747979,0.036763157072056
MATR3,0.000637165906546478,0.0371831818320338
ZNF644,0.00066713467439666,0.0380266764406096
SSB,0.000701360449724536,0.0390689650517009
EIF4A1,0.000753606188666896,0.0395595958662049
ZNF587B,0.00076598971626052,0.0395595958662049
MAT2A,0.000771902139174985,0.0395595958662049
TET3,0.000774728927612336,0.0395595958662049
YEATS2,0.000869121035347186,0.043473788931346
ZNF555,0.0010159802740718,0.0488268167009799
ZNF708,0.00101451672563756,0.0488268167009799
KRT8,0.00105233827419522,0.0496015598087018
RSF1,0.00108608503200133,0.0502263096874576
ETAA1,0.00111932589966514,0.0508049588903566
RBAK,0.00118526154999963,0.0518763581973051
ZC3H11A,0.00117037361922508,0.0518763581973051
ZNF594,0.00122983525784838,0.0528829160874802
ZNF490,0.00133442029524151,0.0563907610971887
ZNF92,0.00140623720065413,0.0574447896467212
UBTF,0.00140025498529058,0.0574447896467212
MAML1,0.00146408516580997,0.0588274219901677
PDP1,0.0015566229737928,0.0615368211091315
ZNF778,0.00175187216439636,0.0650581617414468
SYCE1,0.00170587681567482,0.0650581617414468
CDK11B,0.00173481338758139,0.0650581617414468
ZNF98,0.00170395570375352,0.0650581617414468
UBA2,0.00186079050884364,0.068071605032474
HNRNPUL2,0.00191055132399964,0.0688641366929869
NRAP,0.00202616413920233,0.071972873988187
MKI67,0.00209427830212423,0.0722968467395278
KAT5,0.00207739089164535,0.0722968467395278
ZNF540,0.00226673340482437,0.0771633829892295
ZNF492,0.00244926674014155,0.082234969590232
ZNF431,0.00271172657247015,0.0882630632594836
UTP11L,0.00267728847268113,0.0882630632594836
ASNS,0.0027368391708367,0.0882630632594836
SMARCA1,0.00301832230018139,0.0960767267239556
CPSF3L,0.00318536878119744,0.100094088239935
UBN2,0.00323090244432519,0.100239770772671
POLR2B,0.00336677295252971,0.103149506333129
HIST1H3J,0.00355050966184486,0.107435792360268
GNL3L,0.00360344322004227,0.107707796735654
TOP2A,0.00369121368146681,0.109001984738255
PPRC1,0.00379587399488787,0.110758180493692
C18orf25,0.00390896932090299,0.112716280065097
NR5A1,0.003959026146295,0.112832245169407
HIST1H2BB,0.00407850937881989,0.113380272085279
HOXB9,0.00411703150370861,0.113380272085279
NRL,0.00405487842217341,0.113380272085279
EIF5A2,0.00434789462620974,0.118407663653779
KNOP1,0.00442107034024588,0.119077400043326
MLH1,0.00454630140484035,0.119271890962756
