gene,p,fdr
IDH1,3.95190553550529e-41,1.44086475824523e-37
AKT1,1.74072769913142e-22,3.17334659551657e-19
PTEN,1.14563440615708e-10,1.39232768161624e-07
XPO1,1.65492590839601e-07,0.000100564331033531
HSPD1,1.47456216110142e-07,0.000100564331033531
SUPT16H,1.51498265003506e-07,0.000100564331033531
SRSF7,2.76007162149742e-07,0.000143760301885423
HIST1H1E,9.80708601685028e-07,0.000446957945217951
HNRNPA2B1,4.72470468530963e-06,0.00172262732826389
H3F3B,4.54295430538792e-06,0.00172262732826389
KAT5,8.26276566022955e-06,0.00273873123610881
LMNB2,1.37702719616182e-05,0.004183867631005
DAP3,3.53695707791395e-05,0.00991980423544174
S100A10,8.89524966323341e-05,0.0231657716229636
CTNNB1,0.000109297862089866,0.0264153024832024
ALB,0.000115920142548337,0.0264153024832024
ANXA3,0.00014546324538477,0.0311975878042866
EP300,0.000178698758705086,0.0361964263465969
SEC23B,0.000204450841652123,0.037271388433182
MYH10,0.00019458185098137,0.037271388433182
ALDH3A2,0.000239166723772732,0.0396364488579719
HMGCL,0.000232155630181015,0.0396364488579719
LMNB1,0.000253453427175184,0.0401778780643792
HSPA9,0.000272995466768627,0.0414725613266006
CSTF3,0.00032328893372069,0.0471484580938254
RPS3,0.000339169122995435,0.0475619470169752
DHX15,0.000381069830853833,0.0514585408627065
UBB,0.000401640132947724,0.0522992830259786
ARPC1B,0.000493888917007262,0.0620937583244302
PSMB2,0.000548610975609968,0.0666745205691314
STMN1,0.00076147804278593,0.0895596433547581
ATRX,0.000795378420189806,0.090623428750376
FLNA,0.00084826778340093,0.0933463269255088
IRF7,0.000870481381093609,0.0933463269255088
ACAT2,0.000952671554210696,0.0968934379333824
RPL21,0.000983285025654183,0.0968934379333824
ARHGEF19,0.000971819208299842,0.0968934379333824
ACOT9,0.00106341494080344,0.102031865109719
CLTC,0.00113806613166416,0.103734727901188
IKZF1,0.00111217253993096,0.103734727901188
NCL,0.00128968861425646,0.111957254466168
EIF5A,0.00128862036522438,0.111957254466168
GMPR2,0.00132972943667997,0.112748686654306
AHNAK,0.00141564145076624,0.117305198397584
UBC,0.00152824587714621,0.119639834273195
TPR,0.00154225787461332,0.119639834273195
C5orf24,0.00153310558461654,0.119639834273195
RBM12B,0.00163070835458458,0.121338013486028
ARHGAP21,0.00160908369808185,0.121338013486028
ACOX1,0.00167377356950292,0.122051568688153
DDX18,0.0017394706586077,0.124355098456543
MYC,0.00180173921447161,0.126329637999298
PPP2R1A,0.00219136858576559,0.126425513986437
FBXW2,0.00211108134428821,0.126425513986437
WDR87,0.00184843464131587,0.126425513986437
UQCC1,0.00219043218151764,0.126425513986437
AR,0.00221920814457815,0.126425513986437
MATR3,0.00190267951184832,0.126425513986437
UBE2D3,0.00219581390927014,0.126425513986437
ATP5C1,0.00208754556759988,0.126425513986437
H3F3A,0.00200548886866862,0.126425513986437
RDX,0.00191616483706348,0.126425513986437
CYB5A,0.00212651318014207,0.126425513986437
ESD,0.00194952320911101,0.126425513986437
RPL10,0.00233531083127224,0.130992973704902
BCL11B,0.00244943255883676,0.135312592568467
XRCC5,0.00251516425731875,0.136472050305125
DYNLRB2,0.00254528234249822,0.136472050305125
CLPX,0.00264341814306326,0.139679747095778
CDC7,0.00270883559015748,0.141091636595917
GJB2,0.00276284812066449,0.141878087999193
FOXA1,0.00326168267654176,0.145010548177844
PHF20L1,0.00337162352168178,0.145010548177844
VCAN,0.00312271878737319,0.145010548177844
SORBS1,0.0032203166592766,0.145010548177844
MDH1,0.00343688502684891,0.145010548177844
CCT7,0.00310018644106284,0.145010548177844
RNASEL,0.00313203051416424,0.145010548177844
HIST1H2BO,0.00346020781444663,0.145010548177844
CORO1A,0.00292753947595402,0.145010548177844
HIST1H4I,0.00295073815967123,0.145010548177844
HIST1H3I,0.00323508736643864,0.145010548177844
FEN1,0.00297439285421803,0.145010548177844
AKR1C2,0.00306176165702491,0.145010548177844
SLC25A1,0.00341426197510606,0.145010548177844
ILKAP,0.00340986354271006,0.145010548177844
NDUFA4,0.0031587646518233,0.145010548177844
ATPIF1,0.00351647530223513,0.14569396536306
ERCC4,0.0038438085149762,0.154005778523112
ZNF148,0.00379042084401436,0.154005778523112
SUCLG1,0.00384353839357751,0.154005778523112
PPIL2,0.00421515142410701,0.167048283611893
MYH9,0.00438105243085505,0.167364921532981
AASDH,0.00429140766801038,0.167364921532981
PES1,0.00440675602500445,0.167364921532981
HADH,0.00435923137979866,0.167364921532981
LMNA,0.00446059875311365,0.167663330452086
ANKRD44,0.00453955490726964,0.16888997134597
USP31,0.00465261033205201,0.171347649198602
BIN2,0.00480863108078721,0.173586820995546
PLCL2,0.00477042566624463,0.173586820995546
HSF1,0.00492337717854355,0.175986599931076
ACTB,0.00516778454310293,0.18292953829275
PDCD10,0.00524252748246141,0.183790915394753
IK,0.00532093905448558,0.184763274215757
HIST1H4K,0.00587759110966006,0.186345192920179
ALDH1L2,0.00572050486833781,0.186345192920179
KAT8,0.00582485828123698,0.186345192920179
SMCHD1,0.00561244732798128,0.186345192920179
KRT17,0.00558640066938833,0.186345192920179
HIST2H2BE,0.00565800683158508,0.186345192920179
CALM1,0.00584183372390653,0.186345192920179
PKM,0.00583970043842676,0.186345192920179
HNRNPD,0.00555372779708432,0.186345192920179
NDUFAF4,0.00587200290516004,0.186345192920179
ZRANB2,0.00599045978133248,0.186677062929386
SPECC1L,0.00597158371913652,0.186677062929386
EEF2,0.0061210714545375,0.186902468643912
MED30,0.00615148004313481,0.186902468643912
ILK,0.00614119746196252,0.186902468643912
MAX,0.00621388021122993,0.187238076447474
AARS,0.00636297046262406,0.188612929322987
HIST1H4A,0.00633875895322239,0.188612929322987
PRPF40A,0.00660848162725231,0.189916155983844
MAPK9,0.00663565474984274,0.189916155983844
KDM5A,0.00666738013327814,0.189916155983844
