gene,p,fdr
CTNNB1,3.07336055375317e-90,4.45237743422222e-86
BRAF,2.4737853712154e-74,1.79188643363988e-70
IDH1,1.50339298859935e-51,7.25988474194626e-48
SF3B1,3.23126271758738e-33,1.17028257474221e-29
EZH2,3.55465896228112e-28,1.02992688773133e-24
TP53,1.97094844378141e-25,4.75885501751022e-22
NRAS,7.53923421895176e-17,1.56029837328506e-13
AHNAK,2.77450127183065e-15,5.02427499062634e-12
BCOR,3.6673233944969e-15,5.90316822400851e-12
SYNE1,6.46324512472665e-15,9.3633032121915e-12
AHNAK2,5.36604727861756e-14,7.06708426593933e-11
FOXO1,1.17496434257067e-13,1.41847570256844e-10
GOLGB1,1.7531284523165e-13,1.95365937605455e-10
AKT1,2.74200731855768e-13,2.83739000171037e-10
U2AF1,7.27135357073131e-13,7.0226732786123e-10
NCOR2,3.32258761203131e-12,3.0083954209686e-09
UBR4,3.8497758209235e-12,3.28068837163051e-09
PTEN,3.01153257635461e-11,2.4237818018694e-08
EGFR,3.76148327243013e-11,2.86803200882607e-08
MINK1,7.83318598892147e-11,5.67396827107527e-08
ATM,9.15996561655744e-11,6.31906770890798e-08
KMT2C,5.16295176767847e-10,3.39980373901627e-07
MYH11,6.74848207730884e-10,4.25066347191188e-07
CHD8,7.72121388548601e-10,4.66071773162649e-07
TFEB,1.31830636447071e-09,7.63932172083484e-07
ARFGEF2,1.47561913859285e-09,8.22203633107484e-07
MYH9,1.80541150132637e-09,9.68703571100562e-07
HUWE1,2.17262608999548e-09,1.09404266540174e-06
STAT3,2.19004882285155e-09,1.09404266540174e-06
TLN2,2.27974140204467e-09,1.10088712304737e-06
AHCTF1,2.75099598605648e-09,1.2856025435484e-06
HIVEP1,2.89864462948436e-09,1.29747566383863e-06
MAGEC1,2.95552543015633e-09,1.29747566383863e-06
MDN1,3.06197511986804e-09,1.30467157533907e-06
CKAP5,4.47853798092567e-09,1.71662280960153e-06
FAT1,4.53066263234619e-09,1.71662280960153e-06
UTRN,4.19464467397475e-09,1.71662280960153e-06
RANBP2,4.62126662348724e-09,1.71662280960153e-06
UBR5,4.54389116065375e-09,1.71662280960153e-06
NUP210,5.59572139335464e-09,2.02663039563822e-06
KIAA1109,6.96614779588315e-09,2.46142885655998e-06
TPR,8.00837808940241e-09,2.76231841383744e-06
BOD1L1,9.48664924217541e-09,3.19611831561384e-06
FBN1,1.08276325223242e-08,3.56499800797525e-06
ADNP,1.14055673253725e-08,3.67183230761493e-06
PIK3CB,2.05464153068806e-08,6.4707808380604e-06
TRIP12,2.22375813966594e-08,6.85437961049796e-06
SPEN,2.42309804475142e-08,7.31321278631539e-06
LAMA1,3.05491920424675e-08,9.03196214529034e-06
ARHGAP23,4.14265076107826e-08,1.20029163151482e-05
NAV3,4.35267422613551e-08,1.23641551988284e-05
SETX,4.50773372000028e-08,1.25583727695469e-05
ZNF91,4.62398092272701e-08,1.26343515308866e-05
STAT1,4.74585448252484e-08,1.26343515308866e-05
PIEZO1,4.79664067231838e-08,1.26343515308866e-05
MEF2BNB-MEF2B,5.11181761654127e-08,1.32240896090774e-05
HERC2,5.27705283817265e-08,1.33667576268928e-05
