gene,p,fdr
PRG4,5.8020287491906e-05,0.0233438606150161
CD80,2.8869567403393e-05,0.0233438606150161
IGSF10,5.81778457695105e-05,0.0233438606150161
PODXL,4.88397760222636e-05,0.0233438606150161
EGFR,9.4492435445215e-05,0.030332071777914
IGFBP3,0.000245293269291848,0.0523489527388174
PER2,0.00027641088399573,0.0523489527388174
CDKN1B,0.000293545529376546,0.0523489527388174
BST1,0.000220625205496007,0.0523489527388174
CA9,0.000388363184174546,0.0623322910600146
VCAN,0.000487555888916052,0.0711388365191149
ERAP2,0.000682234582751725,0.0867628398672056
GOLIM4,0.000702751974002288,0.0867628398672056
LTBP1,0.000935624617370477,0.0906491343467798
F9,0.000842736080689767,0.0906491343467798
APP,0.000978695143540296,0.0906491343467798
EMILIN2,0.00103355590684292,0.0906491343467798
GAL3ST1,0.00107310501718929,0.0906491343467798
NUCB1,0.00102728474035581,0.0906491343467798
RXFP1,0.00131590396805074,0.101270063382717
C7,0.00132502886668976,0.101270063382717
EPB41,0.00179286919580404,0.125111089533282
PRRT3,0.00178986931755796,0.125111089533282
GRIA2,0.00200763167044208,0.126939625497549
PDIA3,0.00205634284295094,0.126939625497549
CKAP4,0.00198597542542295,0.126939625497549
TLR3,0.00222265569023963,0.132124532697578
SPTA1,0.00263119340139457,0.137954432899798
GXYLT1,0.00273212257561995,0.137954432899798
ANK1,0.00258269259724738,0.137954432899798
APOL1,0.0027504933662265,0.137954432899798
ANTXR1,0.00241310942927035,0.137954432899798
COL1A2,0.00396985441465966,0.182046181015107
SLC2A1,0.00395303086137063,0.182046181015107
ICAM1,0.0037603113729074,0.182046181015107
TLR5,0.00463456099174165,0.195749220835404
IL17F,0.00454660408463676,0.195749220835404
PITHD1,0.00440373046671515,0.195749220835404
EMSY,0.00493558160187491,0.203118165923313
COL4A2,0.00535236320530452,0.211855591903312
GUSB,0.00570597106083528,0.211855591903312
GALNT10,0.005856473427673,0.211855591903312
ITIH4,0.00577124359577628,0.211855591903312
P2RX7,0.00592897699927231,0.211855591903312
CLDN1,0.00593987640850408,0.211855591903312
POU2F2,0.00616595457792884,0.215138197773387
CSF3R,0.00797047713116871,0.216492721444811
XYLT2,0.0064685492102548,0.216492721444811
TLR4,0.00809999939158754,0.216492721444811
CP,0.0082280722792109,0.216492721444811
SPOCK1,0.00797998548475181,0.216492721444811
LRP4,0.00722903371366106,0.216492721444811
TLR2,0.0072744937437938,0.216492721444811
TRPM4,0.00736212016130539,0.216492721444811
IDS,0.00783839061377816,0.216492721444811
