gene,p,fdr
AKT1,1.56398676585013e-13,6.51556886653165e-10
AHNAK,7.09457619893483e-09,1.47780022223813e-05
AHNAK2,1.48715578261916e-08,2.06516366346381e-05
U2AF1,6.33819762080482e-08,6.60123282206822e-05
ACTB,5.33827731246678e-07,0.000444785265674732
UFSP2,1.05949136522902e-06,0.000735640171257347
TRMT1,1.28719750646707e-06,0.000766066401705976
FLNB,9.94693118708114e-06,0.0051798644156725
BCHE,2.44176898202903e-05,0.0113026773101477
PPP1R13L,3.84200244635012e-05,0.0160057821914946
WIZ,7.86112592606272e-05,0.0192710511627746
NR4A3,9.25158481170169e-05,0.0192710511627746
UBR5,9.22298276395531e-05,0.0192710511627746
NUP210,8.15692534168943e-05,0.0192710511627746
SND1,7.30113017776548e-05,0.0192710511627746
MTR,9.14780654566514e-05,0.0192710511627746
SLC25A6,7.88643903665678e-05,0.0192710511627746
BCL9L,5.95776428366773e-05,0.0192710511627746
UTP14A,5.37828328618781e-05,0.0192710511627746
MCM2,6.37828599283437e-05,0.0192710511627746
CTNNB1,0.000109297862089866,0.0206970406121082
H3F3A,0.000106522337917386,0.0206970406121082
MRTO4,0.000130828354277256,0.0233582098308382
DTD1,0.000134564818996667,0.0233582098308382
CHD8,0.000140652506352968,0.0234383336586586
VIM,0.000152806998853249,0.0244843829701014
CNOT2,0.00020991032434935,0.032388385601459
MYOF,0.000235994702238553,0.0351126403402076
SAFB,0.000260402178551382,0.0374081198567262
RUNX3,0.00035402626162978,0.0491624468649888
VAPA,0.000393321289711928,0.0515090377012534
H3F3B,0.000395652713979863,0.0515090377012534
TRIP12,0.000409026829730023,0.0516365385653114
TLN2,0.000455160979537395,0.0557706070809644
CIRBP,0.000497056202621903,0.0591638897177956
SHMT2,0.000521708408989688,0.0603732564403067
DONSON,0.000572766823522349,0.0644904482917325
RPL13A,0.000592909259260027,0.0650015782651914
USP31,0.000672857143492844,0.0667453622514051
PSPC1,0.000672900915640665,0.0667453622514051
HDGFRP2,0.000644183248213324,0.0667453622514051
RGS1,0.000640735795638149,0.0667453622514051
CDCA7L,0.000773680882761677,0.0732535126723897
STMN1,0.000761478043216322,0.0732535126723897
PWP2,0.00081315333649893,0.0752799288856565
CSE1L,0.0008860139627931,0.0802420471520881
ACAT2,0.000952671554210696,0.0844431849966332
TRA2B,0.00110058458619812,0.0935721507367623
HIST1H3G,0.00108425488198545,0.0935721507367623
UBE4B,0.0011606829187274,0.0967081007883671
HIST1H1E,0.00121957936341395,0.0967912650776542
EPB41L4B,0.00123469077622534,0.0967912650776542
CDH13,0.00125461553389182,0.0967912650776542
ELF4,0.00123993382333553,0.0967912650776542
KIAA1109,0.00135111274977607,0.102127360782575
GPBP1L1,0.00137281137873841,0.102127360782575
TPR,0.00154225787461326,0.108899089926082
WIPF1,0.00154072291060251,0.108899089926082
GRAMD1A,0.00151891353944431,0.108899089926082
GPI,0.00168750763178244,0.115248472032879
ACD,0.0016809160138339,0.115248472032879
HIST1H4K,0.00177378054940748,0.115462027637993
KHDRBS2,0.00176759021100148,0.115462027637993
SOX12,0.00173768544239791,0.115462027637993
ZFR,0.00183007620760736,0.117293807398342
CCDC73,0.00198597542542294,0.125357176095636
YBX1,0.00206610111861851,0.128468317315891
MYH10,0.00221889925152102,0.135940210027009
FASN,0.0022935486649757,0.136498910546983
STXBP2,0.00228442957118624,0.136498910546983
AMBRA1,0.0024485138676484,0.143669137642581
NSFL1C,0.00251516409216097,0.145530188999203
GEMIN2,0.00259141705640771,0.147888266534172
OAF,0.00263710956483892,0.148462141177283
PHACTR2,0.00303846952523548,0.150457990077592
LRP6,0.00282900546393562,0.150457990077592
FKBP15,0.00302202943124811,0.150457990077592
AR,0.00306983417105025,0.150457990077592
PLOD2,0.00303744969697015,0.150457990077592
CSNK2A2,0.00301028350561843,0.150457990077592
HNRNPDL,0.00283935526316497,0.150457990077592
PUS7,0.00303522298747134,0.150457990077592
NDUFA9,0.00286549346645526,0.150457990077592
RBM26,0.00276758167314159,0.150457990077592
NOB1,0.00299016922488592,0.150457990077592
SEPT2,0.00316987326894081,0.15300263870394
AKIRIN2,0.00319520632915094,0.15300263870394
LSM14A,0.00329769551249988,0.154857662336465
IQGAP3,0.00334546078019248,0.154857662336465
PPP1CA,0.00332200232721668,0.154857662336465
BAG1,0.00342278214825316,0.155120912063739
BTN3A1,0.00342561783722131,0.155120912063739
LLGL1,0.00355734451375402,0.157839694438551
FIP1L1,0.00356143333586746,0.157839694438551
CALU,0.00379510548622471,0.166425362690654
PCK2,0.00385456284122112,0.167271966630491
ZBTB48,0.00404704795538083,0.173814451362026
EPRS,0.00415633963840722,0.174907681494382
GCFC2,0.00415647154775415,0.174907681494382
RPL7L1,0.00423468589718331,0.176417014476657
DNAJC6,0.00452207404246894,0.182266991368356
RBBP7,0.00456181344140216,0.182266991368356
PSMC4,0.00452207404246898,0.182266991368356
SKA1,0.00443901391367663,0.182266991368356
GEMIN7,0.00459386320059467,0.182266991368356
CD93,0.00475527671904171,0.186891347278564
TP53BP1,0.00490324769640206,0.187271530218222
ZRANB2,0.00489504037150414,0.187271530218222
