gene,p,fdr
CTNNB1,3.50246186209596e-100,4.64741664481512e-96
BRAF,2.4737853712154e-74,1.64123290453286e-70
TP53,1.54013721953733e-56,6.8120269220136e-53
IDH1,3.95190553550529e-41,1.31094586376549e-37
EZH2,2.50623426070993e-33,6.65104448107203e-30
AHNAK,1.17109820185258e-17,2.58988367339699e-14
NRAS,7.53923421895176e-17,1.4291156978753e-13
RANBP2,6.86213474988903e-14,1.13817082495347e-10
U2AF1,1.2555608159877e-11,1.76879974601236e-08
FOXO1,1.33303168740098e-11,1.76879974601236e-08
EGFR,2.92413425886449e-11,3.52730340735209e-08
HUWE1,3.84872194246006e-11,4.25572428787521e-08
NCOR2,7.3107929445302e-11,7.42418177764279e-08
MINK1,7.83318598892147e-11,7.42418177764279e-08
HIVEP1,1.34470932365632e-10,1.18952986770638e-07
TFEB,5.71137539623212e-10,4.73651500828775e-07
SYNE1,1.28556022572178e-09,1.00341756677072e-06
AHNAK2,1.95923351077293e-09,1.44428163635811e-06
LRBA,3.73150122119435e-09,2.60596261600146e-06
PLEC,5.73536129625737e-09,3.80512545200196e-06
MAP2K1,8.51213686483958e-09,5.37845447902649e-06
NAV3,1.01743546616524e-08,6.13652327297572e-06
SPEN,2.42309804475142e-08,1.39791686764377e-05
SPTBN2,3.00919908027067e-08,1.66371094150465e-05
RIF1,3.6088302676185e-08,1.91542275284119e-05
CCND3,5.44376820588581e-08,2.7782061663038e-05
MDC1,6.80296190016576e-08,3.34327783160368e-05
CTNND2,1.14273479672697e-07,5.0543160059234e-05
BCOR,1.08653127162237e-07,5.0543160059234e-05
ACTN4,1.10563818401082e-07,5.0543160059234e-05
BOD1L1,1.42812258733489e-07,5.92179956604583e-05
ACIN1,1.39093208962664e-07,5.92179956604583e-05
FLNA,1.54382968863702e-07,6.20759882985596e-05
ERBB2,1.63977307108296e-07,6.39945555299993e-05
MYOF,1.83324722487809e-07,6.95010212197354e-05
KIAA1109,2.06798091235427e-07,7.38123258793646e-05
