gene,p,fdr
HIST1H2BF,1,1
HIST1H3C,1,1
HIST1H4F,1,1
HIST1H4L,1,1
HIST1H2BJ,1,1
HIST1H4K,0.00858787931779366,0.155691704158674
HIST1H4D,1,1
HIST1H2BB,1,1
HIST1H2AG,1,1
HIST1H2AD,1,1
HIST1H2BC,1,1
HIST1H4E,0.0168729364287235,0.160292896072873
HIST1H2AI,1,1
HIST1H2BD,1,1
HIST1H2AC,1,1
HIST1H2AB,1,1
HIST2H2BF,1,1
HIST2H2BE,1,1
HIST4H4,1,1
HIST1H2BK,1,1
HIST1H3H,1,1
HIST1H4J,1,1
HIST1H2BN,1,1
HIST1H2BO,1,1
HIST1H2BG,1,1
HIST1H2AE,1,1
HIST1H3J,0.0378641842004094,0.217011853933072
HIST2H2AB,0.0109257336251701,0.155691704158674
HIST1H4I,0.0305371066333037,0.217011853933072
HIST1H3I,0.00323508736643864,0.155691704158674
HIST1H2AA,0.016832549266213,0.160292896072873
HIST1H3E,1,1
HIST1H2BH,1,1
HIST1H3B,1,1
HIST1H4B,1,1
HIST1H3F,1,1
HIST1H2AK,1,1
SHMT2,1,1
HIST2H3D,1,1
HIST1H3D,1,1
HIST1H2AM,0.040743302766159,0.217011853933072
H3F3A,1,1
HIST1H2BE,1,1
HIST1H2BL,1,1
HIST1H4C,1,1
HIST1H2BI,0.0418794805835753,0.217011853933072
HIST2H2AC,1,1
HIST1H2AJ,1,1
HIST1H4H,0.0243844028054299,0.198558708558501
HIST3H2BB,1,1
HIST1H4A,1,1
HIST1H3G,1,1
HIST1H3A,0.00804652125935656,0.155691704158674
HIST1H2AL,1,1
H3F3B,1,1
SOD1,1,1
HIST1H2AH,1,1
