gene,p,fdr
BCOR,3.37525802549703e-08,7.92173058584153e-05
ZNF43,4.09362786365492e-07,0.000480387229799905
GTPBP4,1.31935767697797e-06,0.0010321774892891
RBBP8,1.33127836753027e-05,0.00781127582148384
HNRNPA2B1,2.01699453852113e-05,0.00946777236381819
LRIF1,4.2767683529322e-05,0.0143393933204741
GNL3,3.74068024888936e-05,0.0143393933204741
ACTB,6.00078085630493e-05,0.0156487029663863
NIFK,5.64211886281331e-05,0.0156487029663863
ZNF780B,7.4633618667249e-05,0.0175165103012033
FBN1,9.68351057579183e-05,0.0175813149903519
SRSF7,9.1434381115886e-05,0.0175813149903519
RBAK,9.73826565294312e-05,0.0175813149903519
ZNF107,0.000130266523439741,0.0203823687008715
RPS2,0.000124716686576386,0.0203823687008715
DDX41,0.000142867566893808,0.0209568862187354
ZBTB5,0.000207106998707471,0.0270044514425797
XRCC6,0.000195937078676892,0.0270044514425797
ZNF281,0.00021979368501241,0.0271503041433751
RNF219,0.000236998291163718,0.0278117494680623
ZNF480,0.00025196762134209,0.0281603812995183
GTF3C3,0.000320414106405766,0.0341823594424696
ETS1,0.000349886544891125,0.0357036400373683
ZNF607,0.000376059591246009,0.0367754941939326
ERCC6,0.000410343157484347,0.0385230156246305
ZNF326,0.000429154678125405,0.0387394626753971
MATR3,0.000741904828129396,0.0630660294388951
RPL5,0.000779256435333599,0.0630660294388951
ZNF280C,0.000765943335334245,0.0630660294388951
WHSC1L1,0.000878873796593224,0.0687572266868099
ZNF92,0.000987162107307644,0.0716833438826858
ZNF700,0.00100790385518902,0.0716833438826858
MED30,0.000955736816700491,0.0716833438826858
BMS1,0.00104426573664407,0.0720850495265773
DNMT1,0.00120355338918741,0.0782397118611608
ZNF226,0.00121902419552779,0.0782397118611608
PIAS1,0.00123343388958796,0.0782397118611608
ETAA1,0.00128889361789423,0.0796061400315202
RPL17,0.0013683821240242,0.082348534489354
ZNF23,0.00161058985463418,0.0945013597206603
ZNF30,0.00183372431445925,0.100087231768276
ZNF257,0.00179589394799991,0.100087231768276
ZNF655,0.0018077271360593,0.100087231768276
EIF5A,0.00205945261395843,0.107411895221343
OGFOD1,0.00203236850097961,0.107411895221343
STAT5B,0.00226201151851914,0.112956192212009
DNTTIP2,0.00222271042142159,0.112956192212009
DDX21,0.00233531102851862,0.114186978831942
ZNF214,0.00263134975886248,0.126036283347964
HIST1H4A,0.00295073806741866,0.138507644884632
HIST1H3I,0.00323508736643864,0.148877451941794
BLM,0.00370658822208997,0.157121760974929
ZNF544,0.00373450378473069,0.157121760974929
TGFB1,0.00408332465099565,0.157121760974929
NKTR,0.00394035092753481,0.157121760974929
ZNF44,0.00404169838329446,0.157121760974929
ZNF589,0.00399885308775573,0.157121760974929
RSBN1L,0.00408369297804459,0.157121760974929
FKBP4,0.00399459704048953,0.157121760974929
ZNF141,0.00353671753749838,0.157121760974929
ZBTB21,0.00357923985312671,0.157121760974929
SLU7,0.00421523734866491,0.159567129956719
TXNIP,0.00431248918175696,0.160657335072755
ZNF727,0.00451998050269225,0.163997356074118
CHD9,0.00461177055853931,0.163997356074118
CHD6,0.00458556820433894,0.163997356074118
HSF1,0.00492337717854355,0.1672979163621
KLF5,0.00486374094435444,0.1672979163621
COIL,0.00498971203465999,0.1672979163621
RABGEF1,0.00490193459723858,0.1672979163621
ZNF865,0.00524045813061505,0.173230355388078
HIST2H2BE,0.00565800683158508,0.18443530602403
