gene,p,fdr
FGFR2,4.99533422222612e-67,1.59401115031236e-63
BRCA1,1.03016675489717e-63,1.64363105743844e-60
PTPN11,1.58720227883897e-56,1.68825415725838e-53
MYH7,7.04100588364028e-49,5.61696244367403e-46
RAF1,4.50918449590716e-47,2.87776154528795e-44
RYR1,1.45534553707084e-37,7.74001268132174e-35
RBM20,2.64194677302817e-27,1.20435030753327e-24
MFN2,2.0384822054087e-26,8.13099589682394e-24
PTEN,2.0353843133452e-25,7.2165681598717e-23
ATM,9.81173584038613e-25,3.13092490666721e-22
MLH1,1.72248261781391e-24,4.99676548494925e-22
ATP1A3,9.47402829076831e-22,2.51930202298681e-19
BRCA2,6.13199593166648e-18,1.50516915522675e-15
KRT17,1.24137981768601e-17,2.82945928445433e-15
MSH6,7.68938687121588e-17,1.63578890040333e-14
CCND2,2.0825494821375e-16,4.15338462343798e-14
CREBBP,6.08244056000779e-16,1.14170987217558e-13
RET,1.25018557443937e-15,2.21630120446447e-13
TSC2,2.05615664534893e-15,3.45326097647812e-13
LMNA,2.60348695705978e-15,4.15386343998888e-13
STAT3,2.97162054790969e-15,4.51544817541896e-13
BRAF,3.24694151309105e-15,4.70954107648798e-13
PLCB4,1.02147027856202e-14,1.41717898212669e-12
MSH2,1.57515639515787e-14,2.09430169039532e-12
KCNH2,5.64073673536766e-14,7.19983636902328e-12
TP53,1.06703075697088e-13,1.30957505595925e-11
GNB1,1.30370242933879e-13,1.54078313037781e-11
GLB1,1.37510955565908e-12,1.54579040159758e-10
KRT6A,1.40482361787308e-12,1.54579040159758e-10
VCP,1.52764940532091e-12,1.62038834251085e-10
KRT9,1.57417858407509e-12,1.62038834251085e-10
GNAO1,2.21289282430078e-12,2.20666906323243e-10
CFTR,2.33308539757414e-12,2.25602287989669e-10
LRRK2,3.91484151293404e-12,3.67419390228603e-10
CHEK2,7.19963067283449e-12,6.56400613628996e-10
FBN1,9.09649646024457e-12,8.0630333901779e-10
PEX1,1.51942526621488e-11,1.27591737486624e-09
DNM2,1.48400209294821e-11,1.27591737486624e-09
STAT1,1.96573792189213e-11,1.60837684839943e-09
TRPV4,2.27724022574265e-11,1.8166683900862e-09
CBL,2.80011188750768e-11,2.17930659342366e-09
NEFL,4.16976271114328e-11,3.16802685982338e-09
WDR37,5.81219096111393e-11,4.28634269867639e-09
KRT16,5.91034405333003e-11,4.28634269867639e-09
NF1,6.37340793785642e-11,4.51945438437774e-09
KRAS,7.62624763131972e-11,5.29029482424810e-09
KCTD1,1.01463037809339e-10,6.88869263084255e-09
SERPING1,1.24717105934422e-10,8.29108927159878e-09
GJB2,1.36107746618814e-10,8.73517017903759e-09
TINF2,1.3687198650952e-10,8.73517017903759e-09
ADAR,3.35385091902565e-10,2.0581035158867e-08
WAS,3.29854508334017e-10,2.0581035158867e-08
