gene,p,fdr
COL6A3,1.06427733718535e-07,5.52359937999199e-05
F12,3.94719697689747e-07,0.000102429761550489
BSCL2,6.17889396710446e-07,0.000106894865630907
CASR,1.00474263446979e-06,0.000130365356822456
CDH1,1.88897834156025e-06,0.000196075951853954
PSAP,5.18890448917269e-06,0.000448840238313438
MYH7,7.79485586953605e-06,0.000577932885184173
FGF23,1.84966721111153e-05,0.0010860089362172
SCN1B,1.88325249055006e-05,0.0010860089362172
VWF,4.09337914829142e-05,0.00212446377796325
LINGO1,5.89227651788001e-05,0.00278008319343611
MME,9.71452405943891e-05,0.00420153165570733
GAA,0.000111916231581377,0.00446804032236422
ABCA4,0.000282561222898656,0.010474948191743
UMOD,0.000404781655779109,0.0140054452899572
SNCA,0.000553489835795875,0.0179538265486287
TYRP1,0.000624833465204519,0.0190757981435968
AGRN,0.000702314166183157,0.0193290041296193
KCNH2,0.000712233386890251,0.0193290041296193
NPC1,0.000744855650467024,0.0193290041296193
PER2,0.00103728885663126,0.0247777542641077
IL2RG,0.00105030942930707,0.0247777542641077
SLC44A4,0.00134664430183274,0.030387321419617
PRNP,0.00145228044384554,0.0314055645981599
INSR,0.0019678461224104,0.0397536109546317
LAMP2,0.00199151037537654,0.0397536109546317
ENPP1,0.00267209151990731,0.0513635369937738
ANGPTL3,0.00301031475174074,0.0515009926585423
PLXNA1,0.00290518776562246,0.0515009926585423
GUSB,0.00307616719155069,0.0515009926585423
WNT3,0.0029703426493303,0.0515009926585423
SERPINA1,0.00440259226586652,0.0711163706268061
NOX1,0.00452185015546166,0.0711163706268061
GNPTAB,0.00576543064036476,0.0880076030102738
FBN2,0.00642766782784592,0.0901610703419468
TMEM106B,0.00612526699810442,0.0901610703419468
COL1A1,0.00626129886858038,0.0901610703419468
CD19,0.00713769741077456,0.0974859198997894
CD96,0.009019344222424,0.115274167548932
BCHE,0.00910643712814299,0.115274167548932
GP1BA,0.00898999726205956,0.115274167548932
APOB,0.0106192513263323,0.131223605675392
GLA,0.0110271381363803,0.133094992855381
ACP5,0.01224598655645,0.144446977790854
FKBP10,0.0129059145325723,0.148848214275667
SMPD1,0.0138027666113362,0.152417784495393
CDH2,0.0137912783266986,0.152417784495393
APOE,0.0177443411638725,0.191860688834371
NEFL,0.0213546975879803,0.226185470370648
APOC3,0.0235171004682359,0.244107502860289
TSHB,0.0253052954872256,0.257518595252354
SNAPIN,0.0294607219530015,0.294040667184765
REN,0.0328051331299194,0.312301190731726
CFI,0.0336972383063135,0.312301190731726
GAL,0.0334318588830059,0.312301190731726
FBN1,0.03240710719204,0.312301190731726
CTSC,0.0347732312756866,0.316619421615462
AGA,0.0366356602021085,0.318965918959117
TPP1,0.0358971186022402,0.318965918959117
F7,0.0374892505905706,0.318965918959117
GRIN2A,0.0372071980525812,0.318965918959117
MOGS,0.0382885622011025,0.32051231907052
ACTA1,0.0462552348897689,0.376494293021735
ITGB3,0.0464270419140483,0.376494293021735
FSHR,0.0483101882547838,0.379893753094436
PKD2,0.0476444354776511,0.379893753094436
H6PD,1,1
PLOD1,1,1
EPHA2,1,1
ATP13A2,1,1
EMC1,1,1
ECE1,1,1
ALPL,1,1
HSPG2,1,1
CDC42,1,1
FUCA1,1,1
SLC9A1,1,1
CSF3R,1,1
PPT1,1,1
SLC2A1,1,1
SLC6A9,1,1
POMGNT1,1,1
PCSK9,1,1
TACSTD2,1,1
LEPR,1,1
CLCC1,1,1
KCNA2,1,1
NGF,1,1
ECM1,1,1
POGZ,1,1
GATAD2B,1,1
IL6R,1,1
DPM3,1,1
GBA,1,1
LMNA,1,1
APOA1BP,1,1
NTRK1,1,1
SPTA1,1,1
ACKR1,1,1
FCGR2A,1,1
FCGR3A,1,1
ATF6,1,1
F5,1,1
SERPINC1,1,1
NPHS2,1,1
EDEM3,1,1
CFH,1,1
F13B,1,1
NFASC,1,1
CD55,1,1
HSD11B1,1,1
GALNT2,1,1
AGT,1,1
PXDN,1,1
MATN3,1,1
ABCG8,1,1
MCFD2,1,1
EPCAM,1,1
SLC1A4,1,1
ANTXR1,1,1
GGCX,1,1
LMAN2L,1,1
CNNM4,1,1
RANBP2,1,1
MERTK,1,1
PROC,1,1
ITGB6,1,1
SCN2A,1,1
GALNT3,1,1
SCN9A,1,1
ABCB11,1,1
LRP2,1,1
COL3A1,1,1
COL5A2,1,1
CTLA4,1,1
ERBB4,1,1
ABCA12,1,1
FN1,1,1
IHH,1,1
IRS1,1,1
SLC19A3,1,1
UGT1A4,1,1
UGT1A1,1,1
UGT1A8,1,1
UGT1A3,1,1
UGT1A9,1,1
SUMF1,1,1
SLC6A1,1,1
BTD,1,1
TGFBR2,1,1
GLB1,1,1
ACVR2B,1,1
CTNNB1,1,1
POMGNT2,1,1
LAMB2,1,1
RHOA,1,1
DAG1,1,1
CACNA2D2,1,1
ROBO1,1,1
PROS1,1,1
IMPG2,1,1
PVRL3,1,1
POGLUT1,1,1
RHO,1,1
TF,1,1
PLOD2,1,1
GYG1,1,1
CP,1,1
RNF13,1,1
SI,1,1
THPO,1,1
DNAJB11,1,1
AHSG,1,1
HRG,1,1
ADIPOQ,1,1
TFRC,1,1
IDUA,1,1
WFS1,1,1
SOD3,1,1
SGCB,1,1
KIT,1,1
