gene,p,fdr
VCP,9.71786810882888e-18,1.02717865910321e-14
KRT6A,2.4294409541882e-14,1.28395954428846e-11
LMNA,6.9916172804514e-11,2.46337982181237e-08
TINF2,1.3687198650952e-10,3.61684224351408e-08
HINT1,6.51080921971945e-10,1.37638506904869e-07
SDHA,7.32395146813984e-09,1.29023611697064e-06
FUS,2.42133930738786e-08,3.65622235415566e-06
KRT2,2.92658966410661e-08,3.86675659370086e-06
GJB2,3.30914890166925e-08,3.88641154340488e-06
IMPDH1,8.05095413408408e-08,8.50985851972687e-06
EARS2,1.07621210117916e-07,1.03414199176943e-05
TPM3,2.32458537375718e-07,2.04757228338445e-05
CPT2,7.01142645797879e-07,5.70082905083352e-05
BAG3,1.21846738833274e-06,9.1994287819122e-05
IL21R,1.31763402064957e-06,9.28492773217729e-05
MYH11,2.324628898533e-06,0.000153570796609336
COPA,3.62260989563929e-06,0.000210705715440548
CRYAA,3.78751995588497e-06,0.000210705715440548
LOC102724652,3.78751995588497e-06,0.000210705715440548
GLUD1,6.99150882672984e-06,0.000369501241492672
H3F3A,9.59019456532227e-06,0.000482706459787888
RHBDF2,1.74187281056429e-05,0.000836890709439296
RLIM,2.11379688276374e-05,0.000971427523948381
ALDH18A1,3.56178612683852e-05,0.0015686699733618
KRT6B,5.41393417161435e-05,0.00228901136775855
VHL,6.06699871440683e-05,0.00237511764486223
HNRNPH2,6.0239987765717e-05,0.00237511764486223
ACAD9,6.75100692346568e-05,0.0025485051136083
ASS1,7.75504339765142e-05,0.00282657961079915
RPS19,8.040833670585e-05,0.00283305372993611
RPSA,9.13083957119852e-05,0.00311332175056672
PKP2,0.000176741406498018,0.00583798958338767
MYO9A,0.000211083448607799,0.00676106682358921
MAT1A,0.000250535528946301,0.00778870747341884
NR2F1,0.000267726084659641,0.00786073531903446
VIM,0.000260964452662981,0.00786073531903446
KCNQ2,0.000287396104410814,0.00821020763141164
YY1,0.000300711645599865,0.00836453182629097
CAMK2G,0.000320930410506802,0.00869803702322281
RPS6KA3,0.000429063554253246,0.011338004421142
NKAP,0.000458984794626514,0.0118328519004933
FLNC,0.000555048842395955,0.0139687292002982
HNRNPH1,0.000612172575582863,0.0143966516292214
CAMK2B,0.000612913267090782,0.0143966516292214
HK1,0.000612913267090786,0.0143966516292214
DDX3X,0.000634181331448004,0.0145723840726204
CAPZA2,0.000729841368150257,0.0160717151278088
CDKN2A,0.000720842510286716,0.0160717151278088
ACTA2,0.000765629076694256,0.0165157129401189
RPL13,0.000930655957665169,0.0196740669450417
EEF2,0.00107887558812405,0.0223602254244534
RPL15,0.00111483809874333,0.0226612282763788
TPM1,0.0012774450515012,0.0254765928195616
ATM,0.0013189066680443,0.0258163768170893
EZH2,0.00141810552607336,0.0272534098374463
NEFL,0.00156046804172516,0.0289371003526928
RPL21,0.00153630265285451,0.0289371003526928
GRIP1,0.00200891827751123,0.0366108037815409
LMNB1,0.00207592754398206,0.0371907697286277
PGAM2,0.00251845735524775,0.0423144460825868
ACTL6B,0.00251258793300963,0.0423144460825868
SLTM,0.00252205307777007,0.0423144460825868
PRMT7,0.00247041614730533,0.0423144460825868
PSAT1,0.00262174792841087,0.0427411380896684
KRT8,0.00262835759302597,0.0427411380896684
BAZ1A,0.00267191930635279,0.0427911925274985
AP1B1,0.00308069977513196,0.048601487497231
GANAB,0.00313054499881969,0.0486615597610648
ANLN,0.0032175568532121,0.0490112369892262
G6PD,0.00324577728405472,0.0490112369892262
PRKAR1A,0.00361273449016775,0.0537839486775678
STUB1,0.00395440659245818,0.0580528856698375
EHMT1,0.00407286536209508,0.0589728587360891
NOP10,0.00421523704676567,0.0602095345733961
SPATA7,0.00462838420321813,0.0652293613706875
SVIL,0.00514378763598458,0.0706101757303337
EEF1A2,0.00509442891448492,0.0706101757303337
HNRNPK,0.00539390108393539,0.0730942749451244
KARS,0.00578507569413451,0.0774028482113947
KRT6C,0.00638624168556911,0.0833365118721796
POC1B,0.00637287784622048,0.0833365118721796
HEXB,0.0069433243313225,0.0895011441244863
EIF2B4,0.00738488914954566,0.0934379008300952
USP27X,0.00742552854278902,0.0934379008300952
VCL,0.00777210390542833,0.0966483979769147
THAP11,0.00939553037937115,0.115477623383666
DDX6,0.0100645168183211,0.122193673217041
CBS,0.0101731724154206,0.122193673217041
KRT5,0.0102948088685642,0.12226531431542
AP5Z1,0.0105752485430004,0.12420041899946
HSPB1,0.0111741017574522,0.129791489644252
ACTA1,0.0119445883190441,0.133018148860226
HADHA,0.0120396853041084,0.133018148860226
STAG1,0.0120811185341359,0.133018148860226
CALM3,0.0117045061178147,0.133018148860226
LSS,0.0120769467212713,0.133018148860226
CALM2,0.0122942500165223,0.133969301726434
ACTB,0.012526126379161,0.13510322023238
ARSA,0.0134628791215073,0.143740032640739
DNAJB11,0.0151770396445983,0.158832979250895
SLC25A3,0.0151770396445983,0.158832979250895
RYR2,0.0160020183354199,0.162635897889797
EOGT,0.0157558030964397,0.162635897889797
TIMM50,0.0160002811909962,0.162635897889797
MECP2,0.0165305525166104,0.166407562000544
DSP,0.0171981662184144,0.169980807961509
PDIA3,0.0172071395003609,0.169980807961509
