gene,p,fdr
FGFR2,4.99533422222612e-67,1.47961799662338e-63
RAF1,4.80143520472194e-55,7.11092553819319e-52
PTPN11,3.13145608366932e-54,3.09179097327618e-51
MYH7,3.39189768714507e-45,2.51170023733092e-42
RYR1,1.45534553707084e-37,8.62146696160764e-35
LMNA,4.93348503390179e-28,2.43549711173618e-25
RBM20,2.64194677302817e-27,1.11792090595849e-24
PTEN,3.27049654186644e-18,1.21090134462605e-15
KRT17,6.75814986014609e-18,2.22418220952808e-15
BRCA1,2.87554377862607e-17,8.51736067229041e-15
CCND2,2.0825494821375e-16,5.6077377873557e-14
TP53,4.00038709514304e-16,9.87428881317807e-14
CHEK2,9.37908991191157e-16,2.13698956300631e-13
GLB1,1.02618135707245e-15,2.17110655689185e-13
RET,1.25018557443937e-15,2.46869978099295e-13
STAT3,6.71786495527891e-15,1.24364474984601e-12
PLCB4,1.02147027856202e-14,1.77976174417688e-12
GNAO1,2.78589552058606e-14,4.58434585109772e-12
KRT9,4.57326623832429e-14,7.12948136732449e-12
TSC2,3.47078368643562e-13,5.14023063961115e-11
DNM2,4.66329404199304e-13,6.57746521542066e-11
TRPV4,5.13093727191001e-13,6.90810736336248e-11
FUS,8.30917622557271e-13,1.07007739044115e-10
GNB1,1.56397876587254e-12,1.93021046021436e-10
CFTR,2.33308539757414e-12,2.76423957904584e-10
LRRK2,3.91484151293404e-12,4.45990790819639e-10
SH3BP2,2.235454293652e-11,2.45237615473971e-09
KCNH2,2.74058729095934e-11,2.80894267546385e-09
CBL,2.80011188769308e-11,2.80894267546385e-09
KRT16,2.84497907710721e-11,2.80894267546385e-09
CDKL5,5.52614519799794e-11,5.28014260531287e-09
NEFL,7.6334106177704e-11,6.65004772053997e-09
WDR37,7.62323089797888e-11,6.65004772053997e-09
KRAS,7.62624763131972e-11,6.65004772053997e-09
KCTD1,1.01463037809339e-10,8.58667194260747e-09
SERPING1,1.24717105934422e-10,1.026144632716e-08
DYNC1H1,1.80519927902836e-10,1.44513520661675e-08
VHL,1.9807212513994e-10,1.52376005942258e-08
FLNA,2.00630122611346e-10,1.52376005942258e-08
TFAP2A,2.26723534616328e-10,1.67888777383391e-08
UBTF,3.60470077793165e-10,2.6041765132277e-08
MPZ,7.97381317496839e-10,5.62343681529914e-08
APP,9.25858351743808e-10,6.37765683224456e-08
AAAS,1.71490010433117e-09,1.15443957023384e-07
KRT6A,1.80098374913548e-09,1.18544752554206e-07
MYH9,2.21851818318073e-09,1.42853279534377e-07
BAG3,3.23422666350886e-09,2.03825093134325e-07
ADAR,5.37904863042774e-09,3.31932125902645e-07
MAP2K2,5.66519463341333e-09,3.42455234778986e-07
MYBPC3,5.79820209642315e-09,3.43485492192107e-07
GSTP1,8.71442156533792e-09,5.06119934833939e-07
TGFBR2,1.22458162667991e-08,6.97540534274209e-07
BRAF,1.41199849747023e-08,7.89120669718269e-07
PDE3A,1.55653579785371e-08,8.53788709859758e-07
FOXL2,2.16857250747358e-08,1.16787486675214e-06
FLNC,2.39561098982746e-08,1.26710709854802e-06
MAPT,2.53520465669948e-08,1.31741687599015e-06
ZBTB20,3.83747511569857e-08,1.95975884356882e-06
VARS,4.24017769993516e-08,2.12871294020473e-06
DNMT1,4.52532424970329e-08,2.23400173793686e-06
WAS,6.40535726395714e-08,3.11027347800673e-06
STK11,6.86045477482047e-08,3.27752694242229e-06
MET,7.88312704067078e-08,3.64840973351045e-06
CREBBP,7.80034275044752e-08,3.64840973351045e-06
KRT12,1.04553331644795e-07,4.76441489741359e-06
AHCY,1.12320075766748e-07,5.04078885486526e-06
ATRX,1.55742927292651e-07,6.8852320991169e-06
KCNQ2,1.88460605795711e-07,8.20912227010139e-06
DES,2.01053574670001e-07,8.63073461119627e-06
ACTG2,2.25457155043697e-07,9.54005847484902e-06
TPM3,2.32458537375716e-07,9.69777729164606e-06
PRPF3,2.66374930730539e-07,1.09583686781091e-05
MECP2,3.1464420856469e-07,1.27667965173783e-05
CALM2,3.26852172678422e-07,1.29360471502302e-05
NF1,3.27550147288071e-07,1.29360471502302e-05
MSH6,4.25944295083382e-07,1.6600618447855e-05
PDGFRB,4.48217929207864e-07,1.72418377443337e-05
PRKAR1A,5.25493328699643e-07,1.99552723026711e-05
RYR2,6.68230060802659e-07,2.50543979759174e-05
ACTN2,8.42368940741e-07,3.09748413340472e-05
NPHP1,8.47050016224789e-07,3.09748413340472e-05
EEF1A2,8.57534644225155e-07,3.09758245877428e-05
BRCA2,9.05287839550504e-07,3.23067780813084e-05
ATP1A2,9.63293142661126e-07,3.36452433456913e-05
VCP,9.65511709785198e-07,3.36452433456913e-05
NFKBIA,1.04719119151632e-06,3.60672128985039e-05
TEK,1.07446063358605e-06,3.63354433351377e-05
TUBA1A,1.08627366502902e-06,3.63354433351377e-05
MYL2,1.09178070790927e-06,3.63354433351377e-05
KLHL7,1.1585116731944e-06,3.81279064000203e-05
TRIP11,1.45948429200949e-06,4.73895890794396e-05
GATA1,1.47192511657949e-06,4.73895890794396e-05
MED13L,1.62573284792651e-06,5.17787171565411e-05
BBS1,1.64811722357152e-06,5.19332257044559e-05
MLH1,1.77057856461294e-06,5.52047758777215e-05
PPP1CB,1.85548104578542e-06,5.72493214335044e-05
CACNA1C,1.9248150939517e-06,5.87763124565456e-05
SPTLC2,2.24293226717624e-06,6.77914834222044e-05
HUWE1,2.51934598297291e-06,7.53767959754118e-05
SASH1,2.99905477072304e-06,8.88320023088166e-05
PDE10A,3.09573115329586e-06,9.07876799610134e-05
MAP2K1,3.14691527259325e-06,9.13839513472668e-05
COL1A1,3.30728292298929e-06,9.51084661931484e-05
DNM1L,3.37154667369545e-06,9.60242427642877e-05
ACTA2,3.41412933081094e-06,9.63109626463049e-05
SPTAN1,3.86260705146197e-06,0.000107934359305947
POLR1C,3.98287677861769e-06,0.000110254962787529
GATA2,4.03118954381915e-06,0.000110559105822151
PRKAG2,4.07028381488279e-06,0.000110607162015439
IRF6,4.60406954357326e-06,0.000123481537754905
NAGA,4.62743102322567e-06,0.000123481537754905
JPH2,5.1382493672226e-06,0.000135888344872441
SUZ12,6.08816027882038e-06,0.000159585227839522
CDK4,6.32530748833289e-06,0.000164347024389842
KMT2E,6.55753386835914e-06,0.000168899263635476
KMT2D,7.55382774985715e-06,0.000192883084440318
BEST1,8.59662283836347e-06,0.000217634161087458
BRF1,8.82112490329506e-06,0.000221425186131864
POLR1B,9.13836174981483e-06,0.00022746073531892
LAS1L,1.00876930552001e-05,0.000248997890245857
NIN,1.05419101814638e-05,0.000258058991384263
CSNK2A1,1.16474982367322e-05,0.000282785981780334
YWHAG,1.21326582428137e-05,0.00029217019280662
DNMT3B,1.54710725791228e-05,0.000369559007898077
FLNB,1.60822046340441e-05,0.000381083921008309
MTHFD1,1.76849756407323e-05,0.000415737284506738
SLC26A4,1.80118480775572e-05,0.000420087354375783
DDX3X,2.00672129764053e-05,0.00046436785028213
MALT1,2.10641608751803e-05,0.000483659259785147
CAMK2B,2.47103869354135e-05,0.000563016662328422
UMPS,2.91114114875784e-05,0.00065324243050157
FOXC2,2.90496322799718e-05,0.00065324243050157
SYT2,3.04713812934464e-05,0.000678618281136754
WDR62,3.13316140072923e-05,0.000692568960370147
KIAA1109,3.19936655581902e-05,0.000701964721358218
SLC25A4,3.36563644212252e-05,0.00073301581923286
SOS1,3.63461060042575e-05,0.000785818729814676
ACTB,3.73181366274576e-05,0.000800987831090792
TRMT10C,3.80680879876187e-05,0.000805411975852333
WARS,3.78235432859891e-05,0.000805411975852333
TANGO2,3.86527102935662e-05,0.000811981048862008
FOXN1,3.95585698431724e-05,0.000825158337151244
PPP2CA,4.06532262331246e-05,0.000842061930786818
CYFIP2,4.18390050121349e-05,0.000860605089207941
DYNC1I2,4.22239073541382e-05,0.000862532507468672
CDKN1C,4.28353625826471e-05,0.000869029753217813
POP1,4.34962470055919e-05,0.000876434582520838
GOT2,4.60185427707913e-05,0.000920992727615431
COG4,5.75639771531298e-05,0.00114432550555416
APC,5.87193796591238e-05,0.00115951201700216
KRT14,5.95818319954381e-05,0.00116875090311581
ALB,6.11876664355865e-05,0.00119235439461979
ABL1,6.23104180420285e-05,0.00120581544903346
MED13,6.26926330692616e-05,0.00120581544903346
SPECC1L,6.44843909857123e-05,0.00123227591032051
SMAD4,6.7172680172075e-05,0.00127541973506209
YY1,7.00994913814293e-05,0.00132251397115792
GRM7,7.66214388257054e-05,0.0014364095050743
GLUL,8.24887622769594e-05,0.00153667744568776
EPRS,8.4752074143069e-05,0.00156897277257357
GFPT1,9.29459004521436e-05,0.00170997364682764
FANCE,9.49971788067173e-05,0.00173692372608331
PLOD2,9.87972987939979e-05,0.00179532269342222
ATP1A3,0.000107523664608821,0.00194198228397151
IDH2,0.000112528422851239,0.00202005568779012
TWIST1,0.000115561081532755,0.00205791349214854
PIBF1,0.000116721629534421,0.00205791349214854
COL6A1,0.000116505323499991,0.00205791349214854
PHIP,0.000118999739714716,0.00208566407713011
CHD4,0.000120237743910413,0.00209496586742732
PAK1,0.00013141861401361,0.00227638558308954
KLHL3,0.000136014134306745,0.00234228991753824
AHDC1,0.000137372384262779,0.0023520057929847
TUBB2B,0.000141794171020754,0.00241376054346824
HNRNPK,0.000146255751877968,0.0024754830689288
ZNF644,0.000148068766581898,0.00249193003758854
PIK3R1,0.000159674551948475,0.00267206792582702
RPS6KA3,0.000161715850331631,0.00269102443079939
HSD17B4,0.000169814633567578,0.00280026328835824
PTRH2,0.000170171300440406,0.00280026328835824
ALS2,0.000175158654458881,0.00282288655097562
HNRNPA1,0.000173651718449298,0.00282288655097562
RB1,0.000175358246245616,0.00282288655097562
SGSH,0.000173844670108177,0.00282288655097562
ATR,0.000180977256464347,0.00288201415939461
APOE,0.000180463232669119,0.00288201415939461
VIM,0.000185440077969151,0.00293729150237767
TP63,0.000191051767657441,0.00301008157341138
DCX,0.00019572062201692,0.00306732530377839
CNGA3,0.000205187749543081,0.00319876902182425
SMS,0.000210376583877662,0.00326248922222845
MTOR,0.000217952960103946,0.00333632390535671
NIPBL,0.000219343570354513,0.00333632390535671
POR,0.000220769576451693,0.00333632390535671
KRT2,0.000220671785165451,0.00333632390535671
KRT10,0.00022000620476177,0.00333632390535671
PLN,0.00022254292763595,0.00334605153125728
RAC2,0.000228830243824742,0.00342320799095396
VCL,0.000232681135952201,0.00346332424467547
TBL1XR1,0.000236416776481824,0.00350133245969581
BCS1L,0.000237953227488559,0.00350655452647319
KIF14,0.000241149958461192,0.00353607018298045
PRKCD,0.000261349070222992,0.00381337904433745
