gene,p,fdr
KRT6A,4.58526380287391e-11,2.31555822045132e-08
FBN1,2.4446095274882e-08,6.17263905690772e-06
LMNA,1.88072314754417e-07,3.03426015262301e-05
ACTB,2.40337437831526e-07,3.03426015262301e-05
TUBA1A,1.11121090407081e-06,0.000112232301311152
DKC1,7.39921744934663e-06,0.000622767468653341
MSH2,1.51701846163302e-05,0.00109442046160668
VHL,5.92396442677834e-05,0.00339434274541327
VCP,6.72147078299658e-05,0.00339434274541327
KRT2,6.3564849774292e-05,0.00339434274541327
ZNF644,0.000129714316915943,0.00595506636750466
ADAR,0.00015421181256676,0.0064897471121845
C5orf42,0.0004912643819602,0.0190837317607616
STK11,0.00053284544004166,0.0192204962300742
ZIC3,0.00101027710783668,0.0340126626305014
H3F3A,0.00127317419854283,0.0378207629567135
PRPF31,0.00123429096874833,0.0378207629567135
ZFP30,0.00195032593369696,0.0547174775842758
SMARCA2,0.00224453381669047,0.0596573461804573
SNCA,0.00337338956803029,0.0845494539811401
NFKB2,0.00351591788832464,0.0845494539811401
TARDBP,0.00370242650181831,0.0849875174281021
EHMT1,0.00407286536209508,0.0894259568633921
SETX,0.00628380573512852,0.132221745676663
ANLN,0.00692041741631761,0.139792431809616
PRPF6,0.007231892127999,0.140465597101519
GALNT2,0.00845015433551459,0.149053013988798
RNASEH2C,0.00885463449438405,0.149053013988798
IGF1R,0.00865685386281703,0.149053013988798
RPL13,0.0082476058851366,0.149053013988798
SNIP1,0.011121897757913,0.165192893169002
THRB,0.0106483621668542,0.165192893169002
THAP1,0.0108972052091719,0.165192893169002
KRT5,0.0102948088685642,0.165192893169002
STAMBP,0.0129446345535848,0.186772584273152
VRK1,0.0151790843743101,0.212928822472961
SMARCE1,0.017337389700738,0.236631940510073
CHD3,0.0197832581659448,0.26173518636954
PGK1,0.0202132124126971,0.26173518636954
DDB2,0.021136723830359,0.266851138358282
TUBB4A,0.0223693621503468,0.275525070388418
DHFR,0.0260937491772803,0.313746269869679
ATRX,0.0360830346953118,0.423765872584475
ACTG2,0.0385016490103424,0.441893926141429
ACTG1,0.0408686030368984,0.45863654519186
PHF6,0.0435606524671331,0.478220206432657
ATF6,0.0476594403619538,0.501417028808056
GRM7,0.0474357287205332,0.501417028808056
MATR3,0.0490247105864684,0.50525467032993
PRDM16,1,1
PARK7,1,1
RERE,1,1
EPHA2,1,1
ARHGEF10L,1,1
KDM1A,1,1
FUCA1,1,1
AHDC1,1,1
HDAC1,1,1
SLC2A1,1,1
ORC1,1,1
DHCR24,1,1
MYSM1,1,1
RPL5,1,1
GNAI3,1,1
AMPD2,1,1
ATP1A1,1,1
PHGDH,1,1
PRPF3,1,1
ZNF687,1,1
POGZ,1,1
GATAD2B,1,1
TPM3,1,1
KCNN3,1,1
PLA2G4A,1,1
CDC73,1,1
ASPM,1,1
DDX59,1,1
KDM5B,1,1
EPRS,1,1
IARS2,1,1
ARF1,1,1
ACTA1,1,1
NUP133,1,1
SPRTN,1,1
AKT3,1,1
HNRNPU,1,1
KLF11,1,1
DNMT3A,1,1
CAD,1,1
ZNF513,1,1
IFT172,1,1
LRPPRC,1,1
EPAS1,1,1
MSH6,1,1
BCL11A,1,1
ALMS1,1,1
TET3,1,1
SNRNP200,1,1
NCAPH,1,1
RANBP2,1,1
ERCC3,1,1
LIMS2,1,1
TUBA3E,1,1
RAB3GAP1,1,1
ZEB2,1,1
IFIH1,1,1
CDCA7,1,1
NFE2L2,1,1
STAT1,1,1
SATB2,1,1
BARD1,1,1
ATIC,1,1
ZNF142,1,1
ABCB6,1,1
TUBA4A,1,1
DES,1,1
HDAC4,1,1
PPARG,1,1
XPC,1,1
RPL15,1,1
TOP2B,1,1
MLH1,1,1
SCN11A,1,1
RPSA,1,1
SETD2,1,1
SMARCC1,1,1
QRICH1,1,1
LAMB2,1,1
RHOA,1,1
TRAIP,1,1
PRKCD,1,1
TKT,1,1
FOXP1,1,1
ZBTB11,1,1
ZBTB20,1,1
ZNF148,1,1
MCM2,1,1
GATA2,1,1
FOXL2,1,1
TBL1XR1,1,1
SOX2,1,1
TP63,1,1
PCYT1A,1,1
ZNF141,1,1
CTBP1,1,1
WHSC1,1,1
HTT,1,1
MSX1,1,1
KIT,1,1
SRP72,1,1
POLR2B,1,1
SMARCAD1,1,1
PDHA2,1,1
NFKB1,1,1
NR3C2,1,1
TRIP13,1,1
TARS,1,1
NUP155,1,1
MAP3K1,1,1
PDE4D,1,1
ZSWIM6,1,1
PIK3R1,1,1
RPS23,1,1
XRCC4,1,1
MEF2C,1,1
LMNB1,1,1
SLC12A2,1,1
FBN2,1,1
P4HA2,1,1
AFF4,1,1
PPP2CA,1,1
KDM3B,1,1
HARS2,1,1
NR3C1,1,1
TCOF1,1,1
SH3PXD2B,1,1
NSD1,1,1
DDX41,1,1
NHP2,1,1
HNRNPH1,1,1
FOXC1,1,1
TUBB2A,1,1
TUBB2B,1,1
TFAP2A,1,1
HIST1H4C,1,1
TUBB,1,1
PSMB8,1,1
TTBK1,1,1
CD2AP,1,1
RIMS1,1,1
PHIP,1,1
ZNF292,1,1
BACH2,1,1
GRIK2,1,1
EYA4,1,1
TAB2,1,1
SUMO4,1,1
ESR1,1,1
DNAAF5,1,1
PMS2,1,1
CYCS,1,1
HNRNPA2B1,1,1
