gene,p,fdr
BRCA1,9.78827854013444e-48,2.257177031355e-44
MFN2,4.14075267449526e-28,4.77428783369303e-25
ATM,2.92457586436768e-25,2.24802398107729e-22
MLH1,4.71815469274439e-21,2.72001618036714e-18
ATP1A3,8.74835929673376e-19,4.03474330765361e-16
MSH6,3.01667874921221e-18,1.15941019928056e-15
MSH2,2.29576081868977e-16,7.56289206842657e-14
VCP,7.81099848452769e-14,2.25152031316511e-11
BRAF,3.16938757839865e-13,8.12067528420809e-11
BRCA2,2.17323576443476e-12,5.01148167278655e-10
TPM3,3.10430316356717e-12,6.50774826835081e-10
LMNA,8.20101300853035e-12,1.57596133313925e-09
PEX1,1.51942526621488e-11,2.50271047420823e-09
KRT17,1.47123789509111e-11,2.50271047420823e-09
STAT1,4.04076639018662e-11,6.21200486384690e-09
WFS1,9.25503683166085e-11,1.33388218336312e-08
COPA,5.24366966944361e-10,7.11288368102174e-08
ADAR,5.78220337861639e-10,7.40764499504967e-08
PMS2,3.21749181388516e-09,3.90501901201009e-07
GLUD1,3.6454289355802e-09,4.20317956272397e-07
MTR,7.3818362860383e-09,8.1059592740973e-07
CSNK2A1,1.38292321605526e-08,1.44955497101065e-06
STAT3,1.83373043836499e-08,1.83851408298682e-06
GSTP1,1.92240545331725e-08,1.84711123972899e-06
DNM2,2.46027416763302e-08,2.26935689222469e-06
POLA1,3.89885408701465e-08,3.45798366332914e-06
MYH7,4.47860512979825e-08,3.68845122475527e-06
MAP2K2,4.41400275847998e-08,3.68845122475527e-06
BRIP1,4.90637505407022e-08,3.90141409471929e-06
NBAS,8.87363502353254e-08,6.82086745475535e-06
JAG1,9.31777507379835e-08,6.93122236134806e-06
NSD1,1.64935522797652e-07,1.18856661116058e-05
NEFL,2.37059070171534e-07,1.62883823772361e-05
MECP2,2.40158283098885e-07,1.62883823772361e-05
CDK19,2.63104812827978e-07,1.73348485251805e-05
FLI1,3.37119733992319e-07,2.14300878887966e-05
HSPB8,3.43847897608619e-07,2.14300878887966e-05
ELP2,4.42076986314056e-07,2.68270929063214e-05
TAF6,4.81153414911797e-07,2.80109948336322e-05
CDC42BPB,4.85880222612875e-07,2.80109948336322e-05
FH,5.15110418102659e-07,2.8971820101091e-05
DNMT1,6.05855977059212e-07,3.32643781690129e-05
NFKBIA,6.99956858673633e-07,3.75372213046837e-05
KRT6A,7.32530322750313e-07,3.77066693453788e-05
KRT12,7.35819653313983e-07,3.77066693453788e-05
FARSB,1.03804461313414e-06,5.16142780273862e-05
KRT16,1.0714798074095e-06,5.16142780273862e-05
DKC1,1.07436485052669e-06,5.16142780273862e-05
SOX10,1.11071203164083e-06,5.22714682645666e-05
AHCY,1.19518311196211e-06,5.51218451236925e-05
AFF4,1.30570500066966e-06,5.76520683967831e-05
SETX,1.31396207645073e-06,5.76520683967831e-05
PIK3R2,1.32504753904142e-06,5.76520683967831e-05
ARMC4,1.65155251671107e-06,7.05274093247358e-05
VHL,2.26340954720796e-06,9.48985893793009e-05
WDR37,2.40999629500863e-06,9.92402045766054e-05
