gene	p	fdr
CTNNB1	7.29868558025906e-65	8.70368255445893e-61
IDH1	5.94998080805889e-63	3.54767605680511e-59
PTEN	1.82282073049743e-51	7.2457124037273e-48
FLT3	2.579201569431e-26	7.68924467886616e-23
BRAF	3.09148109318694e-23	7.37318240725086e-20
AKT1	6.65327405324617e-23	1.32233821808268e-19
SF3B1	1.66869282684085e-22	2.84273742286817e-19
AHNAK	5.44735981688984e-18	8.11997072705142e-15
U2AF1	2.00440568667947e-16	2.6558375348503e-13
IDH2	2.53581634721275e-16	3.0239609940512e-13
MYH4	1.27602586117797e-13	1.38332803586793e-10
CHD4	1.12615920444662e-12	1.11912070941883e-09
TRIP12	1.94928954260108e-12	1.686940330704e-09
MDN1	1.98047502137157e-12	1.686940330704e-09
PLEC	3.01288049682588e-12	2.39523999497657e-09
CTCF	1.85485573338487e-11	1.38244716378841e-08
PRRC2A	3.81680229698902e-11	2.67737455244671e-08
INTS1	4.05155115921986e-11	2.68415264298315e-08
AHNAK2	7.46120843614928e-11	4.6828900316358e-08
PRRC2B	9.80137578946501e-11	5.84407031446851e-08
AKAP11	1.08809501283922e-10	5.94515749120516e-08
HCFC1	1.09680054345085e-10	5.94515749120516e-08
ZNF318	1.71800563339934e-10	8.90748572969007e-08
HIVEP1	1.82533353520388e-10	9.06962600304426e-08
KMT2A	2.5273060192491e-10	1.19280853309894e-07
TACC2	2.60067269271048e-10	1.19280853309894e-07
PTPN11	6.52018259731258e-10	2.87974731381306e-07
MB21D2	7.77848026558817e-10	3.31279918454067e-07
SRCAP	8.9807264495989e-10	3.69293665211955e-07
POTEF	1.38132938005918e-09	5.49078428573523e-07
CAND1	1.49623632434573e-09	5.75568327994285e-07
INTS4	1.62509253586557e-09	6.05600890318656e-07
PIK3R1	3.81347135294541e-09	1.37804987526891e-06
DOCK2	4.52533429620493e-09	1.55038182713019e-06
ACACA	4.55038691400894e-09	1.55038182713019e-06
HRNR	4.95128502451614e-09	1.64011316437097e-06
PHF3	9.77065330169032e-09	3.14905515196371e-06
ZFP36L2	1.07215966508019e-08	3.3646063173898e-06
SMC3	1.11474687522593e-08	3.40855294540237e-06
AHCTF1	1.38030296805484e-08	4.11502822351349e-06
KIT	1.4207262838456e-08	4.13223437435581e-06
PDS5A	1.62006026088768e-08	4.49686147475229e-06
ASH1L	1.62150979802389e-08	4.49686147475229e-06
ZNF184	1.68352701304348e-08	4.56274082512351e-06
SHROOM3	1.86165443088798e-08	4.93338424185314e-06
SYNE1	1.98936197581222e-08	5.12701480891242e-06
MYH2	2.02071023915207e-08	5.12701480891242e-06
TP53BP1	3.32219086993032e-08	8.25356794248313e-06
SETX	3.52408908030207e-08	8.57648209849024e-06
AKAP2	3.63828947958553e-08	8.67732040881148e-06
CIC	3.89882009095063e-08	9.11635874207575e-06
MKI67	4.01174689172713e-08	9.20001570843192e-06
PSMD1	4.62786575408145e-08	1.04126979466833e-05
ZNF492	5.21677135118921e-08	1.15203700672095e-05
KMT2D	5.69193053719355e-08	1.23411403010969e-05
KMT2C	5.97552324011854e-08	1.27246633282881e-05
VHL	6.89285560321923e-08	1.44205794856823e-05
SPEN	8.60479018793447e-08	1.76917453432963e-05
FRY	8.76131386649179e-08	1.7708248789477e-05
SSFA2	1.11561118351448e-07	2.21727722723503e-05
FAM208B	1.20238862260034e-07	2.35057120073919e-05
VPS13D	1.35964346279613e-07	2.61512069255546e-05
ANKRD12	1.99567314270065e-07	3.77752416296909e-05
AASS	2.11352325474586e-07	3.93808825200693e-05
CLIP1	2.8082113528706e-07	5.15198775122799e-05
PIKFYVE	2.94096031573552e-07	5.31378057047668e-05
FASN	3.31183860352986e-07	5.89457841001397e-05
SMAD2	3.42131878529471e-07	5.99988625215286e-05
ZNF708	3.68677126713947e-07	6.37170251603452e-05
DLD	3.90891960956139e-07	6.65912376343137e-05
ZNF592	4.00480551896371e-07	6.72638110051299e-05
SLX4	4.16503583857486e-07	6.89834060763961e-05
PPP1R10	4.35911626919491e-07	7.12088513837662e-05
PYGL	4.58198725041547e-07	7.3838105352979e-05
FMN2	4.80173775694441e-07	7.63476303354161e-05
MASTL	4.92773711268247e-07	7.68250173426877e-05
DDX17	4.96060908627837e-07	7.68250173426877e-05
ITGA6	5.10084688685066e-07	7.79841014431976e-05
CTNND2	5.32643867228758e-07	8.04022546418093e-05
ACTN1	5.49245801862722e-07	8.1871952340162e-05
HIST2H2AC	5.74816169871371e-07	8.46257138977296e-05
ZNF479	6.01980950765767e-07	8.68122565860733e-05
MKL1	6.04227865546674e-07	8.68122565860733e-05
SND1	6.3147444979839e-07	8.87187777341724e-05
TENM3	6.43882858771932e-07	8.87187777341724e-05
ASPM	6.4556205231213e-07	8.87187777341724e-05
ARHGAP31	6.47256491645534e-07	8.87187777341724e-05
DUSP9	7.21200125503874e-07	9.77308124617465e-05
