gene	p	fdr
PTPN11	2.2313962232968e-80	6.62055259452161e-77
RAF1	2.3970525305335e-75	3.55602742904645e-72
BRAF	1.74560826838845e-72	1.72640657743618e-69
GNB1	2.55278726903005e-55	1.89352995680304e-52
MYH7	1.38623014921929e-52	8.22588970546729e-50
BRCA1	4.97825250443007e-50	2.46174586344067e-47
BRCA2	7.93169321694516e-50	3.36190482495376e-47
CTNNB1	3.36935314341137e-45	1.24960884706269e-42
EGFR	7.65327047122471e-42	2.52302816534708e-39
SCN5A	2.85682805705911e-40	8.47620884529439e-38
MSH6	4.98802143295215e-34	1.34540541741537e-31
LMNA	3.48648887867013e-30	8.6203437525119e-28
FLT3	1.16663962101337e-28	2.66263058118974e-26
KRT17	4.27553964565246e-26	9.06109009189346e-24
POLE	5.33399328950559e-26	1.05506387266421e-23
CFTR	2.91331672681531e-25	5.40238170528815e-23
BRIP1	1.74622764211969e-23	3.04768083186418e-21
TSC2	3.27602541588845e-23	5.39998189385612e-21
KRT9	1.22390126210275e-22	1.9112184445573e-20
PLCB4	4.88896679498487e-22	7.25278224036005e-20
PTEN	2.1326940181885e-21	3.01319197712633e-19
SH3BP2	8.90191540490279e-20	1.20054468210666e-17
PMS2	2.75968905484083e-19	3.55999888074467e-17
TRPV4	6.91269603544032e-18	8.54582047381309e-16
LRRK2	7.92392510749606e-18	9.40411431757633e-16
FGFR3	1.56173417575101e-17	1.78217896132817e-15
RBM20	2.77184399180125e-17	3.04594856432382e-15
CCND2	5.80200052042449e-17	6.14804840860695e-15
RET	7.24928628366747e-17	7.4167697943591e-15
HBB	9.17765264531464e-17	9.07669846621618e-15
DSP	9.91638331393772e-17	9.49093848143652e-15
MTSS1L	1.21179255023601e-16	1.12355890517195e-14
KCNH2	1.81091384874598e-16	1.62817617855434e-14
DNM2	4.2894840460319e-16	3.67805279789321e-14
ACTN2	4.33878826849553e-16	3.67805279789321e-14
KRT6A	4.56118655110956e-16	3.7591779158728e-14
FLNA	4.61817283328494e-15	3.7032753503666e-13
ALDH2	8.11643342500396e-15	6.33722578210178e-13
G6PD	1.63304702090432e-14	1.24237192590336e-12
TNXB	3.10203636017327e-14	2.30093547015853e-12
APC	3.36103557840217e-14	2.42398002296375e-12
CHEK2	3.43131651380106e-14	2.42398002296375e-12
ARHGAP11A	7.36977995400372e-14	5.08514816826257e-12
NRAS	7.61640573134618e-14	5.13588086475093e-12
SERPING1	1.00414594758418e-13	6.62066894773834e-12
KRT16	4.65043333786626e-13	2.99952950292374e-11
TANGO2	5.00410683100861e-13	3.15897552502182e-11
APP	6.00667920222342e-13	3.71287858187435e-11
SASH1	7.51494714592931e-13	4.53557971678829e-11
KRT12	7.77231803554821e-13	4.53557971678829e-11
MRE11A	7.79624420479282e-13	4.53557971678829e-11
FUS	2.30634346748956e-12	1.31594635923876e-10
DYNC1H1	2.73022026883881e-12	1.52840821464995e-10
USP8	2.81599005581642e-12	1.54723009177914e-10
CDKL5	3.59423618848419e-12	1.93892704931502e-10
JPH2	4.16499876806234e-12	2.20670559729303e-10
NF1	4.92101697889564e-12	2.56151883796199e-10
TEK	5.28110837297138e-12	2.70156009355277e-10
AGXT	8.98641212757814e-12	4.51909911568209e-10
VCP	9.45323700854706e-12	4.65769916487706e-10
KRT10	9.57599086813282e-12	4.65769916487706e-10
MLH1	2.3376572100952e-11	1.1186820874762e-09
TSC1	3.32508378397489e-11	1.56595612492913e-09
MC1R	3.62645114864561e-11	1.68120008719243e-09
HNRNPA1	5.73045756606303e-11	2.61573347669369e-09
STK11	6.19373724773699e-11	2.78436642636904e-09
KIT	6.66304332994758e-11	2.95063426267977e-09
ANK2	7.84331976929805e-11	3.42222496404519e-09
KRAS	1.09113915200581e-10	4.69189835362499e-09
MYH9	1.12363039683796e-10	4.76258769631175e-09
ACTB	1.26212371990408e-10	5.27425503796537e-09
SLC25A1	1.52966787543921e-10	6.30350637003907e-09
ACVRL1	1.71989338080004e-10	6.92728677133318e-09
UBR4	1.73607922210929e-10	6.92728677133318e-09
CBL	1.75108361257158e-10	6.92728677133318e-09
KRT14	2.40008554222926e-10	9.36980763657134e-09
NEFL	2.81001504184078e-10	1.08276813365475e-08
TAF6	4.08265445413918e-10	1.55297894428602e-08
GLA	4.9479273767516e-10	1.85829120592683e-08
SLX4	5.21599257024446e-10	1.93448124448941e-08
ACTG2	9.63460174454437e-10	3.52911893531644e-08
SMARCA4	1.72627825055742e-09	6.24617996268766e-08
BARD1	1.93750671205688e-09	6.92600290924428e-08
KRT2	2.542467457432e-09	8.9803582692866e-08
SDHA	3.78471907352703e-09	1.32108958719467e-07
TMEM173	4.12640864645911e-09	1.42361098302839e-07
PCNT	5.44236973519195e-09	1.85603574762236e-07
TARDBP	6.01678114209471e-09	2.02861246006761e-07
PALB2	6.46107298935721e-09	2.15393298420481e-07
ALB	1.27156201770884e-08	4.19191611838014e-07
DNAJC13	1.70989775207993e-08	5.57501827518808e-07
MYL2	1.7625338458483e-08	5.68417165286075e-07
BAG3	1.87647283077249e-08	5.98655364398064e-07
FLNB	2.46933615991642e-08	7.79417062390641e-07
CDH1	3.82277762975357e-08	1.19391381341883e-06
NPC1L1	4.63426851316128e-08	1.43227861234891e-06
NIPBL	6.49724554268875e-08	1.98735335310902e-06
RB1	7.06650856208858e-08	2.13942152078743e-06
FANCA	8.67202451379261e-08	2.59897946792148e-06
APOB	8.98122112082464e-08	2.66472830654867e-06
ATR	1.00966350282324e-07	2.96601149789758e-06
PALLD	1.29973585195707e-07	3.78070222819278e-06
SORBS1	1.35162265157063e-07	3.89346058952432e-06
FGA	1.69539384642769e-07	4.8367630214913e-06
YARS2	1.75369030516257e-07	4.95542774801651e-06
ELAC2	2.13528951929163e-07	5.97679622994177e-06
CDKN1C	2.37694425637182e-07	6.59102206416372e-06
PDE3A	2.81676792064048e-07	7.73828742642621e-06
MSH2	2.91448086695049e-07	7.93327039655239e-06
MYPN	3.02684236001532e-07	8.11530613266281e-06
WDR62	3.0360599282965e-07	8.11530613266281e-06
HUWE1	3.12485828152663e-07	8.27808439400849e-06
MYH6	3.27980557122373e-07	8.61166648656707e-06
RYR1	3.32846581848835e-07	8.66277024864469e-06
GJB2	3.74565029097225e-07	9.58185475629047e-06
SYNE1	3.74619195055509e-07	9.58185475629047e-06
TPM3	3.78585802035075e-07	9.60054764647921e-06
DNMT1	4.07385934418065e-07	1.02433395543932e-05
BRF1	4.16209343179595e-07	1.03772531194442e-05
ACTA2	4.26732964526915e-07	1.04789377914235e-05
SPTAN1	4.27351355834932e-07	1.04789377914235e-05
TNK2	4.435843650781e-07	1.07878263212026e-05
MEFV	4.8762080283722e-07	1.17623652196588e-05
MET	6.35347916543451e-07	1.52022360353582e-05
POMGNT1	6.56326254815089e-07	1.5578559984291e-05
ADAT1	7.89502032463805e-07	1.85908930977786e-05
NBN	8.11434369830945e-07	1.88937083381571e-05
GLUL	8.17884537580042e-07	1.88937083381571e-05
CDH23	8.21465579919873e-07	1.88937083381571e-05
JPH1	8.94905860571362e-07	2.04245052947325e-05
BDNF	1.03899142444329e-06	2.35319660788034e-05
COL6A2	1.06671570065456e-06	2.39768597260765e-05
BCR	1.09658555979648e-06	2.44629274880914e-05
CLN5	1.16543782558593e-06	2.58048808098018e-05
PDE4D	1.21305272968908e-06	2.66602033258332e-05
TNNT2	1.22204623726922e-06	2.66603763674835e-05
ALDH18A1	1.27894781222585e-06	2.76980887509058e-05
APOE	1.40168539407493e-06	3.0136235972611e-05
ATRX	1.52788862389136e-06	3.24133018700588e-05
EPOR	1.52944464503142e-06	3.24133018700588e-05
GJA1	1.67235003414666e-06	3.51905145483201e-05
DNMT3B	1.69877096604787e-06	3.54947426497467e-05
KCNQ2	1.93682365389938e-06	4.0118158213452e-05
WWOX	1.94811895569516e-06	4.0118158213452e-05
FLT4	1.96061103503557e-06	4.0118158213452e-05
SCNN1B	1.98590208901381e-06	4.03573390281094e-05
UMPS	2.33507665360398e-06	4.69218421362349e-05
MCPH1	2.3459180632521e-06	4.69218421362349e-05
TIRAP	2.35637158014796e-06	4.69218421362349e-05
KIF5A	2.43031869845249e-06	4.80717038553902e-05
ATM	2.51540768527047e-06	4.94252622662085e-05
KMT2D	2.60248908260076e-06	5.07999020268188e-05
MECOM	3.00246567980644e-06	5.8224285437815e-05
POR	3.05756667168673e-06	5.89077942525619e-05
TUBA3E	3.27294738237766e-06	6.26505476355775e-05
ZFYVE26	3.80932553751101e-06	7.2450441473046e-05
AFF4	4.00101540258505e-06	7.56115458564957e-05
AHNAK	4.24449119453537e-06	7.97050973049775e-05
KIF21B	5.03953889977588e-06	9.40396975826103e-05
INO80	5.47627343180129e-06	0.000101550645450965
ERCC2	6.0240300573565e-06	0.000111014268199856
IKZF1	6.39061086858306e-06	0.000117042854611642
BIN1	7.19735438300752e-06	0.000131009511990082
RNF216	8.06091085779568e-06	0.000145833673872438
BEST1	8.76900749570095e-06	0.000157682698422695
CHMP2B	9.67739747282487e-06	0.00017296890543296
ADAR	1.03989240774499e-05	0.000184752142142477
ZNF469	1.07643099331373e-05	0.000190105402212015
SLC26A4	1.08361982357608e-05	0.000190242604529599
CDKN1B	1.18740812612987e-05	0.000207237641778077
DKC1	1.24608272916523e-05	0.000216206284060424
BCKDHA	1.2859842269619e-05	0.000221832279150928
CRYAA	1.3356162064016e-05	0.000229062039560321
ZAP70	1.4024424248106e-05	0.000239140613472015
DARS2	1.41691760011156e-05	0.000240228258258914
ABL1	1.4269763579979e-05	0.000240485542420397
KRT18	1.44103615430912e-05	0.000240485542420397
CSRP3	1.44275114765186e-05	0.000240485542420397
RUNX2	1.58779581459555e-05	0.000262543788884652
TH	1.59278335015967e-05	0.000262543788884652
TP53	1.6332859200472e-05	0.000267732559380113
NAGA	1.68670486567356e-05	0.000274969963541399
PYGM	1.74506194612478e-05	0.000281472201228178
NSD1	1.74556403862436e-05	0.000281472201228178
ADD1	1.81850409105758e-05	0.000290243570373649
OTC	1.82255821158679e-05	0.000290243570373649
SMC3	1.82930730232128e-05	0.000290243570373649
TFRC	1.91246838710506e-05	0.000301824133220251
GLUD1	1.99707795465847e-05	0.000313509539231306
SBF2	2.02321887004533e-05	0.000315941599338132
EEF2	2.06281932039984e-05	0.000319649648581048
AP2S1	2.06851137605532e-05	0.000319649648581048
NANS	2.20818699198198e-05	0.000338048474962575
DMD	2.21876162828183e-05	0.000338048474962575
HABP2	2.22175438549721e-05	0.000338048474962575
MYLK2	2.23890313402751e-05	0.000338919673401001
SMAD4	2.31343407667001e-05	0.000348424309922839
CDKN2A	2.33293657433715e-05	0.000349587010912037
MECP2	2.58298918922795e-05	0.000385112006253233
ADRM1	2.74115282343729e-05	0.000406650021356922
BBS1	2.77732519288493e-05	0.000409966360561671
WFS1	3.19910895977622e-05	0.000469888924933468
IVD	3.25594306835938e-05	0.000475880940089768
CSNK1D	3.3356902044216e-05	0.000484159591209234
PARD3	3.34522130764722e-05	0.000484159591209234
PLOD2	3.76567886762574e-05	0.000542367436905125
TRMT10C	3.80680879876187e-05	0.000545642594489202
AR	4.02807864543153e-05	0.000574582179855546
COPA	4.06726667955775e-05	0.000577396183648223
AKAP9	4.31013206820474e-05	0.00060896008792207
WT1	4.48210071858739e-05	0.000630255584457288
CDK5RAP2	4.56439048964618e-05	0.000638799367112275
BLM	4.81318853885701e-05	0.00067045682604642
PRPF3	4.87417023554163e-05	0.000675778649011777
ETV6	4.94472558110354e-05	0.000682372130192289
INSR	5.08639759507379e-05	0.000698673225212219
ALDH1A3	5.12768574513991e-05	0.000701098783678807
GFAP	5.39989909873353e-05	0.000734931221373504
ANTXR2	5.96372805802379e-05	0.000807962609504866
NEB	6.53906399824079e-05	0.000881881949217292
PLA2G6	7.11646984137791e-05	0.00095171176731901
TUBA1A	7.12099805678531e-05	0.00095171176731901
BCL10	7.54626356072684e-05	0.00100402529079267
PIK3R1	7.9222864626026e-05	0.00104934928279205
TFAP2B	8.23019282907366e-05	0.00108528809439385
CACNB2	8.53998079013959e-05	0.00111641682039602
ICAM1	8.54151055712489e-05	0.00111641682039602
HCFC1	8.64517292521353e-05	0.00112286090321933
MBD5	8.69708836591202e-05	0.00112286090321933
BSCL2	8.70434808697156e-05	0.00112286090321933
KANK1	8.75073576693351e-05	0.00112395813941523
OPA1	8.8323414755201e-05	0.00112661808413067
NDUFS3	8.84738839239794e-05	0.00112661808413067
CASK	9.10926533199761e-05	0.00115500812991611
MAPT	9.29253636938639e-05	0.00117323214501997
DSC2	9.67991343675325e-05	0.00121343388226541
CLCN2	9.69274789676112e-05	0.00121343388226541
MYH11	0.000101811328423691	0.00126921937576929
RHO	0.000104342606240558	0.00129533268918717
EPG5	0.000104819469757358	0.00129583069487534
NPC2	0.000107751046001982	0.00132654503521943
LARS2	0.000111469615681431	0.00136665433771407
TRPM4	0.000113991370657664	0.00139182056272135
THOC2	0.000115659435396321	0.00140213583653945
GIGYF2	0.000115781354887821	0.00140213583653945
ZFHX3	0.000118458955309726	0.0014287305707478
LEF1	0.000129253357324239	0.00155261016672476
SYN1	0.000130335085733939	0.00155929112650241
VHL	0.000133994019809794	0.00159662753725164
RPS6KA3	0.000136468019832805	0.00161960245937573
TCOF1	0.000137462912997521	0.00162491021061214
PGM1	0.000138159060443957	0.00162665846165563
MIB1	0.000141130076897155	0.0016550709017939
PSAT1	0.000146933111874761	0.00171634072020636
ZNF644	0.000148068766581898	0.00172282364881762
SOX10	0.000149527616879808	0.00172978761091487
NFKB2	0.000149833305023633	0.00172978761091487
IDH2	0.000152256689387167	0.00175095192795242
SMS	0.000154306090887248	0.00176766861645739
KRT5	0.000155983294789967	0.0017800093678532
MARS	0.000161312590272227	0.00182906136335153
KLHL3	0.000162384438547772	0.00182906136335153
XPC	0.000162638592628478	0.00182906136335153
SPTB	0.000162747623837143	0.00182906136335153
GALE	0.000165637701307727	0.00185451720671708
BUB1B	0.000169606043204298	0.00189180876010207
PMP22	0.000177157479814824	0.00196863761277372
GNAQ	0.000182992229918339	0.00202588785883475
TFAP2A	0.000188720590848537	0.00208153900761193
EPB41L4A	0.000190255122185783	0.00209069239824155
EPS8	0.000200620107020584	0.00219645703885636
HTRA2	0.000201681440622463	0.00219995894973106
RHBDF2	0.000203341619054957	0.00220994353016871
PCSK9	0.000205279274955177	0.00222285988610223
