term.id	term.name	adjusted.p.val	term.size	overlap
GO:0070268	cornification	0.000225929476177931	109	KRT17,KRT6A,KRT12,KRT16,KRT2,KRT10
GO:0043588	skin development	0.0022511036831041	404	KRT17,KRT6A,KRT12,KRT16,KRT2,SMAD4,BCL11B,KRT10
GO:0030216	keratinocyte differentiation	0.00394764340433777	291	KRT17,KRT6A,KRT12,KRT16,KRT2,BCL11B,KRT10
GO:0008544	epidermis development	0.00485546860380507	447	KRT17,KRT6A,KRT12,KRT16,KRT2,SMAD4,BCL11B,KRT10
GO:0051546	keratinocyte migration	0.00839328501978669	14	PTEN,KRT16,KRT2
GO:0009913	epidermal cell differentiation	0.0114433670454972	341	KRT17,KRT6A,KRT12,KRT16,KRT2,BCL11B,KRT10
GO:0031424	keratinization	0.0152221064258346	222	KRT17,KRT6A,KRT12,KRT16,KRT2,KRT10
GO:0030855	epithelial cell differentiation	0.0190396849638517	733	KRT17,KRT6A,KRT12,KRT16,KRT2,SMAD4,PGK1,BCL11B,KRT10
GO:0072350	tricarboxylic acid metabolic process	0.033241534601055	39	GLUD1,IDH2,ACO2,SDHB
REAC:390466	Chaperonin-mediated protein folding	0.0427259583832844	96	CSNK2A1,TUBA1A,ACTB,GNB3,USP11
GO:0007005	mitochondrion organization	0.0453396366832332	554	GLUD1,MFN2,LMNA,NDUFB3,MAPT,IDH2,SNCA,ACTL6A,YWHAG
