term.id	term.name	adjusted.p.val	term.size	overlap
GO:0006325	chromatin organization	1.08347334900204e-05	752	EP300,ARID1B,TPR,CREBBP,CTNNB1,JADE3,FOXA1,HCFC1,MYC,KMT2C,RTF1,HIST1H4K,HIST2H2AC,HIST1H1E,HIST1H2AA,MTA2,SUPT6H,H3F3A
GO:0009266	response to temperature stimulus	6.01321376748768e-05	223	AKT1,EP300,TPR,CREBBP,SOD2,HMOX1,NUP62,ACADVL,HSPA2,HSPD1
GO:0000278	mitotic cell cycle	6.03307753390394e-05	916	PTEN,AKT1,EP300,PPP2R1A,TPR,NBN,RCC2,CTNNB1,CHAMP1,MDC1,FOXA1,MYC
REAC:3134973	LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production	9.37834664760292e-05	5	EP300,CREBBP,CTNNB1
GO:0044403	symbiosis, encompassing mutualism through parasitism	0.000113182625704294	811	EP300,TPR,CREBBP,RPS24,CTNNB1,HCFC1,ANXA2,ADAR,NUP62,EIF4A1,DOCK2,KRT18,HSPD1,TOP2A,RPS5,SUPT6H,EIF3B,KRT8
GO:0044419	interspecies interaction between organisms	0.000171077427388372	833	EP300,TPR,CREBBP,RPS24,CTNNB1,HCFC1,ANXA2,ADAR,NUP62,EIF4A1,DOCK2,KRT18,HSPD1,TOP2A,RPS5,SUPT6H,EIF3B,KRT8
GO:0006338	chromatin remodeling	0.0001781852312075	158	ARID1B,TPR,CTNNB1,FOXA1,MYC,HIST1H4K,MTA2,SUPT6H,H3F3A
GO:0018205	peptidyl-lysine modification	0.000231065963030845	372	EP300,TPR,CREBBP,CTNNB1,JADE3,HCFC1,KMT2C,RTF1,NUP62,HIST1H1E,TOP2A,SUPT6H
REAC:1640170	Cell Cycle	0.000324886267567293	627	AKT1,EP300,PPP2R1A,TPR,NBN,RCC2,MDC1,MYC,NUP62,HIST1H4K,HIST2H2AC,RFC1
GO:0007346	regulation of mitotic cell cycle	0.000390891746895593	525	PTEN,AKT1,EP300,TPR,NBN,RCC2,CTNNB1,MDC1,FOXA1
GO:0071456	cellular response to hypoxia	0.00043455338083044	189	PTEN,AKT1,EP300,CREBBP,HMOX1,MYC,PGK1
GO:1904837	beta-catenin-TCF complex assembly	0.000447723596800214	44	EP300,CREBBP,CTNNB1,MYC,HIST1H4K
REAC:3247509	Chromatin modifying enzymes	0.000516305093824674	275	EP300,ARID1B,CREBBP,JADE3,HCFC1,KMT2C,HIST1H4K,HIST2H2AC,HIST1H2AA,MTA2
REAC:4839726	Chromatin organization	0.000516305093824674	275	EP300,ARID1B,CREBBP,JADE3,HCFC1,KMT2C,HIST1H4K,HIST2H2AC,HIST1H2AA,MTA2
GO:0036294	cellular response to decreased oxygen levels	0.000557618475484363	196	PTEN,AKT1,EP300,CREBBP,HMOX1,MYC,PGK1
