term.id	term.name	adjusted.p.val	term.size	overlap
GO:0009887	animal organ morphogenesis	3.24373664411746e-21	999	FGFR2,MYH7,PTEN,MFN2,NF1,RYR1,RYR2,STAT3,WT1,INSR,MYBPC3,STAT1,DSP,BRAF,IFT140,LRRK2,FOXL2,KRAS,COL1A1,TEK,FBN1,TFAP2A,LRP5,FLI1,ACTA2,AKT3,TGFBR1,TTN,TRIP11,AR,FOXC2,TWIST1,GATA2,EGFR,GMNN,KLHL3,SGPL1,SLC9A3R1,TNNT2,ACTG2,KRT13,CDH2,CTNNB1,ABL1,BMPR2,NTRK2,NF2,ALPL,ACTC1,PKP2,MYL2,RBPJ,FGFR3,STOX1,MYO5A,MYLK,MAP2K1,SMAD4,CLTC,NIPBL,KDM2B,CHSY1,FOXC1,BCL11B,BMP4,RUNX2,HESX1,TPM1,CTNNA1,FBN2,ALDH1A3,MIB1,KDM5B,TGFBR2,PDGFRB,MED12,SOX11,ACVR1,MKKS,STIL,POC1A,ACVRL1,CDC42,SRC,GATA4,INPPL1,BMPR1B,SMAD2,NRL,VDR,MYO7A,SERPINH1,ACTA1,EPHA2,LIMS2,WWOX,TNC,ACP5,RAB23,LEMD2,PSMB8,MTOR,AP2S1,TH,GNAT1,SOX9,SCN5A,HRAS,SHANK3,GATA3,MESP2,PKD2,EP300,MAPK1,CUL3,POR,BBS4,WNT4,SOD1,WNT7B,IFT122,STRA6,RS1
GO:0007417	central nervous system development	8.08252734276233e-20	913	FGFR2,PTPN11,PTEN,BRCA2,ATM,GNAO1,ATP1A3,NF1,STAT3,APP,MAPT,GLUD1,FLNA,NEFL,WDR62,GSTP1,LRRK2,KRAS,CDH1,MECP2,ERCC2,TFAP2A,ARMC4,EIF2B5,AKT3,PEX5,ACTB,BIN1,GATA2,EGFR,FOXP1,SOX10,LAMB2,CEP120,SCN1B,EIF2B4,CDH2,CTNNB1,RERE,ABL1,BMPR2,NTRK2,NF2,DCX,DPYSL2,CSNK1D,MEN1,RBPJ,ATP7A,ZFHX3,ZEB2,BAG3,ALDH3A2,MAP2K1,ATRX,NIPBL,TPP1,KDM2B,SLITRK5,QARS,FOXC1,RPS6KA3,SHROOM4,BCL11B,BMP4,WNT3,HESX1,CTNNA1,ALDH1A3,TGFBR2,MED12,SOX11,ACTL6A,MKKS,STIL,GRIN1,CDC42,SRC,BTD,KIF14,COX6B1,ASPM,PPARG,PAK1,MTOR,MYRF,ERBB4,TH,THOC6,SOX9,SCN5A,LIG4,SHANK3,EML1,ALK,CACNA1A,XRCC1,SMARCC2,PKD2,HTRA2,MAPK1,EGR2,NHEJ1,DYNC2H1,SPTBN2,GNB4,BBS4,WNT4,AARS,WNT7B,IFT122,NDUFS3,DNAH5,ZC4H2
GO:0060548	negative regulation of cell death	9.23821503135669e-20	918	FGFR2,BRCA1,RAF1,PTEN,LMNA,MSH2,CCND2,TP53,CBL,STAT3,WT1,FLNA,STXBP1,NEFL,WFS1,GSTP1,BRAF,LRRK2,PDE3A,KRAS,MECP2,PIK3R1,TEK,TFAP2A,CDC73,MPZ,SETX,HTT,CRYAA,TGFBR1,MALT1,CSNK2A1,SLC25A4,AR,FOXC2,GATA1,MET,NFKBIA,NPC1,TWIST1,PHIP,EGFR,ZMYND11,FOXP1,SOX10,PSAP,DSTYK,CTNNB1,ABL1,ALB,NTRK2,APOE,PRNP,ACTC1,FMN2,VHL,BAG3,MYD88,ADAR,SMAD4,KDM2B,QARS,CD59,FOXC1,RPS6KA3,BCL11B,BMP4,PYCR1,HSPA9,SNCA,CTNNA1,TRIM32,PDGFRB,SOX11,ACVR1,FAS,STIL,GRIN1,SRC,FLT4,KIF14,HSPB1,ATAD3A,GPI,RIPK1,LIMS2,KIT,PRKCD,SNCB,MAP4K4,MTOR,ERBB4,NUP93,HSPD1,THOC6,SOX9,PARK7,HRAS,KANK2,LIG4,GATA3,CACNA1A,PRKD1,HTRA2,PINK1,KRT18,TERT,POR,IKBKB,WNT4,CASP8,SOD1,AARS,NDUFS3
GO:0072359	circulatory system development	1.39427080997634e-19	975	FGFR2,BRCA1,PTPN11,MYH7,RAF1,PTEN,LMNA,RBM20,DNM2,ATM,NF1,RYR1,RYR2,WT1,INSR,MYH9,TSC2,MYBPC3,STAT1,SASH1,DSP,GJA1,MYH11,IFT140,ACTN2,COL1A1,TEK,FBN1,LRP5,JPH2,ARMC4,ACTA2,TGFBR1,TTN,TRIP11,FOXC2,TWIST1,GATA2,EGFR,FOXP1,STK11,SGPL1,TNNT2,CDH2,CTNNB1,ABL1,BMPR2,EIF2AK3,NTRK2,APOE,PRKAR1A,ACTC1,PKP2,MYL2,LAMA4,RBPJ,ATP7A,MYLK,MAP2K1,SMAD4,MYO1E,NIPBL,SLITRK5,CACNA1C,FOXC1,WARS,BMP4,ANGPTL3,ANTXR1,TPM1,ECE1,PRKCB,MIB1,TGFBR2,PDGFRB,DSG2,MED12,NOX1,SOX11,ACVR1,MKKS,STIL,RNF213,ACVRL1,CDC42,GATA4,FLT4,SIK1,HSPB1,SMAD2,PPARG,PAK1,GPI,EPHA2,KIT,LEMD2,POGLUT1,MTOR,ERBB4,TH,SOX9,SCN5A,PLCD1,GATA3,MESP2,PKD2,PRKD1,EP300,MAPK1,TERT,CSRP3,DYNC2H1,BBS4,WNT4,WNT7B,IFT122,STRA6,DNAH5
GO:0007507	heart development	3.32689428412418e-19	519	FGFR2,PTPN11,MYH7,RAF1,PTEN,LMNA,RBM20,DNM2,ATM,NF1,RYR1,RYR2,WT1,INSR,TSC2,MYBPC3,DSP,GJA1,MYH11,IFT140,ACTN2,TEK,FBN1,JPH2,ARMC4,TGFBR1,TTN,TRIP11,FOXC2,TWIST1,EGFR,FOXP1,TNNT2,CTNNB1,BMPR2,PRKAR1A,ACTC1,PKP2,MYL2,RBPJ,MAP2K1,SMAD4,NIPBL,CACNA1C,FOXC1,BMP4,TPM1,ECE1,MIB1,TGFBR2,PDGFRB,DSG2,MED12,SOX11,ACVR1,MKKS,STIL,ACVRL1,CDC42,GATA4,SIK1,SMAD2,PPARG,PAK1,LEMD2,MTOR,ERBB4,TH,SOX9,SCN5A,GATA3,MESP2,PKD2,EP300,MAPK1,CSRP3,DYNC2H1,BBS4,IFT122,STRA6,DNAH5
GO:0097435	supramolecular fiber organization	3.87478941099813e-19	558	KRT17,KRT9,NF1,APP,MAPT,TRPV4,FLNA,KRT2,MYBPC3,DSP,NEFL,MYH11,BRAF,ACTN2,MECP2,PIK3R1,COL1A1,SPTAN1,NIN,TGFBR1,TTN,FOXC2,MET,DES,KRT14,WAS,FOXP1,CEP120,RAC2,TNNT2,ABL1,NF2,TUBGCP6,CSNK1D,PRKAR1A,ACTC1,APC,PKP2,CASQ2,MYL2,ACTN1,FMN2,ATP7A,SMAD4,CDKN2A,TUBB4A,CCDC88C,KRT8,ARF1,KRT71,CIT,FOXC1,SHROOM4,SPTA1,TPM1,SNCA,CTNNA1,PDGFRB,MICALL2,SPTB,MKKS,CDC42,TPM3,SRC,INPPL1,ARPC1B,TBCD,PAK1,SERPINH1,ACTA1,RIPK1,PRKCD,MTOR,MAD2L2,PARK7,SHANK3,CD36,DDR2,CSRP3,CUL3,SPTBN2,BBS4,WNT4
GO:0043069	negative regulation of programmed cell death	6.21323825581375e-19	846	FGFR2,BRCA1,RAF1,PTEN,LMNA,MSH2,CCND2,TP53,CBL,STAT3,WT1,FLNA,STXBP1,NEFL,WFS1,GSTP1,BRAF,LRRK2,PDE3A,KRAS,MECP2,PIK3R1,TEK,TFAP2A,CDC73,MPZ,SETX,HTT,CRYAA,TGFBR1,MALT1,CSNK2A1,SLC25A4,AR,FOXC2,GATA1,MET,NFKBIA,TWIST1,PHIP,EGFR,ZMYND11,FOXP1,SOX10,DSTYK,CTNNB1,ABL1,ALB,NTRK2,APOE,PRNP,ACTC1,FMN2,VHL,BAG3,MYD88,ADAR,KDM2B,QARS,CD59,FOXC1,RPS6KA3,BCL11B,BMP4,HSPA9,SNCA,CTNNA1,TRIM32,PDGFRB,ACVR1,FAS,STIL,GRIN1,SRC,FLT4,KIF14,HSPB1,ATAD3A,GPI,RIPK1,LIMS2,KIT,PRKCD,SNCB,MAP4K4,MTOR,ERBB4,HSPD1,THOC6,SOX9,PARK7,HRAS,KANK2,LIG4,GATA3,CACNA1A,HTRA2,PINK1,KRT18,TERT,POR,IKBKB,WNT4,CASP8,SOD1,AARS,NDUFS3
GO:0048729	tissue morphogenesis	3.42653797693266e-18	630	FGFR2,MYH7,PTEN,KRT17,RET,KRT6A,KRT16,RYR2,WT1,FLNA,TSC2,MYBPC3,STAT1,CASR,DSP,KRAS,TFAP2A,LRP5,ACTA2,TGFBR1,TTN,AR,FOXC2,MET,VCL,TWIST1,EGFR,FOXP1,SOX10,KLHL3,SLC9A3R1,TNNT2,ACTG2,CTNNB1,ABL1,BMPR2,NF2,PRKAR1A,ACTC1,PKP2,MYL2,RBPJ,ATP7A,STOX1,ZEB2,MYLK,SMAD4,CLTC,KDM2B,KRT71,FOXC1,BMP4,WNT3,HESX1,TPM1,ALDH1A3,MIB1,KDM5B,TGFBR2,MED12,SOX11,ACVR1,MKKS,STIL,ACVRL1,CDC42,SRC,GATA4,SMAD2,VDR,PAK1,GPI,ACTA1,EPHA2,TNC,PSMB8,MTOR,AP2S1,SOX9,SHANK3,GATA3,MESP2,PKD2
GO:1901701	cellular response to oxygen-containing compound	3.63723524456091e-18	992	FGFR2,BRCA1,PTPN11,RAF1,PTEN,RET,DNM2,TP53,ATP1A3,COL6A1,CFTR,GNB1,CHEK2,RYR2,STAT3,APP,WT1,INSR,TSC2,GJB2,SASH1,CASR,BRIP1,GSTP1,LRRK2,PDE3A,DNMT3B,ACTN2,CDH1,MTR,PIK3R1,COL1A1,FBN1,LRP5,CDC73,DNMT1,CPS1,BLM,SETX,FGF23,AR,FOXC2,MET,POLG,NFKBIA,WDR35,PHIP,EGFR,FOXP1,PSAP,PLA2G6,KRT13,CTNNB1,ABL1,DNM1L,NTRK2,CDK4,ABCC2,TRPC6,PRKAR1A,APC,MEN1,AGRN,ATP7A,MYO5A,PIK3R2,JAGN1,MYD88,CAMK2A,IRS1,YWHAG,PYCR1,WNT3,TPM1,SNCA,CTNNA1,APRT,APPL1,PRKCB,SRC,ABCA1,GATA4,SLC29A1,PCSK9,VDR,DNMT3A,PPARG,RAB11B,PAK1,RIPK1,TNC,PRKCD,MTOR,LARS,NUP93,TH,SOX9,PARK7,KANK2,NCF1,PDE4D,PKD2,PRKD1,HTRA2,CD36,PINK1,MAPK1,GDAP1,IRF8,MARS,AKR1C2,POR,GNB4,MLC1,SOD1,WNT7B
GO:0040007	growth	1.21923022212344e-17	960	FGFR2,PTPN11,PTEN,KRT17,BRCA2,DNM2,ATM,TP53,STAT3,APP,WT1,MAPT,INSR,CDKL5,GJA1,WFS1,FOXL2,ERCC2,SMARCA2,CDC73,CDKN1C,KMT2D,TGFBR1,CSNK2A1,AR,PEX5,FOXC2,SYT2,VCL,L1CAM,DNAJB2,EGFR,FOXP1,SOX10,LAMB2,STK11,SGPL1,PSAP,AFG3L2,H3F3A,ABL1,BMPR2,CDK4,APOE,DCX,DPYSL2,PRKAR1A,AGRN,MYL2,RBPJ,FGFR3,ZEB2,MYD88,TBL1XR1,SMAD4,ATRX,RB1,CDKN2A,ERCC6,NIPBL,KDM2B,SLC44A4,FOXC1,RPS6KA3,BMP4,WNT3,SBDS,TRIM32,FTO,KDM5B,TGFBR2,NEDD4L,PDGFRB,MED12,ACTL6A,MKKS,ERCC1,STIL,POC1A,ACVRL1,CDC42,PPP2CA,GATA4,INO80,KIF14,ASPM,BMPR1B,GPD2,SMAD2,PPARG,ATAD3A,PAK1,ACTA1,TNC,MTOR,ERBB4,MAD2L2,SOX9,GATA3,PDE4D,CACNA1A,HTRA2,CD36,DDR2,IRF8,KIAA1109,POR,SPTBN2,BBS4,SOD1,WNT7B,STRA6,NDUFS3
