term.id	term.name	adjusted.p.val	term.size	overlap
GO:0040012	regulation of locomotion	0.00329850292487275	830	NOTCH1,PODXL,EGFR,IGFBP3,RAC1,C5,PTGS2,ERBB3,EFNB2,RHOA,CSF1R,PPM1F,NTN1
GO:0035239	tube morphogenesis	0.00539716570913226	353	NOTCH1,AREG,PODXL,EGFR,MYC,EFNB2,RHOA,CSF1R,NTN1
GO:0031960	response to corticosteroid	0.005615821112942	158	PAPPA,NOTCH1,AREG,EGFR,PTGS2,RHOA,BMP6
GO:2000145	regulation of cell motility	0.00956552002019626	761	NOTCH1,PODXL,EGFR,IGFBP3,RAC1,C5,PTGS2,ERBB3,RHOA,CSF1R,PPM1F,NTN1
GO:0002042	cell migration involved in sprouting angiogenesis	0.0143774169449018	34	NOTCH1,PTGS2,EFNB2,RHOA
GO:0002009	morphogenesis of an epithelium	0.0164566056480475	524	NOTCH1,AREG,PODXL,EGFR,RAC1,MYC,EFNB2,RHOA,CSF1R,NTN1
GO:0051270	regulation of cellular component movement	0.0249340984125409	834	NOTCH1,PODXL,EGFR,IGFBP3,RAC1,C5,PTGS2,ERBB3,RHOA,CSF1R,PPM1F,NTN1
GO:2000147	positive regulation of cell motility	0.0255705019646349	426	NOTCH1,PODXL,EGFR,RAC1,PTGS2,RHOA,CSF1R,PPM1F,NTN1
GO:0060562	epithelial tube morphogenesis	0.0260467586144688	316	NOTCH1,AREG,PODXL,MYC,EFNB2,RHOA,CSF1R,NTN1
GO:0051272	positive regulation of cellular component movement	0.0320844031238617	438	NOTCH1,PODXL,EGFR,RAC1,PTGS2,RHOA,CSF1R,PPM1F,NTN1
GO:0030334	regulation of cell migration	0.0339869534192623	708	NOTCH1,PODXL,EGFR,IGFBP3,RAC1,C5,PTGS2,RHOA,CSF1R,PPM1F,NTN1
GO:0009612	response to mechanical stimulus	0.0364108164994552	209	TLR3,LRP11,EGFR,RAC1,PTGS2,RHOA,BMP6
GO:0071260	cellular response to mechanical stimulus	0.0377228148613407	76	TLR3,EGFR,RAC1,PTGS2,BMP6
GO:0035295	tube development	0.0439519699886749	585	NOTCH1,LOX,AREG,PODXL,EGFR,MYC,EFNB2,RHOA,CSF1R,NTN1
GO:0040017	positive regulation of locomotion	0.0445120024237097	456	NOTCH1,PODXL,EGFR,RAC1,PTGS2,RHOA,CSF1R,PPM1F,NTN1
