term.id	term.name	adjusted.p.val	term.size	overlap
GO:0006396	RNA processing	9.7206902706179e-17	914	AHNAK,KHSRP,SAFB,U2AF1,POLR2A,SYNCRIP,KIAA1429,PUS7,THRAP3,RPP38,HNRNPUL1,ADAR,SRRT,CELF2,NCOR1,RBMXL1,RALY,RBM39,RBMX,KHDRBS3,SNRPD1,RPL15,HNRNPK,PABPN1,SUGP1,RPL3,SNRPB,CCAR2,CDK9,AKAP8L,WDR46,HNRNPR,SNRNP200,HNRNPD,RPL13A,SUV39H1,XAB2,SNRPA,RBM42,NOB1,GPKOW,SNRNP70,FAM103A1,RPS28,SUGP2,NSUN2,ZC3H3,NOLC1,PAPD4,ADARB1,TRA2B,SUPT5H,DHX29
GO:0006397	mRNA processing	1.0196976420318e-16	483	KHSRP,SAFB,U2AF1,POLR2A,SYNCRIP,KIAA1429,THRAP3,HNRNPUL1,ADAR,SRRT,CELF2,RBMXL1,RALY,RBM39,RBMX,KHDRBS3,SNRPD1,HNRNPK,PABPN1,SUGP1,SNRPB,CCAR2,CDK9,AKAP8L,HNRNPR,SNRNP200,HNRNPD,XAB2,SNRPA,RBM42,GPKOW,SNRNP70,FAM103A1,SUGP2,ZC3H3,PAPD4,ADARB1,TRA2B,SUPT5H
GO:0016071	mRNA metabolic process	1.20597388084042e-16	703	KHSRP,SAFB,U2AF1,POLR2A,SYNCRIP,KIAA1429,THRAP3,HNRNPUL1,ADAR,SRRT,CELF2,RBMXL1,RALY,RBM39,RBMX,KHDRBS3,SNRPD1,RPL15,SMG9,HNRNPK,PABPN1,SUGP1,RPL3,SNRPB,CCAR2,CDK9,AKAP8L,HNRNPR,SNRNP200,HNRNPD,RPL13A,XAB2,SNRPA,RBM42,FLNA,GPKOW,ETF1,SNRNP70,FAM103A1,RPS28,SUGP2,ZC3H3,PAPD4,ADARB1,TRA2B,SUPT5H
GO:0008380	RNA splicing	3.95607026674936e-13	419	AHNAK,KHSRP,U2AF1,POLR2A,SYNCRIP,KIAA1429,THRAP3,HNRNPUL1,SRRT,CELF2,RBMXL1,RALY,RBM39,RBMX,KHDRBS3,SNRPD1,HNRNPK,PABPN1,SUGP1,SNRPB,CCAR2,AKAP8L,HNRNPR,SNRNP200,HNRNPD,XAB2,SNRPA,RBM42,GPKOW,SNRNP70,SUGP2
GO:0000375	RNA splicing, via transesterification reactions	6.13372680931442e-10	322	KHSRP,U2AF1,POLR2A,SYNCRIP,THRAP3,HNRNPUL1,SRRT,CELF2,RALY,RBMX,KHDRBS3,SNRPD1,HNRNPK,PABPN1,SUGP1,SNRPB,HNRNPR,SNRNP200,HNRNPD,XAB2,SNRPA,RBM42,GPKOW,SNRNP70
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	4.27096290375484e-09	319	U2AF1,POLR2A,SYNCRIP,THRAP3,HNRNPUL1,SRRT,CELF2,RALY,RBMX,KHDRBS3,SNRPD1,HNRNPK,PABPN1,SUGP1,SNRPB,HNRNPR,SNRNP200,HNRNPD,XAB2,SNRPA,RBM42,GPKOW,SNRNP70
GO:0000398	mRNA splicing, via spliceosome	4.27096290375484e-09	319	U2AF1,POLR2A,SYNCRIP,THRAP3,HNRNPUL1,SRRT,CELF2,RALY,RBMX,KHDRBS3,SNRPD1,HNRNPK,PABPN1,SUGP1,SNRPB,HNRNPR,SNRNP200,HNRNPD,XAB2,SNRPA,RBM42,GPKOW,SNRNP70
REAC:72163	mRNA Splicing - Major Pathway	7.08269538526206e-09	180	U2AF1,POLR2A,HNRNPUL1,SRRT,RBMX,SNRPD1,HNRNPK,PABPN1,SUGP1,SNRPB,HNRNPR,SNRNP200,HNRNPD,XAB2,ALYREF,SNRPA,GPKOW,SNRNP70
REAC:72203	Processing of Capped Intron-Containing Pre-mRNA	1.8802609365701e-08	247	TPR,U2AF1,POLR2A,HNRNPUL1,SRRT,NUP210,RBMX,SNRPD1,HNRNPK,PABPN1,SUGP1,SNRPB,HNRNPR,SNRNP200,HNRNPD,XAB2,ALYREF,SNRPA,GPKOW,SNRNP70
REAC:72172	mRNA Splicing	2.34487782406578e-08	193	U2AF1,POLR2A,HNRNPUL1,SRRT,RBMX,SNRPD1,HNRNPK,PABPN1,SUGP1,SNRPB,HNRNPR,SNRNP200,HNRNPD,XAB2,ALYREF,SNRPA,GPKOW,SNRNP70
