term.id	term.name	adjusted.p.val	term.size	overlap
GO:0097435	supramolecular fiber organization	3.06996533985384e-18	558	KRT17,KRT9,TRPV4,APP,TPM3,MECP2,MYBPC3,FLNA,BRAF,SPTAN1,NEFL,MAPT,ACTN2,NF1,MET,NIN,ACTN4,COL1A1,DES,FOXC2,PIK3R1,PRKAR1A,KRT14,RAC2,KRT2,TNNT2,PRKCD,ABL1,TUBGCP6,APC,CASQ2,MYL2,FMN2,KRT8,FOXC1,SHROOM4,TTN,TUBB4A,KRT71,SPTA1,SMAD4,CTNNA1,PDGFRB,MICALL2,SPTB,CDC42,SRC,MYH11,VIM,INPPL1,ARF1,PAK1,NF2,ACTA1,RDX,DSP,SERPINH1,MTOR,TPM1,COL12A1,ACTG1
GO:0043069	negative regulation of programmed cell death	1.08017586228593e-17	846	FGFR2,RAF1,LMNA,PTEN,TP53,CCND2,BRCA1,CBL,STAT3,TFAP2A,WT1,MECP2,GSTP1,FLNA,BRAF,NEFL,VHL,PDE3A,LRRK2,KRAS,NFKBIA,TEK,CDC73,MPZ,MET,GATA1,CSNK2A1,PHIP,FOXC2,BAG3,PIK3R1,STIL,ALB,TWIST1,APOE,SLC25A4,RPS6KA3,PTRH2,ADAR,PRKCD,CTNNB1,ABL1,NTRK2,FMN2,KRT18,KDM2B,FOXC1,BMP4,ZMYND11,CTNNA1,FAS,RELA,PDGFRB,EGFR,ACVR1,OPA1,DDX3X,GRIN1,SRC,MALT1,FLT4,KIF14,CRYAA,PINK1,HTRA2,SOD1,LIMS2,ERBB4,GPI,MAP4K4,SNCB,MTOR,RPL10,THOC6,HRAS,KANK2
GO:0010243	response to organonitrogen compound	1.96929827711929e-17	925	PTPN11,PTEN,TP53,DNM2,GNAO1,BRCA1,CFTR,STAT3,TRPV4,GNB1,RYR1,APP,WT1,GSTP1,TSC2,BRAF,RYR2,NEFL,PDE3A,LRRK2,ACTN2,NFKBIA,TEK,DNMT1,CPS1,COL6A1,DNMT3B,PHIP,COL1A1,FOXC2,PIK3R1,GJA1,PRKAR1A,APOE,CAMK2A,CDK4,PRKCD,CTNNB1,ABL1,NTRK2,ABCC2,VCP,DPYSL2,LRP5,APC,CASQ2,YWHAG,MYO5A,EIF2B5,ATP1A2,CNGA3,LARS,IRS1,CTNNA1,APRT,APPL1,RANBP2,RELA,EGFR,GRIN1,SRC,ABCA1,PCSK9,INPPL1,MAPK1,AHSG,EGR2,SOD1,MARS,DDX11,PPARG,EEF2,PAK1
GO:0009887	animal organ morphogenesis	2.39599051485106e-17	999	FGFR2,MYH7,PTEN,STAT3,RYR1,TFAP2A,WT1,MYBPC3,FOXL2,BRAF,RYR2,MAP2K1,LRRK2,KRAS,NF1,TEK,ACTA2,GATA2,ACTG2,TRIP11,COL1A1,FOXC2,STIL,TWIST1,KLHL3,TNNT2,KRT13,CTNNB1,ABL1,BMPR2,IFT140,NTRK2,ALPL,GNAT1,LRP5,AKT3,MYL2,STOX1,MYO5A,MYLK,FGFR3,KDM2B,CHSY1,KDM5B,FOXC1,TTN,BMP4,RUNX2,HESX1,SMAD4,CTNNA1,ALDH1A3,CAPN1,RELA,TGFBR2,PDGFRB,EGFR,ACVR1,ACVRL1,CDC42,SRC,GATA4,INPPL1,MAPK1,SOD1,VDR,SMAD2,NRL,NF2,ACTA1,LIMS2,CLTC,TNC,DSP,MTHFD1,SERPINH1,MTOR,TPM1,TH,HCCS,EPHA2,HRAS
GO:1901699	cellular response to nitrogen compound	6.6151359212795e-17	610	PTPN11,PTEN,TP53,DNM2,BRCA1,CFTR,STAT3,GNB1,RYR1,APP,WT1,GSTP1,TSC2,RYR2,MAP2K1,PDE3A,LRRK2,ACTN2,MAP2K2,DNMT1,CPS1,COL6A1,PHIP,COL1A1,FOXC2,PIK3R1,PRKAR1A,APOE,CAMK2A,ATRX,ADAR,CDK4,PRKCD,CTNNB1,ABL1,NTRK2,APC,CASQ2,YWHAG,MYO5A,LARS,IRS1,BMP4,CTNNA1,APRT,APPL1,RELA,EGFR,SRC,PCSK9,MAPK1,AHSG,SOD1,SMAD2,MARS,DDX11,PPARG,PAK1
GO:0060548	negative regulation of cell death	8.83554000204312e-17	918	FGFR2,RAF1,LMNA,PTEN,TP53,CCND2,BRCA1,CBL,STAT3,TFAP2A,WT1,MECP2,GSTP1,FLNA,BRAF,NEFL,VHL,PDE3A,LRRK2,KRAS,NFKBIA,TEK,CDC73,MPZ,MET,GATA1,CSNK2A1,PHIP,FOXC2,BAG3,PIK3R1,STIL,ALB,TWIST1,APOE,SLC25A4,RPS6KA3,PTRH2,ADAR,PRKCD,CTNNB1,ABL1,NTRK2,FMN2,KRT18,KDM2B,FOXC1,BMP4,PYCR1,SMAD4,ZMYND11,CTNNA1,FAS,RELA,PDGFRB,EGFR,ACVR1,OPA1,DDX3X,GRIN1,SRC,MALT1,FLT4,KIF14,CRYAA,PINK1,HTRA2,SOD1,LIMS2,ERBB4,GPI,MAP4K4,SNCB,MTOR,RPL10,THOC6,HRAS,KANK2
GO:0043066	negative regulation of apoptotic process	1.27862851623413e-16	833	FGFR2,RAF1,LMNA,PTEN,TP53,CCND2,BRCA1,CBL,STAT3,TFAP2A,WT1,MECP2,GSTP1,FLNA,BRAF,NEFL,VHL,PDE3A,LRRK2,KRAS,NFKBIA,TEK,CDC73,MPZ,GATA1,CSNK2A1,PHIP,FOXC2,BAG3,PIK3R1,STIL,ALB,TWIST1,APOE,RPS6KA3,PTRH2,ADAR,PRKCD,CTNNB1,ABL1,NTRK2,FMN2,KRT18,KDM2B,FOXC1,BMP4,ZMYND11,CTNNA1,FAS,RELA,PDGFRB,EGFR,ACVR1,OPA1,DDX3X,GRIN1,SRC,MALT1,FLT4,KIF14,CRYAA,PINK1,HTRA2,SOD1,LIMS2,ERBB4,GPI,MAP4K4,SNCB,MTOR,RPL10,THOC6,HRAS
GO:0007507	heart development	1.28514761613249e-16	519	FGFR2,PTPN11,RAF1,MYH7,LMNA,PTEN,RBM20,DNM2,RYR1,WT1,TSC2,MYBPC3,RYR2,MAP2K1,ACTN2,NF1,TEK,JPH2,TRIP11,FOXC2,GJA1,PRKAR1A,STIL,TWIST1,TNNT2,CTNNB1,BMPR2,IFT140,MYL2,CACNA1C,DSG2,FOXC1,TTN,BMP4,SMAD4,ATM,ECE1,TGFBR2,PDGFRB,EGFR,ACVR1,ACVRL1,CDC42,MYH11,GATA4,SIK1,MAPK1,SMAD2,PPARG,PAK1,ERBB4,DSP,MTHFD1,MTOR,TPM1,TH
REAC:422475	Axon guidance	4.57758780920198e-16	555	FGFR2,PTPN11,RAF1,DNM2,RET,MYH9,BRAF,SPTAN1,NEFL,MAP2K1,KCNQ2,CALM2,KRAS,ACTN2,MAP2K2,NF1,TEK,VCL,COL6A1,MET,CSNK2A1,CAMK2B,PIK3R1,CAMK2A,RPS6KA3,RAC2,ABL1,DCX,DPYSL2,TRPC6,ACTB,FGFR3,CACNB2,CACNA1C,L1CAM,IRS1,SPTA1,LAMA1,PDGFRB,EGFR,ANK1,SPTB,FGF23,GRIN1,CDC42,SRC,PPP2CA,MYH11,MAPK1,PAK1,RDX,CLTC,ERBB4,CACNB4,RASA3,ACTG1,EPHA2,HRAS
GO:0030029	actin filament-based process	7.31619251726172e-16	675	MYH7,TRPV4,KCNH2,TPM3,MYH9,MYBPC3,FLNA,BRAF,SPTAN1,RYR2,KRAS,ACTN2,NF1,TEK,MET,ACTN4,DES,PIK3R1,GJA1,PRKAR1A,NPHP1,RAC2,TNNT2,PRKCD,ABL1,CASQ2,MYL2,ACTB,FMN2,FLNB,MYO5A,ATP1A2,CACNB2,KRT8,CACNA1C,DSG2,SHROOM4,TTN,SPTA1,SMAD4,EPB41L4A,ANTXR1,CTNNA1,NEDD4L,PDGFRB,MICALL2,SPTB,CDC42,SRC,MYH11,GATA4,TNNI2,VIM,INPPL1,ARF1,PAK1,NF2,ACTA1,RDX,DSP,MTOR,TPM1,ACTG1,HRAS
