term.id	term.name	adjusted.p.val	term.size	overlap
GO:0030029	actin filament-based process	1.71723917728067e-29	675	BRAF,TTN,SPTAN1,MYH2,KIT,SPTBN1,XIRP1,BCR,DSP,MYH9,KRAS,MYH7,MYO18A,MYH14,MET,MKL1,FLNB,NEB,MAP3K4,FGD1,KRT8,ACTN2,ARHGEF5,SIPA1L1,RHOA,MYH6,FMN2,ACTA1,MYH8,TLN1,LATS1,HRAS,OBSCN,ROCK2,SPIRE1,SPTBN2,VASP,CD2AP,FRY,SPTA1,MYH4,FRYL,ACTR3,IQGAP2,AKAP13,RAC1,ARHGEF15,SHANK3,PDPK1,ATP1A1,ARHGEF11,SPTB,CLASP2,PHACTR4,COBLL1,BRSK2,HCK,CDC42EP3,SSH3,SSH1,MEF2A,MYOM1,BAIAP2L1,LIMK1,SYNPO2L,ALMS1,S1PR1,CIT,DBN1,EPB41L3,PREX1,ARHGEF19,SORBS1,VIL1,PHLDB2,ABL1,NCKAP1,PLS3,MICAL3,PDE4D,TACSTD2,SH3PXD2B,MYO1C,BCAS3,SCN5A,BCAR1,MYO5A,FZD10,ARHGEF10L,FLNA,CAPG,ARHGAP44,ASAP3,ACTN1,FER,TSC1,CUL3,MINK1,SYNPO2,DAPK3,NEDD9,DMD,INF2,CAV1,NF1,MYPN,RDX,PIP5K1A,PIK3R1,CELSR1,KIF23,WDR1,CORO1C,MTOR,PRKCZ,STMN1,MARCKS,RHOQ,OPHN1,MTSS1,CORO6,RICTOR,KCNH2,SWAP70,CDC42BPB,TRPM4,PLS1,SRF,ANK2,SYNE2,DSG2,PPFIA1,EPS8,ADD2,MYO1E,SHROOM1,LIMCH1,AMOT,DMTN,JAK2,EHD2,AQP1,ACTG1,PPM1F,SYNPO,PDCD6IP,EPB41,MAP3K3,FGD3,TRIM32,PTGER4,CDK5,SMAD3,CDC42EP4,PRKCI,FGD4,FRMD6,MYH10,PLEKHH2,FHL3,BCL6,JUP,EPHA3,ALDOA,TAOK2,COBL,ABR,CLASP1,ACTR2,IQSEC3,WIPF1,PRKCE,SORBS2,KCNQ1,HSP90B1,MICALL2,TRPV4,RAB13,MYO6,ACTC1,MYH11,LRP1,RGCC,TPM4,CAP1,CYFIP1,RAP2A,ITPKA,NISCH,TMOD1,ANXA1,GSN,MYOM2,CAMK2D,NCK1,LLGL1,SRI,KCNN2,ABLIM2,CTTN
GO:0030036	actin cytoskeleton organization	9.03600840846616e-28	585	BRAF,TTN,SPTAN1,KIT,SPTBN1,XIRP1,BCR,MYH9,KRAS,MYO18A,MYH14,MET,MKL1,FLNB,NEB,MAP3K4,FGD1,KRT8,ACTN2,ARHGEF5,SIPA1L1,RHOA,MYH6,FMN2,ACTA1,TLN1,LATS1,HRAS,OBSCN,ROCK2,SPIRE1,SPTBN2,VASP,CD2AP,FRY,SPTA1,FRYL,ACTR3,IQGAP2,AKAP13,RAC1,ARHGEF15,SHANK3,PDPK1,ARHGEF11,SPTB,CLASP2,PHACTR4,COBLL1,BRSK2,HCK,CDC42EP3,SSH3,SSH1,MEF2A,MYOM1,BAIAP2L1,LIMK1,SYNPO2L,ALMS1,S1PR1,CIT,DBN1,EPB41L3,PREX1,ARHGEF19,SORBS1,VIL1,PHLDB2,ABL1,NCKAP1,PLS3,MICAL3,TACSTD2,SH3PXD2B,MYO1C,BCAS3,BCAR1,FZD10,ARHGEF10L,FLNA,CAPG,ARHGAP44,ASAP3,ACTN1,FER,TSC1,CUL3,MINK1,SYNPO2,DAPK3,NEDD9,INF2,NF1,MYPN,RDX,PIP5K1A,PIK3R1,CELSR1,KIF23,WDR1,CORO1C,MTOR,PRKCZ,STMN1,MARCKS,RHOQ,OPHN1,MTSS1,CORO6,RICTOR,SWAP70,CDC42BPB,PLS1,SRF,PPFIA1,EPS8,ADD2,SHROOM1,LIMCH1,AMOT,DMTN,JAK2,EHD2,AQP1,ACTG1,PPM1F,SYNPO,PDCD6IP,EPB41,MAP3K3,FGD3,TRIM32,PTGER4,CDK5,SMAD3,CDC42EP4,PRKCI,FGD4,FRMD6,MYH10,PLEKHH2,FHL3,BCL6,EPHA3,ALDOA,TAOK2,COBL,ABR,CLASP1,ACTR2,IQSEC3,WIPF1,PRKCE,SORBS2,HSP90B1,MICALL2,TRPV4,RAB13,ACTC1,MYH11,LRP1,RGCC,TPM4,CAP1,CYFIP1,RAP2A,ITPKA,NISCH,TMOD1
GO:0051493	regulation of cytoskeleton organization	5.79332389136056e-20	437	CTNNB1,BRAF,SPTAN1,RGPD4,SPTBN1,RANBP2,CAMSAP3,HSPA1A,MET,NEB,NES,HSPA1B,TPR,ACTN2,ARHGEF5,RHOA,FMN2,NUP62,SPICE1,LATS1,HRAS,ROCK2,SPIRE1,SPTBN2,VASP,CD2AP,SPTA1,ACTR3,IQGAP2,AKAP13,RAC1,ARHGEF15,SHANK3,NUMA1,SPTB,CLASP2,CEP131,DYNC1H1,SLAIN2,HCK,MID1,CDC42EP3,SSH3,SSH1,BAIAP2L1,LIMK1,SYNPO2L,ALMS1,S1PR1,CIT,DCTN1,PREX1,SYDE1,ARHGEF19,VIL1,PHLDB2,ABL1,NCKAP1,BRCA1,RBM14,CLIP1,SENP6,TACSTD2,SH3PXD2B,MYO1C,BCAS3,FZD10,ARHGEF10L,SKA3,CAPG,ARHGAP44,ASAP3,FER,STIL,TSC1,XRCC3,SYNPO2,DAPK3,APC,MYPN,RDX,CLTC,PIK3R1,CELSR1,WDR1,MTOR,STMN1,RHOQ,FKBP4,RICTOR,SWAP70
GO:0097435	supramolecular fiber organization	1.87394174215368e-18	558	BRAF,TTN,SPTAN1,SPTBN1,DSP,PCM1,HSPA1A,MET,HSPA1B,KRT8,ACTN2,ARHGEF5,RHOA,MYH6,FMN2,ACTA1,LATS1,OBSCN,ROCK2,SPIRE1,SPTBN2,VASP,FRY,TUBGCP6,SLK,SPTA1,FOXC1,KRT20,FRYL,ACTR3,IQGAP2,AKAP13,RAC1,ARHGEF15,SHANK3,SPTB,CLASP2,COBLL1,CCDC88C,SLAIN2,ATP7A,HCK,MID1,CDC42EP3,SSH3,SSH1,MEF2A,MYOM1,BAIAP2L1,LIMK1,SYNPO2L,ALMS1,S1PR1,CIT,DBN1,DCTN1,PREX1,SORBS1,VIL1,PHLDB2,ABL1,NCKAP1,PLS3,MICAL3,CLIP1,TACSTD2,SH3PXD2B,MYO1C,BCAR1,COL1A2,CCDC88B,ARHGEF10L,FLNA,CAPG,HOOK1,ASAP3,ACTN1,FER,NIN,TSC1,CUL3,SYNPO2,NEDD9,APC,NF1,MYPN,RDX,CRYAB,PIK3R1,HSP90AB1,WDR1,NEFL,MTOR,STMN1,MARCKS,FKBP4,RICTOR,SWAP70,PLS1,SRF,RANBP9,KRT2,PPFIA1,EPS8,ADD2,SHROOM1,CD36,DMTN,JAK2,ACTG1,PPM1F,KIF2B
GO:0044087	regulation of cellular component biogenesis	2.24003097875732e-18	813	CTNNB1,TP53,BRAF,SPTAN1,KIT,SPTBN1,KIF14,ATXN2L,HSPA1A,MET,RAPGEF1,HSPA1B,PARP1,TPR,ARHGEF5,RHOA,FMN2,NUP62,IQGAP1,ADGRL3,SPICE1,RAF1,LATS1,HRAS,ROCK2,HCFC1,SPIRE1,ULK1,PODXL,RAPGEF2,PTPN11,SPTBN2,DLG5,VASP,ATF7IP,RALB,PIKFYVE,PTEN,SLK,SPTA1,H3F3A,FNIP1,ACTR3,IQGAP2,AKAP13,RAC1,UNC13B,SLX4,ARHGEF15,SHANK3,HGS,MSN,NOTCH1,SPTB,CLASP2,SLAIN2,MAP4,ATP7A,HCK,CDC42EP3,SSH3,SSH1,HSPA2,ZMYND8,ATXN2,BAIAP2L1,LIMK1,BCLAF1,SYNPO2L,ALMS1,S1PR1,DCTN1,EEF2K,PREX1,VIL1,PHLDB2,ABL1,NCKAP1,RPA1,VCP,BBC3,BRCA1,RBM14,SACS,TAF7,SEC24B,AGRN,ESR1,CLIP1,SENP6,TACSTD2,SH3PXD2B,MYO1C,BCAS3,ERCC5,KLF5,ARHGEF10L,CAPG,ASAP3,CEP135,FER,STIL,DDB1,TSC1,SMAD6,ZNF451,SYNPO2,DAPK3,APC,CAV1,RDX,CRYAB,ERCC3,SIRT2,PIK3R1,CORO1C,PRKACA,MTOR,ABCA1,PRKCZ,STMN1,RHOQ,LRSAM1,PRKCH,FKBP4,DNM1L,RICTOR,SWAP70,VPS4A,SRF,SYNE2,PPFIA1,ASAP1,ADNP,EPS8,ADD2,CD36,DMTN,AQP1,PPM1F,KIAA1324,LRRC4B,RAB1B,SYNPO,PDCD6IP
GO:0032970	regulation of actin filament-based process	1.6700990339261e-16	333	BRAF,SPTAN1,SPTBN1,DSP,MYH9,MET,NEB,ACTN2,ARHGEF5,RHOA,FMN2,LATS1,HRAS,ROCK2,SPIRE1,SPTBN2,VASP,CD2AP,SPTA1,ACTR3,IQGAP2,AKAP13,RAC1,ARHGEF15,SHANK3,ATP1A1,SPTB,CLASP2,HCK,CDC42EP3,SSH3,SSH1,BAIAP2L1,LIMK1,SYNPO2L,ALMS1,S1PR1,CIT,PREX1,ARHGEF19,VIL1,PHLDB2,ABL1,NCKAP1,PDE4D,TACSTD2,SH3PXD2B,MYO1C,BCAS3,SCN5A,FZD10,ARHGEF10L,FLNA,CAPG,ARHGAP44,ASAP3,FER,TSC1,SYNPO2,DAPK3,CAV1,RDX,PIK3R1,CELSR1,WDR1,MTOR,STMN1,RHOQ,RICTOR,SWAP70,TRPM4,ANK2,DSG2,PPFIA1,EPS8,ADD2
REAC:166520	Signalling by NGF	1.83568191400962e-16	479	TP53,BRAF,NRAS,ERBB2,SPTAN1,KIT,SPTBN1,MAP2K1,KRAS,EGFR,KIDINS220,MET,RAPGEF1,MAP2K2,IRS1,FGD1,ACTN2,ARHGEF5,RHOA,IRS2,IQGAP1,TLN1,RAF1,HRAS,OBSCN,RAPGEF2,PTPN11,SPTBN2,RALB,PTEN,SPTA1,GAB1,AKAP13,TIAM2,RAC1,STAT3,ARHGEF15,PDPK1,ARHGEF11,ARHGEF16,SPTB,PCSK5,ARAF,CAMK2A,FOXO3,FN1,PSMA2,TIAM1,MEF2A,UBC,ADCY2,PREX1,ARHGEF19,FOXO1,TNRC6A,PLEKHG5,MAPKAPK2,NR4A1,BRAP,PSMD14,ARHGEF10L,GRIN2A,PRKACB,PLCG1,PPP2R1B,PIK3CB,RASGRP4,PIK3R3,PSMB4,ITSN1,RASAL3,CUL3,GFRA1,MAGED1,NF1,RASAL2,KSR2,CLTC,PIP5K1A,PIK3R1,NEFL,PRKACA,MTOR,PIK3R2,RICTOR,RTN4,VCL,RANBP9,PPP2CA,FGG,PSMD3,FGFR4,JAK2,PSMB2,ITGB3,SOS1,PPP2R5E,IRAK1,PRKAR1B,MAPK11,FGD3,GSK3A,PSMA7,PRKCI,FGD4,ELK1,YWHAB,INSR,GNA13,HDAC1,RELA,ABR,AGO3,RIT1,DUSP8,PRKCE
GO:0000902	cell morphogenesis	3.89381333819737e-16	925	CTNNB1,BRAF,NRAS,ERBB2,SPTAN1,KIT,SPTBN1,MAP2K1,CAMSAP1,KIF14,MYH9,KRAS,EP300,MYH14,EGFR,KIDINS220,MET,FLNB,NES,FGD1,MAP1B,SIPA1L1,RHOA,PARD3,CTNND2,IRS2,IQGAP1,ROBO1,LATS1,HRAS,ULK1,KIAA1217,RAPGEF2,PTPN11,SPTBN2,BRWD1,VASP,TOP2B,FRY,NYAP2,KIF20B,PTEN,SPTA1,GAB1,FRYL,FARP1,RAC1,SHANK3,ITGB7,SEMA6A,MSN,NOTCH1,ALS2,PHIP,PLXNB2,SPTB,TNN,DOCK1,GOLGA4,CAMK2A,CUX1,LAMB1,BRSK2,ATP7A,HCK,SCRIB,FN1,CDC42EP3,UNK,DOCK10,SSH3,TIAM1,SSH1,GATA1,MED1,MEF2A,ZEB2,LIMK1,GRHL2,RAPH1,STK11,EPB41L3,EEF2K,PREX1,VIL1,ABL1,CDC7,SEC24B,DDR1,SHROOM3,TACSTD2,KNDC1,SOX6,CHRNA3,SIPA1L3,FLNA,FAM129B,NFATC4,PLCG1,CACNA1A,ARHGAP44,PIK3CB,ACTN1,FER,ZMYM3,TBR1,SH3KBP1,CUL3,MINK1,DAPK3,GFRA1,DMD,TBCCD1,RDX,GRB10,PIK3R1,APBB1,HPRT1,WDR1,NEFL,CORO1C,TRPC6,PRKCZ,STMN1,XK,PDZD8,CSNK1G3,RHOQ,OPHN1,DNM1L,RTN4,SYT2,ZMYM4,SRF,VCL,RANBP9,BRSK1,DOK4,ADNP,CAPRIN2,FGG,EPS8,TUBB3,LATS2,SHROOM1,DMTN,RAB8A,ITGB3,SOS1,MYL12A,PLEKHO1,EPB41,FGD3,KEL,CDK5,L1CAM,CDC42EP4,FGD4,FRMD6,ASXL1,MYH10,CRMP1,SEMA3B,LHX3,GORASP1,ADGRB1,BCL6,GNA13,C1QBP,ALDOA,TAOK2,F2,COBL,RREB1,DOK2,RB1
GO:0000278	mitotic cell cycle	1.34258609063784e-15	916	CTNNB1,TP53,TTN,CCND1,RGPD4,SPTBN1,KIF14,CDK13,PCM1,RANBP2,PCNT,ATRX,HSPA1A,TOP2A,EP300,EGFR,NES,HSPA1B,TPR,RHOA,ANAPC1,NUP62,NUP133,ZFP36L2,USP8,ATAD5,SPICE1,LATS1,HRAS,PTPN11,TOP2B,BRCA2,MKI67,TUBGCP6,KIF20B,CDK4,PTEN,MEPCE,FOXC1,KIF3B,GIGYF2,RAD51C,PKN2,BACH1,ESPL1,PHF8,NUMA1,MYBL1,PHIP,RBL2,SHB,CLASP2,MYBL2,CEP131,CAMK2A,DYNC1H1,CENPF,MAP4,NUP214,BRSK2,RAD51,SIN3A,SCRIB,RAD21,DLGAP5,PSMA2,EZH2,PKD2,CDK6,WAPL,UBC,CIT,DCTN1,ABL1,BRD4,RPA1,BRCA1,TTC28,CDC7,EYA1,KHDRBS1,BUB1B,CLIP1,NEDD1,ACVR1B,SMC1A,NPAT,PNPT1,PSMD14,SKA3,TOM1L2,FLNA,NUSAP1,PLRG1,CEP192,PSMB4,CEP135,FER,STIL,DDB1,ATF2,CUL3,NUP153,XRCC3,NBN,DAPK3,APC,EML4,TTK,RDX,ERCC3,CLTC,NUP160,SIRT2,CDC5L,KIF23,CLSPN,PRKACA,STMN1,BLM,CEP164,PRCC,AURKAIP1,MCM4,VPS4A,CUL5,TPX2,CEP290,HAUS5,PINX1,NEK9,PPP2CA,MAD1L1,EPS8,LIG1,RTFDC1,PSMD3,STAT5B,ANAPC5,LATS2,SKP2,USP37,PPP1R1C,RAB8A,PSMB2,NUP88,PDCD6IP,SMC3,CENPC,GBF1,CHMP1A,NCAPG,NEK6,OPTN,DRD3,EME1,KIF18A,SMAD3,PSMA7,MAEA,CDC34,PBX1
GO:0034329	cell junction assembly	1.24842092978168e-14	194	CTNNB1,PLEC,RAPGEF1,ACTN2,RHOA,PARD3,FLNC,IQGAP1,TLN1,ROCK2,RAPGEF2,DLG5,TNS1,VASP,PTEN,SLK,RAC1,PKN2,PDPK1,TRIP6,CLASP2,FN1,GRHL2,EPB41L3,STRN,SORBS1,PHLDB2,MPP5,HDAC7,MYO1C,BCAS3,FLNA,ACTN1,TSC1,DAPK3,PTPRK,APC,NR1H4,CAV1,PIP5K1A,WDR1,CORO1C,PRKACA,PRKCH,LAMA3,SRF,VCL,ANK2,DMTN,ACTG1,PPM1F,ITGB3,PDCD6IP,SMAD3,PRKCI,JUP,EPHA3,TAOK2,CLASP1,PKP3,MICALL2,TRPV4,RAB13,FLCN,ARL2,FERMT2,DSG1,FRMPD2
