term.id	term.name	adjusted.p.val	term.size	overlap
GO:0006396	RNA processing	1.72353320039664e-20	941	TP53,AHNAK2,MDN1,AHNAK,SF3B1,ADAR,CDK13,NCOR1,EGFR,POLR2A,PIK3R1,SAFB,SUPT6H,XAB2,FASTK,POLR2B,ZC3H13,RBBP6,PPP2R1A,DIS3,DDX21,PELP1,CHD7,PRPF8,ELAC2,U2AF1,SENP3,DDX42,UTP14A,GCFC2,SRRM2,EXOSC10,DHX9,COIL,SF3B3,ELAVL2,TRMT1,AKAP8L,RBM5,SNRNP200,TRUB1,ESF1,RNGTT,NCOR2,LYAR,NCL,NSUN2,PLRG1,ELAVL1,CWF19L2,KHDRBS1,LARP6,NOP58,RBM10,MAP2K1,SYNCRIP,PABPN1,ERCC2,DICER1,RPRD2,DDX39A,ZC3H3,SETX,CELF2,PSIP1,FXR1,REST,TYW1,ACIN1,RBM6,IK,RNF40,CLASRP,NOP14,ZC3H11A,HEATR1,YBX1,XRN2,CPSF3,SRRT,ZC3H7B,TGS1,WDR46,SLU7,RPRD1B,DROSHA,MRTO4,KHSRP,MAP2K2,TSEN2,SUGP2,ZNF638,PRPF6,WT1,NOLC1,DAZAP1,TUT1,ZC3H7A,SRSF11,RBM38,DDX46,PRPF4B,SF3A3,CWC27,GTPBP3,PUS7,INTS1,MYCN,SAFB2,SMAD2,PAN2,CPSF2,RPP38,POLDIP3,ZFC3H1,RBM28,TRMT44,TRPT1,RPS15,DDX10,PCBP1,ESR1,NAT10,TRMT13,TRMT2A,TBL3,SBDS,SUPT5H,RIOK2,PUM1,ZCCHC8,PRDX6,UTP20,ERCC3,ZBTB7A,KRI1,PUF60,LSM7,RNF20,PAN3,AGO1,PWP2,NOP2,SSB,DDX18,HNRNPU,EFTUD2,CPSF1,PRPF40A,AFF2,TFIP11,PRKACA,DHX16,ELP2,DDX1,WDR33,QTRT1,SUGP1,PABPC4,CCAR1,SCAF8,NOL9,CCAR2,REXO4,METTL3,SNRPB,TFB2M,RPL7L1,USP4,RRP9,SCAF1,UTP3,DHX35,KHDRBS3,U2SURP,FXR2,SRFBP1,AURKAIP1,TSR1,CWC22,NVL,WDR55,SUV39H1,CD2BP2,SF3A2,HNRNPUL1,PPP2CA,TRDMT1,NOL8,WDR36,SNRPA,TRMT5,ZMPSTE24,SRPK2,INTS9,FAM207A,CIR1,GTF2F2,IMP4,SMU1,SRRM1,NOB1,SLBP,RBM17,NONO,POLR2J
GO:1903047	mitotic cell cycle process	5.79136857918612e-20	892	TP53,TTN,PTEN,ATM,CCND1,CENPF,ANAPC1,KIF14,EP300,BRCA2,ATRX,HRAS,DYNC1H1,ROCK2,CDK13,POLA1,SMC2,PCNT,TPR,AKT1,EGFR,ZFP36L2,NES,PCM1,ESPL1,SPTBN1,PHF8,PPP2R1A,SETD2,CEP135,CUL1,ALMS1,DCTN1,NCAPD2,MCM4,RHOA,MDC1,BRD4,HTT,SPICE1,KIF18A,BACH1,CDK4,GIGYF2,SMC3,USP8,RDX,NUP62,MKI67,PKD2,NASP,HAUS8,ATAD5,TOP2B,AKAP8L,LATS1,RAD51C,CEP250,CENPJ,PIAS1,PLRG1,INSR,DNM2,KHDRBS1,BRCA1,FSD1,PPP1R10,RINT1,ERCC2,CTDP1,RPA1,PHIP,SIRT2,CEP290,CEP72,CASP2,IK,HMMR,CACUL1,BRSK2,MEPCE,RAD51,MYH10,DLGAP5,CUL9,NCAPD3,RB1,MYC,CIT,UBE2S,DDB1,MYBL2,TOP2A,CNTRL,ANAPC7,TUBB4A,KIF4B,PSME4,CKAP5,KIF18B,CDT1,CUL3,BLM,ARHGEF2,CENPC,SBDS,NPAT,RIOK2,TACC3,ERCC3,PSMD2,STIL,PDS5A,NEDD1,TRIM36,TTK,CEP192,PSMA5,NIPBL,KIF20B,MCM2,HNRNPU,PSMB4,SIN3A,ATF2,PRKACA,CUL2,BUB1,XRCC3,SPC25,SMC1A,ZFYVE26,GOLGA2,BCCIP,DAPK3,APC,TRIP13,SNX18,CDK5RAP2,SMC4,CENPE,KIF3B,RCC1,TAOK3,KIF23,ANAPC5,ITGB1,ACTR1B,CEP57,TYMS,RCC2,NCAPH2,AURKAIP1,BUB1B,VPS4A,MAP4,TOPBP1,CUL5,BRSK1,RPTOR,ACVR1B,PINX1,RPS6KB1,PPP2CA,MAD1L1,EPS8,ANKLE2,PDCD6IP,ODF2,ZMPSTE24,CCND2,SKP2,PRKAR2B,ROCK1,MELK,NEK6,E2F1,DHFR,OPTN,CHAMP1,LATS2,CDC25A,DRD3,DIS3L2,EME1,GEN1,EIF4E,PBX1,RAD21,PSMA2,TFAP4,TUBG1,HAUS7,VPS4B,TFDP3,BCL6,POLE,APPL1,HAUS5,MCM10,PSMD13,POLE3,CKAP2,VCP,HSPA1B,DACT1,CRADD,CLTC,KIFC1,PPAT,ORC4,MECP2,DCLRE1B,TOM1L2,CAMK2A,WDR62,NFE2L1,LIG1,PSMD1,PSMC2,CHEK2,ZFYVE19,RTKN,MZT1,NUSAP1,KIF20A,DYNC1LI1,CCP110,CHMP4C,ECT2,NDC80,PPP3CA,RGCC,PSMD12,RBL2,SNX33,XPC,SLF1,CEP63,CENPH,CEP131,UNC119,INCENP,EZH2,DTL,LCMT1,CDC25B,NEK9,CDC34,PRC1,CD28,CEP85,RAE1,BBS4,TAOK2,ZWILCH,CDC45,CENPA,HIRA,STOX1,SPRY2,HSPA1A,STAG1,BCL2L1,SLF2,ARL3,CHMP7,BUB3,BECN1,NDEL1,ABCB1,INO80,PSMA1,EML1,SNX9,MAPRE1,PPP1R12B,E2F4,RRM2,CCND3,ACTR1A,CTC1,MASTL,CNTROB,CLASP2,PSME1,NCAPG,DYNLT1,PSMB2,POLE2,USH1C,PSMC4,RHOC,ANAPC10,CDC26,ZNF207,RAD17,HINFP,NBN,CHEK1,TFDP1,PSME2,TAF2,PDS5B,PSMD6,CLASP1,HAUS3,PLK4,OFD1
GO:0030029	actin filament-based process	2.00917354153032e-18	781	BRAF,TTN,DSP,KIT,MYH2,MTOR,SPTAN1,XIRP1,HRAS,ROCK2,BCR,DOCK2,OBSCN,KRAS,PIK3R1,MYH7,SPTBN1,MYH14,SPTA1,SMAD4,MYO18A,FGD1,NEB,FAT1,SPTBN2,WDR1,ALMS1,BCAR1,RICTOR,RHOA,ACTN2,ARHGEF5,CCDC88C,MYH6,FMN2,SYNE2,MYH8,RDX,RAC1,SPIRE1,TLN1,CGNL1,LATS1,PDPK1,LIMK2,EPB41L3,PHLDB2,MYH4,GAB1,FARP1,MYO5A,VASP,AKAP13,INF2,FGD3,ARHGEF15,SHROOM2,KRT8,ARHGEF11,MET,IQGAP2,SIPA1L1,SPTB,MYO1B,TRIM32,RHOQ,PHACTR4,ACTG1,PAM,BRSK2,MYO1E,HCK,MYH10,CDC42EP3,SSH3,SSH1,MYO19,FLNB,MYO1C,MYOM1,DAAM1,SYNPO2L,CIT,BAIAP2L1,INSRR,ARHGEF19,PDLIM4,SORBS1,VIL1,BCAS3,F2RL1,S1PR1,FHL3,AMOTL2,NISCH,MICAL3,SH3KBP1,SHROOM3,CUL3,ACTA1,DBN1,ARHGEF2,SH3PXD2B,NCKAP1,LRP1,PAK3,MCU,ARHGEF10L,MARCKS,LIMA1,PTK2B,ARHGAP44,ASAP3,TSC1,NOTCH2,DAPK3,NEDD9,DMD,CAPG,NEDD4L,FER,MYPN,ACTR3,CDC42EP1,NF2,PIP5K1A,ARFGEF3,ARFIP2,ELMO1,KIF23,RAB13,MYH9,ITGB1,KCNH2,PREX1,CDC42BPG,OPHN1,CORO6,MTSS1,ARFGEF1,ACTN1,SPECC1L,WIPF3,FMNL1,CTTN,PLS1,VPS4A,SRF,ANK2,MEF2A,TWF2,PPFIA1,DES,IKBKB,EPS8,ADD2,EPB41L1,PDCD6IP,LIMK1,CDC42BPB,SHROOM1,AMOT,CSF1R,DMTN,JAK2,LCP1,ROCK1,PRKCI,AQP1,PTGER4,HRG,SYNPO,SMAD3,ABL1,ARFIP1,FGD4,SELE,PLS3,NRP1,FRMD6,EHBP1,PLEKHH2,LIMCH1,GSN,BCL6,JUP,LLGL1,EPHA3,PXN,COBL,PPM1F,PDCL3,HSP90B1,IQSEC3,SCN5A,TACSTD2,PRKCE,BAIAP2,SORBS2,PDE4D,KCNQ1,CD2AP,TRPV4,RTKN,MYO6,ACTC1,MYH11,ECT2,TJP1,SRI,SUMO1,RGCC,DSG2,CYFIP1,ITPKA,INA,ABR,TMOD1,MICALL2,CCL11,DBNL,MYOM2,EPB41,CAV1,KCNN2,ABLIM2,CAP1,WASF2,PDLIM1,CACNA1G,TNF,NUAK2,SSH2,CNN2,BBS4,WIPF1,TAOK2,ATP1A1,HIP1R,SIX4,ARHGEF17,FAM171A1,MINK1,FRMD7,ABL2,SNX9,PPARGC1B,CSRP2,NPHS1,MAPKAP1,F11R,PFN2,GBA2,PFN1,CLASP2,PALLD,PIP5K1C,RAC3,NF1,NCK2,TGFBR1,MICALL1,USH1C,TNNC2,HIP1
GO:0030036	actin cytoskeleton organization	1.24039332202241e-17	679	BRAF,TTN,KIT,MTOR,SPTAN1,XIRP1,HRAS,ROCK2,BCR,DOCK2,OBSCN,KRAS,PIK3R1,SPTBN1,MYH14,SPTA1,SMAD4,MYO18A,FGD1,NEB,FAT1,SPTBN2,WDR1,ALMS1,BCAR1,RICTOR,RHOA,ACTN2,ARHGEF5,MYH6,FMN2,RDX,RAC1,SPIRE1,TLN1,CGNL1,LATS1,PDPK1,LIMK2,EPB41L3,PHLDB2,GAB1,FARP1,VASP,AKAP13,INF2,FGD3,ARHGEF15,SHROOM2,KRT8,ARHGEF11,MET,IQGAP2,SIPA1L1,SPTB,MYO1B,TRIM32,RHOQ,PHACTR4,ACTG1,PAM,BRSK2,HCK,MYH10,CDC42EP3,SSH3,SSH1,FLNB,MYO1C,MYOM1,DAAM1,SYNPO2L,CIT,BAIAP2L1,INSRR,ARHGEF19,PDLIM4,SORBS1,VIL1,BCAS3,F2RL1,S1PR1,FHL3,AMOTL2,NISCH,MICAL3,SH3KBP1,SHROOM3,CUL3,ACTA1,DBN1,ARHGEF2,SH3PXD2B,NCKAP1,LRP1,PAK3,MCU,ARHGEF10L,MARCKS,LIMA1,PTK2B,ARHGAP44,ASAP3,TSC1,NOTCH2,DAPK3,NEDD9,CAPG,FER,MYPN,ACTR3,CDC42EP1,NF2,PIP5K1A,ARFGEF3,ARFIP2,ELMO1,KIF23,RAB13,MYH9,ITGB1,PREX1,CDC42BPG,OPHN1,CORO6,MTSS1,ARFGEF1,ACTN1,SPECC1L,WIPF3,FMNL1,CTTN,PLS1,VPS4A,SRF,MEF2A,TWF2,PPFIA1,IKBKB,EPS8,ADD2,EPB41L1,PDCD6IP,LIMK1,CDC42BPB,SHROOM1,AMOT,CSF1R,DMTN,JAK2,LCP1,ROCK1,PRKCI,AQP1,PTGER4,HRG,SYNPO,SMAD3,ABL1,ARFIP1,FGD4,PLS3,NRP1,FRMD6,EHBP1,PLEKHH2,LIMCH1,GSN,BCL6,LLGL1,EPHA3,PXN,COBL,PPM1F,PDCL3,HSP90B1,IQSEC3,TACSTD2,PRKCE,BAIAP2,SORBS2,CD2AP,TRPV4,RTKN,ACTC1,MYH11,ECT2,TJP1,RGCC,CYFIP1,ITPKA,INA,ABR,TMOD1,MICALL2,CCL11,DBNL,MYOM2,EPB41,ABLIM2,CAP1,WASF2,PDLIM1,TNF,NUAK2,SSH2,CNN2,BBS4,WIPF1,TAOK2,HIP1R,SIX4,ARHGEF17,FAM171A1,MINK1,FRMD7,ABL2,SNX9,PPARGC1B,CSRP2,NPHS1,MAPKAP1,F11R,PFN2,GBA2,PFN1,CLASP2,PALLD,PIP5K1C,RAC3,NF1,NCK2,TGFBR1,MICALL1,USH1C
REAC:R-HSA-5663202	Diseases of signal transduction	1.24284479252875e-16	361	CTNNB1,BRAF,PTEN,NRAS,KIT,MTOR,EP300,HRAS,PIK3CA,NCOR1,NOTCH1,BCR,PIK3CB,AKT1,EGFR,POLR2A,KRAS,PIK3R1,ERBB2,CREBBP,POLR2B,ZMYM2,SMAD4,MYO18A,PPP2R1A,CUL1,RICTOR,IRS1,CUX1,IRS2,RAC1,TLN1,PTPN11,PDPK1,PIK3R2,NCOR2,PPP2R1B,GAB1,AMER1,MAP2K1,TBL1X,MET,SOS1,FXR1,IQGAP1,TNKS2,ARAF,ACTG1,LRP6,PIK3R3,FN1,MAP2K2,STAT3,RAF1,TRAK1,MYC,MPRIP,HDAC5,FOXO3,SMAD2,STAT5B,PPP2R5D,PSME4,FOXO1,STAT5A,ESR1,AREG,HDAC7,BRAP,NR4A1,RDH12,PSMD2,HDAC9,AGTRAP,PSMA5,PLCG1,ZC3HAV1,PSMB4,TRIM24,APC,KSR2,PPP2CA,SND1,FGG,MAML3,FGFR4,JAK2,GSK3A,GTF2F2,RPS27A,ITGB3,PPP2R5E,POLR2J,PPP2R5C,OS9,JAG2,SMAD3,NCBP1,CBL,PSMA2,RAP1B,KIAA1549,PSMD13,VCP,CAMK2A,GTF2F1,STRN,PRR5,PSMD1,PSMC2,HDAC10,CTBP1,NRG2,PSMD12,POLR2C,BAD,DKK1,HES1,PSEN1,ESR2,VAV1,CD28,PEBP1,FAM131B,HDAC6,CTBP2,PPP2CB,KREMEN2,PSMA1,GAB2,MAPKAP1,VCL,HDAC3,CDC37,PSME1,PSMB2,AP3B1,NF1,TGFBR1,PIK3AP1,PSMC4,UBA52,ARRB2,MAML2,CSK,AKT2,HBEGF,NCBP2,PSME2,PSMD6,SHC1
GO:0044087	regulation of cellular component biogenesis	1.6513293586744e-15	968	TP53,BRAF,PTEN,ATM,KIT,MTOR,SPTAN1,SACS,KIF14,EP300,CAMSAP1,HRAS,DYNC1H1,ROCK2,HCFC1,NOTCH1,TPR,RAPGEF1,ATR,PIK3R1,SPTBN1,SPTA1,CAMSAP3,SLAIN2,SMAD4,ATXN2L,SLX4,NIN,CEP135,SPTBN2,ALMS1,DCTN1,RICTOR,RHOA,ARHGEF5,MAP1B,HTT,SPICE1,FMN2,SYNE2,SMC3,IFT140,RASIP1,RDX,ADGRL3,NUP62,PIEZO1,RAC1,SPIRE1,RAPGEF2,PTPN11,DLG5,CGNL1,LATS1,ATXN2,ULK1,CENPJ,RALB,SLK,AGRN,PHLDB2,DNM2,FARP1,BRCA1,VASP,AKAP13,UNC13B,PIKFYVE,DOCK11,ARHGEF15,ERCC2,SMAD6,MET,IQGAP2,MSN,RPA1,SIRT2,SPTB,FXR1,REST,TCHP,ATP7A,IQGAP1,HEATR1,RHOQ,ACTG1,RAB3GAP2,HCK,CHD1L,FNIP1,CDC42EP3,SSH3,SSH1,EEF2K,RB1,MYO1C,RAF1,ABCA2,SYNPO2L,RUNX1,TRAF2,EPS8L3,DDB1,BAIAP2L1,TUBB4A,PAN2,VIL1,BCAS3,F2RL1,CEP295,S1PR1,PODXL,CKAP5,BBC3,HSPA5,CDT1,SYK,ESR1,ERCC5,DBN1,SENP6,CLIP1,ARHGEF2,ATF7IP,SH3PXD2B,NCKAP1,LRP1,RIOK2,KDR,PAK3,ERCC3,RAP1GAP,STIL,PARP1,EPHA7,KLF5,ARHGEF10L,PAN3,ATAT1,ERCC4,PTK2B,ARHGAP44,HNRNPU,ASAP3,TSC1,TFIP11,PRKACA,CAND1,SMC1A,PLD1,DAPK3,APC,CDK5RAP2,CAPG,FER,ACTR3,CDC42EP1,NF2,ARFIP2,RCC1,PRRT2,ABCA1,PRKCZ,RAB5A,PREX1,NSMAF,RCC2,FXR2,ARFGEF1,IFT88,WIPF3,CTTN,VPS4A,MAP4,SRF,EPS8L2,TWF2,PPFIA1,ASAP1,ADNP,RAB1B,IKBKB,EPS8,ADD2,CBLN1,PDCD6IP,LIMK1
GO:0000226	microtubule cytoskeleton organization	3.00139702775769e-15	576	CTNNB1,MAP1A,ASPM,BRCA2,CAMSAP1,ATRX,DYNC1H1,ROCK2,NCOR1,PCNT,TPR,PCM1,ESPL1,CAMSAP3,SLAIN2,NAV1,NIN,PPP2R1A,SETD2,CEP135,ALMS1,DCTN1,RHOA,CCDC88C,MAP1B,HTT,SPICE1,KIF18A,FMN2,PARD3,SYNE2,SMC3,NUP62,RAC1,PKD2,SPIRE1,DNAAF5,CCDC120,HAUS8,TUBGCP6,CEP250,LIMK2,CENPJ,SLK,PHLDB2,DST,BRCA1,FSD1,MET,DNAH5,CEP72,BRSK2,MID1,KIAA0753,RANBP9,CUL9,ATXN7,TUBB8,KATNA1,GCC2,MYBL2,TRIM46,TUBB4A,BCAS3,CEP295,KIF4B,CKAP5,KIF18B,SENP6,CLIP1,ARHGEF2,EML4,SBDS,TACC3,TUBB3,CCDC88B,STIL,TRIM36,TTK,SIK3,APC2,CEP192,ATAT1,HOOK1,HNRNPU,TUBB2A,CHD3,IQCG,XRCC3,SPC25,SMC1A,DVL1,GOLGA2,BCCIP,APC,RTTN,CDK5RAP2,KIAA1614,FER,NEFH,CENPE,KIF3B,SPAG1,RCC1,KIF23,NEFL,MYH9,ITGB1,ACTR1B,PRKCZ,CEP57,MAP4,CEP350,FIGNL1,BRSK1,PDCD6IP,ODF2,KIF2B,ROCK1,NEK6,DNAH1,RSPH4A,INPP5J,NAV3,GEN1,ABL1,BICD2,CEP68,TUBG1,CRMP1,HAUS7,VPS4B,LLGL1,LRRC49,EPHA3,HYDIN,HAUS5,MAP7D3,CKAP2,VCP,CALML3,HSPA1B,CLTC,KIFC1,MECP2,WDR62,CHEK2,CCDC65,TRPV4,MZT1,MAP6,NUSAP1,KIF20A,DYNC1LI1,CCP110,CHMP4C,NDC80,KATNAL2,TTL,RASSF1,SAXO1,CEP63,CENPH,CEP131,MAP1S,CHORDC1,TUBE1,PRC1,TUBD1,CEP85,RAE1,BBS4,CENPA,USP33,SPRY2,HSPA1A,HDAC6,STAG1,DNAAF1,NUBP1,CFAP74,NDEL1,INO80,TUBGCP5,STMND1,EML1,MAPRE1,KIF24,E2F4,ACTR1A,HDAC3,CNTROB,GBA2,MARK1,TBCD,CLASP2,DYNLT1,TUBGCP2,DNAAF2,MLH1,CCSER2,MAP7D1
GO:0007346	regulation of mitotic cell cycle	6.83132192794885e-15	713	CTNNB1,TP53,PTEN,ATM,CCND1,CENPF,ANAPC1,KIF14,EP300,BRCA2,ATRX,HRAS,DYNC1H1,CDK13,PCNT,TPR,AKT1,EGFR,ZFP36L2,PCM1,ESPL1,PPP2R1A,CEP135,CUL1,ALMS1,DCTN1,MAP3K4,MDC1,BRD4,CDK4,GIGYF2,SMC3,RDX,NUP62,MKI67,PKD2,MAP4K1,HAUS8,ATAD5,TOP2B,PTPN11,MAP2K4,STRADA,RAD51C,CEP250,CENPJ,GBF1,SLK,PLRG1,INSR,FOXA1,BRCA1,MAP2K1,FSD1,PPP1R10,RINT1,ERCC2,PHIP,SIRT2,CEP290,CEP72,CASP2,IK,IQGAP1,HMMR,SCRIB,STK10,MEPCE,DLGAP5,CUL9,MAP2K2,RB1,MYC,STK24,DDB1,NEK4,TOP2A,CNTRL,ANAPC7,TUBB4A,STAT5B,PSME4,CKAP5,TTC28,CDT1,CUL3,BLM,MAP4K2,RIOK2,PAK3,TACC3,ERCC3,PSMD2,NEDD1,TTK,CEP192,PSMA5,NIPBL,KIF20B,HNRNPU,PSMB4,NEK1,SIN3A,ATF2,PRKACA,BUB1,XRCC3,SMC1A,DAPK3,PKN2,APC,TRIP13,CDK5RAP2,FOXC1,CENPE,STK39,RCC1,TAOK3,AATF,ANAPC5,CEP57,RCC2,AURKAIP1,BUB1B,VPS4A,TOPBP1,BRSK1,RPTOR,TTLL12,PINX1,RPS6KB1,MAD1L1,ODF2,ZMPSTE24,STK25,CCND2,PRKAR2B,STK4,NEK6,E2F1,MAP2K3,MAP3K3,CDC25A,DRD3,EME1,GEN1,SMAD3,ABL1,EIF4E,PBX1,RAD21,PSMA2,TFAP4,TUBG1,BTG1,HAUS7,VPS4B,TFDP3,BCL6,NLE1,APPL1,HAUS5,PSMD13,HSPA1B,DACT1,CRADD,CLTC,CDK11B,MECP2,DCLRE1B,TOM1L2,TP73,STK3,NFE2L1,PSMD1,PSMC2,CHEK2,ZFYVE19,MAEA,NUSAP1,DYNC1LI1,CCP110,CHMP4C,NDC80,RGCC,AFAP1L2,HECA,PSMD12,RBL2,TTL,XPC,GADD45GIP1,SLF1,CEP63,HES1,CEP131,INCENP,EZH2,DTL,PTPN3,LCMT1,CDC25B,USP22,CD28,TNF,CEP85,RAE1,TAOK2,ZWILCH,CDC45,STOX1,HSPA1A,STAG1,BCL2L1,SLF2,BUB3,BECN1,MINK1,E4F1,INO80,PSMA1,MAPRE1,E2F4,CCND3,ACTR1A,CTC1,CDK11A,PSME1,PSMB2,MAP3K8,PSMC4,ANAPC10,CDC26,ZNF207,TMEM8B,RAD17,NBN,THAP1,CHEK1,TFDP1,PSME2,PSMD6,CLASP1,HAUS3,PLK4,OFD1
GO:0097435	supramolecular fiber organization	6.95921198582332e-15	693	BRAF,TTN,EPPK1,DSP,MTOR,SPTAN1,MAP1A,CAMSAP1,XIRP1,DYNC1H1,ROCK2,OBSCN,PCM1,PIK3R1,SPTBN1,PXDN,SPTA1,CAMSAP3,SLAIN2,SMAD4,NIN,NEB,FAT1,SPTBN2,WDR1,ALMS1,DCTN1,BCAR1,RICTOR,RHOA,ACTN2,ARHGEF5,KRT20,CCDC88C,MYH6,MAP1B,KIF18A,FMN2,RDX,RAC1,SPIRE1,CGNL1,LATS1,TUBGCP6,LIMK2,CENPJ,SLK,PHLDB2,DST,VASP,AKAP13,ARHGEF15,SHROOM2,FSD1,KRT8,MET,IQGAP2,SPTB,MYO1B,ATP7A,RHOQ,ACTG1,HCK,MYH10,MID1,CDC42EP3,SSH3,SSH1,RANBP9,ATXN7,RB1,MYO1C,MYOM1,LOX,KATNA1,SYNPO2L,CIT,BAIAP2L1,SORBS1,TUBB4A,VIL1,F2RL1,S1PR1,CKAP5,KIF18B,MICAL3,SH3KBP1,SHROOM3,CUL3,ACTA1,PLOD3,DBN1,CLIP1,ARHGEF2,SH3PXD2B,NCKAP1,PAK3,CCDC88B,MCU,ARHGEF10L,MARCKS,LIMA1,APC2,CEP192,PTK2B,HOOK1,ASAP3,P4HA1,TSC1,DVL1,GOLGA2,DAPK3,NEDD9,APC,CDK5RAP2,CAPG,FOXC1,FER,MYPN,ACTR3,NEFH,CDC42EP1,NF2,ARFIP2,NEFL,ITGB1,PREX1,CORO6,ARFGEF1,ACTN1,WIPF3,CTTN,PLS1,SRF,FIGNL1,MEF2A,TWF2,PPFIA1,DES,EPS8,ADD2,LIMK1,SHROOM1,CD36,DMTN,JAK2,LCP1,KIF2B,ROCK1,PRKCI,PTGER4,INPP5J,NAV3,SYNPO,SMAD3,ABL1,ARFIP1,PLS3,NRP1,KRT9,TUBG1,PLEKHH2,LIMCH1,GSN,PXN,COBL,PPM1F,HSP90B1,MAP7D3,CKAP2,HSPA1B,MECP2,TACSTD2,PRKCE,BAIAP2,SORBS2,CD2AP,KLHL24,TRPV4,MZT1,ACTC1,MYH11,TJP1,RGCC,KATNAL2,CYFIP1,CLU,TMOD1,MICALL2,CCL11,DBNL,PSEN1,MYOM2,MAP1S,CHRNA7,RIPK3,CAP1,COL1A1,WASF2,SSH2,BBS4,WIPF1,HSPA8,HIP1R,HSPA1A,COL14A1,HDAC6,SIX4,FAM171A1,NDEL1,FRMD7,TUBGCP5,STMND1,SNX9,PPARGC1B,MAPRE1,KIF24,NPHS1,F11R,PFN2,GBA2,TBCD,PFN1,CLASP2,RAC3,TUBGCP2,NF1,NCK2,TGFBR1
REAC:R-HSA-1640170	Cell Cycle	7.52630500389932e-15	632	TP53,ATM,CCND1,CENPF,ANAPC1,EP300,BRCA2,DYNC1H1,POLA1,SMC2,PCNT,TPR,AKT1,SYNE1,RANBP2,PCM1,ATR,RSF1,ESPL1,RAD50,AHCTF1,PPP2R1A,CEP135,CUL1,ALMS1,NCAPD2,MCM4,MDC1,NUP210,KIF18A,NUP160,CDK4,SYNE2,NUP133,SMC3,NUP62,HAUS8,ESCO2,TUBGCP6,RAD51C,CEP250,EXO1,CENPJ,PPP2R1B,BRCA1,ESCO1,RPA1,CEP290,CEP72,HMMR,NUP88,NUP214,RAD51,KAT5,NCAPD3,RB1,TUBB8,SMC1B,NUP85,MYC,MYBL2,SMARCA5,TOP2A,CNTRL,ANAPC7,TUBB4A,PPP2R5D,TP53BP1,RFC1,PSME4,CKAP5,ATRIP,CDT1,BLM,CLIP1,CENPC,NCAPG2,TUBB3,PSMD2,PDS5A,NEDD1,CENPT,NUP205,CEP192,PSMA5,NIPBL,MCM2,PSMB4,TUBB2A,POLD1,PRKACA,BUB1,SPC25,SMC1A,GOLGA2,E2F5,PHF20,CDK5RAP2,SMC4,CENPE,DYNC1I1,BRIP1,PIAS4,KIF23,ANAPC5,RFC2,CEP57,TYMS,RCC2,NCAPH2,BUB1B,YWHAZ,PPP1CC,NUP107,TOPBP1,RAB1B,PPP2CA,MAD1L1,WRN,WAPL,ANKLE2,ODF2,CCND2,SKP2,PRKAR2B,RAB8A,JAK2,KIF2B,RPS27A,PPP2R5E,NEK6,E2F1,DHFR,PPP2R5C,OPTN,RANGAP1,CDC25A,ABL1,RAD21,PSMA2,TUBG1,HAUS7,BARD1,GORASP1,POLE,HAUS5,NME7,MCM10,PSMD13,POLE3,CDK11B,ORC4,BRCC3,LIG1,PSMD1,PSMC2,CHEK2,MZT1,KIF20A,DYNC1LI1,CCP110,NDC80,SUMO1,PSMD12,RBL2,CSNK2A2,LMNB1,MIS18A,CEP63,CENPH,CEP131,INCENP,LCMT1,CDC25B,NEK9,SYCP2,RAE1,ZWILCH,CDC45,CENPA,STAG1,BUB3,NDEL1,PPP2CB,TUBGCP5,PSMA1,MAPRE1,CENPI,E2F4,RRM2,CCND3,ACTR1A,MASTL,CLASP2,CDK11A,PSME1,NCAPG,TUBGCP2,PSMB2,POLE2,MLH1,PSMC4,UBA52,NUP50,AKT2,ANAPC10,FEN1,CSNK2A1,CDC26,NUP153,NUP93,RAD17,NBN,CHEK1,TFDP1,PSME2,PDS5B,PSMD6,CLASP1,CABLES1,HAUS3,PLK4,ERCC6L,OFD1
