term.id	term.name	adjusted.p.val	term.size	overlap
REAC:R-HSA-1640170	Cell Cycle	2.42163739568218e-24	632	ATM,CENPF,ANAPC1,SMC2,RAD50,AKT1,POLA1,BRCA2,PPP2R1A,CUL1,RCC2,NCAPD2,CDK4,DYNC1H1,NCAPD3,ATR,SMC1B,PPP2R5D,MYBL2,RANBP2,NIPBL,KIF18A,LMNB1,CDK5RAP2,CENPE,CENPC,HMMR,ALMS1,ESCO2,NBN,PCM1,NUMA1,KAT5,NUP160,NUP133,CEP250,BLM,CENPJ,ANAPC7,NUDC,TUBB4A,RAD51C,NUP210,NCAPG2,ATRIP,HAUS8,BUB1,PSMD2,PDS5A,NUP88,SMARCA5,ODF2,YWHAE,CENPI,MCM4,RFC1,HDAC1,ERCC6L,NUP205,CDT1,UBC,AHCTF1,TUBA1C,MASTL,SYNE2,RPA1,SMC1A,GINS4,GOLGA2,CEP135,RAD21,CEP72,BUB1B,AURKA,PIAS4,KIF20A,ESPL1,NUP50,RFC2,CEP57,TYMS,ORC1,NUP85,SMC3,TUBA1A,MCM10,UBE2V2,BRCA1,CDK11B,WRN,CDC7,NDC80,E2F1,DHFR,RANGAP1,DCTN2,POLE2,CDC25A,PSMA4,TUBG1,HAUS7,EXO1,POLE,NPM1,NME7,PSMD13,HAUS5,CEP131,ORC4,TP53,PKMYT1,MIS18BP1,MZT1,MCM2,RAD17,PSME4
GO:1903047	mitotic cell cycle process	2.98604034219858e-24	892	ATM,CENPF,TTK,ANAPC1,ROCK2,SMC2,AKT1,POLA1,MKI67,DCTN1,BRCA2,PPP2R1A,CUL1,RCC2,NCAPD2,CDK4,PHF8,DYNC1H1,NCAPD3,RDX,SPTBN1,AKAP8L,MYBL2,TOP2B,NIPBL,SPICE1,EGFR,KIF18A,RINT1,ERCC2,CDK5RAP2,HTT,CENPE,CHAMP1,SLF1,CENPC,HMMR,CACUL1,ATRX,ALMS1,SBDS,HRAS,NBN,CASP2,INSR,MYH10,CUL9,PCM1,NUMA1,SETD2,UBE2S,CEP250,BLM,PIAS1,CENPJ,ANAPC7,TUBB4A,RAD51C,KIF18B,CLTC,ARHGEF2,ATAD5,HAUS8,KIF4B,BUB1,PSMD2,PDS5A,ODF2,CD28,KIF14,YWHAE,MCM4,FLNA,EIF4EBP1,CDT1,CTDP1,ZFP36L2,MASTL,RPA1,CUL2,SMC1A,GOLGA2,CHMP2B,CEP135,RAD21,CEP72,BUB1B,AURKA,KIF20A,ESPL1,ACTR1B,CEP57,TYMS,ORC1,DNM2,SMC3,TUBA1A,MCM10,RPTOR,BRCA1,CDC73,NPAT,EIF4E,CDC7,ANKRD17,NDC80,ROCK1,E2F1,DHFR,RHOA,TTN,ZMPSTE24,DCTN2,DIS3L2,GEN1,POLE2,CDC25A,PSMA4,TUBG1,HAUS7,PPP6C,IK,POLE,APPL1,HIRA,PSMD13,HAUS5,KIFC1,CEP131,ORC4,PLRG1,TP53,PKMYT1,ZFYVE19,GSPT1,DTL,MZT1,MCM2,LMNA,RAD17,PSME4,VPS4B,ECT2
GO:0006259	DNA metabolic process	1.12483226215955e-20	943	ATM,CENPF,PIK3CA,RAD50,CTNNB1,AKT1,ZNF91,POLA1,POLR2A,BRCA2,POLR2B,TOP1,ZNF93,DICER1,NVL,ATR,TRIP12,PMS1,SMC6,TOP2B,NIPBL,STAT6,EXOSC10,UBR5,EGFR,ERCC2,TDRD9,TFIP11,TFRC,USP1,SLF1,TNKS2,ATRX,SETX,KPNA2,ESCO2,DNMT1,NBN,MTA2,ARID2,SETD2,KAT5,SMARCA1,BLM,RAD51C,HMGN1,SMG1,ATRIP,ATAD5,PDS5A,SMARCAD1,CD28,TRRAP,MCM4,RFC1,XRN1,CDT1,UBC,ASCC3,ERCC4,SP100,KMT2A,TOP3B,LIG3,RPA1,SMC1A,GINS4,ENDOG,RAD21,XRN2,SUPT6H,PIAS4,BCL11B,THOC1,DCP2,RFC2,POLM,TYMS,ORC1,ERCC6,SMC3,XAB2,MAGEF1,MBD1,MCM10,EXO5,FIGNL1,UBE2V2,BRCA1,SMARCAL1,WRN,RECQL,CDC7,TIMELESS,POLK,MBD4,NMNAT1,PGBD5,POLR2J,PLD3,FANCM,GTF2H2C,NSMCE3,KPNA1,ERCC5,ZMPSTE24,GEN1,POLE2,DNTT,NPLOC4,MSH6,EXO1,POLE,CHD1L,NPM1,KLHL15,GNL3L,CHAF1B,COPS5,TEFM,HUWE1,ORC4,POLR2C,DDB2,FANCA,TP53,XRCC5,PARP1,LRWD1,SUPT16H,DTL,POLH,CINP,MCM2,RAD17,NONO,EXOG,PSME4,PARP2,UHRF2,EXOSC5,DNMT3A,CCT7
REAC:R-HSA-69278	Cell Cycle, Mitotic	1.08603750543632e-19	527	CENPF,ANAPC1,SMC2,AKT1,POLA1,PPP2R1A,CUL1,RCC2,NCAPD2,CDK4,DYNC1H1,NCAPD3,PPP2R5D,MYBL2,RANBP2,NIPBL,KIF18A,LMNB1,CDK5RAP2,CENPE,CENPC,HMMR,ALMS1,ESCO2,PCM1,NUMA1,NUP160,NUP133,CEP250,CENPJ,ANAPC7,NUDC,TUBB4A,NUP210,NCAPG2,HAUS8,BUB1,PSMD2,PDS5A,NUP88,ODF2,YWHAE,CENPI,MCM4,RFC1,HDAC1,ERCC6L,NUP205,CDT1,UBC,AHCTF1,TUBA1C,MASTL,RPA1,SMC1A,GINS4,GOLGA2,CEP135,RAD21,CEP72,BUB1B,AURKA,KIF20A,ESPL1,NUP50,RFC2,CEP57,TYMS,ORC1,NUP85,SMC3,TUBA1A,MCM10,CDK11B,CDC7,NDC80,E2F1,DHFR,RANGAP1,DCTN2,POLE2,CDC25A,PSMA4,TUBG1,HAUS7,POLE,NME7,PSMD13,HAUS5,CEP131,ORC4,TP53,PKMYT1
GO:0006281	DNA repair	1.10046972359295e-15	563	ATM,RAD50,POLA1,POLR2A,BRCA2,POLR2B,ATR,TRIP12,PMS1,SMC6,NIPBL,UBR5,EGFR,ERCC2,TFIP11,USP1,SLF1,ATRX,SETX,ESCO2,NBN,ARID2,SETD2,KAT5,BLM,RAD51C,HMGN1,SMG1,ATRIP,PDS5A,SMARCAD1,TRRAP,MCM4,RFC1,UBC,ASCC3,ERCC4,LIG3,RPA1,SMC1A,GINS4,RAD21,PIAS4,RFC2,POLM,ERCC6,SMC3,XAB2,MAGEF1,EXO5,FIGNL1,UBE2V2,BRCA1,SMARCAL1,WRN,RECQL,CDC7,TIMELESS,POLK,MBD4,POLR2J,FANCM,GTF2H2C,NSMCE3,ERCC5,ZMPSTE24,GEN1,POLE2,DNTT,NPLOC4,MSH6,EXO1,POLE,CHD1L,NPM1,KLHL15,CHAF1B,COPS5,HUWE1,POLR2C,DDB2,FANCA,TP53,XRCC5,PARP1,SUPT16H,DTL,POLH,CINP,MCM2,RAD17,NONO,PSME4,PARP2
GO:0006974	cellular response to DNA damage stimulus	3.92747098047084e-15	873	ATM,PIK3R1,RAD50,AKT1,POLA1,POLR2A,UBA6,BRCA2,POLR2B,ATR,TRIP12,PMS1,SMC6,NIPBL,UBR5,EGFR,RINT1,ERCC2,TFIP11,USP1,SLF1,TRIM32,ATRX,SETX,ESCO2,NBN,CASP2,ARID2,SETD2,KAT5,BLM,RAD51C,HMGN1,SMG1,ATRIP,ATAD5,BAZ1B,PDS5A,HMOX1,ASH2L,SMARCAD1,TRRAP,MCM4,RFC1,TRAF6,SETD7,UBC,ASCC3,ERCC4,SP100,MASTL,THOC5,LIG3,RPA1,SMC1A,GINS4,RAD21,SGK1,AATF,AURKA,METTL3,PIAS4,THOC1,RFC2,POLM,ERCC6,SMC3,XAB2,MAGEF1,MCM10,RBBP6,EXO5,FIGNL1,UBE2V2,BRCA1,SMARCAL1,WRN,RECQL,CDC7,TIMELESS,POLK,MBD4,E2F1,IKBKG,CBX1,POLR2J,FANCM,GTF2H2C,NSMCE3,ERCC5,ZMPSTE24,ZDHHC16,GEN1,POLE2,DNTT,NEK4,NPLOC4,MSH6,EXO1,POLE,CHD1L,NPM1,KLHL15,CHAF1B,COPS5,HUWE1,POLR2C,DDB2,FANCA,TP53,XRCC5,PARP1,SUPT16H,ZBTB40,DTL,POLH,CINP,MCM2,RAD17,NONO,FXR1,PSME4
REAC:R-HSA-68886	M Phase	8.7643330990492e-15	385	CENPF,ANAPC1,SMC2,PPP2R1A,RCC2,NCAPD2,DYNC1H1,NCAPD3,PPP2R5D,RANBP2,NIPBL,KIF18A,LMNB1,CDK5RAP2,CENPE,CENPC,ALMS1,PCM1,NUMA1,NUP160,NUP133,CEP250,CENPJ,ANAPC7,NUDC,TUBB4A,NUP210,NCAPG2,HAUS8,BUB1,PSMD2,PDS5A,NUP88,ODF2,YWHAE,CENPI,ERCC6L,NUP205,UBC,AHCTF1,TUBA1C,MASTL,SMC1A,GOLGA2,CEP135,RAD21,CEP72,BUB1B,KIF20A,ESPL1,NUP50,CEP57,NUP85,SMC3
GO:0044772	mitotic cell cycle phase transition	1.06218830530938e-14	598	ATM,CENPF,TTK,ANAPC1,AKT1,POLA1,DCTN1,PPP2R1A,CUL1,RCC2,CDK4,PHF8,DYNC1H1,RDX,EGFR,RINT1,ERCC2,CDK5RAP2,CENPE,HMMR,CACUL1,ALMS1,NBN,CASP2,PCM1,UBE2S,CEP250,BLM,PIAS1,CENPJ,ANAPC7,TUBB4A,RAD51C,ATAD5,HAUS8,BUB1,PSMD2,ODF2,KIF14,YWHAE,MCM4,EIF4EBP1,CDT1,CTDP1,ZFP36L2,MASTL,RPA1,CUL2,CEP135,RAD21,CEP72,BUB1B,AURKA,ESPL1,CEP57,TYMS,ORC1,DNM2,TUBA1A,MCM10,RPTOR,BRCA1,CDC73,NPAT,EIF4E,CDC7,ANKRD17,NDC80,E2F1,DHFR,DCTN2,GEN1,POLE2,CDC25A,PSMA4,TUBG1,HAUS7,PPP6C,IK,POLE,APPL1,PSMD13,HAUS5,CEP131,ORC4,PLRG1,TP53,PKMYT1,ZFYVE19,GSPT1,DTL,MCM2,RAD17,PSME4,VPS4B
REAC:R-HSA-68877	Mitotic Prometaphase	1.14433182296356e-14	195	CENPF,SMC2,PPP2R1A,RCC2,NCAPD2,DYNC1H1,PPP2R5D,RANBP2,KIF18A,CDK5RAP2,CENPE,CENPC,ALMS1,PCM1,NUMA1,NUP160,NUP133,CEP250,CENPJ,NUDC,TUBB4A,HAUS8,BUB1,PDS5A,ODF2,YWHAE,CENPI,ERCC6L,AHCTF1,TUBA1C,SMC1A,CEP135,RAD21,CEP72,BUB1B,CEP57,NUP85,SMC3,TUBA1A,NDC80,RANGAP1,DCTN2,TUBG1,HAUS7,NME7,HAUS5,CEP131
GO:0006260	DNA replication	3.07165435019582e-14	277	ATM,RAD50,POLA1,BRCA2,PPP2R1A,TOP1,ATR,RRM1,EGFR,ATRX,ESCO2,HRAS,NBN,KAT5,BLM,ATRIP,ATAD5,PDS5A,MCM4,RFC1,S100A11,CDT1,LIG3,RPA1,GINS4,BAZ1A,THOC1,RFC2,ORC1,SMC3,MCM10,RBBP6,BRCA1,SMARCAL1,WRN,RECQL,CDC7,ANKRD17,FAM111A,TIMELESS,POLK,FANCM,MAP2K4,ZMPSTE24,GEN1,POLE2,EXO1,POLE,CHAF1B,ORC4,TP53,LRWD1,SUPT16H,PTMS,DTL,POLH,CINP,MCM2,RAD17
