term.id,term.name,adjusted.p.val,term.size,overlap
GO:0006396,RNA processing,4.62895761880834e-05,963,WDR33|HNRNPA1L2|PABPN1|SAFB2|PUS7|THRAP3|SF3B2|RPS2|RNF40|NOLC1|HNRNPA3|RBM39|AHNAK2|ZNF638|RBM12|RPRD2|KIN|RPP38|RPS6
GO:0006397,mRNA processing,0.0115624484639289,533,WDR33|HNRNPA1L2|PABPN1|SAFB2|THRAP3|SF3B2|RNF40|HNRNPA3|RBM39|RPRD2|KIN|SAFB|CDC73|AKAP8L
GO:0006413,translational initiation,0.00241464018922629,199,TPR|EIF4G2|RPS2|EIF4H|RPS6|EIF3A|RPLP1|EIF4E2|EIF2B4|EIF4G1
GO:0008380,RNA splicing,0.0185306333141283,457,WDR33|HNRNPA1L2|PABPN1|THRAP3|SF3B2|HNRNPA3|RBM39|AHNAK2|ZNF638|RBM12
GO:0016032,viral process,0.0241158864963131,927,PABPN1|TPR|XRCC5|SF3B2|EP300|RPS2|ANXA2|SUPT16H|EIF4H|MAVS|KIN|RPS6|EIF3A|CDK5RAP3|RPLP1|AKAP8L|TRIM28|EIF4G1|SND1
GO:0016071,mRNA metabolic process,0.000102925998170234,872,YBX3|WDR33|HNRNPA1L2|PABPN1|SAFB2|PUS7|THRAP3|SF3B2|RPS2|RNF40|HNRNPA3|RBM39|RPRD2|KIN|FLNA|RPS6|SAFB|RPLP1|CDC73|AKAP8L|EIF4G1|TSEN54|MRTO4|SUGP2|APEX1
GO:0033365,protein localization to organelle,0.0288047592909588,973,LMNA|TPR|XRCC5|MEPCE|UFM1|RPS2|NOLC1|RANGAP1|MAVS|FLNA|ATP6V1D|RPS6|HK1|NUMA1|CDK5RAP3|RPLP1|POLR1A|TRIM28|TRIM29|CCT3
GO:0034504,protein localization to nucleus,0.000296222198358949,283,LMNA|TPR|MEPCE|UFM1|NOLC1|RANGAP1|MAVS|FLNA|CDK5RAP3|POLR1A|TRIM28|TRIM29|CCT3
GO:0042306,regulation of protein import into nucleus,0.0153219459590021,62,TPR|UFM1|NOLC1|MAVS|FLNA|TRIM28
GO:0046822,regulation of nucleocytoplasmic transport,0.00329237471045547,115,TPR|UFM1|NOLC1|RANGAP1|MAVS|FLNA|AKAP8L|TRIM28
GO:0071474,cellular hyperosmotic response,0.007726290953634,15,YBX3|XRCC5|LETM1
GO:1900180,regulation of protein localization to nucleus,4.03596258942558e-07,131,LMNA|TPR|MEPCE|UFM1|NOLC1|MAVS|FLNA|CDK5RAP3|POLR1A|TRIM28|TRIM29|CCT3
GO:1900182,positive regulation of protein localization to nucleus,0.00925750797943494,82,TPR|MEPCE|MAVS|FLNA|CDK5RAP3|TRIM28|CCT3
GO:1903047,mitotic cell cycle process,0.0479563262246135,908,LMNA|TPR|MCM4|EP300|MEPCE|MYH10|HSPA2|KIF2C|MDC1|FLNA|RPS6|NUMA1|CDK5RAP3|BUB1B|CDC73|AKAP8L|EIF4G1|CEP164
GO:1903827,regulation of cellular protein localization,0.0241510213680812,557,LMNA|TPR|MEPCE|UFM1|NOLC1|RANGAP1|MAVS|FLNA|NUMA1|CDK5RAP3|AKAP8L|POLR1A|TRIM28|TRIM29|CCT3
GO:1904589,regulation of protein import,0.0203015417893743,65,TPR|UFM1|NOLC1|MAVS|FLNA|TRIM28
